"","Player","Nation","Age","Born","X90s","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"92","k.abu","Eastern Niasland",30,1990,0.04,20.08,10.06,10.05,10.09,0,10.06,10.01,1,0.06,19.95,9.94,1,10.07,10.02,0.09,0.01,0,0.05,0,0,19.97,0.05,0.07,4200000,3900000,3600000,3300000,3e+06,2700000,2400000,2200000,2e+06,1800000
"93","l.nangiro","Eastern Niasland",25,1995,2.53,1.98,1.1,1.06,0.37,0.37,0.41,0.72,1,0.31,11.13,4.27,1,5.84,4.29,1.11,0.34,0,0.04,0.3,1.95,3.82,0.01,0.07,14500000,13500000,12500000,11600000,10700000,9800000,9e+06,8300000,7500000,6900000
"94","o.lamunu","Eastern Niasland",30,1990,0.57,4.06,0,2.05,0,2.05,0,0,0,0,13.91,2.03,1,4.03,6.08,4.08,1.92,0,0,2,4.06,8.03,0,0,5400000,5e+06,4600000,4200000,3800000,3400000,3100000,2800000,2500000,2300000
"95","o.sepp","Eastern Niasland",29,1991,2.9,1.48,1.05,0.3,1.06,0,1.15,2.9,1,1.73,14.3,6.06,1,5.72,7.4,1.14,1.76,0.45,0,1.47,3.55,5.07,0.36,0.01,12400000,11400000,10500000,9600000,8800000,8e+06,7200000,6600000,5900000,5300000
"96","q.isabirye","Eastern Niasland",25,1995,0.14,0.07,0.01,0.05,0.08,0,0,0.04,0,0.06,10.05,0,0.02,5.09,5.04,0.09,10.09,4.96,0,4.9,0,0.04,0,0,6300000,5900000,5500000,5100000,4700000,4300000,3900000,3600000,3300000,3e+06
"97","a.mwesige","Eastern Niasland",23,1997,0.07,0.07,0,0.08,0,0.04,0,0.01,0,0,29.96,0.08,0.04,10.08,9.93,9.92,10.03,0.02,0,10.05,0.03,0.05,0.02,0.09,6800000,6400000,5900000,5500000,5100000,4700000,4400000,4e+06,3700000,3400000
"98","i.binhassan","Eastern Niasland",24,1996,0.5,1.7,0,1.71,0.08,0,1.69,6.59,1,5.06,26.73,5.01,1,5.06,16.69,4.9,1.67,0.06,0,1.65,1.77,3.26,4.94,0.04,8600000,8e+06,7500000,6900000,6400000,5900000,5400000,5e+06,4600000,4200000
"99","z.banda","Eastern Niasland",21,1999,3.01,1.35,0.69,1.09,0.32,0,0.38,0.92,1,0.65,13.98,4.75,1,2.38,7.94,3.59,0.57,0.09,0,0.74,0.67,2.06,0.74,0.33,24700000,23300000,21800000,20400000,19100000,17800000,16500000,15300000,14100000,1.3e+07
"100","c.begum","Eastern Sleboube",31,1989,1.05,0.1,0,0.09,0.02,0,0,0.09,0,0,4.07,1.94,1,2,2.03,0,1.1,0.93,0,0,2.03,1.99,3.03,0.95,5900000,5400000,4900000,4500000,4100000,3700000,3300000,3e+06,2700000,2400000
"101","j.alamri","Eastern Sleboube",27,1993,2.93,1.77,1.04,0.91,0.7,0.08,1,1.25,1,0.29,7.97,2.66,1,4.41,3.63,0,0.97,1.01,0.1,0.09,0.35,2.02,5.02,0,14300000,13200000,12200000,11200000,10300000,9400000,8600000,7800000,7100000,6400000
"102","n.schumacher","Eastern Sleboube",30,1990,2.32,1.29,0.05,1.39,0,0.07,1.36,3.38,1,2.21,13.56,2.6,1,6.05,6.06,1.34,2.66,0.03,0.01,2.54,0.94,2.22,2.18,0,8900000,8200000,7500000,6900000,6200000,5700000,5100000,4600000,4200000,3700000
"103","p.sullivan","Eastern Sleboube",33,1987,0.66,5.63,2.9,1.37,4.31,0.03,2.95,4.24,1,1.51,8.47,1.36,1,1.35,7.07,0,0,0,0.01,0,4.37,10.03,7.11,0,4400000,4e+06,3600000,3300000,3e+06,2700000,2400000,2100000,1900000,1700000
"104","v.purwanto","Eastern Sleboube",37,1983,0.41,0.07,0.1,0,0.03,0,0,0.07,0,0,5.92,2.07,1,2.08,3.93,0.05,0.06,0.07,0.09,0,0,0,2.02,0,2700000,2400000,2200000,2e+06,1700000,1600000,1400000,1200000,1100000,9e+05
"105","w.nakyejwe","Eastern Sleboube",25,1995,1.43,2.66,2.72,2.58,0.08,0,1.32,2.72,1,1.26,16.69,6.06,1,8.73,4.77,3.41,2.02,0.08,0.1,1.97,0.64,3.32,2.05,0.03,9900000,9200000,8500000,7900000,7300000,6700000,6200000,5600000,5100000,4700000
"106","w.tumwesige","Eastern Sleboube",21,1999,2.44,2.41,1.56,1.59,0.88,0,1.19,2.47,1,1.11,12.35,5.13,1,7.2,5.17,0,2.42,1.92,0.34,0.31,2.36,4.81,8.41,0,17600000,16600000,15600000,14600000,13600000,12700000,11800000,10900000,10100000,9300000
"107","u.namugerwa","Eastern Sleboube",28,1993,2.05,2.31,1.37,2.33,0.08,0.03,0.89,1.88,1,0.99,11,3.72,1,7.55,2.36,1,0.02,0,0,0,0.45,2.78,2.29,0,9400000,8700000,8e+06,7300000,6700000,6100000,5600000,5100000,4600000,4100000
"108","r.nyapendi","Eastern Sleboube",24,1996,1.49,1.28,0.65,1.31,0,0,0.02,4,0,3.91,19.3,5.32,1,13.23,4.08,1.98,2.05,0.04,0.09,1.99,0,1.34,2.67,0,9400000,8700000,8100000,7500000,7e+06,6400000,5900000,5400000,5e+06,4500000
"109","q.kemigisa","Eastern Sleboube",23,1997,0.5,0,0.07,0,0.06,0,0.08,0,0,0,15.04,4.9,1,0.02,2.42,12.46,2.59,0,0,2.54,0.03,0.09,2.5,0,11200000,10400000,9800000,9100000,8400000,7800000,7200000,6600000,6100000,5600000
"110","v.kyomuhangi","Eastern Sleboube",32,1988,2.96,0,0.03,0.04,0,0.01,0.04,0,0,0.01,10.06,3.75,1,2.03,4.58,3.48,1.31,0.41,0.03,0.96,0,0,0.71,0.09,10600000,9700000,8800000,8e+06,7300000,6500000,5900000,5300000,4700000,4200000
"111","w.ghosh","Eastern Sleboube",30,1990,0.36,2.49,2.56,2.48,0,0.03,0.04,0.06,0,0,17.43,5.01,1,2.5,7.48,7.58,2.48,0,0.09,2.51,0,2.59,0,0.08,5700000,5200000,4800000,4400000,4e+06,3600000,3300000,2900000,2700000,2400000
"112","k.nakibuule","Eastern Sleboube",34,1987,1,0,0,0.1,0,0.04,0,0,0,0,0.07,0,0,0,0.09,0.05,0.04,0,0,0.06,0,0.06,0,1.08,4500000,4100000,3700000,3400000,3e+06,2700000,2400000,2200000,1900000,1700000
"113","w.radu","Eastern Sleboube",21,1999,2.02,0,0,0,0.03,0.07,0.01,0,0,0.09,0,0,0,0.03,0,0.09,0.06,0,0,0,0,0,0,0.05,17200000,16200000,15200000,14200000,13300000,12400000,11500000,10600000,9800000,9e+06
"114","f.kou","Eastern Sleboube",19,2001,0.63,11.75,4.96,5.09,6.75,0.05,5.08,6.68,1,1.7,35.09,11.76,1,14.96,16.68,3.42,1.64,0.07,0,1.6,4.9,16.63,0,0.02,10200000,9700000,9100000,8600000,8100000,7600000,7e+06,6600000,6100000,5600000
"115","p.isa","Eastern Sleboube",24,1996,0.73,1.34,1.41,0.06,1.41,0.03,0.09,0,0,0,9.95,4.26,1,1.44,7.1,1.44,0.01,0,0.05,0.07,0,1.39,0,0.03,9800000,9100000,8500000,7900000,7300000,6700000,6200000,5700000,5200000,4700000
"116","t.jakobsson","Eastern Sleboube",28,1992,2.28,3.44,1.79,0.94,2.2,0.48,0.91,2.54,1,1.68,23.57,9.93,1,6.1,11.38,6.01,1.74,0.48,0.07,1.28,3.11,6.48,1.77,0.06,12100000,11100000,10300000,9400000,8600000,7900000,7200000,6500000,5900000,5300000
"117","d.rahmawati","Eastern Sleboube",25,1995,1.81,0.98,0.48,0,0.57,0.5,0.57,1.09,1,0.52,16.26,6.4,1,1.01,8.44,6.92,1.02,0.09,0,0.97,0.02,1.08,0.01,0.07,14200000,13200000,12200000,11300000,10400000,9600000,8800000,8100000,7400000,6700000
"118","l.prasad","Eastern Sleboube",24,1996,3.09,1.65,1.6,0.24,0.66,0.75,1.1,1.31,1,0.26,20.77,5.65,1,2.95,10.34,7.41,2.08,0.05,0,1.91,1.02,2.64,0.06,0,21700000,20200000,18800000,17500000,16200000,14900000,13700000,12600000,11500000,10500000
"119","w.bwanali","Eastern Sleboube",26,1994,2.67,2.9,1.44,1.02,1.82,0.03,0.82,3.4,1,2.52,22.7,4.75,1,7.33,11.41,3.69,1.92,0.41,0,1.39,2.3,5.24,0.82,0.29,1.4e+07,1.3e+07,1.2e+07,11100000,10200000,9400000,8600000,7800000,7100000,6500000
"120","a.dickson","Esia",27,1994,3.9,2.28,1.53,0.63,1.51,0.29,1.04,1.22,1,0.35,7.31,3.67,1,2.31,4.72,0.33,0.5,0.34,0,0.34,0.25,2.71,3.38,0,21100000,19500000,1.8e+07,16600000,15200000,13900000,12700000,11600000,10500000,9500000
"121","d.adu","Esia",26,1994,3.56,0.87,0.53,0.58,0,0.26,0,0.87,0.08,0.91,12.25,2.92,1,2.63,6.28,3.36,1.41,0,0.05,1.38,2.91,3.61,1.18,0,20500000,1.9e+07,17600000,16200000,14900000,13700000,12500000,11400000,10400000,9500000
"122","d.svensson","Esia",27,1993,3.98,0.8,0.34,0.08,0.83,0,0,0.19,0,0.26,9.49,0.94,1,3.78,4.96,0.81,1.56,0,0.04,1.49,0.97,1.8,2.23,0,2e+07,18500000,17100000,15800000,14500000,13200000,12100000,1.1e+07,1e+07,9e+06
"123","g.nisha","Esia",25,1995,4.01,1.56,0.99,1.28,0.28,0.07,0.82,1.1,1,0.24,7.41,2.27,1,2.16,2.9,2.24,0.46,0.31,0,0.34,1.04,2.44,1.32,0,25200000,23500000,21800000,20200000,18600000,17100000,15700000,14400000,13100000,1.2e+07
"124","k.shumba","Esia",32,1988,3.75,2.25,1.03,1.35,0.54,0.24,0.85,2.19,1,1.28,8.88,3.24,1,5.37,3.01,0.52,0.87,0.6,0.04,0.24,1.43,3.5,5.07,0.01,12200000,11100000,10100000,9200000,8300000,7500000,6700000,6100000,5400000,4800000
"125","u.adjei","Esia",29,1991,0.3,0.02,0.09,0,0.05,0.03,0,6.74,0,6.62,23.28,6.63,1,13.32,9.96,0.03,3.33,0,0.02,3.31,0,0.04,3.3,0.04,4400000,4e+06,3700000,3400000,3100000,2800000,2600000,2300000,2100000,1900000
"126","l.mitchell","Esia",25,1995,0.21,0.02,0.08,0,0.02,0.01,0.06,0,0,0,10.04,0.04,0.08,5.1,4.97,0,4.93,0,0,4.91,0,0,5.05,0,6500000,6e+06,5600000,5200000,4800000,4400000,4e+06,3700000,3400000,3100000
"127","z.braun","Esia",27,1994,0.5,2.6,2.53,2.46,0.09,0.03,2.59,5.03,1,2.53,12.45,4.99,1,4.93,5.07,2.55,2.42,0,0.03,2.59,0,2.46,2.44,0.1,6800000,6300000,5800000,5300000,4900000,4500000,4100000,3700000,3400000,3100000
"128","q.gunther","Esia",24,1996,1.11,0,0.05,0.08,0.01,0,0.07,0,0,0.04,9.95,4.21,1,0.81,3.3,5.75,0,0.09,0,0,0,0,0,0,11600000,10900000,10100000,9400000,8700000,8e+06,7400000,6800000,6200000,5700000
"129","y.nartey","Esia",25,1995,2.74,1.76,1.38,0,1.08,0.71,0.09,0.27,0.08,0.34,15.32,5.29,1,0.65,7.18,7.43,0.27,0,0.09,0.44,1.14,2.87,0.42,0,19100000,17700000,16500000,15200000,14100000,1.3e+07,11900000,10900000,9900000,9e+06
"130","l.tu","Esia",25,1996,1.38,1.57,1.59,0.03,0.08,1.44,0.83,0.77,1,0.08,8.44,3.16,1,3.16,0,5.36,0.77,0,0,0.83,1.49,3.14,0,0,10900000,10200000,9400000,8700000,8100000,7400000,6800000,6200000,5700000,5200000
"131","u.musa","Esia",28,1992,0.2,0.01,0.07,0,0,0,0,0,0,0,19.92,9.98,1,0.05,10.05,10.04,0,0.05,0,0.04,10.06,10.04,0,0,7500000,6900000,6400000,5800000,5300000,4900000,4400000,4e+06,3600000,3300000
"132","h.alobo","Esia",21,1999,3.3,0.32,0.35,0,0.06,0.36,0.01,0.36,0.08,0.34,15.88,4.87,1,2.64,5.5,7.58,1.73,0.52,0.09,1.26,0.1,0.38,0.37,0,2.8e+07,26300000,24700000,23100000,21600000,20100000,18700000,17300000,15900000,14700000
"133","b.harahap","Esia",34,1986,4.08,0,0.06,0.01,0.03,0,0.08,0,0,0,0.02,0,0,0,0.02,0.02,0,0,0.1,0.09,0.03,0,0.06,0,12300000,11100000,10100000,9100000,8200000,7300000,6600000,5900000,5200000,4600000
"134","a.kuhn","Esia",30,1990,2.46,1.69,1.15,0.34,1.27,0.09,0.44,1.72,1,1.31,14.94,3.35,1,2.5,6.62,5.93,0.76,0,0.04,0.85,0.83,2.42,0,0,10800000,9900000,9100000,8300000,7500000,6800000,6200000,5600000,5e+06,4500000
"135","y.nagudi","Esia",31,1990,4,3.83,2.72,1.96,1.22,0.48,1.25,3.47,1,2.22,19.41,5.95,1,5.74,11.1,2.69,1.44,0,0.08,1.44,3.17,7.03,0.83,0.09,15200000,13900000,12700000,11500000,10500000,9500000,8500000,7700000,6900000,6200000
"136","j.halvorsen","Esia",17,2003,0.13,0,0,0.01,0.02,0,0,10.06,0.08,10.1,19.93,20,1,0.04,20.08,0.1,0,0,0.06,0,0,0.03,0.08,0,15600000,14900000,14100000,13400000,12600000,11900000,11200000,10400000,9700000,9100000
"137","o.nairuba","Esia",31,1989,3.22,0.92,0.56,0,0.58,0.27,0.4,1.25,1,1.01,17.76,4.71,1,2.49,9.34,5.89,0.9,0,0.1,0.98,0.58,1.57,0.72,0.01,12900000,11800000,10800000,9800000,8900000,8100000,7300000,6600000,5900000,5300000
"138","t.astuti","Esia",25,1995,1.51,0.59,0.68,0.55,0.03,0.09,0,3.81,0,3.69,13.7,3.07,1,4.42,8.77,0.67,1.16,0.08,0.06,1.33,0.63,1.2,0.6,0.1,10600000,9800000,9100000,8500000,7800000,7200000,6600000,6e+06,5500000,5e+06
"139","e.peng","Galamily",27,1993,4.93,0.56,0.61,0.4,0.15,0.08,0.24,0.63,1,0.49,7.01,2.44,1,4.41,2.38,0.26,2.77,1.63,0,1.23,1.68,2.13,8.65,0.03,27300000,25300000,23300000,21500000,19700000,1.8e+07,16500000,1.5e+07,13600000,12300000
"140","f.saidi","Galamily",30,1991,4.05,2.31,1.42,1.57,0.5,0.29,0.82,2,1,1.23,12.85,4.72,1,6.85,5.23,0.84,1.25,0.52,0,0.67,3.22,5.46,3.33,0.23,15700000,14500000,13200000,12100000,1.1e+07,1e+07,9e+06,8100000,7300000,6600000
"141","p.kud","Galamily",31,1989,4.8,0.97,0.8,0.39,0.69,0,0.53,2.12,1,1.72,11.44,4.46,1,6.52,4.48,0.48,0.94,0.66,0.05,0.21,1.33,2.39,7.62,0.08,18500000,16900000,15400000,1.4e+07,12700000,11500000,10400000,9400000,8400000,7500000
"142","w.khoury","Galamily",28,1992,0.3,0,0,0,0,0.08,0,0,0,0.05,20.03,13.38,1,13.32,6.67,0,0,0,0,0,0,0.09,3.34,0,5300000,4900000,4500000,4100000,3800000,3400000,3100000,2800000,2600000,2300000
"143","z.iqbal","Galamily",28,1992,4.99,2.24,1.2,1.12,0.73,0.21,0.89,1.49,1,0.68,14.67,3.67,1,6.44,6.24,2.02,2.09,0.34,0,1.62,3.89,6,2.99,0.07,25300000,23300000,21500000,19700000,1.8e+07,16500000,1.5e+07,13600000,12300000,11100000
"144","z.mugeni","Galamily",28,1992,0.95,1,0,1.02,0,0,0,0.94,0.04,1.08,4.02,1,1,2.98,0.91,0,0.01,0,0,0.05,1.01,1.94,6.93,0.01,7100000,6500000,6e+06,5500000,5e+06,4600000,4200000,3800000,3400000,3100000
"145","e.morelli","Galamily",27,1993,3.49,1.62,1.15,0.24,0.59,0.82,0.49,1.46,1,0.77,22.52,5.14,1,5.07,8.77,8.52,2.06,0.56,0.07,1.41,1.46,3.05,0.82,0,18800000,17400000,16100000,14800000,13600000,12400000,11400000,10300000,9400000,8500000
"146","i.yldrm","Galamily",28,1992,0.46,0,0,0.04,0,0.05,0.09,0,0,0.05,20.01,2.5,1,2.51,9.99,7.57,0.1,0.1,0,0,2.52,2.43,0.01,0,6700000,6200000,5700000,5200000,4800000,4300000,4e+06,3600000,3200000,2900000
"147","i.zyu","Galamily",27,1993,0.69,0,0,0,0.05,0,0,0.01,0,0,8.58,2.88,1,1.36,1.45,5.65,0.03,0,0.07,0,0.05,0,0,0,7900000,7300000,6800000,6200000,5700000,5200000,4800000,4300000,3900000,3600000
"148","j.bintiibrahim","Galamily",31,1989,0.2,0.1,0.02,0.01,0.07,0,0.01,5.04,0,5.08,74.94,25.04,1,4.99,20.08,49.93,5.02,0,0,4.92,0,0,0.1,0,9100000,8300000,7600000,6900000,6300000,5700000,5100000,4600000,4200000,3700000
"149","k.jakobsson","Galamily",25,1996,4.37,1.27,0.72,0,0.6,0.62,0.33,1.1,1,0.83,11.05,2.48,1,0.96,5.51,4.86,0.01,0.08,0,0,0,1.34,1.16,0.06,3e+07,2.8e+07,2.6e+07,2.4e+07,22200000,20400000,18700000,17100000,15600000,14200000
"150","o.acheng","Galamily",18,2002,0.81,0,0,0.07,0.08,0.07,0,1.06,0.05,1.2,16.69,4.4,1,2.14,8.89,5.55,0,0,0,0,0.05,0,1.19,0,14500000,13800000,13100000,12300000,11600000,10900000,10200000,9500000,8900000,8200000
"151","p.purnomo","Galamily",26,1994,2.46,1.18,0.76,0.03,0.76,0.37,0.87,2.03,1,1.13,16.32,5.69,1,2.76,7.13,6.46,1.64,0.04,0.07,1.65,0.33,1.56,0.86,0.01,15300000,14200000,13100000,12100000,11200000,10300000,9400000,8600000,7800000,7100000
"152","y.atoo","Galamily",25,1996,2.67,0.32,0.03,0.27,0,0.09,0,1.43,0,1.44,14.86,2.98,1,4.03,4.48,6.37,1.9,0.06,0.08,1.84,0.65,1.18,0.81,0.03,16300000,15200000,14100000,13100000,12100000,11100000,10200000,9300000,8500000,7700000
"153","u.nishimura","Galamily",31,1989,5,0,0,0.08,0,0,0,0.09,0,0.05,0.29,0.01,0,0.22,0,0,0,0.07,0,0.03,0.03,0,0,0,21600000,19800000,18100000,16400000,14900000,13500000,12200000,1.1e+07,9800000,8800000
"154","f.pop","Galamily",25,1995,4.97,1.48,0.99,0.14,0.76,0.4,1.15,2.83,1,1.55,17.08,3.92,1,4.85,9.97,2.3,1.69,0.39,0,1.16,1.11,2.55,3.81,0.08,32900000,30600000,28400000,26300000,24300000,22400000,20500000,18800000,17200000,15600000
"155","i.kayange","Galamily",22,1998,1.46,3.58,0.73,0,2.86,0.78,0.68,4.35,1,3.65,39.23,9.94,1,10.72,22.1,6.44,1.41,0,0,1.46,1.51,5.04,1.46,0,12600000,11800000,1.1e+07,10300000,9600000,8900000,8200000,7600000,7e+06,6400000
"156","l.rahimi","Galamily",30,1990,2.61,0.79,0,0.29,0.03,0.34,0.37,1.12,1,0.72,18.6,4.81,1,4.04,10.45,4.15,1.43,0.83,0.06,0.7,0.27,1.21,0,0.02,1.1e+07,10100000,9200000,8400000,7700000,6900000,6300000,5700000,5100000,4600000
"157","l.uchida","Galamily",21,1999,0.08,0,0.09,0,0,0.02,0.07,0,0,0.09,1.04,0,0,0.02,0.92,0.04,0,0,0.06,0,0.09,0.06,0,0,9200000,8600000,8100000,7600000,7100000,6600000,6100000,5700000,5200000,4800000
"158","u.ajiambo","Galamily",27,1993,3.27,3.27,1.86,2.06,1.28,0.03,0.36,1.15,1,0.97,14.56,2.7,1,4.52,9.76,0.24,0.66,0,0,0.62,2.64,6.02,3.95,0,1.6e+07,14800000,13600000,12500000,11500000,10500000,9600000,8800000,7900000,7200000
"159","u.nambuya","Galamily",26,1994,2.04,0.48,0.52,0,0.43,0,0,0.96,0,1.03,11.01,4.04,1,0.4,6.58,4.06,0.5,0.09,0,0.55,2.08,2.43,0,0,13600000,12600000,11700000,10800000,9900000,9100000,8300000,7600000,6900000,6300000
"160","e.nabaasa","Giumle Lizeibon",28,1992,4.3,2.51,1.45,1.72,0.86,0.05,1.8,2.33,1,0.41,18.6,8.07,1,7.76,6.75,4.21,4.11,0.52,0.09,3.79,2.78,5.3,4.35,0.29,21300000,19600000,18100000,16600000,15200000,13900000,12600000,11400000,10400000,9300000
"161","n.barukh","Giumle Lizeibon",24,1996,0.53,1.74,1.71,1.68,0,0.09,0.09,0.08,0,0.01,3.26,1.62,1,1.61,1.66,0.07,0,0,0.06,0,0.03,1.62,1.72,0.04,8600000,8100000,7500000,7e+06,6400000,6e+06,5500000,5e+06,4600000,4200000
"162","u.ionescu","Giumle Lizeibon",35,1985,1.93,1.44,1.59,1.02,0.5,0,1,2.98,1,2.06,11.06,4.94,1,1.46,4.06,5.55,1.45,0.93,0.08,0.49,0.07,1.57,1.41,0,6e+06,5500000,4900000,4400000,4e+06,3600000,3200000,2800000,2500000,2200000
"163","v.inoue","Giumle Lizeibon",28,1992,4.29,0.97,0.47,1.01,0.08,0.1,0,0.17,0.04,0.13,12.69,5.75,1,6.5,4.16,1.92,0.91,0.03,0,0.96,2.02,2.97,2.75,0.09,20700000,19100000,17600000,16200000,14800000,13500000,12300000,11200000,10100000,9100000
"164","w.longwe","Giumle Lizeibon",28,1992,4.34,2.99,2.06,1.88,1.26,0.07,0.94,1.41,1,0.4,9.84,3.57,1,5.21,4.33,0.15,1.66,0.65,0,1.03,2.04,5.2,3.02,0,20800000,19200000,17600000,16200000,14800000,13500000,12300000,11200000,10100000,9100000
"165","x.kawooya","Giumle Lizeibon",33,1987,0.06,0.04,0,0,0,0,0,0.05,0,0,10.03,10.02,1,9.98,0.05,0.07,10.08,0,0.04,10,0,0,20.02,0,3300000,3e+06,2700000,2500000,2200000,2e+06,1800000,1600000,1400000,1300000
"166","y.takeuchi","Giumle Lizeibon",29,1991,3.72,1.09,0.76,0.7,0.26,0.07,0.58,1.33,1,0.82,7.6,3.18,1,3.62,3.58,0.35,2.07,1.36,0.06,0.73,2.13,3.25,4.26,0,16300000,1.5e+07,13800000,12600000,11500000,10500000,9500000,8600000,7800000,7e+06
"167","a.azmi","Giumle Lizeibon",23,1997,1.25,2.5,1.76,0,2.53,0,1.77,1.68,1,0.05,11.73,3.28,1,0.91,8.26,2.55,0.77,0.82,0,0.02,0.03,2.48,0.92,0.04,12400000,11600000,10900000,10100000,9400000,8700000,8e+06,7400000,6800000,6200000
"168","i.peeters","Giumle Lizeibon",28,1992,0.03,10.07,9.92,0.05,10.01,0,0.04,0,0,0.04,10.01,10.01,1,0.07,9.95,0,0,0.04,0.03,0,0,9.96,0.05,0.04,6500000,6e+06,5500000,5100000,4600000,4200000,3800000,3500000,3200000,2800000
"169","m.omony","Giumle Lizeibon",21,1999,2.72,2.99,2.3,1.42,0.77,0.72,1.02,1.85,1,0.66,21.42,7.48,1,5.51,8.07,7.72,0.72,0.1,0.04,0.77,0.42,3.43,0.7,0.01,22400000,21100000,19800000,18500000,17300000,16100000,14900000,13800000,12800000,11700000
"170","v.jankowski","Giumle Lizeibon",31,1989,2.45,0.47,0.35,0.03,0.52,0,0,0.01,0,0.06,13.35,2.54,1,0.8,5.41,7.01,0.38,0,0,0.48,0.48,0.91,0.45,0,10300000,9400000,8600000,7800000,7100000,6400000,5800000,5200000,4700000,4200000
"171","x.seidu","Giumle Lizeibon",26,1994,0.97,0.97,0.94,0.02,0.97,0,0.06,0.95,0,0.98,16.95,3.08,1,6.01,6.96,4.07,0.02,0,0.08,0.06,1.04,1.98,1,0.06,8200000,7600000,7e+06,6500000,6e+06,5500000,5e+06,4600000,4200000,3800000
"172","r.zamani","Giumle Lizeibon",23,1997,3.75,3.04,1.65,1.89,1.07,0,0.18,3.85,1,3.47,40.83,12.95,1,12.48,19.21,9.24,1.28,0.07,0.09,1.45,0.44,3.55,0.55,0,25300000,23700000,22100000,20600000,19100000,17700000,16300000,1.5e+07,13800000,12600000
"173","z.matsui","Giumle Lizeibon",26,1994,1.12,1.75,1.73,1.64,0,0.06,0.88,0.9,1,0,19.24,4.25,1,1.7,8.34,9.23,2.56,1.63,0,0.75,0.07,1.7,0,0.06,10200000,9500000,8800000,8100000,7500000,6800000,6300000,5700000,5200000,4700000
"174","z.testa","Giumle Lizeibon",24,1996,0.25,0.05,0.05,0.09,0,0,0,0,0,0,15.06,14.96,1,5.02,4.93,5.05,5.09,0,0,5.08,0.01,0.02,0,0.02,9200000,8600000,8e+06,7400000,6900000,6400000,5800000,5400000,4900000,4500000
"175","x.clement","Giumle Lizeibon",26,1994,4.29,0,0.07,0,0.07,0,0.01,0.28,0.02,0.19,0.31,0.32,1,0.23,0.04,0.01,0,0.02,0.08,0,0.03,0.05,0.31,0.18,25800000,23900000,22100000,20400000,18800000,17300000,15800000,14400000,13100000,11900000
"176","k.lawino","Giumle Lizeibon",23,1997,4.08,2.87,2.26,1.05,1.41,0.46,0.59,0.96,1,0.54,24.03,8.83,1,7.02,12.06,5.16,1.01,0.27,0.1,0.71,1.28,4.19,0.43,0.07,29500000,27600000,25800000,2.4e+07,22200000,20600000,1.9e+07,17500000,16100000,14700000
"177","q.roche","Giumle Lizeibon",25,1995,2.58,1.11,0.39,0.89,0.47,0.06,0,2.02,0.06,2.09,21.3,6.06,1,8.1,11.21,2.03,2.46,1.29,0.01,1.26,2.02,3.23,1.58,0,14400000,13400000,12400000,11500000,10600000,9800000,9e+06,8200000,7500000,6800000
"178","r.kirya","Giumle Lizeibon",26,1994,0.24,5,5,4.9,0,0.04,4.96,14.96,1,10.06,20.06,9.98,1,5.1,9.99,4.94,0,0,0.07,0.05,0,5.04,0.05,0,7400000,6900000,6300000,5900000,5400000,4900000,4500000,4100000,3800000,3400000
"179","w.isah","Giumle Lizeibon",26,1994,4.29,1.16,1,0.46,0.42,0.16,0.51,0.7,1,0.18,13.71,4.69,1,0.88,7.49,5.38,0.6,0.24,0,0.54,1.09,2.24,0.17,0,28400000,26300000,24400000,22500000,20700000,1.9e+07,17400000,15900000,14400000,13100000
"180","h.marroquin","Giumle Lizeibon",31,1989,0.21,3.35,3.39,0,3.3,0.08,0.09,0.05,0,0.04,20.09,16.65,1,13.36,6.64,0,6.62,0,0,6.6,0,3.37,0.06,0,4200000,3800000,3500000,3200000,2900000,2600000,2400000,2100000,1900000,1700000
"181","a.gautier","Greri Landmoslands",23,1997,4.02,1.1,0.72,0.47,0.54,0.07,0.2,1.04,1,0.67,6.35,2.44,1,2.98,2.68,0.58,0.76,0.58,0.01,0.18,1.72,2.67,5.78,0.07,2.8e+07,26200000,24500000,22800000,21200000,19600000,18100000,16600000,15300000,1.4e+07
"182","c.busingye","Greri Landmoslands",27,1993,2.91,4.08,2.33,0.71,2.41,1.04,1.99,3.42,1,1.46,14.86,5.1,1,4.84,6.96,3.15,1.36,0.32,0,1.1,0.07,4.23,0.59,0.02,1.5e+07,13900000,12800000,11800000,10800000,9900000,9e+06,8200000,7500000,6800000
"183","d.magoba","Greri Landmoslands",37,1983,3.93,1.56,0.94,1.35,0.31,0.1,0.43,1.26,1,0.75,6.44,2.01,1,3.57,2.83,0.29,1.18,0,0.03,1.21,2.22,3.7,2.74,0.04,8200000,7300000,6600000,5900000,5300000,4700000,4200000,3700000,3200000,2900000
"184","r.sanz","Greri Landmoslands",27,1993,3.97,1.44,1.33,0.79,0.57,0.19,0.15,0.98,1,0.82,10.51,5.16,1,3.93,5.05,1.43,1.73,0,0,1.68,0.47,2.02,0.71,0,21300000,19700000,18200000,16800000,15400000,14100000,12900000,11700000,10600000,9600000
