"","Player","Nation","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Performance.PK","Performance.PKatt","Standard.FK","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"110","v.kyomuhangi","Eastern Sleboube",32,1988,2.86,0.43,1.33,0.29,1,1.44,0.34,0.07,0,16,0.42,0.35,0.06,0.29,0.08,0.06,0.05,-0.04,12400000,9900000,7800000,6100000,4600000,3500000,2500000,1800000,1300000,9e+05
"111","w.ghosh","Eastern Sleboube",30,1990,0.35,0,0,0.05,0,0,0.06,0,0,0,0,0,0.06,0.08,0,0,0.03,0.02,4800000,4e+06,3200000,2600000,2100000,1600000,1200000,9e+05,7e+05,5e+05
"112","k.nakibuule","Eastern Sleboube",34,1987,0.91,0.04,0.05,0,0,0.06,0.06,0,0,0,0,0.04,0,0.09,0,0,0.06,0.05,2400000,1800000,1400000,1e+06,8e+05,6e+05,4e+05,3e+05,2e+05,1e+05
"113","w.radu","Eastern Sleboube",21,1999,2.09,0.08,0.01,0.02,0,0,0,0,0,0,0.01,0,0,0.06,0.08,0,-0.02,-0.08,15800000,15500000,14900000,1.4e+07,1.3e+07,11800000,10600000,9300000,8e+06,6800000
"114","f.kou","Eastern Sleboube",19,2001,0.57,0.02,0,0.02,0,0,0.04,0,0,0,0,0,0.03,0.04,0,0,-0.01,0,11300000,11500000,11400000,11200000,10700000,10100000,9400000,8500000,7600000,6700000
"115","p.isa","Eastern Sleboube",24,1996,0.66,0,2.81,0,0.02,3.03,0,0,0,13.8,0.04,0,0.04,0.54,0.65,0.24,-0.66,-0.6,8900000,8300000,7500000,6700000,5900000,5100000,4300000,3600000,2900000,2400000
"116","t.jakobsson","Eastern Sleboube",28,1992,2.3,0.08,1.74,0,0,1.77,0,0,0,16.06,0,0,0,0.18,0.1,0.15,-0.11,-0.16,15300000,13200000,11200000,9300000,7600000,6100000,4800000,3700000,2800000,2100000
"117","d.rahmawati","Eastern Sleboube",25,1995,1.82,0.56,1.07,0.53,1,1.04,0.6,0.4,0.92,16.71,0.1,0,0.59,0.13,0.21,0.07,0.5,0.34,29900000,27200000,24300000,21400000,18400000,15600000,1.3e+07,10600000,8500000,6700000
"118","l.prasad","Eastern Sleboube",24,1996,3.03,0.1,1.72,0.26,1,1.61,0.3,0,0,20.66,0,0,0,0.14,0.08,0.08,-0.14,-0.09,24900000,2.3e+07,2.1e+07,18800000,16500000,14200000,12100000,1e+07,8200000,6600000
"119","w.bwanali","Eastern Sleboube",26,1994,2.68,0.05,1.12,0,0,1.06,0,0.03,0,21.07,0.02,0.08,0,0.1,0.11,0.13,0.01,-0.14,18500000,16600000,14600000,12600000,10700000,8900000,7300000,5800000,4600000,3600000
"120","a.dickson","Esia",27,1994,3.73,0,0.34,0.28,1,0.33,0.17,0,0.01,8.07,0.01,0,0.02,0.07,0.09,0.35,-0.17,-0.16,32400000,28500000,24600000,20800000,17300000,14200000,11400000,9e+06,7e+06,5300000
"121","d.adu","Esia",26,1994,3.51,0.36,1.76,1.06,1,1.79,1.14,0.08,0.28,10.49,0,0.03,0,0.16,0.2,0.24,0.09,0.01,38500000,34400000,30200000,26100000,22100000,18400000,15100000,12100000,9500000,7400000
"122","d.svensson","Esia",27,1993,3.98,0.08,0.58,0.25,1,0.6,0.16,0,0,9.36,0.06,0,0,0,0,0.09,-0.05,-0.08,26400000,23200000,2e+07,16900000,14100000,11500000,9300000,7300000,5700000,4300000
"123","g.nisha","Esia",25,1995,4.05,0.06,0.29,0.22,1,0.3,0.28,0,0,7.54,0,0,0,0.09,0,0.14,-0.06,-0.08,33400000,30400000,27200000,23900000,20600000,17500000,14500000,11900000,9500000,7500000
"124","k.shumba","Esia",32,1988,3.78,0.07,1.26,0,0,1.28,0.09,0.04,0,8.76,0,0,0,0.11,0.12,0.08,-0.05,-0.11,10100000,8100000,6400000,5e+06,3800000,2800000,2100000,1500000,1100000,7e+05
"125","u.adjei","Esia",29,1991,0.23,0.08,3.41,0,0,3.18,0.01,0,0,16.03,0,0.1,0.05,0.05,0,0,-0.03,-0.09,8200000,6900000,5800000,4700000,3800000,3e+06,2300000,1800000,1300000,1e+06
"126","l.mitchell","Esia",25,1995,0.2,0,0.03,0,0,0.02,0.06,0,0,0,0,0,0,0.09,0.06,0,0.01,0.05,7800000,7100000,6300000,5600000,4800000,4100000,3400000,2800000,2200000,1800000
"127","z.braun","Esia",27,1994,0.31,0,0.02,0.09,0,0,0,0,0,0,0.08,0.06,0,0,0.05,0,0.03,-0.07,6800000,6e+06,5200000,4400000,3600000,3e+06,2400000,1900000,1500000,1100000
"128","q.gunther","Esia",24,1996,1.22,0.08,1.68,0.79,1,1.68,0.86,0.09,0,11.39,0,0.01,0.03,0.4,0.52,0.27,-0.35,-0.46,11100000,10300000,9300000,8300000,7300000,6300000,5400000,4500000,3600000,2900000
"129","y.nartey","Esia",25,1995,2.81,0,1.48,0.33,1,1.42,0.33,0.09,0.06,14.1,0.02,0,0.01,0.03,0,0.12,-0.13,-0.06,25700000,23400000,20900000,18400000,15900000,13500000,11200000,9200000,7400000,5800000
"130","l.tu","Esia",25,1996,1.28,0,0.84,0,0.04,0.87,0,0.07,0,26.62,0.03,0,0.74,0.17,0.12,0.1,0,-0.18,21300000,19400000,17400000,15300000,13200000,11200000,9300000,7600000,6100000,4800000
"131","u.musa","Esia",28,1992,0.14,0.03,0.02,0.05,0,0.07,0,0,0,0,0,0.08,0,0,0.07,0,-0.05,0.06,5400000,4600000,3900000,3300000,2700000,2100000,1700000,1300000,1e+06,7e+05
"132","h.alobo","Esia",21,1999,3.29,0.63,3.3,1.43,1,3.26,1.49,0.18,0.32,14.07,0.07,0,0.07,0.75,0.77,0.3,-0.15,-0.13,37200000,36400000,3.5e+07,3.3e+07,30600000,27800000,24900000,21900000,18900000,1.6e+07
"133","b.harahap","Esia",34,1986,3.91,0.1,0.07,0,0,0,0,0,0,0,0,0,0.04,0,0.07,0,-0.04,-0.1,5400000,4200000,3200000,2400000,1800000,1300000,9e+05,6e+05,4e+05,3e+05
"134","a.kuhn","Esia",30,1990,2.31,0.09,0.38,0,0,0.42,0,0,0,12.01,0.06,0,0,0.08,0.14,0.22,0.02,-0.01,11500000,9500000,7800000,6300000,4900000,3800000,2900000,2200000,1600000,1200000
"135","y.nagudi","Esia",31,1990,4.02,0.04,1.04,0.09,0.07,1.01,0,0.08,0,20.34,0.03,0,0.58,0.07,0.1,0.08,-0.12,-0.01,21700000,17700000,14300000,11200000,8700000,6600000,5e+06,3600000,2600000,1900000
"136","j.halvorsen","Esia",17,2003,0.14,0,0.03,0.08,0,0,0.08,0,0,0,0,0.07,0,0,0,0,-0.05,0.05,9200000,9600000,9900000,10100000,1e+07,9800000,9400000,8900000,8200000,7500000
"137","o.nairuba","Esia",31,1989,3.13,0,1.9,0.4,1,1.77,0.32,0.07,0.04,16.37,0.09,0.04,0.27,0.24,0.26,0.21,-0.37,-0.26,14300000,11700000,9400000,7400000,5800000,4400000,3300000,2400000,1700000,1200000
"138","t.astuti","Esia",25,1995,1.69,0.68,3.15,1.29,1,3.18,1.2,0.21,0.51,18.19,0,0,0,0.28,0.15,0.05,0.37,0.41,25300000,2.3e+07,20600000,18100000,15600000,13200000,1.1e+07,9e+06,7200000,5700000
"139","e.peng","Galamily",27,1993,5,0,0.2,0.02,0,0.23,0,0.06,0,13.94,0,0,0.05,0,0,0.03,0.06,-0.05,30500000,26800000,23100000,19600000,16300000,13300000,10700000,8500000,6600000,5e+06
"140","f.saidi","Galamily",30,1991,3.93,0.02,0.33,0,0.1,0.34,0.07,0,0,6.04,0,0,0.03,0.09,0.02,0.19,0.03,-0.04,20300000,16900000,13800000,11100000,8800000,6800000,5200000,3900000,2800000,2e+06
"141","p.kud","Galamily",31,1989,4.65,0.09,0,0,0,0,0,0,0,0,0.04,0.04,0.08,0,0,0,-0.03,-0.03,16100000,13200000,10600000,8400000,6500000,4900000,3700000,2700000,2e+06,1400000
"142","w.khoury","Galamily",28,1992,0.24,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-0.05,5700000,4900000,4200000,3500000,2800000,2300000,1800000,1400000,1100000,8e+05
"143","z.iqbal","Galamily",28,1992,5.07,0.07,0.58,0,0.07,0.61,0,0.1,0,23.59,0.01,0.03,0.23,0.05,0.12,0,0,0.06,27500000,23800000,20100000,16800000,13700000,1.1e+07,8700000,6700000,5100000,3800000
"144","z.mugeni","Galamily",28,1992,0.91,0,0.97,0.03,0.04,1.04,0,0,0,12.02,0,0.09,0.05,0.11,0.17,0.17,-0.2,-0.27,8300000,7200000,6100000,5100000,4100000,3300000,2600000,2e+06,1500000,1200000
"145","e.morelli","Galamily",27,1993,3.49,0.05,0.32,0.27,1,0.33,0.33,0,0.07,20.8,0.07,0.01,0,0.07,0,0,-0.04,0.03,19200000,16900000,14600000,12300000,10300000,8400000,6700000,5300000,4100000,3100000
"146","i.yldrm","Galamily",28,1992,0.3,0,0.01,0,0,0.09,0.09,0,0,0,0,0.09,0.07,0.09,0.05,0,0.05,-0.07,5900000,5100000,4300000,3600000,2900000,2400000,1900000,1400000,1100000,8e+05
"147","i.zyu","Galamily",27,1993,0.6,0,5.64,2.8,1,5.43,2.71,0.09,0,15.29,0,0,0.1,0.72,0.62,0.09,-0.79,-0.73,10600000,9300000,8e+06,6800000,5700000,4600000,3700000,2900000,2300000,1700000
"148","j.bintiibrahim","Galamily",31,1989,0.1,0.04,5.01,0.04,0.06,5.67,0.05,0.09,0,17.95,0,0.08,0,0.41,0.53,0.1,-0.4,-0.52,3500000,2800000,2300000,1800000,1400000,1100000,8e+05,6e+05,4e+05,3e+05
"149","k.jakobsson","Galamily",25,1996,4.48,1.15,3.45,1.92,1,3.43,1.74,0.17,0.49,17.09,0.2,0.18,0.31,0.57,0.36,0.18,0.6,0.62,135500000,123400000,110300000,96900000,83600000,70900000,5.9e+07,48200000,38700000,30600000
"150","o.acheng","Galamily",18,2002,0.92,0.03,1.01,0.01,0,1.09,0,0,0,11.29,0.04,0.04,0,0.05,0.16,0.02,-0.05,-0.17,1.1e+07,11400000,11500000,11500000,11200000,10800000,10200000,9400000,8600000,7700000
"151","p.purnomo","Galamily",26,1994,2.56,0.07,0.46,0,0,0.39,0,0,0,14.94,0,0,0.06,0,0.08,0.09,-0.1,0.1,18600000,16700000,14600000,12600000,10700000,8900000,7300000,5800000,4600000,3600000
"152","y.atoo","Galamily",25,1996,2.77,0.05,1.11,0.08,0,1.19,0.03,0,0,16.26,0,0.07,0,0.02,0,0.08,-0.09,-0.13,22500000,20500000,18300000,16100000,13900000,11800000,9800000,8e+06,6400000,5100000
"153","u.nishimura","Galamily",31,1989,5.01,0.06,0,0,0,0,0.09,0,0,0,0.08,0.09,0,0.03,0,0,-0.08,0.01,18300000,14900000,1.2e+07,9500000,7300000,5600000,4200000,3100000,2200000,1600000
"154","f.pop","Galamily",25,1995,4.92,0.08,2.1,0.13,1,2.26,0.18,0,0,12.83,0.05,0.01,0,0.14,0.17,0.01,-0.17,-0.19,36500000,33300000,29700000,26100000,22500000,19100000,15900000,1.3e+07,10400000,8200000
"155","i.kayange","Galamily",22,1998,1.37,0.05,0.69,0.04,0,0.67,0.09,0,0,33.05,0,0.07,0.01,0,0.09,0.05,-0.02,0.06,13800000,13300000,12500000,11600000,10600000,9400000,8300000,7200000,6100000,5e+06
"156","l.rahimi","Galamily",30,1990,2.72,0.01,0.81,0.32,1,0.78,0.34,0.07,0.01,23.24,0,0,0,0.13,0,0.09,-0.04,-0.1,1e+07,8300000,6800000,5500000,4300000,3300000,2500000,1900000,1400000,1e+06
"157","u.ajiambo","Galamily",27,1993,3.3,0.32,1.8,1.18,1,1.72,1.24,0.27,0.17,17.3,0,0.08,0.04,0.16,0.18,0.14,0.14,0.11,24900000,21900000,18900000,1.6e+07,13300000,10900000,8700000,6900000,5300000,4100000
"158","u.nambuya","Galamily",26,1994,2.02,0.03,1.47,0.52,1,1.55,0.54,0,0,19.26,0.06,0,0,0,0.08,0.07,-0.08,-0.09,16300000,14500000,12800000,1.1e+07,9300000,7800000,6400000,5100000,4e+06,3100000
"159","e.nabaasa","Giumle Lizeibon",28,1992,4.33,0.15,0.64,0.24,1,0.66,0.31,0.32,0.96,13.29,0,0,0,0.13,0.11,0.08,0.13,0.07,2.4e+07,20700000,17600000,14600000,1.2e+07,9600000,7600000,5900000,4500000,3300000
"160","n.barukh","Giumle Lizeibon",24,1996,0.61,0.03,0.01,0,0,0,0,0,0,0,0.06,0,0,0,0.04,0,0.02,0.01,10200000,9400000,8600000,7700000,6700000,5800000,4900000,4100000,3400000,2700000
"161","u.ionescu","Giumle Lizeibon",35,1985,1.97,0,0,0.07,0,0,0,0,0,0,0.01,0,0.1,0,0,0,-0.09,0.06,2800000,2100000,1600000,1200000,9e+05,6e+05,4e+05,3e+05,2e+05,1e+05
"162","v.inoue","Giumle Lizeibon",28,1992,4.28,0.09,0.56,0.02,0.04,0.53,0.09,0,0,24.68,0.07,0.04,0.17,0.03,0,0.11,-0.11,-0.14,30600000,26400000,22400000,18600000,15200000,12200000,9600000,7500000,5700000,4300000
"163","w.longwe","Giumle Lizeibon",28,1992,4.36,0.01,0.74,0,0.02,0.75,0.07,0,0,15.53,0,0,0,0,0.03,0.06,-0.03,-0.05,24400000,2.1e+07,17800000,14800000,12100000,9700000,7700000,6e+06,4500000,3400000
"164","x.kawooya","Giumle Lizeibon",33,1987,0.06,0.09,0,0,0,0.05,0,0,0,0,0.05,0.07,0,0.03,0,0,-0.08,0.01,2400000,1900000,1400000,1100000,8e+05,6e+05,4e+05,3e+05,2e+05,1e+05
"165","y.takeuchi","Giumle Lizeibon",29,1991,3.86,0.06,0.26,0.06,0,0.37,0.04,0,0,8.1,0,0.04,0.09,0.06,0.01,0.01,-0.07,-0.06,17200000,14600000,12200000,9900000,8e+06,6300000,4900000,3700000,2800000,2e+06
"166","a.azmi","Giumle Lizeibon",23,1997,1.1,0.9,5.09,1.77,1,4.72,1.68,0.15,0.53,11.68,0.07,0.04,0.09,0.36,0.34,0.15,0.53,0.51,45900000,43300000,40100000,36500000,32700000,28700000,24800000,2.1e+07,17500000,14300000
"167","i.peeters","Giumle Lizeibon",28,1992,0.17,0.1,10,10.01,1,12.82,3.75,0,0,8.59,0.06,0.05,0,0.98,0.96,0.14,-0.91,-1,15900000,13700000,11600000,9700000,7900000,6300000,5e+06,3900000,3e+06,2200000
"168","m.omony","Giumle Lizeibon",21,1999,2.63,0.38,1.04,0.74,1,1.12,0.82,0.28,0.52,12.07,0.06,0,0.01,0.19,0.13,0.01,0.33,0.29,26100000,25500000,24500000,23200000,21500000,19500000,17500000,15300000,13200000,11200000
"169","v.jankowski","Giumle Lizeibon",31,1989,2.39,0.46,3.29,1.16,1,3.22,1.15,0.14,0.33,17.63,0,0,0.01,0.5,0.54,0.18,-0.24,-0.15,8600000,7e+06,5600000,4400000,3400000,2600000,2e+06,1400000,1e+06,7e+05
"170","x.seidu","Giumle Lizeibon",26,1994,0.97,0,1.02,0.07,0.06,1.08,0.03,0.09,0,24.26,0,0.05,0,0.04,0,0,0.03,0.08,9700000,8600000,7600000,6600000,5600000,4600000,3800000,3e+06,2400000,1900000
"171","r.zamani","Giumle Lizeibon",23,1997,3.74,0.07,0.62,0.25,1,0.55,0.31,0.01,0,17.05,0.09,0,0.03,0,0,0.09,-0.07,-0.12,35400000,33400000,30900000,28100000,25200000,22100000,19100000,16200000,13500000,1.1e+07
"172","z.matsui","Giumle Lizeibon",26,1994,1.23,0.89,2.49,1.68,1,2.45,1.6,0.28,0.47,11.54,0,0,0,0.27,0.36,0.11,0.41,0.57,17500000,15600000,13700000,11800000,1e+07,8300000,6800000,5500000,4300000,3400000
"173","z.testa","Giumle Lizeibon",24,1996,0.29,0.09,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0.05,0,-0.02,-0.06,8200000,7600000,6900000,6200000,5400000,4700000,4e+06,3300000,2700000,2200000
"174","x.clement","Giumle Lizeibon",26,1994,4.31,0.03,0.04,0,0,0.08,0,0,0,0,0,0.01,0,0.09,0,0,-0.05,-0.04,26900000,24100000,21100000,18200000,15500000,12900000,10500000,8500000,6700000,5200000
"175","k.lawino","Giumle Lizeibon",23,1997,4.01,0,1.15,0.25,1,1.29,0.21,0,0,23.91,0,0.07,0.09,0,0.04,0.05,0.02,0.07,37200000,35100000,32500000,29600000,26400000,23200000,2e+07,1.7e+07,14100000,11600000
"176","l.abbasi","Giumle Lizeibon",33,1988,0.09,0.1,0,0,0,0,0.01,0,0,0,0.09,0,0,0,0,0,0.02,0.03,2500000,2e+06,1500000,1200000,9e+05,6e+05,5e+05,3e+05,2e+05,2e+05
"177","q.roche","Giumle Lizeibon",25,1995,2.49,0,0.42,0,0,0.46,0.05,0,0,30.67,0,0.06,0,0.1,0,0,-0.02,-0.07,15100000,13700000,12300000,10800000,9300000,7900000,6600000,5400000,4300000,3400000
"178","r.kirya","Giumle Lizeibon",26,1994,0.25,0,9.98,5.1,1,11.95,3.75,0,0,19.21,0.1,0.09,0,0.49,0.48,0.13,-0.45,-0.43,4.6e+07,41100000,36100000,31200000,26400000,2.2e+07,1.8e+07,14400000,11400000,8800000
"179","w.isah","Giumle Lizeibon",26,1994,4.37,0,2.86,0.07,0,2.73,0,0.02,0,19.42,0.1,0.08,0.03,0.17,0.11,0.07,-0.24,-0.23,41600000,37200000,32600000,28200000,23900000,19900000,16300000,13100000,10300000,8e+06
"180","h.marroquin","Giumle Lizeibon",31,1989,0.35,0.05,0,0,0,0,0.08,0,0,0,0,0.06,0,0,0.09,0,-0.02,0.07,3500000,2800000,2300000,1800000,1400000,1100000,8e+05,6e+05,4e+05,3e+05
"181","a.gautier","Greri Landmoslands",23,1997,3.95,0.07,0.23,0.21,1,0.21,0.21,0,0,8.07,0.03,0,0.05,0.01,0,0.01,-0.13,0.01,31700000,29900000,27700000,25200000,22500000,19800000,17100000,14500000,1.2e+07,9900000
"182","c.busingye","Greri Landmoslands",27,1993,2.97,0,0.09,0,0,0.09,0.09,0,0,0,0,0.07,0.04,0.09,0,0,-0.05,0,1.7e+07,14900000,12900000,10900000,9100000,7400000,6e+06,4700000,3600000,2800000
"183","d.magoba","Greri Landmoslands",37,1983,4.03,0,0.25,0.17,1,0.28,0.29,0.01,0,11.01,0.05,0.07,0.08,0.08,0,0.11,-0.04,-0.01,3600000,2600000,1900000,1300000,9e+05,6e+05,4e+05,3e+05,2e+05,1e+05
"184","r.sanz","Greri Landmoslands",27,1993,3.97,0.25,0.7,0.23,1,0.84,0.28,0.4,0.96,21.09,0.01,0,0,0.01,0.08,0.03,0.2,0.16,22300000,19600000,16900000,14400000,11900000,9800000,7800000,6200000,4800000,3700000
"185","d.gross","Greri Landmoslands",21,1999,0.43,0,7.45,2.4,1,7.49,2.6,0,0.04,18.86,0,0,0,0.31,0.25,0,-0.22,-0.29,31600000,30900000,29700000,2.8e+07,2.6e+07,23600000,21100000,18600000,1.6e+07,13600000
"186","k.nasution","Greri Landmoslands",25,1995,0.31,0,7.52,2.46,1,6.96,2.35,0.06,0,8.52,0.07,0.08,0.05,0.84,0.76,0.18,-0.67,-0.78,16100000,14700000,13100000,11500000,1e+07,8400000,7e+06,5700000,4600000,3600000
"187","l.dewit","Greri Landmoslands",35,1985,4,1.17,2.99,0.93,1,3.02,1.09,0.13,0.44,19.64,0.73,0.35,0.75,1.27,0.68,0.29,0.06,-0.09,2.8e+07,21300000,15900000,11700000,8400000,6e+06,4200000,2900000,1900000,1300000
"188","b.sugawara","Greri Landmoslands",26,1994,2.6,0,0,0.02,0,0,0,0,0,0,0.08,0.02,0,0.06,0.09,0,0.07,0.02,15700000,1.4e+07,12300000,10600000,9e+06,7500000,6100000,4900000,3900000,3e+06
"189","e.alowo","Greri Landmoslands",24,1996,3.51,0.33,2.14,0.75,1,2.25,0.85,0.15,0.38,13.3,0,0,0.03,0.44,0.46,0.14,-0.08,-0.08,26400000,24500000,22300000,19900000,17500000,15100000,12800000,10700000,8700000,7e+06
"190","i.asante","Greri Landmoslands",27,1993,0.55,0,0.02,0,0,0,0.07,0,0,0,0.02,0,0,0,0.07,0,-0.03,-0.09,6700000,5900000,5100000,4300000,3600000,2900000,2400000,1900000,1400000,1100000
"191","e.miyazaki","Greri Landmoslands",32,1988,4.05,0,0,0,0,0,0.06,0,0,0,0,0.05,0.02,0,0.05,0,-0.09,-0.07,9200000,7400000,5800000,4500000,3400000,2600000,1900000,1400000,1e+06,7e+05
"192","c.ji","Greri Landmoslands",26,1994,2.38,0.07,1.83,0.46,1,1.82,0.34,0.04,0,25.92,0.03,0,0,0.03,0.02,0.04,-0.14,-0.13,16900000,15100000,13300000,11400000,9700000,8100000,6600000,5300000,4200000,3200000
"193","i.adoch","Greri Landmoslands",25,1995,1.31,0,3.54,0,0,3.67,0,0.05,0,19.86,0.07,0.01,0,0.09,0.15,0.09,-0.04,0,19800000,1.8e+07,16100000,14100000,12200000,10300000,8600000,7e+06,5700000,4500000
"194","i.mwale","Greri Landmoslands",28,1992,1.59,0.1,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.08,0,-0.04,0.02,8400000,7300000,6200000,5100000,4200000,3400000,2700000,2100000,1600000,1200000
"195","o.contreras","Greri Landmoslands",34,1986,1.79,0,1.72,0.01,0.09,1.75,0.04,0.09,0,25.18,0,0.07,0,0.03,0.16,0.07,0,-0.16,2900000,2300000,1700000,1300000,9e+05,7e+05,5e+05,3e+05,2e+05,2e+05
"196","q.kaddu","Greri Landmoslands",28,1992,0.13,0.06,0.01,0.08,0,0,0.08,0,0,0,0.03,0,0.1,0,0,0,0.04,-0.01,6500000,5600000,4700000,3900000,3200000,2600000,2e+06,1600000,1200000,9e+05
"197","s.nyarko","Greri Landmoslands",23,1997,0.15,0.08,0,0,0,0.02,0,0,0,0,0,0,0.09,0.04,0,0,-0.05,-0.06,9600000,9e+06,8400000,7600000,6800000,6e+06,5200000,4400000,3600000,3e+06
"198","x.durand","Greri Landmoslands",23,1997,2.42,0,1.64,0.42,1,1.63,0.48,0.02,0.04,31.04,0.08,0,0,0,0,0.1,-0.09,-0.1,26400000,24900000,23100000,2.1e+07,18800000,16500000,14300000,12100000,10100000,8200000
"199","z.musenero","Greri Landmoslands",29,1991,2.5,0,0.33,0.47,1,0.45,0.44,0,0.02,7.07,0,0.06,0,0.15,0.05,0.14,-0.11,-0.08,12400000,10500000,8700000,7200000,5700000,4500000,3500000,2700000,2e+06,1500000
"200","a.alghamdi","Ledian",34,1986,2.52,0.02,0.31,0,0.02,0.32,0.02,0,0,27.39,0,0,0,0.07,0.06,0.07,-0.1,0.09,3900000,3e+06,2300000,1700000,1300000,9e+05,6e+05,5e+05,3e+05,2e+05
"201","h.mvula","Ledian",35,1985,2.83,0,0.01,0.09,0,0.06,0,0,0,0,0.04,0.01,0,0,0.06,0,-0.05,-0.09,3100000,2300000,1700000,1300000,9e+05,7e+05,5e+05,3e+05,2e+05,1e+05
"202","o.patra","Ledian",23,1997,0.04,0.07,9.98,0,0,12.82,0,0.01,0,12.01,0.04,0.02,0.06,0.96,0.97,0.1,-1.04,-1,12600000,11900000,1.1e+07,1e+07,8900000,7900000,6800000,5700000,4800000,3900000
"203","w.hagen","Ledian",25,1995,2.97,0.07,0.07,0,0,0.02,0.03,0,0,0,0.08,0.01,0,0,0.09,0,-0.07,-0.08,18800000,17100000,15300000,13400000,11600000,9800000,8200000,6700000,5400000,4200000
"204","z.wu","Ledian",25,1995,3.04,0.27,0.24,0.24,1,0.26,0.3,1.01,1.05,15.9,0.03,0.05,0,0.06,0,0,0.36,0.34,15400000,1.4e+07,12500000,1.1e+07,9500000,8e+06,6700000,5500000,4400000,3500000
"205","d.mumbere","Ledian",29,1991,2.58,0,0.42,0,0.06,0.39,0.04,0,0,13.09,0.08,0,0.02,0,0.08,0.13,0,0.05,14300000,12100000,10100000,8200000,6600000,5200000,4100000,3100000,2300000,1700000
"206","f.tayebwa","Ledian",31,1989,0.37,0,2.55,0.01,0,2.58,0,0,0,22.34,0,0,0.04,0.2,0.25,0,-0.3,-0.27,3400000,2800000,2200000,1800000,1400000,1e+06,8e+05,6e+05,4e+05,3e+05
"207","m.filipovi","Ledian",18,2002,0.24,0,0.09,0,0,0,0,0,0,0,0.08,0,0,0.06,0.03,0,0.02,0.02,10300000,10600000,10800000,10700000,10500000,10100000,9500000,8800000,8e+06,7200000
"208","p.mukalazi","Ledian",24,1996,1.93,0.04,1.47,0,0.06,1.42,0.02,0,0,22.49,0.08,0.06,0.09,0.08,0.01,0.01,0.05,0.02,20900000,19300000,17600000,15700000,13800000,11900000,10100000,8400000,6900000,5500000
"209","v.namayanja","Ledian",26,1994,2.6,0,0.79,0.09,0,0.75,0,0,0,20.91,0.04,0,0.08,0.09,0.06,0.11,0.01,-0.08,20200000,18100000,15900000,13700000,11600000,9700000,7900000,6400000,5e+06,3900000
"210","b.taremwa","Ledian",25,1995,1.11,0.01,0.85,0.09,0.04,0.8,0,0,0,6.95,0.02,0,0,0,0.07,0.04,0.09,0.04,12300000,11200000,1e+07,8800000,7600000,6500000,5400000,4400000,3500000,2800000
"211","z.apili","Ledian",32,1988,0.62,0,3.34,0,0,3.16,0,0,0,23.12,0.01,0,0.07,0.21,0.11,0,-0.11,-0.08,4600000,3700000,2900000,2300000,1700000,1300000,9e+05,7e+05,5e+05,3e+05
"212","m.janssens","Ledian",32,1989,3.09,0,0.05,0,0,0.01,0.05,0,0,0,0,0.02,0,0,0.08,0,0.08,0.05,6800000,5500000,4300000,3300000,2500000,1900000,1400000,1e+06,7e+05,5e+05
"213","b.namazzi","Ledian",33,1987,3.08,0,1.67,0.38,1,1.65,0.34,0,0,19.26,0,0,0,0.16,0.11,0,-0.2,-0.01,5800000,4600000,3500000,2700000,2e+06,1500000,1100000,8e+05,5e+05,4e+05
"214","c.lawal","Ledian",28,1992,1.09,0,0,0.08,0,0,0,0,0,0,0,0,0.05,0,0,0,0.03,0,8e+06,6900000,5900000,4900000,4e+06,3200000,2500000,2e+06,1500000,1100000
"215","e.mohammad","Ledian",24,1996,1.45,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.01,13100000,12100000,1.1e+07,9800000,8600000,7500000,6300000,5300000,4300000,3500000
"216","m.delgado","Ledian",26,1994,0.41,0,0,0.04,0,0,0.06,0,0,0,0.05,0,0.09,0.06,0,0,0.01,-0.02,9e+06,8100000,7100000,6100000,5200000,4300000,3500000,2800000,2200000,1700000
"217","m.yanti","Ledian",23,1997,0.24,0,0,0.02,0,0.03,0.01,0,0,0,0,0,0,0,0.04,0,-0.02,0.04,9100000,8600000,7900000,7200000,6500000,5700000,4900000,4100000,3500000,2800000
"218","x.akao","Ledian",33,1987,2.72,0.07,1.44,0,0,1.33,0.04,0.04,0,25.17,0,0,0,0.11,0,0.13,-0.05,0,7300000,5700000,4400000,3400000,2500000,1900000,1300000,1e+06,7e+05,5e+05
"219","a.pinto","Leoneku Guidisia",27,1993,0.17,0.01,5.09,0.04,0,4.34,0.04,0,0,29.51,0,0.05,0.07,0.09,0.02,0,0.07,-0.1,12800000,11200000,9700000,8200000,6800000,5600000,4500000,3500000,2700000,2100000
"220","k.appiah","Leoneku Guidisia",32,1988,3.02,0,0.38,0.05,0,0.33,0,0.04,0,5.92,0.09,0.04,0,0.02,0.08,0,0.04,-0.09,6900000,5500000,4300000,3400000,2600000,1900000,1400000,1e+06,7e+05,5e+05
