"","Player","Nation","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","League","Year","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9"
"224","h.turyatunga","Republic of Denand Landsa","Punctual Rustlers",24,1996,17.1,0.11,0.82,0.26,1,0.92,0.16,0,0.31,18.54,0,0.09,0.06,0.11,0.16,0.07,0.01,-0.07,"A",2021,402154842.033899,373638409.258812,340557844.585216,304516917.017827,267124130.637602,229877243.580372,194070713.183487,160733049.508854,130596497.231535,104097196.818605
"226","n.namwanje","Western Niasland","Punctual Rustlers",29,1991,19.62,0.35,1.88,0.91,1,1.86,1.02,0.24,0.23,19.56,0.25,0,0.03,0.23,0.1,0.14,0.03,0.19,"A",2021,698255513.899797,589492650.321677,488229005.783454,396688784.272969,316196768.884127,247255576.583933,189677547.154716,142746975.745064,105389918.54456,76333009.1870362
"231","b.kor","Cuandbo","Punctual Rustlers",30,1989,25,0.33,1.86,0.58,1,1.8,0.5,0.12,0.16,21.2,0.22,0.14,0.23,0.19,0.15,0.15,0.02,0,"A",2021,2014272688.7808,1668258886.15163,1355469629.13052,1080431648.29363,844862365.61218,648120553.666255,487760677.749646,360113115.034256,260826823.835714,185330428.188893
"233","k.vandenberg","Dosqaly","Punctual Rustlers",27,1993,27.1,0,0.71,0.1,1,0.74,0.27,0.1,0.45,16.71,0,0.08,0,0.04,0.18,0.08,0,0.08,"A",2021,3147235416.29975,2760774451.2983,2375821381.23104,2005754648.31027,1661204083.3006,1349737562.55295,1075862673.81611,841289576.355594,645379754.400768,485698015.024714
"234","x.muhwezi","Greri Landmoslands","Punctual Rustlers",27,1993,17.42,0.04,0.88,0.27,1,0.78,0.1,0.09,0.01,25.1,0.09,0,0.07,0,0,0,-0.06,-0.13,"A",2021,286753842.765132,251542251.595642,216468049.152977,182750184.51693,151357172.722604,122978545.164426,98025001.3731279,76652358.9715603,58802440.9164857,44253369.6432158
"235","r.gentile","Lefghau","Punctual Rustlers",29,1991,22.8,0,0.24,0.12,1,0.25,0.09,0.02,0.02,21.85,0,0,0.04,0,0,0.06,0.05,-0.09,"A",2021,801516830.952803,676669602.387993,560430612.726889,455352991.728209,362957437.654965,283820896.84064,217727956.989919,163857071.444049,120975476.519232,87621494.4282756
"236","g.chong","People's Land of Maneau","Punctual Rustlers",22,1998,15.87,0,0.5,0,0,0.47,0,0,0,24.55,0,0.1,0,0,0,0,-0.08,0.02,"A",2021,272884800.00958,263436067.421414,249489507.235171,231798434.002832,211275856.833959,188916724.680756,165718924.050107,142611636.690456,120397920.253923,99715843.5680108
"237","d.pellegrino","People's Land of Maneau","Punctual Rustlers",30,1989,3.06,0.01,0.34,0.03,0,0.44,0.01,0,0,30.5,0,0,0,0.08,0,0,0.01,0.04,"A",2021,5585486.08175788,4626005.62538971,3758655.31510366,2995987.56784391,2342764.71622329,1797208.66592063,1352538.06099534,998577.205105124,723260.858570891,513912.804825773
"238","m.vasquez","Lefghau","Punctual Rustlers",27,1992,5.02,0.15,1.18,0.46,1,1.21,0.31,0.12,0.52,20.4,0,0.03,0,0.12,0,0.02,0.17,0.2,"A",2021,22019315.6222966,19315480.402347,16622195.0174396,14033060.3911284,11622447.0637948,9443302.92014358,7527164.84388619,5885997.79208819,4515334.4534673,3398137.2459662
"239","i.mlambo","Redohrainbri","Punctual Rustlers",28,1992,1.52,0,1.79,0.54,1,1.87,0.71,0,0.01,12.36,0.01,0,0.06,0.49,0.46,0.23,-0.45,-0.5,"A",2021,7593134.68735224,6534373.61835007,5516555.39525896,4568915.92203384,3712269.61341351,2959013.97650901,2313852.57181349,1775029.24853235,1335846.33968485,986253.727566639
"240","d.iskandar","Byasier Pujan","Silver Heels",29,1990,19.72,0.05,0.93,0.32,1,0.88,0.38,0.08,0,20.37,0.2,0.09,0,0,0,0.02,-0.09,-0.03,"A",2021,430359843.578347,363325401.279152,300912995.854313,244493483.761445,194883376.196984,152392453.971809,116905055.382839,87980065.9357829,64955575.6549032,47046763.3117922
"241","f.hove","Coastpa Barleslands","Silver Heels",30,1989,34.63,0,0.21,0,1,0.13,0,0.18,0.58,9.68,0,0.03,0,0,0,0.02,0.02,-0.04,"A",2021,11242470419.8683,9311227464.23889,7565424133.19102,6030325940.61673,4715518513.03907,3617422900.92404,2722389586.13616,2009936919.72748,1455779978.55697,1034404064.7626
"242","c.boyko","Dosqaly","Silver Heels",30,1990,3.08,0,0.24,0,0.08,0.4,0,0.06,0,12.03,0.09,0.03,0,0,0.04,0,-0.08,0.05,"A",2021,5926709.38658909,4908613.24530996,3988275.57904628,3179015.64528765,2485886.71262795,1907002.06106659,1435166.05439239,1059581.35211534,767445.636189913,545308.286452779
"243","b.masika","People's Land of Maneau","Silver Heels",30,1989,25.06,0.01,0.11,0.09,1,0.16,0.11,0,0.04,24.89,0,0.06,0.05,0.07,0,0.09,-0.03,0.1,"A",2021,1268599156.72005,1050677908.68161,853681647.997442,680461332.546077,532098603.396569,408189612.267251,307194148.995255,226801066.509422,164270056.686433,116722043.755308
"244","b.weiss","People's Land of Maneau","Silver Heels",34,1985,20.04,0,0.58,0.14,1,0.56,0.15,0.11,0.4,11.44,0.01,0.06,0,0,0.05,0.01,-0.05,0.08,"A",2021,158283696.591434,121424413.308845,91381231.1549888,67466651.7988129,48865514.1089224,34721377.6570053,24203188.685548,16551196.1740143,11103690.4916114,7307796.93117103
"246","k.machava","People's Land of Maneau","Silver Heels",31,1989,6.18,0.09,0.33,0.02,0,0.43,0,0,0,7.52,0,0,0.06,0,0.06,0.07,0.04,0.06,"A",2021,12841911.183652,10434124.304044,8316938.92510905,6503575.40527173,4989097.70873832,3754680.61614123,2772076.13142476,2007790.83739156,1426635.22921205,994462.891972929
"247","q.majawa","People's Land of Maneau","Silver Heels",29,1991,12.72,0,0.22,0.15,1,0.3,0.12,0,0,22.33,0.06,0,0.09,0.04,0,0.1,0.05,-0.06,"A",2021,86909200.5251337,73371901.7394701,60768002.1441406,49374339.9259407,39355805.7835738,30774958.5338389,23608440.8252168,17767171.6046978,13117481.1824415,9500878.50373211
"248","z.kayendeke","People's Land of Maneau","Silver Heels",20,1999,19.07,0.13,0.17,0.18,1,0.04,0.21,0.46,0.53,8.04,0,0,0,0.06,0,0.28,0.11,0.09,"A",2021,1070153614.32054,1073444729.83363,1056317355.44622,1019741993.90355,965755866.523108,897274999.537719,817833585.280845,731282999.299822,641485988.204021,552039347.444164
"249","z.mutandwa","People's Land of Maneau","Silver Heels",33,1987,14.9,0.12,0.3,0.07,1,0.35,0.04,0.22,0.42,9.28,0.04,0.08,0,0.03,0.05,0.1,0.06,-0.03,"A",2021,64310632.7046588,50288820.5530496,38578139.5250677,29033023.8327191,21435046.1777704,15525219.1045246,11031440.1795586,7689672.64999425,5258533.58404808,3527789.094101
"250","m.purnomo","Central Diasongo","Silver Heels",27,1992,28.94,0.45,2.02,0.57,1,1.98,0.73,0.23,0.5,16.29,0.07,0.08,0.04,0.21,0.29,0.12,0.03,0.11,"A",2021,6412213544.92371,5624833541.02172,4840525739.5585,4086547532.18622,3384556258.05915,2749970795.27972,2191974954.84223,1714053034.8546,1314904115.96016,989566708.151001
"251","d.morales","Dosqaly","Silver Heels",23,1997,2.55,0.31,1.67,0.79,1,1.66,0.79,0.25,0.48,11.88,0.06,0,0.03,0.05,0.01,0.14,0.37,0.39,"A",2021,28077817.3733691,26591350.5667202,24705782.1697326,22518423.4704522,20135319.154594,17662827.0013869,15199982.0279219,12832376.5614651,10628017.9185003,8635323.70543168
"252","f.diaz","Southern Ristan","Silver Heels",29,1990,20.14,0.52,3.45,1.64,1,3.59,1.6,0.18,0.27,11.4,0.06,0.08,0,0.32,0.33,0.18,0.15,0.1,"A",2021,1016315510.3321,858010444.346707,710620541.183376,577383144.430507,460226484.627448,359882124.087919,276076922.126175,207769165.605943,153395722.221026,111103198.818766
"253","x.nakanwagi","Southern Ristan","Silver Heels",26,1993,8.13,0.34,1.54,0.8,1,1.5,0.72,0.25,0.42,16.95,0,0.04,0,0.13,0.24,0.1,0.03,0.1,"A",2021,46110016.4214219,41230235.2377007,36167418.3874975,31124355.6562676,26276310.8061909,21762539.5220163,17682184.4737142,14094297.1393771,11021281.3939887,8454772.38651498
"254","w.markovi","Nancipenuaroe","Silver Heels",28,1991,23.34,0,1.02,0.38,1,1.14,0.53,0.09,0.15,16.78,0,0.06,0,0.09,0.19,0.17,-0.03,-0.03,"A",2021,1378791763.15457,1186537694.02545,1001718190.59636,829642025.228279,674088762.590928,537309591.605906,420158603.598131,322316909.683088,242568320.704964,179087896.098356
"257","j.agaba","Byasier Pujan","Silver Heels",23,1996,20.29,0.05,0.39,0.1,1,0.33,0,0.29,1,19.52,0.08,0,0.03,0.07,0,0.07,0.03,0.05,"A",2021,1023886741.77267,969681187.43152,900921979.523417,821157675.129211,734255303.736816,644093312.113963,554283114.909531,467945925.140898,387561700.162487,314896038.225986
"258","e.mutebi","Nancipenuaroe","Silver Heels",27,1992,15.9,0.17,1.05,0.72,1,1.18,0.55,0.03,0.29,13.42,0.02,0,0.08,0.04,0.06,0.1,-0.02,-0.06,"A",2021,323667677.238283,283923296.427917,244333990.401073,206275623.604841,170841388.056319,138809578.555901,110643764.002516,86519820.4282852,66372081.6567014,49950107.8146614
"259","v.mahagna","Ngoque Blicri","Silver Heels",32,1987,16.27,0.1,0.43,0,0,0.42,0.06,0,0,19.26,0.08,0,0,0,0,0,0,-0.05,"A",2021,91795551.4222151,73169340.5722013,57216041.6290515,43892229.1826106,33032285.9427127,24387696.5285793,17663798.2918603,12551007.0349769,8748915.27813271,5982889.8976716
"260","j.mukalazi","People's Land of Maneau","Silver Heels",22,1998,28.33,0.2,1.39,0.55,1,1.28,0.55,0.07,0.38,21.07,0.21,0.06,0.03,0.15,0.07,0.13,-0.01,0.13,"A",2021,9679626636.78801,9344466145.47048,8849761070.41467,8222232590.67849,7494266486.98794,6701155067.23128,5878294838.69733,5058645249.48409,4270691939.83261,3537068152.8499
"261","a.nyasulu","Rosvi","Silver Heels",29,1991,26.2,0,0.67,0.17,1,0.57,0.17,0.04,0.06,27.06,0.36,0.02,0.06,0.18,0.04,0.02,-0.07,0,"A",2021,1817424529.8084,1534335757.48337,1270766007.01524,1032504452.71962,822999249.668137,643558612.957904,493694099.209561,371542866.630733,274309646.461138,198680111.462061
"262","i.joseph","Southslands","Silver Heels",29,1990,9.15,0.04,0.19,0,0,0.13,0,0.01,0,28.07,0,0,0.08,0.1,0,0.08,-0.07,0.01,"A",2021,33234176.7773472,28057498.3795246,23237752.8899319,18880803.544948,15049704.7346327,11768379.0214289,9027894.5276443,6794186.55765025,5016139.67056014,3633146.70742849
"263","a.bruno","People's Land of Maneau","Silver Heels",29,1991,25.01,0.07,1.46,0.42,1,1.37,0.4,0,0.08,21.83,0.22,0,0.04,0.12,0.02,0.02,-0.01,0,"A",2021,1783498312.51402,1505694013.37947,1247044370.72322,1013230491.21758,807636162.552604,631545179.119646,484478215.406946,364607203.652296,269189054.921215,194971311.166379
"264","a.nakiranda","Dosqaly","Solemn Cougars",19,2000,25.11,0.03,0.35,0.06,1,0.39,0.16,0,0.02,8.81,0.1,0.03,0,0,0.09,0.04,0.03,-0.14,"A",2021,2526311466.8789,2583088566.77618,2591032513.08448,2549691228.64925,2461407269.26033,2331097987.9246,2165801957.34941,1974049851.71761,1765137947.75949,1548389969.1625
"265","q.sam","Giumle Lizeibon","Solemn Cougars",34,1986,7.84,0.01,0.47,0.07,0.08,0.45,0,0.04,0,26.45,0.02,0.07,0.01,0.06,0,0,-0.01,0.07,"A",2021,7519822.27014774,5768692.71442637,4341385.95389611,3205239.96857724,2321527.66931512,1649560.84914616,1149857.38396019,786322.636299066,527519.768856387,347182.5291684
"266","s.kasamba","Greri Landmoslands","Solemn Cougars",26,1993,10.76,0.08,0.72,0.33,1,0.59,0.33,0,0.07,19.79,0,0,0.08,0.11,0.12,0.13,-0.04,-0.07,"A",2021,85777641.4379205,76699871.5050889,67281603.5853049,57900083.9008441,48881352.503654,40484464.2612369,32893852.5148902,26219369.6764622,20502693.2751379,15728262.3276791
"267","r.navarro","Highhlaands","Solemn Cougars",32,1988,27.55,0.12,0.29,0.17,1,0.36,0.13,0.2,0.75,7.64,0,0.09,0.05,0.08,0.07,0.13,0,0.05,"A",2021,1948573259.26305,1553188779.06319,1214543046.93321,931714257.930599,701186801.354329,517685362.464208,374955043.84764,266424203.638036,185715997.065206,127000699.784417
"268","t.nagujja","Nancipenuaroe","Solemn Cougars",25,1994,8.04,0.2,0.34,0.22,1,0.46,0.19,0.42,0.91,10.72,0,0,0.02,0.15,0.11,0.21,-0.02,0.03,"A",2021,58310872.7990675,53148243.5002492,47523613.1333892,41688008.5590487,35875173.3699047,30287123.5666458,25084370.8041399,20381190.8769714,16245648.8733861,12703568.3930129
"269","f.omara","People's Land of Maneau","Solemn Cougars",19,2001,10.78,0.07,0.77,0.31,1,0.67,0.37,0.15,0.27,13.17,0.04,0.08,0.1,0.07,0,0.02,0.15,0.06,"A",2021,111340085.260682,113842376.536439,114192483.667278,112370482.62182,108479614.969758,102736599.239357,95451640.7618377,87000705.0518645,77793499.4069469,68240940.7721704
"270","y.deng","People's Land of Maneau","Solemn Cougars",22,1998,23.1,0.1,0.46,0.14,1,0.47,0.04,0.25,0.69,14.85,0,0,0,0.15,0.1,0.1,-0.06,-0.06,"A",2021,1801680357.8535,1739296539.07682,1647216498.17203,1530413879.81097,1394916687.67571,1247293920.78777,1094133972.92635,941571625.160194,794908943.408678,658358679.988659
"271","a.acheng","Southern Ristan","Solemn Cougars",24,1995,26.05,0.07,0.37,0.01,1,0.32,0.1,0.34,0.63,10.26,0,0,0,0.08,0,0.1,0.12,-0.02,"A",2021,3618891857.53234,3362279539.11858,3064595727.74289,2740272343.61577,2403783916.72662,2068608401.72319,1746394299.70113,1446396918.06794,1175205545.36456,936744901.674053
"273","m.happy","Varijitri Isles","Solemn Cougars",24,1996,20.24,0.1,0.5,0.11,1,0.4,0.06,0.17,0.29,10.25,0,0,0.06,0.09,0,0,0.01,0.06,"A",2021,802839208.156003,745910612.710533,679870442.17924,607920370.403228,533271524.062305,458913942.887683,387431808.38133,320878379.928373,260715469.432232,207813763.082986
"274","c.mwesige","People's Land of Maneau","Solemn Cougars",30,1989,19.35,0.02,1.1,0.44,1,1.1,0.45,0.15,0.16,20.92,0.07,0,0,0.08,0,0.13,0.06,0.05,"A",2021,446041354.434466,369419918.797988,300155739.905362,239251218.796225,187086662.082709,143520076.10702,108009920.68011,79743593.0468371,57757596.7864311,41039644.5663616
"275","l.musoki","People's Land of Maneau","Solemn Cougars",33,1987,31.66,0.41,2.21,0.84,1,2.27,0.88,0.05,0.27,14.01,0,0.23,0.22,0.6,0.35,0.19,-0.18,-0.14,"A",2021,5208542215.61812,4072910400.79023,3124457960.7715,2351395467.90388,1736032413.54138,1257393306.70246,893440469.450315,622789466.334668,425890603.355488,285716959.259387
"276","v.mudondo","People's Land of Maneau","Solemn Cougars",24,1996,0.23,0,4.93,0,0.09,4.76,0,0.01,0,26.02,4.91,0.01,0.08,0.47,0.43,0.07,-0.56,-0.42,"A",2021,24150836.4545103,22438322.6855995,20451716.4738869,18287329.883521,16041759.3369127,13804950.5664169,11654640.3643934,9652594.43822837,7842786.69932026,6251408.94244703
"277","h.mubaiwa","Rarita","Solemn Cougars",32,1988,0.27,0.06,5.07,0,0,4.45,0.02,0,0,11.07,0.03,0.08,0.01,0,0,0.05,-0.07,0.03,"A",2021,6632149.33806935,5286421.68519569,4133809.60992003,3171175.66385021,2386554.1407583,1761990.01894018,1276194.17645114,906799.422297285,632101.575421774,432258.629746428
"278","i.nyamande","Republic of Denand Landsa","Solemn Cougars",23,1996,16.16,0.69,3.57,1.56,1,3.52,1.58,0.25,0.38,17.19,0.15,0,0.08,0.43,0.5,0.2,0.19,0.34,"A",2021,675568510.964963,639803260.631829,594435395.411515,541806281.126417,484467414.193496,424977824.240577,365720351.006942,308754395.346736,255716252.593059,207770878.334441
"279","x.joly","People's Land of Maneau","Solemn Cougars",22,1997,21.63,0.49,2.55,1.24,1,2.51,1.11,0.25,0.45,16.81,0,0.04,0,0.23,0.3,0.08,0.05,0.08,"A",2021,1659016970.66401,1601572922.06004,1516784102.63679,1409230326.38879,1284462278.46627,1148528801.44527,1007496596.91436,867014672.401435,731965257.59917,606227524.279842
"282","o.nabirye","Coastpa Barleslands","Solemn Cougars",28,1992,16.11,0,0.21,0.18,1,0.27,0.04,0,0,26.04,0,0,0,0.05,0,0,-0.03,-0.06,"A",2021,161012211.901104,138561212.595275,116978405.209265,96883736.28117,78718574.902218,62745809.8692218,49065180.0528854,37639446.3239805,28326584.8386594,20913483.127821
"283","q.annan","Greri Landmoslands","Solemn Cougars",18,2001,0.81,0.01,1.05,1.04,1,0.98,1.12,0.06,0,21.94,0.03,0,0,0.17,0.14,0.08,-0.17,-0.03,"A",2021,9796801.87212862,10210701.1943462,10440179.6293425,10472287.0171771,10305196.1782632,9948375.12060959,9421698.52035139,8753614.47808565,7978601.78481233,7134233.60011909
"284","t.binmohamed","People's Land of Maneau","Solemn Cougars",22,1997,3.42,0.05,1.11,0.36,1,1.12,0.22,0.1,0,19.38,0,0.04,0,0.18,0.19,0.11,-0.13,-0.09,"A",2021,16405860.8398077,15837802.1133833,14999333.5522855,13935744.5009846,12701925.1563568,11357691.9466234,9963037.90608077,8573825.53223449,7238334.72959569,5994926.25841887
"285","h.leong","Southern Ristan","Solemn Cougars",23,1997,37.25,0.18,1.22,0.43,1,1.35,0.46,0.13,0.29,22.04,0.2,0.08,0.06,0.12,0.09,0.08,0.01,-0.05,"A",2021,57857033572.9722,54794026260.3396,50908631872.3797,46401369644.0687,41490754813.2566,36395947776.9842,31321019679.1206,26442341712.853,21900049471.368,17793912072.8277
"286","c.kawooya","Republic of Denand Landsa","Solemn Cougars",23,1996,24.16,0,0.69,0,1,0.64,0,0,0.93,18.87,0,0.01,0.08,0.01,0,0,0.09,0.05,"A",2021,2739100773.69633,2594090129.67002,2410145566.37411,2196760180.11424,1964279044.25653,1723077775.66252,1482817627.14006,1251848464.58933,1036804667.411,842409562.258223
"287","f.mtambo","Nganion","Solemn Cougars",27,1993,14.77,0.21,2,0.9,1,2.18,0.87,0,0.24,16.43,0,0.06,0.08,0.24,0.26,0.14,-0.13,-0.03,"A",2021,265933412.013966,233278440.447245,200750882.17879,169481181.650893,140367532.608367,114049401.412472,90907667.7977807,71086835.8856569,54532952.712612,41040250.6514088
"288","w.torok","People's Land of Maneau","Solemn Cougars",23,1996,23.3,0.25,3.13,1.13,1,3.24,0.96,0.09,0.29,23.87,0.5,0.03,0.1,0.13,0.19,0.1,0.12,0.24,"A",2021,3855848238.43012,3651715903.5807,3392776062.02236,3092392201.15163,2765127141.47459,2425586699.755,2087371078.28476,1762234432.30767,1459516016.65169,1185864885.97377
"289","x.boateng","Southern Ristan","Solemn Cougars",26,1994,7.99,0.12,1.04,0.25,1,1.04,0.18,0.18,0.55,16.06,0.08,0,0,0.12,0.12,0,0.01,0.03,"A",2021,37451293.8397953,33487857.4073472,29375756.4750661,25279700.1545987,21342040.4806289,17675883.1506411,14361753.4290636,11447613.8721775,8951661.26606669,6867101.54474927
"290","q.higenyi","Varijitri Isles","Solemn Cougars",23,1997,3.15,0.08,3.19,0.56,1,3.14,0.68,0,0.08,23.76,0.02,0,0.1,0.07,0.03,0.03,-0.08,-0.19,"A",2021,27701941.7748494,26235374.1859067,24375047.7491592,22216971.0538656,19865769.1736258,17426376.0841944,14996501.028446,12660590.5156934,10485741.4536642,8519723.28596069
"291","o.bintimohamad","Djipines","Somber Bombers",28,1991,13.97,0.09,0.21,0.07,1,0.23,0,0.23,0.97,6.89,0.03,0,0.04,0.05,0.09,0.09,-0.03,0.07,"A",2021,148757713.270373,128015439.886654,108075281.095036,89509999.8447869,72727373.0116128,57970281.1559163,45330872.1101813,34774740.9827357,26170673.2402779,19321776.2173469
"292","p.ferri","Highhlaands","Somber Bombers",22,1998,20.37,0.06,0.24,0,1,0.09,0,0,0.07,18.68,0,0,0,0.08,0,0.03,-0.05,0.09,"A",2021,854063040.674525,824490806.220697,780841465.549486,725472709.95344,661242035.842202,591263391.399795,518659918.641775,446339730.403255,376816201.77945,312086332.980549
"293","y.phe","Imaar Vircoand","Somber Bombers",31,1989,23.19,0.08,0.2,0.04,1,0.22,0.18,0,0,10.75,0,0.08,0.08,0,0.09,0.11,-0.11,-0.09,"A",2021,688029608.579906,559027885.967969,445595686.762758,348441316.597433,267300318.046113,201164094.48111,148519206.244461,107571180.348873,76434672.7137178,53280224.7676655
"294","v.abiria","Nganion","Somber Bombers",26,1994,9.25,0.05,0.03,0,0.08,0.01,0,0,0,22.81,0,0.1,0,0.03,0,0.09,-0.09,0.06,"A",2021,50515335.1101669,45169343.0483328,39622828.2205784,34097954.8064947,28786731.1454041,23841717.3126873,19371527.9995972,15440856.4211036,12074246.9027215,9262535.42140507
"295","x.heikkila","People's Land of Maneau","Somber Bombers",26,1993,18.2,0.06,0.8,0.24,1,0.76,0.15,0.16,0.65,9.46,0.07,0,0,0.07,0,0.11,0,0.03,"A",2021,630864070.363719,564100298.433756,494832284.810985,425834541.399964,359504976.919386,297748847.860574,241922595.907535,192834146.511652,150790023.089331,115675780.138686
"296","m.nabukwasi","Quewenia","Somber Bombers",28,1991,13.75,0.08,0.71,0.27,1,0.69,0.38,0,0,28.42,0.29,0.05,0.01,0.15,0,0.04,0.04,-0.12,"A",2021,120774578.466687,103934178.938589,87745006.493867,72672080.4060687,59046469.761891,47065366.3348265,36803583.8295239,28233189.3328091,21247651.3607008,15687115.1523845
"297","i.amoah","Slandsganiamayotteque","Somber Bombers",27,1993,4.7,0.07,0.35,0,0.08,0.41,0.09,0.05,0,23.27,0,0,0,0.01,0,0.09,0.02,0.03,"A",2021,16269973.6001581,14272121.8774999,12282065.3806593,10368965.412435,8587774.03170957,6977614.19312478,5561788.35867437,4349137.38149483,3336360.38530678,2510868.37710796
"298","f.kollar","Southslands","Somber Bombers",30,1989,21.01,0.06,0.45,0.08,1,0.46,0.14,0.14,0.58,10.45,0,0,0.08,0,0,0.01,0.03,-0.06,"A",2021,515935979.466902,427307974.349779,347190107.197648,276741855.168983,216403118.874974,166009654.26922,124935061.882076,92239404.2072501,66808205.0540899,47470551.7903502
"299","v.lao","Xikong","Somber Bombers",25,1994,14.29,0,0.41,0.31,1,0.48,0.24,0.06,0.38,22.76,0.05,0.1,0,0.07,0,0.03,-0.01,0.05,"A",2021,193869344.344766,176704868.678182,158004352.821346,138602399.491284,119276148.780087,100697254.321469,83399377.9831979,67762458.7424661,54012796.3165904,42236247.8380136
"300","k.najjuma","Ngoque Blicri","Somber Bombers",30,1989,15.05,0.02,0.77,0.13,1,0.72,0.01,0,0.09,22.1,0.16,0,0,0.09,0.05,0.12,-0.03,-0.05,"A",2021,135135055.660303,111921418.927817,90936775.7397708,72484818.8343784,56680767.9209523,43481603.8474359,32723258.7244689,24159542.1092735,17498548.013414,12433588.4949187
"301","s.mbewe","People's Land of Maneau","Somber Bombers",25,1995,18.19,0.19,1.67,0.42,1,1.54,0.34,0,0.35,22.88,0.19,0,0.09,0,0.05,0,0.08,0.13,"A",2021,631912152.401848,575964984.478114,515011132.97541,451770964.03051,388777545.82896,328220116.152437,271838132.162954,220869995.205867,176053323.401981,137667965.871045
"302","b.maturu","People's Land of Maneau","Somber Bombers",28,1992,23.18,0.51,1.94,0.76,1,1.92,0.6,0.15,0.53,13.02,0.09,0.18,0.2,0.49,0.32,0.24,-0.04,0.02,"A",2021,2048158934.12056,1762570566.22451,1488026050.32027,1232411428.25327,1001341144.02605,798159279.627879,624134565.279281,478793299.921639,360328866.521376,266030363.82194
"303","d.athieno","People's Land of Maneau","Somber Bombers",31,1989,4.48,0.14,3.15,0.5,1,3.29,0.39,0.17,0.41,13.41,0,0,0.04,0.19,0.25,0.13,-0.03,0.01,"A",2021,14103147.6447438,11458885.9476673,9133766.45700898,7142307.93591176,5479089.56806692,4123437.26187013,3044328.71438344,2204981.03549758,1566748.67043027,1092131.59880495
"304","h.mafabi","Dosqaly","Somber Bombers",23,1997,17.24,0.17,1.71,0.65,1,1.75,0.79,0.06,0.26,19.75,0.09,0.07,0,0.2,0.16,0.02,-0.07,0.1,"A",2021,507391366.29099,480529576.646075,446455662.977482,406928127.619658,363863293.243177,319183140.399482,274677320.754307,231892564.500321,192057824.898727,156048051.563283
"305","r.dewit","Lefghau","Somber Bombers",23,1996,21.99,0.12,2.06,0.86,1,2.05,0.85,0.02,0.14,14.31,0.03,0.09,0.05,0.35,0.3,0.12,-0.03,-0.2,"A",2021,1682476005.85638,1593404098.93314,1480417268.68394,1349346591.82886,1206546466.82032,1058390053.26716,910811716.999143,768940312.406778,636850966.72252,517444954.641368
"306","d.masereka","Ngoque Blicri","Somber Bombers",26,1994,10.28,0,1.25,0.66,1,1.2,0.54,0,0,21.21,0,0,0,0,0.16,0,-0.11,-0.11,"A",2021,58102359.4223917,51953439.4643526,45573879.7254933,39219211.7782603,33110282.1738858,27422564.3664,22280986.1587356,17759957.2013518,13887708.1932973,10653698.7440235
"307","r.wambi","People's Land of Maneau","Somber Bombers",29,1990,5.77,0.17,2.75,1.07,1,2.77,1.1,0.14,0.24,10.19,0.19,0,0.02,0.44,0.28,0.06,-0.13,-0.21,"A",2021,21919630.5633675,18505347.7669006,15326480.3844132,12452850.6066945,9926046.01224134,7761844.748182,5954355.78671813,4481111.7278464,3308399.33751194,2396245.11065456
"310","a.nassanga","People's Land of Maneau","Somber Bombers",28,1992,29.09,0.05,1.43,0.24,1,1.5,0.27,0,0.11,23.26,0.45,0.09,0.08,0.11,0.16,0,-0.11,-0.14,"A",2021,4346009029.70109,3740016201.2262,3157457433.30174,2615066197.38733,2124755838.64639,1693622198.26554,1324357407.65255,1015956315.76965,764585443.773803,564492503.039689
"311","m.ferrara","People's Land of Maneau","Somber Bombers",22,1997,15.79,0,1.06,0.39,1,0.87,0.29,0,0,18.66,0,0.06,0.01,0.1,0.02,0.18,-0.14,-0.16,"A",2021,451181742.740664,435559415.532738,412500478.831808,383250446.394532,349318867.456253,312350768.790821,273996034.060564,235790951.987211,199063280.478096,164867988.536888
"312","y.ferrara","People's Land of Maneau","Somber Bombers",20,1999,10.97,0.77,1.48,1.12,1,1.61,1.13,0.56,0.67,13.19,0.04,0,0.07,0.41,0.17,0.08,0.4,0.54,"A",2021,144444683.212182,144888903.67861,142577125.131549,137640341.813056,130353529.001354,121110279.242224,110387622.454725,98705400.5694158,86584990.3333872,74511871.5623457
"314","t.achan","Southslands","Somber Bombers",28,1992,15.89,0.09,0.65,0.15,1,0.71,0.06,0.13,1,17.56,0.07,0,0,0.17,0.12,0.19,0.09,0.06,"A",2021,300197985.721927,258339391.957659,218099491.971167,180634140.338906,146766244.283763,116985944.810204,91479199.2920813,70176577.5200186,52813284.2257323,38991983.4978574
"315","c.kavis","People's Land of Maneau","Somber Bombers",25,1995,21.69,0,0.55,0.11,1,0.52,0.18,0,0.06,20.24,0,0.05,0,0.08,0,0,-0.07,-0.07,"A",2021,965889674.833313,880373370.663016,787204255.962491,690540461.815756,594253830.846452,501690654.403852,415509725.654396,337603964.473473,269100834.107597,210428089.228433
