"","Player","Nation","Squad","mv0","mv1","mv2","mv3","mv4","mv5","mv6","mv7","mv8","mv9","trial"
"2804","j.vasquez","Nkasland Cronestan","Fighting Wave",15100000,12600000,4100000,5600000,6500000,1100000,6400000,6600000,10800000,4900000,13
"2805","a.amongin","Sobianitedrucy","Fighting Wave",3600000,6500000,1900000,1400000,3700000,1e+05,3500000,9e+05,7e+05,1200000,13
"2806","n.tkachuk","Sobianitedrucy","Fighting Wave",1e+06,3100000,3200000,8e+05,5e+05,2e+05,2e+05,8e+05,6e+05,7e+05,13
"2807","v.razak","Lefghau","Flying Bombadiers",1e+06,2600000,3e+05,2900000,9e+05,5e+05,2e+05,3e+05,1700000,4e+05,13
"2808","u.mvula","Nkasland Cronestan","Flying Bombadiers",22500000,7100000,4900000,6300000,1900000,1e+06,7e+05,2200000,3300000,1300000,13
"2809","d.chiba","Sobianitedrucy","Flying Bombadiers",1600000,4500000,2800000,3700000,3300000,4e+06,2900000,2500000,3400000,5e+05,13
"2810","q.martinez","Sobianitedrucy","Hideous Spartans",2300000,3e+06,10500000,5300000,1.2e+07,8100000,3200000,7e+05,1600000,6100000,13
"2811","y.nanyondo","Sobianitedrucy","Hideous Spartans",12800000,2e+05,2600000,27600000,4900000,6600000,2600000,11500000,2900000,4e+05,13
"2812","a.kovaevi","Sobianitedrucy","Marvelous Heels",9800000,3300000,7e+06,7e+05,8300000,3e+05,2e+05,3e+06,6800000,2900000,13
"2813","h.okafor","Sobianitedrucy","Marvelous Heels",10500000,2900000,20600000,7400000,1200000,13900000,4100000,5700000,7300000,3500000,13
"2814","k.huang","Sobianitedrucy","Marvelous Patriots",5e+05,4100000,2e+05,9e+05,6e+05,5e+05,1e+05,3e+05,7e+05,1e+05,13
"2815","y.larsen","Imaar Vircoand","Mean Wolves",8200000,6800000,4900000,1800000,3200000,4500000,3200000,2300000,3e+06,1e+06,13
"2816","g.oluka","Lefghau","Mean Wolves",1700000,1400000,9e+05,1400000,1500000,1100000,3400000,1200000,1e+05,1e+06,13
"2817","k.jarvinen","Sobianitedrucy","Mean Wolves",2600000,1e+05,1100000,3e+05,4100000,1400000,3e+05,3e+05,3e+05,9e+05,13
"2818","h.saeed","Manlisgamncent","Mighty Monkeys",6200000,3200000,13800000,1.1e+07,3e+05,6200000,4200000,2e+06,3600000,1100000,13
"2819","c.hamed","Sobianitedrucy","Mighty Monkeys",11800000,32900000,10700000,11900000,3300000,6700000,2e+06,8e+05,6400000,27400000,13
"2820","d.kateregga","Manlisgamncent","Red Rangers",4100000,1600000,8400000,3800000,2e+06,6e+06,1e+05,11900000,8500000,2100000,13
"2821","g.daud","Sobianitedrucy","Red Rangers",5800000,1800000,3600000,2900000,15300000,1800000,8e+05,2200000,5e+05,8e+05,13
"2822","v.ssali","Sobianitedrucy","Red Rangers",7100000,7e+06,5200000,10300000,8e+06,1400000,3e+06,1200000,4200000,1100000,13
"2823","h.tuhaise","Lefghau","Remarkable Flames",7400000,8200000,8300000,1100000,8e+05,18600000,4300000,3600000,1e+06,1900000,13
"2824","p.solanki","Nganion","Remarkable Flames",1.1e+07,6300000,6e+06,4400000,4500000,10900000,2300000,1800000,4900000,6200000,13
"2825","g.boadi","Sobianitedrucy","Remarkable Flames",7500000,7e+05,2200000,2200000,1300000,1200000,1200000,2100000,1e+06,1900000,13
"2826","w.lotfi","Moaithe","Serious Ranchers",10200000,2e+06,12400000,3e+05,5e+05,1300000,10500000,7800000,1100000,4800000,13
"2827","j.turyasingura","Nganion","Serious Ranchers",3400000,6e+05,1900000,6100000,1700000,3400000,6500000,8e+05,3e+05,4200000,13
"2828","a.white","Sobianitedrucy","Spicy Pointers",2300000,11700000,1.2e+07,3900000,2e+06,5200000,2800000,2100000,1500000,8e+05,13
"2829","l.namaganda","Sobianitedrucy","Spicy Pointers",4400000,19700000,12200000,1100000,3200000,10200000,5700000,2600000,2300000,1700000,13
"2830","r.martin","Sobianitedrucy","Spicy Pointers",1400000,5e+05,4e+05,4600000,9e+05,9e+05,9e+05,1e+06,5e+05,2e+05,13
"2831","g.caputo","Nkasland Cronestan","Strange Pioneers",13500000,2300000,14500000,4800000,2900000,3.9e+07,7600000,8e+06,6400000,9100000,13
"2832","d.sorrentino","Sobianitedrucy","Strange Pioneers",2700000,1200000,2e+06,3500000,2400000,1800000,5e+05,2300000,2e+05,4e+05,13
"2833","e.binmohamed","Cabral Retrea","Sugar Bengals",18900000,4800000,7e+06,1400000,5800000,3600000,5700000,6500000,6e+06,8e+05,13
"2834","j.koval","Saintu","Sugar Bengals",8800000,9100000,2200000,1400000,1600000,7800000,1100000,4100000,2300000,2e+05,13
"2835","a.berkowitz","Sobianitedrucy","Sugar Bengals",6e+05,2e+05,2e+05,2e+05,2e+05,2e+05,2e+05,2e+05,2e+05,1e+05,13
"2836","m.nyamahunge","Loco Phirema","Wet Flames",9e+05,2e+06,3400000,1900000,3600000,1600000,1800000,4400000,3300000,2200000,13
"2837","a.whang","Rosvi","Wet Flames",4200000,10200000,4300000,3500000,1800000,4200000,3500000,7600000,2600000,4300000,13
"2838","v.guillaume","Sobianitedrucy","Wet Flames",8700000,1800000,5500000,1e+06,2700000,3900000,1300000,1800000,4e+05,4e+05,13
"2839","x.arnaud","Imaar Vircoand","Big Foxes",7200000,6700000,3e+05,4700000,16900000,3300000,5900000,3400000,5600000,1300000,13
"2840","g.chandiga","Nganion","Big Foxes",9e+05,1700000,1700000,1e+06,6e+05,1e+05,4e+05,4e+05,7e+05,1e+05,13
"2841","i.friedrich","Nganion","Big Foxes",2700000,6e+05,1100000,1200000,5100000,1e+06,9e+05,3900000,1100000,1100000,13
"2842","k.kravchenko","Greri Landmoslands","Deferred Dolphins",20100000,2800000,5400000,9500000,12400000,17700000,6200000,4300000,3200000,15800000,13
"2843","e.kantono","Nganion","Deferred Dolphins",5200000,4e+06,3200000,4500000,2e+06,3800000,2700000,1e+05,8e+05,8500000,13
"2844","q.konig","Nganion","Deferred Dolphins",10600000,1600000,4e+05,6e+05,2200000,6500000,7e+05,6e+06,5900000,1900000,13
"2845","c.shevchenko","Nganion","Delta Colts",10800000,1e+06,9e+05,3900000,3100000,4e+06,9e+05,3800000,3800000,1200000,13
"2846","f.dauda","Nganion","Delta Colts",6e+05,2800000,1900000,2100000,2200000,3e+05,1e+06,7e+05,2e+05,4e+05,13
"2847","w.abeja","Esia","Festive Governors",8500000,3500000,16300000,10900000,8100000,1100000,2900000,38100000,8700000,1800000,13
"2848","g.kyobutungi","Lefghau","Festive Governors",2100000,1200000,1800000,2e+05,2600000,4e+05,4e+05,1e+05,1e+06,2e+05,13
"2849","b.brandt","Nganion","Flying Penguins",16200000,15200000,22100000,5500000,9e+05,3300000,16200000,2300000,2100000,4600000,13
"2850","v.awio","Nganion","Flying Penguins",1e+06,3e+06,10300000,3100000,2100000,4200000,8100000,8e+05,6300000,2200000,13
"2851","f.degroot","Nganion","Hideous Spiders",5e+06,3500000,4200000,1e+06,15800000,1400000,5e+06,1300000,19400000,6800000,13
"2852","j.martin","Nganion","Hideous Spiders",4300000,2500000,9e+05,3500000,2100000,2800000,2e+06,1100000,1e+05,1400000,13
"2853","i.ajiko","Nganion","Horrible Bison",10900000,18500000,29500000,1700000,4100000,7900000,7200000,12600000,15200000,4400000,13
"2854","e.lungu","Nganion","Mad Bees",1400000,12100000,2700000,5e+06,5e+05,3e+06,4600000,3600000,3400000,4e+05,13
"2855","k.nkhoma","Nganion","Mad Bees",4700000,3e+06,2200000,2800000,14100000,11700000,1200000,8e+05,2500000,2500000,13
"2856","r.martino","Nganion","Mad Bees",8e+05,2600000,7500000,5700000,2e+05,1300000,1600000,4100000,2900000,1400000,13
"2857","y.ruggiero","Southern Ristan","Mad Kingsmen",1400000,2600000,2100000,2.8e+07,6500000,7300000,12100000,18600000,4900000,1600000,13
"2858","l.sakurai","Nganion","Orange Giants",12100000,2400000,2500000,3600000,8e+05,1e+06,2800000,6100000,2200000,2e+05,13
"2859","m.murmu","Rosvi","Orange Giants",32700000,6800000,16600000,1e+06,6e+05,2e+06,7500000,2800000,5300000,2e+06,13
"2860","f.krklis","Imaar Vircoand","Plane Janes",1900000,1400000,1400000,2700000,5e+05,2e+05,3200000,1700000,1100000,4e+05,13
"2861","g.leung","Nganion","Plane Janes",4400000,9700000,4400000,6600000,7600000,3900000,9100000,1e+05,4e+06,1700000,13
"2862","s.nuwagira","Saintu","Polar Kangaroos",5900000,20100000,10700000,15900000,13700000,20900000,4500000,11300000,17900000,4700000,13
"2863","l.antwi","Nganion","Punctual Leopards",14300000,4300000,7200000,7e+05,6900000,3800000,1500000,5200000,2100000,7500000,13
"2864","z.fabre","Nganion","Punctual Leopards",5600000,7e+06,5100000,14100000,2e+05,8400000,3100000,7400000,2900000,1900000,13
"2865","w.kong","Imaar Vircoand","Rabid Greyhounds",6700000,9e+05,25800000,8300000,8e+05,2600000,2100000,5400000,2800000,4600000,13
"2866","x.hosseinzadeh","Nganion","Rabid Greyhounds",2e+06,7800000,5800000,2200000,7e+05,3e+06,4e+05,2500000,3500000,1600000,13
"2867","n.mucunguzi","Biarizea","Running Bigfoots",1900000,5800000,1700000,13800000,2700000,6900000,7400000,4700000,3200000,2e+05,13
"2868","u.nishimura","Galamily","Running Bigfoots",3200000,6900000,1e+06,3900000,3500000,2600000,2200000,1600000,4e+05,9e+05,13
"2869","g.alali","Nganion","Sassy Knights",4400000,4e+05,1.8e+07,11500000,5400000,4300000,16400000,5600000,3600000,10300000,13
"2870","i.kisitu","Nganion","Sassy Knights",1400000,5400000,1200000,2900000,2500000,5700000,1700000,7100000,1700000,4200000,13
"2871","m.sseguya","Nganion","Sassy Knights",2600000,2500000,1600000,3600000,3e+05,1e+05,8e+05,1e+05,3e+05,2e+05,13
"2872","c.ismail","Nganion","Screaming Ramblers",7900000,7600000,9900000,2700000,5e+06,5900000,6200000,1100000,5300000,2700000,13
"2873","m.ategeka","Nganion","Screaming Ramblers",5e+06,5e+06,7600000,1100000,10300000,5700000,7e+05,8200000,11900000,4500000,13
"2874","c.musana","Nganion","Serious Magicians",24600000,23800000,14900000,1700000,1600000,17900000,8900000,7400000,19700000,7100000,13
"2875","o.herrmann","Nganion","Serious Magicians",2300000,4400000,1200000,2100000,1500000,5200000,3100000,1e+06,1800000,4700000,13
"2876","o.nabunya","Byasier Pujan","Swift Bison",14700000,4700000,8e+06,1600000,1700000,4600000,1100000,4700000,2100000,3400000,13
"2877","g.taruvinga","Nganion","Swift Bison",4700000,7100000,6700000,3800000,1300000,2800000,5500000,8e+06,1500000,6e+05,13
"2878","k.jao","Nganion","Ultimate Penguins",2700000,13200000,9500000,3e+05,1e+06,1300000,5700000,1800000,1e+05,1100000,13
"2879","o.noor","Cabral Retrea","Black Coyotes",2200000,1600000,3e+05,2e+05,1e+06,1e+06,3e+05,3e+05,7e+05,2e+05,13
"2880","a.khainza","Sobianitedrucy","Black Coyotes",4800000,1.1e+07,3400000,22900000,14700000,8e+05,8400000,5e+06,10100000,1200000,13
"2881","y.tsua","Highhlaands","Educated Avengers",3700000,5600000,2e+06,6300000,3900000,1e+06,3400000,3500000,4400000,2800000,13
"2882","f.ithungu","Rarita","Educated Avengers",35900000,9400000,7e+06,1200000,1500000,5900000,4200000,3500000,4700000,1e+06,13
"2883","s.marchetti","Rarita","Educated Avengers",1600000,5e+06,2300000,2500000,1200000,9e+05,2100000,4100000,7e+05,3e+06,13
"2884","l.werner","People's Land of Maneau","Mad Wolverines",9800000,9800000,10700000,10400000,20700000,9200000,3400000,3700000,5e+06,1200000,13
"2885","x.tumushabe","Rarita","Mad Wolverines",4500000,5700000,2e+05,2e+05,5e+06,1800000,2400000,5e+06,2400000,4e+05,13
"2886","t.kamugisha","Lefghau","Marvelous Coyotes",14300000,33500000,36500000,12500000,6e+05,26800000,2300000,3400000,3400000,1e+07,13
"2887","c.baba","People's Land of Maneau","Marvelous Coyotes",6e+05,1600000,2300000,2300000,1100000,4e+05,2e+05,7e+05,4e+05,8e+05,13
"2888","m.bahri","Slandsganiamayotteque","Marvelous Coyotes",2400000,3800000,4700000,8e+06,1600000,5700000,9100000,1500000,4800000,4600000,13
"2889","a.omar","Rarita","Red Anchormen",3300000,6e+05,5200000,4e+05,8e+05,1800000,3500000,2200000,3e+05,3100000,13
"2890","f.akumu","Rarita","Red Anchormen",2900000,1200000,11300000,1300000,8200000,7500000,7200000,2600000,12100000,4800000,13
"2891","b.ampofo","Rarita","Serious Buffaloes",3800000,5e+05,8e+05,8e+05,4900000,2100000,6e+05,2200000,7e+05,1700000,13
"2892","n.irawan","Rarita","Serious Buffaloes",20400000,9700000,1400000,8800000,7600000,6200000,8500000,5700000,5600000,3e+06,13
"2893","w.nasiru","Rarita","Stacked Rocks",1300000,3800000,9700000,1.1e+07,3700000,1200000,1800000,2200000,2700000,3500000,13
"2894","g.leitner","Rarita","Strong Oaks",3600000,1700000,15400000,8e+05,1e+07,10100000,3400000,9500000,7600000,6800000,13
"2895","u.nyeko","Rarita","Strong Oaks",7200000,1600000,3800000,2e+06,1300000,6600000,2600000,2400000,5e+05,5100000,13
"2896","z.nyamahunge","Rarita","Strong Oaks",2900000,2300000,3e+05,4e+05,1500000,4e+05,7e+05,7e+05,8e+05,1e+05,13
"2897","e.miyazaki","Greri Landmoslands","Wild Hornets",4900000,9e+05,10900000,2300000,7e+05,5900000,10200000,3e+05,1900000,2200000,13
"2898","m.asiimwe","Rarita","Wild Hornets",5e+05,2e+05,1800000,2800000,2800000,1300000,4e+05,2400000,1100000,6e+05,13
"2899","s.kiconco","Nkasland Cronestan","Fanatical Outlaws",1e+06,3800000,2900000,3700000,3e+06,9e+05,1100000,5e+05,1300000,7e+05,14
"2900","r.chee","Southslands","Fanatical Outlaws",3e+05,1700000,1400000,1800000,7700000,1100000,1500000,4100000,1600000,1e+06,14
"2901","z.marini","Central Republic of Boekrainego","Fighting Cougars",6800000,2800000,9700000,8e+05,1e+06,4600000,1e+06,2800000,2e+05,7e+05,14
"2902","p.robinson","Nganion","Fighting Cougars",14900000,1.8e+07,1100000,2400000,3400000,8500000,9700000,13600000,9300000,1e+05,14
"2903","a.soong","People's Land of Maneau","Great Galactic Gorgons",25200000,5100000,13900000,17500000,2400000,20800000,3400000,9500000,4900000,4e+05,14
"2904","g.mwebaze","Nganion","Green Fleet",13400000,12100000,5400000,28700000,6e+05,1200000,4100000,1900000,9e+05,2e+06,14
"2905","p.kabugo","People's Land of Maneau","Green Fleet",7400000,1900000,5500000,8500000,9600000,5700000,2900000,6e+05,12700000,5e+05,14
"2906","e.wibowo","Coastpa Barleslands","Horrible Grizzlies",11100000,7200000,2800000,4600000,34100000,6500000,3e+06,2700000,2700000,4e+05,14
"2907","r.wanyama","Imaar Vircoand","Horrible Grizzlies",4e+05,1e+06,3e+05,1200000,2e+05,6e+05,2e+05,3e+05,5e+05,5e+05,14
"2908","j.nkrumah","Nganion","Horrible Grizzlies",6100000,2200000,7e+05,4500000,4700000,9e+05,6600000,3800000,3100000,2600000,14
"2909","s.tamale","Imaar Vircoand","Horrible Storm",16600000,11500000,1.6e+07,14800000,3900000,4100000,7800000,1500000,2800000,12100000,14
"2910","y.acola","Rarita","Marvelous Patriots",3200000,10100000,2600000,6800000,5e+05,2500000,4300000,5400000,3e+05,8e+05,14
"2911","z.marini","Central Republic of Boekrainego","Mighty Jays",4100000,6e+05,3200000,3900000,4100000,9e+05,8e+05,2e+05,1e+06,2e+05,14
"2912","x.adikini","Cuandbo","Mighty Jays",2500000,2100000,1500000,5200000,1200000,3900000,1100000,1300000,4e+05,1400000,14
"2913","v.kumwenda","Esia","Mighty Jays",51500000,5400000,2700000,6400000,6700000,20500000,12200000,4400000,7400000,3500000,14
"2914","u.nakazibwe","Lefghau","Old Mustangs",22900000,4100000,12800000,14900000,27500000,14500000,2500000,2500000,9100000,7600000,14
"2915","f.walker","Nganion","Old Mustangs",3100000,2400000,3300000,1200000,2e+05,6e+05,5e+05,4e+05,3e+05,1100000,14
"2916","p.tetteh","Southslands","Old Mustangs",3900000,5300000,15200000,3500000,3400000,1200000,2800000,5e+06,4e+05,6100000,14
"2917","h.ochan","Greri Landmoslands","Punctual Rustlers",6800000,12600000,1500000,13200000,7600000,3e+06,1600000,4200000,3300000,3e+05,14
"2918","x.neri","People's Land of Maneau","Punctual Rustlers",11900000,8400000,18100000,18800000,13900000,2300000,4300000,1300000,9900000,7200000,14
"2919","m.ngamita","Xikong","Punctual Rustlers",1e+05,2500000,3500000,5e+06,2300000,1300000,3e+06,2900000,3300000,5300000,14
"2920","q.musimenta","Nganion","Silver Heels",3100000,16500000,15200000,13900000,8300000,4500000,3200000,6500000,1e+05,8e+05,14
"2921","c.leroy","People's Land of Maneau","Silver Heels",1800000,11600000,3e+05,10600000,6500000,5e+06,2900000,2e+05,3900000,2600000,14
"2922","s.zandamela","Mico","Solemn Cougars",1700000,5800000,9500000,8700000,3600000,3e+05,10700000,10700000,1700000,2700000,14
"2923","m.janssens","Ledian","Somber Bombers",8200000,2300000,2700000,3300000,2e+05,2e+05,4800000,2e+05,5700000,4300000,14
"2924","p.johansson","People's Land of Maneau","Somber Bombers",12800000,4100000,7900000,5400000,9200000,6200000,1400000,13300000,1300000,6200000,14
"2925","f.ribeiro","People's Land of Maneau","Swift Musketeers",1200000,4e+06,4900000,1400000,3900000,12500000,2200000,1100000,2e+06,2e+05,14
"2926","s.aslan","People's Land of Maneau","Swift Musketeers",2500000,3400000,4e+05,2e+06,1e+05,2e+05,6e+05,1500000,5e+05,2100000,14
"2927","y.draru","Rarita","Ultimate Penguins",5e+06,2500000,8e+05,3e+05,2400000,1500000,1600000,2200000,2400000,4e+05,14
"2928","n.kyohirwe","Dosqaly","Weak Tornadoes",3200000,19200000,12500000,4700000,3200000,5e+05,1800000,7600000,5e+05,4500000,14
"2929","e.bintiismail","Ledian","Weak Tornadoes",2400000,4e+06,2900000,1100000,3800000,6500000,2e+06,5200000,9e+05,1500000,14
"2930","y.kyosiimire","Nganion","Flawless Cows",3300000,1700000,2100000,10700000,6e+05,2800000,1700000,3600000,3e+06,1100000,14
"2931","x.driscoll","Nkasland Cronestan","Flawless Cows",16600000,3100000,2e+06,12100000,5900000,16700000,6400000,3600000,1.1e+07,2200000,14
"2932","p.addae","South Sati Fatina","Flawless Cows",11800000,7900000,6900000,9e+06,4300000,7e+05,1e+05,3500000,4300000,7e+05,14
"2933","f.kimera","Dosqaly","Glistening Paladins",84900000,19300000,50700000,2800000,7700000,19200000,44700000,5100000,1100000,4e+05,14
"2934","t.okello","Dosqaly","Glistening Paladins",9e+05,2500000,4600000,1200000,2100000,5400000,1e+06,6e+05,1700000,1200000,14
"2935","v.bwambale","Dosqaly","Golden Rustlers",3600000,1900000,3700000,2700000,5300000,11900000,4400000,5200000,2300000,2900000,14
"2936","u.yamasaki","Coastpa Barleslands","Grotesque Rocks",2500000,3200000,2300000,3e+05,9e+05,3400000,1e+05,6e+05,1400000,4500000,14
"2937","s.bintiothman","Lylimi","Grotesque Rocks",2100000,6e+05,1300000,3400000,2e+06,6e+05,7e+05,1300000,3300000,7e+05,14
"2938","t.bukar","Southern Ristan","Grotesque Rocks",2e+06,5900000,5e+05,2e+06,1200000,2100000,3e+05,8e+05,1e+06,2500000,14
"2939","a.lamunu","Dosqaly","Jumping Beans",3900000,1400000,1e+05,2800000,1700000,1e+06,9e+05,7700000,2700000,2e+06,14
"2940","k.adero","Rosvi","Jumping Beans",2.9e+07,26900000,7700000,9e+06,2300000,4e+06,2700000,11400000,24300000,9200000,14
"2941","j.ogawa","Dosqaly","Mean Colts",1900000,6400000,3500000,5e+05,3500000,3800000,9800000,1300000,4e+05,1400000,14
"2942","a.chipeta","Zamlie Niabangthe","Mean Colts",5e+05,1e+06,2800000,8e+05,8e+05,3200000,1900000,3600000,1e+06,3e+05,14
"2943","a.suboti","Dosqaly","Mean Poets",1e+05,1900000,1e+06,5100000,2400000,1300000,1800000,3100000,4e+05,2e+05,14
"2944","t.bonabana","Dosqaly","Mean Poets",18900000,2e+06,7400000,2500000,4500000,11600000,5100000,6700000,5800000,3500000,14
"2945","e.wibowo","Coastpa Barleslands","Overconfident Kangaroos",1200000,2300000,1100000,9800000,7500000,5e+05,10100000,1300000,8e+05,1400000,14
"2946","v.arnold","Coastpa Barleslands","Overconfident Kangaroos",1600000,1.2e+07,2200000,7500000,2e+05,2100000,2600000,4700000,2400000,2300000,14
"2947","b.ochieng","Dosqaly","Overconfident Kangaroos",1800000,2100000,2600000,1400000,1600000,7e+05,1400000,2400000,2800000,3e+05,14
"2948","h.kamal","Dosqaly","Serious Thunderbirds",5500000,10300000,9500000,6e+05,4600000,3e+05,2500000,3e+06,8e+05,2e+05,14
"2949","i.sano","Dosqaly","Serious Thunderbirds",11400000,2e+05,3900000,5e+05,11400000,3600000,1500000,1e+06,3900000,1500000,14
"2950","j.lunkuse","People's Land of Maneau","Serious Thunderbirds",30500000,9100000,8200000,1.7e+07,8e+05,6300000,7400000,1200000,1700000,3600000,14
"2951","j.chukwu","Dosqaly","Simple Jayhawks",3600000,1e+05,1500000,7e+05,2e+06,3800000,1800000,5e+05,7e+05,2e+05,14
"2952","r.rizzi","Pierrema","Simple Jayhawks",2100000,4700000,7100000,9400000,5500000,1900000,3200000,4700000,8e+05,1300000,14
"2953","v.arnold","Coastpa Barleslands","Simple Privateers",3e+06,6300000,5e+06,1300000,1e+06,2300000,3e+05,6e+05,2600000,1e+06,14
"2954","z.lefevre","Quewenia","Simple Privateers",11900000,13600000,8600000,3400000,21100000,9500000,4e+06,2800000,4900000,17200000,14
"2955","y.goh","Tito Mia","Simple Privateers",1e+06,1700000,4900000,1700000,1600000,4e+05,4e+05,1300000,1800000,1200000,14
"2956","a.mbusa","Dosqaly","Solemn Leopards",6e+05,2700000,4700000,8e+05,4800000,2900000,2e+06,2e+06,2400000,6e+05,14
"2957","n.tumwesigye","Dosqaly","Solemn Leopards",6e+05,4e+05,6e+05,2800000,1400000,8e+05,1200000,7e+05,5e+05,8e+05,14
"2958","i.kumari","Dosqaly","Somber Stallions",22400000,2600000,21600000,7700000,14300000,17900000,19700000,17300000,7800000,7200000,14
"2959","o.burgos","Dosqaly","Supreme Janes",8100000,8200000,12600000,20500000,16800000,4300000,11400000,29900000,1500000,3800000,14
"2960","q.permana","Dosqaly","Swift Rustlers",2200000,4900000,7600000,8100000,1900000,6600000,2700000,2e+06,9e+05,4400000,14
"2961","g.ahin","Nkasland Cronestan","Swift Rustlers",12200000,12700000,2800000,15800000,7e+06,11800000,5e+05,2600000,2700000,6400000,14
"2962","r.odur","Sobianitedrucy","Swift Rustlers",2500000,3e+06,3400000,7e+05,2800000,4400000,1400000,2700000,2400000,2100000,14
"2963","f.carbone","Greri Landmoslands","Unaccountable Foxes",1.8e+07,8600000,5400000,2e+06,4800000,6e+05,1.9e+07,1400000,3900000,5e+05,14
"2964","l.dahl","Dosqaly","Unethical Comets",2200000,6e+05,5700000,1200000,7e+05,26100000,3100000,14700000,8700000,8e+05,14
"2965","y.bintiomar","Quewenia","Unethical Comets",13500000,8e+06,23100000,14100000,1300000,14600000,5e+05,10600000,8500000,1e+05,14
"2966","j.mercier","Dosqaly","Villainous Eagles",14800000,4500000,10700000,21500000,1100000,8e+05,1600000,1900000,2e+06,24500000,14
"2967","c.vtols","Imaar Vircoand","Weak Blimps",20200000,3800000,7600000,9200000,7300000,17300000,12900000,13500000,2400000,1400000,14
"2968","g.razak","Dosqaly","Wet Monarchs",8500000,11600000,17900000,7200000,6400000,4400000,4200000,1600000,2600000,7200000,14
"2969","g.prasetyo","Galamily","Awkward Trailblazers",6900000,1700000,6300000,20800000,27900000,5e+06,3400000,5600000,1.3e+07,6700000,14
"2970","a.mor","Esia","Blue Jaguars",2400000,3400000,1700000,8e+05,2700000,2800000,1300000,3600000,7e+05,1e+05,14
"2971","h.nakimera","Esia","Blue Jaguars",4e+06,2900000,3400000,16100000,7300000,3200000,1e+06,1100000,5400000,5e+05,14
"2972","l.nalukenge","Esia","Fiery Governors",10400000,4200000,29100000,6900000,9500000,2800000,6300000,1800000,3100000,3800000,14
"2973","q.ghoe","Esia","Fiery Governors",4100000,3100000,3700000,9e+06,13400000,6100000,2200000,6e+05,4e+05,4300000,14
"2974","i.agwang","Esia","Horrible Flames",7400000,4200000,2e+06,3e+05,1500000,7e+05,2e+05,3400000,3500000,4100000,14
"2975","r.aguilar","Esia","Horrible Flames",9e+05,2200000,4600000,1700000,8300000,1300000,1400000,3e+05,2200000,6200000,14
"2976","m.krlievi","Leoneku Guidisia","Horrible Flames",14400000,6100000,6900000,2900000,14500000,6400000,1e+05,1600000,7700000,6e+05,14
"2977","e.namakoye","Esia","Little Lollipops",4e+05,1700000,1e+05,9e+05,8e+05,1300000,5e+05,1600000,2e+05,1500000,14
"2978","r.yiga","Quewenia","Little Lollipops",5300000,4200000,9e+05,8700000,7400000,1400000,6e+06,1100000,3900000,2500000,14
"2979","l.namuyanja","Byasier Pujan","Marvelous Anchors",4600000,6e+05,1400000,1300000,2300000,1200000,6e+05,1300000,9e+05,1400000,14
"2980","e.kyomukama","Esia","Marvelous Anchors",17900000,6600000,4200000,22800000,7e+05,3.6e+07,20500000,10500000,1800000,14900000,14
"2981","e.mapuranga","Nkasland Cronestan","Mean Trolls",2300000,1900000,1600000,9300000,5e+05,2800000,1700000,5e+06,1500000,1e+05,14
"2982","b.fernandez","Esia","Punctual Archers",2e+05,3300000,1200000,6600000,2200000,4900000,6300000,2800000,1600000,1e+06,14
"2983","w.mandizvidza","Esia","Punctual Archers",3200000,3300000,20200000,18800000,4200000,4700000,6200000,2e+05,1100000,2300000,14
"2984","k.tsui","Esia","Red Artichokes",5800000,6900000,1900000,2600000,15600000,3100000,12100000,1600000,3e+05,6600000,14
"2985","f.nabunya","Quewenia","Serious Cyclones",4500000,9500000,7900000,2e+06,2100000,4400000,2100000,1100000,4500000,2200000,14
"2986","m.zhou","Quewenia","Serious Cyclones",2800000,8e+05,3100000,6e+05,2400000,4100000,6800000,3900000,1200000,7e+05,14
"2987","s.achen","Giumle Lizeibon","Silver Frogs",2800000,7e+05,3800000,2700000,1600000,9e+05,3e+05,4500000,3700000,1600000,14
"2988","l.msowoya","Southern Ristan","Silver Frogs",3700000,1300000,1100000,15100000,3800000,40700000,4e+06,19600000,23300000,2900000,14
"2989","i.bitton","Esia","Spicy Gophers",1400000,8600000,1e+06,6200000,9300000,4200000,7200000,6500000,4e+06,3500000,14
"2990","p.galli","Esia","Spicy Gophers",1e+05,3600000,1e+05,1e+05,1e+05,5e+05,5e+05,2e+05,2e+05,1e+05,14
"2991","q.nakyeyune","Esia","Supreme Jaguars",2400000,2600000,5100000,8300000,4600000,2e+06,3800000,1200000,1300000,1400000,14
"2992","j.ojok","Giumle Lizeibon","Supreme Jaguars",2200000,1400000,1600000,1900000,7e+05,2e+05,2e+06,5e+05,9e+05,3e+05,14
"2993","u.ndagire","Mico","Supreme Jaguars",10800000,7400000,1100000,1400000,2700000,2500000,3e+05,2e+06,1300000,2100000,14
"2994","b.harahap","Esia","Ultimate Dolphins",9500000,11800000,1100000,1900000,3600000,3200000,9400000,3e+06,1600000,1100000,14
"2995","s.feldman","Esia","Ultimate Dolphins",4900000,7100000,4300000,1700000,7e+06,4100000,1900000,7400000,4800000,1700000,14
"2996","i.nassiwa","Esia","Ultimate Longhorns",12600000,7500000,2500000,1900000,16500000,14800000,1800000,4700000,2e+05,16100000,14
"2997","t.obong","Esia","Ultimate Longhorns",2e+05,3800000,15900000,1300000,2100000,7600000,2400000,7700000,5700000,2100000,14
"2998","e.kaddu","Esia","Weak Chargers",22600000,30600000,2300000,1700000,1300000,1700000,6400000,2900000,4e+05,1400000,14
