,Player,Nation,Squad,Age,Born,X90s,Tackles.Tkl,Tackles.TklW,Tackles.Def.3rd,Tackles.Mid.3rd,Tackles.Att.3rd,Vs.Dribbles.Tkl,Vs.Dribbles.Att,Vs.Dribbles.Tkl.,Vs.Dribbles.Past,Pressures.Press,Pressures.Succ,Pressures..,Pressures.Def.3rd,Pressures.Mid.3rd,Pressures.Att.3rd,Blocks.Blocks,Blocks.Sh,Blocks.ShSv,Blocks.Pass,Int,Tkl.Int,Clr,Err,League,Year,mv
2292,e.mwesigye,Nganion,Orange Giants,19,2001,25.12,1.4,0.64,0.56,0.35,0.57,0.18,0.88,1,0.89,16.64,4.4,1,3.6,5.79,7.16,1.27,0,0,1.36,0.6,2.11,0.39,0,E,2021,2486337874
2711,i.shoshan,Rarita,Serious Buffaloes,30,1990,28.51,0.93,0.77,0.03,0.49,0.36,0.15,0.85,1,0.59,12.61,2.91,1,1.04,5.73,5.96,0.64,0.27,0,0.44,0.32,1.22,0.5,0,RFL,2021,2477563713
1772,y.atoo,Galamily,Mighty Monkeys,24,1996,26.76,0.89,0.39,0.42,0.38,0.1,0.29,1.38,1,0.96,14.06,3.12,1,3.63,6.04,4.45,1.52,0.09,0,1.39,0.62,1.48,1.11,0,D,2021,2468400189
2393,d.naluyima,Imaar Vircoand,Rabid Greyhounds,30,1990,29.3,2.12,1.54,1.3,0.68,0.07,0.96,2.7,1,1.8,12.8,4.18,1,6.74,5.43,0.76,1.57,0.37,0.09,1.24,1.15,3.34,1.56,0,E,2021,2447233685
347,p.byamukama,People's Land of Maneau,Swift Musketeers,30,1989,28.88,2.46,1.47,0.98,1.21,0.26,0.96,1.68,1,0.59,11.09,4.22,1,4.27,5.03,1.7,1.59,0.22,0.04,1.49,1.03,3.51,1.91,0,A,2021,2446637134
803,c.kazibwe,Lefghau,Swift Rustlers,23,1997,26.35,2.18,1.2,1.02,1.09,0.08,1.04,2.1,1,0.98,11.55,3.97,1,3.82,5,2.58,1.43,0.15,0.02,1.41,0.85,3.14,1.24,0.07,B,2021,2438737693
1055,k.sah,Liacra,Fiery Governors,20,2000,25.52,2.67,1.42,1.15,1.03,0.53,0.61,1.88,1,1.27,22.66,6.73,1,6.75,11.29,4.68,2.43,0.41,0.08,1.83,2,4.52,2.54,0,C,2021,2436046448
2629,x.namuli,People's Land of Maneau,Mad Wolverines,29,1991,28.78,0.87,0.63,0.47,0.29,0.03,0.35,1.19,1,0.73,8.15,2.57,1,4.6,2.89,0.58,2.65,1.32,0,1.35,1.04,2.01,7.04,0.15,RFL,2021,2431121800
1421,w.aubert,Dosqaly,White Firebirds,21,1998,25.91,1.97,1.11,1.21,0.8,0.14,0.51,1.06,1,0.53,11.09,4.33,1,5.03,5.54,0.54,1.54,0.5,0,1,1.33,3.46,3.73,0,C,2021,2412335288
760,l.james,Varijitri Isles,Somber Stallions,23,1997,26.48,3,1.49,1.24,1.39,0.42,1.25,2.84,1,1.46,16.59,5.24,1,6.14,8,2.38,2.47,0.22,0,2.08,1.21,4.33,2.65,0.02,B,2021,2404515633
2336,b.abubakar,Imaar Vircoand,Polar Kangaroos,25,1995,26.5,1.35,1.22,0.5,0.71,0.18,0.57,1.83,1,1.32,18.91,5.59,1,3.31,8.69,6.83,1.23,0,0,1.16,0.7,2.25,0.66,0,E,2021,2397497738
2181,i.tng,Nganion,Horrible Bison,23,1996,26.49,2.7,1.37,1.48,0.97,0.21,1.04,2.98,1,1.92,13.42,4.28,1,5.68,5.01,2.82,1.3,0.1,0,1.1,0.97,3.69,1.98,0,E,2021,2383425752
2261,c.nangobi,Manlisgamncent,Mad Kingsmen,34,1985,30.37,1.3,0.79,0.69,0.48,0.12,0.55,1.29,1,0.92,12.21,3.42,1,3.15,6.71,2.6,0.96,0.16,0,0.74,1.67,3.05,0.6,0.03,E,2021,2383158373
2692,c.saad,People's Land of Maneau,Red Anchormen,24,1995,27,2.71,1.53,1.57,1,0.15,0.94,2.91,1,2.14,23.73,7.17,1,9.47,11.76,2.56,2.2,0.52,0,1.61,1.79,4.62,2.22,0,RFL,2021,2380339769
1994,y.twinomugisha,Janmico,Big Foxes,28,1992,28.92,3.28,2.11,2.31,0.96,0,1.43,3.21,1,1.7,18.14,4.74,1,10.66,6.1,1.49,2.53,0.24,0,2.16,1.63,4.81,2.88,0.06,E,2021,2376374808
594,f.binishak,Dosqaly,Overconfident Kangaroos,32,1988,29.7,1.06,0.59,0.61,0.22,0,0.47,0.85,1,0.39,5.59,2.17,1,3.08,2.33,0.1,0.94,0.49,0.07,0.51,1.36,2.39,5.41,0,B,2021,2371910368
1367,w.longwe,Giumle Lizeibon,Ultimate Longhorns,27,1992,28.07,2.67,1.52,1.77,0.74,0.06,1.21,2.62,1,1.58,12.28,4.43,1,7.34,4.17,0.67,1.63,0.57,0,1.09,1.24,4.07,5.12,0.04,C,2021,2361793534
2414,o.wong,Biarizea,Running Bigfoots,23,1997,25.77,0.92,0.75,0.07,0.46,0.47,0.2,0.93,1,0.59,15.35,3.43,1,1.32,6.85,7.37,0.6,0.09,0.03,0.72,0.31,1.23,0.86,0.07,E,2021,2360815727
1160,m.kakaire,Sobianitedrucy,Mean Trolls,32,1988,29.66,2.82,1.67,1.08,1.25,0.44,0.96,3.31,1,2.23,21.34,6,1,7.16,10.49,3.76,2.41,0.09,0,2.16,1.38,4.06,1.51,0,C,2021,2341623652
866,c.abaho,Pierrema,Unethical Comets,28,1991,27.59,0.61,0.58,0.11,0.42,0.18,0.14,0.61,1,0.44,8.73,2.51,1,1.15,3.28,4.22,0.45,0.06,0.01,0.35,0.06,0.75,1.04,0.03,B,2021,2337366798
2694,q.ajiko,Rarita,Red Anchormen,23,1996,26.19,1.47,0.8,0.54,0.54,0.32,0.56,2.09,1,1.62,15.23,3.75,1,4.33,6.2,5.09,1.46,0.03,0.01,1.35,1.27,2.69,1.35,0.09,RFL,2021,2327966683
1680,y.opio,Sobianitedrucy,Marvelous Heels,29,1990,28.23,2.07,1.1,0.85,1.11,0.18,0.61,1.56,1,0.92,11.85,4.69,1,4.47,5.75,1.68,1.63,0.27,0,1.27,1.3,3.3,2.8,0,D,2021,2327560653
534,x.opira,Dosqaly,Jumping Beans,18,2002,24.68,1.27,0.87,0.5,0.57,0.28,0.42,0.96,1,0.59,16.78,3.99,1,3.75,7.24,5.71,1.4,0.09,0.02,1.24,0.64,1.99,0.43,0.06,B,2021,2321374318
2498,e.mudzingwa,Rarita,Serious Magicians,26,1994,26.56,0.54,0.27,0,0.25,0.36,0.11,0.57,1,0.45,10.86,3.25,1,0.46,3.61,6.69,0.42,0,0,0.49,0.06,0.65,0.83,0.03,E,2021,2315123593
134,d.yusof,Nkasland Cronestan,Horrible Storm,22,1997,26.48,2.9,1.76,1.6,1.12,0.36,1.21,2.89,1,1.68,16.82,4.73,1,8.75,6.3,1.65,2.83,0.63,0,2.3,1.83,4.88,4.24,0.02,A,2021,2297592533
2314,k.larsson,Nganion,Plane Janes,28,1991,28.14,2.12,1.22,1.12,0.82,0.2,0.59,2.6,1,2.12,21.08,4.81,1,7.3,9.97,3.84,1.34,0.11,0.01,1.31,0.55,2.57,0.71,0.08,E,2021,2282111849
1083,m.krlievi,Leoneku Guidisia,Horrible Flames,30,1989,28.51,0.02,0.07,0.07,0,0,0,0.11,0.03,0.14,0.2,0.11,1,0.06,0.04,0.03,0,0,0,0,0,0,0.08,0,C,2021,2281164982
906,p.nieminen,Dosqaly,Villainous Eagles,33,1987,29.98,2.1,1.7,0.82,1.11,0.16,0.87,2.84,1,2,21.31,5.66,1,6.73,12.61,1.98,1.37,0.25,0,1.29,1.01,3.26,2.05,0,B,2021,2273397703
815,q.permana,Dosqaly,Swift Rustlers,29,1991,28.05,0.02,0,0,0,0,0,0.01,0.1,0.16,0.25,0.1,1,0.27,0,0.01,0,0,0,0.01,0,0.04,0.24,0.06,B,2021,2229324271
2090,d.law,Nganion,Delta Colts,29,1991,27.91,1.82,1.31,0.86,0.65,0.45,0.5,1.6,1,0.93,15.95,4.73,1,4.57,7.38,4.06,1.95,0.3,0,1.91,1.37,3.1,1.39,0,E,2021,2190881406
2426,v.handayani,Nganion,Running Bigfoots,26,1994,26.76,1.89,1.12,0.54,1.14,0.35,0.77,2.94,1,2.2,18.03,4.86,1,4.21,10.91,2.83,1.01,0,0.02,0.99,0.72,2.55,1.22,0.13,E,2021,2186929514
1626,u.mvula,Nkasland Cronestan,Flying Bombadiers,29,1991,27.93,0.08,0,0.05,0.06,0.08,0.08,0.01,0,0.14,0.12,0,0,0.03,0,0.03,0.02,0,0.02,0.08,0.09,0.04,0,0.15,D,2021,2182754102
2600,a.hasibuan,Rarita,Educated Avengers,26,1993,26.99,1.74,0.99,0.84,0.43,0.38,0.75,1.84,1,0.96,8.34,2.66,1,3.51,3.54,1.33,2.5,0.68,0,1.72,1.09,2.83,3.64,0.09,RFL,2021,2182630336
2058,i.benedetti,Zamlie Niabangthe,Deferred Dolphins,22,1998,25.67,2.27,1.55,0.77,1.3,0.28,0.47,2.22,1,1.7,22.89,5.94,1,6.59,12.28,4.08,2.39,0.55,0.12,1.76,1.1,3.38,1.74,0,E,2021,2178053353
1207,n.sembiring,Giumle Lizeibon,Red Artichokes,28,1991,27.92,2.81,1.7,1.26,1.34,0.19,0.5,2.91,1,2.33,21.91,7.02,1,9.04,11.46,1.6,2.1,0.31,0.1,1.65,1.26,4.03,1.24,0,C,2021,2163955896
2532,g.taruvinga,Nganion,Swift Bison,29,1990,27.91,0,0.01,0,0.03,0,0.06,0.06,0,0.13,0.2,0.06,1,0.23,0,0.07,0.09,0,0.09,0.09,0.09,0.06,0.09,0,E,2021,2162504629
526,k.akullu,Dosqaly,Jumping Beans,29,1991,28.27,3.92,2.26,1.79,1.44,0.67,0.56,2.56,1,2.01,21.84,6.29,1,8.65,9.63,3.48,1.57,0.26,0,1.34,1.28,5.26,1.19,0,B,2021,2152978637
1936,j.hasahya,Sobianitedrucy,Strange Pioneers,23,1997,25.93,1.75,1.21,0.98,0.34,0.26,0.57,1.49,1,1.05,19.78,6.53,1,7.44,7.92,4.26,1.39,0.12,0.08,1.3,1.1,2.96,0.8,0,D,2021,2139289358
264,a.nakiranda,Dosqaly,Solemn Cougars,19,2000,25.06,2.6,1.72,1.52,0.88,0,0.7,1.34,1,0.74,9.87,3.32,1,5.6,4.04,0.42,1.9,0.85,0.1,1.04,2.12,4.6,4.9,0,A,2021,2133133040
1593,a.kalule,Janmico,Fighting Wave,23,1997,25.82,2.92,1.77,1.06,1.45,0.29,0.51,2.08,1,1.57,20.87,6.17,1,6.45,10.58,3.55,2.17,0.64,0,1.63,1.81,4.64,1.65,0.04,D,2021,2127052806
316,j.ptersons,Danan Seekeeling,Somber Bombers,26,1994,26.99,1.83,1.1,0.77,0.82,0.06,0.62,2.07,1,1.44,18.73,4.32,1,6.35,7.88,4.62,1.23,0.11,0.03,1.13,1.05,2.72,0.95,0.12,A,2021,2119604051
2570,r.adamu,Nganion,Ultimate Penguins,29,1991,27.72,0.59,0.44,0.27,0.31,0.05,0.07,1.01,1,0.88,10.4,3.35,1,2.94,4.97,2.32,1,0.07,0,1.02,0.57,1.08,0.45,0,E,2021,2112733310
1786,a.davies,Rosvi,Red Rangers,29,1990,27.73,0.99,0.76,0.37,0.62,0.05,0.49,1.45,1,1,7.46,2.36,1,2.13,3.1,2.21,1.41,0.37,0.05,1.11,0.79,1.59,1.33,0,D,2021,2109936098
720,o.ali,Loco Phirema,Simple Privateers,23,1996,25.58,1.06,0.42,0.22,0.67,0.21,0.35,1.35,1,1.15,15.57,4.31,1,3.9,8.35,3.31,0.93,0.14,0.07,0.88,0.6,1.58,0.51,0,B,2021,2081388207
852,s.nabasa,Lefghau,Unaccountable Foxes,22,1997,25.27,3.2,2.16,1.28,1.18,0.69,0.99,2.44,1,1.64,22.22,6.35,1,6.49,9.87,5.89,1.33,0.08,0.01,1.18,0.68,3.83,0.79,0.16,B,2021,2047706775
2223,v.marino,Badad,Mad Bees,24,1995,26.09,2.4,1.33,1.17,1.2,0.18,0.75,2.03,1,1.25,17.69,5.25,1,6.3,9.92,1.32,1.61,0.3,0.11,1.21,2.03,4.47,1.86,0.13,E,2021,2037147791
2494,v.ang,Nganion,Serious Magicians,29,1991,27.95,0.99,0.5,0.76,0.34,0.03,0.39,1.06,1,0.61,7.07,2.47,1,4.44,2.63,0.14,1.09,0.38,0.06,0.8,1.28,2.43,5.49,0,E,2021,2028594330
161,q.aini,Ngoque Blicri,Mighty Jays,23,1997,25.55,1.08,0.59,0.34,0.51,0.32,0.25,1.08,1,0.78,7.78,2.6,1,2.8,3.06,1.91,2,0.51,0,1.57,0.82,1.85,2.93,0,A,2021,2021608428
2544,b.kwek,Greri Landmoslands,Swift Bison,23,1996,25.49,1,0.6,0.38,0.44,0.14,0.38,1.62,1,1.26,13.17,3.44,1,3.6,5.17,4.46,1.13,0.13,0,1.26,0.76,1.68,0.21,0.09,E,2021,2019453760
432,b.polak,Dosqaly,Glistening Paladins,22,1998,25.6,2.47,1.55,1.73,0.69,0,1.04,1.66,1,0.63,12.2,4.36,1,6.66,3.88,1.49,1.35,0.38,0,0.84,0.83,3.18,2.94,0.04,B,2021,2011080521
1636,a.marchenko,Ingre,Hideous Spartans,26,1993,26.81,1.22,0.63,0.79,0.39,0.23,0.63,1.1,1,0.55,10.25,2.46,1,4.72,3.52,1.96,2.43,0.44,0,1.92,1.02,2.25,3.82,0,D,2021,2006332087
793,m.okumu,Nganion,Supreme Janes,23,1997,25.39,1.54,0.76,0.38,0.66,0.24,0.25,2.14,1,1.91,16.87,4.97,1,4.35,9.23,3.12,1.35,0.19,0.08,1.23,1.45,3.03,0.92,0,B,2021,2003043730
491,d.tshuma,Coastpa Barleslands,Grotesque Rocks,25,1995,25.79,0.5,0.34,0.25,0.29,0.15,0.13,0.6,1,0.35,10.24,2.74,1,1.09,4.64,4.43,0.62,0.18,0,0.6,0.43,0.9,0.59,0,B,2021,2002140035
459,s.binramli,Dosqaly,Golden Rustlers,32,1988,29,1.05,0.74,0.73,0.39,0.15,0.39,0.75,1,0.32,7.7,3.16,1,4.55,2.67,0.41,1.29,0.87,0,0.64,1.36,2.47,5.91,0.14,B,2021,1992332966
2028,h.jansson,Greri Landmoslands,Deferred Dolphins,25,1995,26.24,1.52,0.75,1,0.52,0,0.42,0.87,1,0.39,5.23,1.81,1,2.61,2.59,0.28,1.45,0.75,0.03,0.74,1.14,2.66,4.19,0.05,E,2021,1991825102
271,a.acheng,Southern Ristan,Solemn Cougars,24,1995,26.04,2.32,1.3,1.23,0.79,0.18,0.77,1.65,1,0.83,13.48,3.76,1,5.57,4.88,2.78,2.11,0.19,0,1.8,0.86,3.04,2.54,0,A,2021,1989471017
1444,j.pedro,Nganion,White Firebirds,22,1998,24.48,1.57,0.95,0.21,0.93,0.23,0.13,1.27,1,1.09,18.5,6.59,1,2.73,9.07,6.65,0.79,0,0.04,0.95,1.05,2.51,1.12,0,C,2021,1983355808
47,p.chew,Esia,Fighting Cougars,29,1991,27.63,1.63,0.95,0.83,0.55,0.26,0.66,1.79,1,1.01,15.65,3.99,1,5.04,6.81,3.6,1.22,0.27,0,0.93,0.97,2.54,0.96,0,A,2021,1975814307
2375,u.woo,Nganion,Punctual Leopards,33,1986,28.95,2.52,1.52,1.24,0.98,0.2,1.04,2.99,1,2.04,16.73,5.43,1,4.68,7.93,4.06,1.97,0,0,1.73,0.78,3.37,0.8,0.01,E,2021,1953457074
2034,l.ricci,Nganion,Deferred Dolphins,33,1986,29.25,0.98,0.43,0.43,0.31,0,0.3,0.89,1,0.47,5.61,2.05,1,2.98,2.46,0.32,1.56,0.97,0,0.56,0.82,1.75,7.46,0.11,E,2021,1952681914
575,h.suleiman,People's Land of Maneau,Mean Poets,21,1999,24.96,1.92,1.06,1.3,0.75,0.14,0.77,1.45,1,0.63,9.28,3.14,1,4.3,4.21,0.73,1.17,0.31,0.04,0.83,2.58,4.55,3.68,0,B,2021,1936773257
233,k.vandenberg,Dosqaly,Punctual Rustlers,27,1993,27.07,2.15,1.49,1.16,0.79,0.21,0.71,1.65,1,0.95,20.1,5.8,1,8.5,8.01,3.55,1.51,0.29,0.07,1.25,1.23,3.38,1.04,0.04,A,2021,1927382387
787,e.lund,Republic of Denand Landsa,Supreme Janes,25,1995,25.78,1.19,0.64,0.52,0.57,0.33,0.37,1.3,1,0.8,12.05,3.06,1,2.57,5.31,4.12,1.29,0.06,0,1.35,0.72,1.94,0.63,0,B,2021,1913585799
2476,b.jonsson,Imaar Vircoand,Screaming Ramblers,29,1991,27.64,2,1.08,0.78,0.94,0.15,0.63,1.85,1,1.14,17.16,4.87,1,6.56,9.13,1.53,1.5,0.5,0,0.98,0.66,2.62,1.97,0,E,2021,1908041626
2330,a.kamusiime,People's Land of Maneau,Polar Kangaroos,29,1990,27.55,2.47,1.36,1.33,0.68,0.29,0.92,2.14,1,1.23,12.37,3.95,1,5.39,4.88,2.13,1.78,0.18,0,1.77,1.34,3.69,2.2,0.03,E,2021,1901063815
623,x.ssemakula,Central Namemo Laand,Serious Thunderbirds,22,1997,25.2,2.3,1.59,1.88,0.56,0.02,1.1,1.8,1,0.53,8.94,3.73,1,5,3.76,0.24,1.43,0.32,0.07,1.06,1.55,3.96,4.15,0.17,B,2021,1900944687
552,s.lombardo,Dosqaly,Mean Colts,29,1990,26.83,1.16,0.62,0.11,0.61,0.32,0.22,0.84,1,0.78,13.31,3.3,1,0.96,6.7,5.67,1.25,0.12,0.04,1.31,0.3,1.47,0.71,0.01,B,2021,1889503714
2478,f.mbale,Nganion,Screaming Ramblers,32,1987,28.67,1.75,1.2,0.77,0.92,0.1,0.55,1.5,1,0.9,16.63,4.79,1,5.82,8.64,2.21,1.45,0.21,0,1.3,1.52,3.25,2.02,0,E,2021,1883830562
1572,w.joao,Byasier Pujan,Fighting Wave,20,1999,24.62,1.25,0.82,0.72,0.4,0,0.54,0.88,1,0.3,9.25,3.17,1,4.69,4.07,0.55,1.55,0.6,0,1.02,1.19,2.43,4.13,0,D,2021,1880820403
1223,q.yadav,Quewenia,Serious Cyclones,25,1995,26.09,1.75,1.11,1.04,0.54,0.18,0.61,1.27,1,0.52,10.02,3.72,1,5.14,4.12,0.75,1.42,0.4,0.09,1.09,1.43,3.15,4.01,0.1,C,2021,1877477987
142,k.aliyu,Saintswacroa,Horrible Storm,24,1995,25.6,1.04,0.44,0.31,0.33,0.4,0.26,1.45,1,1.23,15.06,2.9,1,4.17,6.06,4.94,1.06,0,0.02,1.03,0.84,1.88,0.7,0.02,A,2021,1867634683
1349,s.ylmaz,Nkasland Cronestan,Ultimate Dolphins,31,1988,27.29,0.64,0.48,0.1,0.33,0.22,0.22,0.6,1,0.37,11.85,3.94,1,0.37,3.22,8.21,0.32,0.11,0.06,0.17,0.19,0.87,0.23,0.04,C,2021,1851387723
2437,q.alonso,Nganion,Sassy Knights,25,1995,26.11,2.39,1.23,1.33,0.87,0.11,0.83,1.45,1,0.69,13.04,3.9,1,6.09,4.48,2.42,2.74,0.4,0.04,2.17,1.8,4.25,3.68,0,E,2021,1850656877
111,f.kalule,People's Land of Maneau,Horrible Grizzlies,23,1996,25.3,1.82,1.14,0.71,0.74,0.34,0.65,1.41,1,0.9,12.75,4.07,1,5.21,5.18,2.39,2.54,0.13,0,2.36,1.23,3.01,2.54,0,A,2021,1846753337
2678,k.pawar,Eastern Niasland,Red Anchormen,28,1992,27.35,2.98,1.55,1.49,1.12,0.21,1.13,2.78,1,1.82,19.65,5.56,1,8.85,7.88,2.68,1.77,0.31,0,1.51,1.3,4.28,2.19,0.06,RFL,2021,1846639144
2758,l.leibowitz,Rarita,Strong Oaks,22,1998,24.67,2.83,1.89,1.2,1.38,0.34,0.86,2.06,1,1.22,20.14,5.57,1,4.84,10.81,4.61,1.42,0.28,0,1.36,1.01,4.04,1.13,0,RFL,2021,1841465956
557,h.dehghan,Central Diasongo,Mean Colts,25,1995,25.7,0.9,0.53,0.3,0.45,0.12,0.33,1.42,1,1.07,13.58,4.35,1,4.26,6.6,2.51,1.49,0.15,0.09,1.24,1.32,2.13,0.89,0.03,B,2021,1828748066
99,q.nabutono,Lefghau,Green Fleet,27,1993,26.57,3.41,2.08,1.45,1.57,0.31,1.09,3.18,1,2.22,23.96,7.44,1,8.54,11.32,4.14,2.28,0.27,0.03,1.89,1.74,5.01,1.23,0.01,A,2021,1818611515
565,f.sepp,Dosqaly,Mean Poets,22,1998,25.14,1.47,0.72,1.08,0.35,0.03,0.64,1.55,1,0.81,7.54,2.34,1,4.61,2.88,0.21,2.78,1.46,0.1,1.19,1.92,3.48,6.73,0,B,2021,1817081263
394,f.hughes,Thaijagypt,Weak Tornadoes,27,1993,26.38,1.23,0.72,0.58,0.39,0.17,0.37,1.31,1,0.78,15.66,4.11,1,4.61,5.99,4.97,1.44,0.29,0,1.09,0.62,1.91,1.46,0,A,2021,1812342160
1597,p.mlotshwa,Sobianitedrucy,Fighting Wave,22,1997,24.7,2.41,1.66,0.88,0.71,0.52,0.88,2.05,1,1.17,16.06,5.4,1,5.65,5.9,4.68,1.12,0.03,0,0.98,0.39,2.84,0.76,0.01,D,2021,1794352647
401,q.coppola,Dosqaly,Flawless Cows,24,1995,25.54,2.05,1.34,1.03,1,0.17,0.39,0.81,1,0.37,8.5,2.8,1,4.23,3.6,0.81,1.24,0.63,0.03,0.86,1.31,3.38,3.64,0.16,B,2021,1791980129
773,k.guillaume,Dosqaly,Somber Stallions,22,1998,24.28,0.85,0.52,0.3,0.35,0.4,0.31,0.98,1,0.8,14.55,3.7,1,1.75,6.77,6.14,0.64,0,0.08,0.81,0.48,1.4,0.25,0,B,2021,1791435046
1591,o.maulana,Dosqaly,Fighting Wave,25,1995,25.73,2.81,1.66,1,1.34,0.34,1.06,2.3,1,1.22,18.94,5.67,1,6.32,9.25,3.28,1.81,0.47,0,1.38,1.27,3.99,1.51,0.01,D,2021,1790598031
2349,p.nabbanja,Newgan Ruland,Punctual Leopards,28,1991,26.91,0.91,0.57,0.42,0.27,0.11,0.11,0.48,1,0.4,7.85,2.74,1,4.11,3.24,0.4,1.37,0.62,0,0.69,1.35,2.14,5.71,0,E,2021,1789214307
214,h.farina,People's Land of Maneau,Punctual Rustlers,23,1996,25.41,2.59,1.49,1.52,0.85,0.2,0.93,2.08,1,1.33,12.37,3.76,1,6.47,4.46,1.64,2.26,0.59,0,1.63,1.52,4.17,4.38,0.18,A,2021,1784923736
707,f.bizjak,Dosqaly,Simple Privateers,19,2000,23.75,1.77,1.33,0.65,0.87,0.11,0.57,2.06,1,1.38,17.71,4.06,1,4.1,8.93,4.51,0.98,0.2,0.03,0.97,0.8,2.56,0.56,0,B,2021,1761594381
644,h.kamal,Dosqaly,Serious Thunderbirds,34,1986,29.04,0.01,0,0.04,0,0,0,0,0,0,0.13,0.04,1,0.12,0,0,0.04,0.06,0.08,0,0,0,0.02,0.16,B,2021,1755542182
61,m.ludwig,Rarita,Great Galactic Gorgons,32,1988,28.65,2.65,1.65,1.72,0.77,0.22,1.25,2.47,1,1.1,13.32,3.92,1,6.93,4.73,1.65,1.7,0.52,0.16,1.1,1.53,4.27,4.44,0,A,2021,1750380733
2114,z.gholami,Nganion,Festive Governors,32,1988,27.96,2.55,1.36,0.85,1.23,0.36,0.9,2.52,1,1.47,19.52,6.12,1,5.01,10.78,3.92,1.59,0.03,0,1.5,1.49,3.8,0.91,0.16,E,2021,1742111282
1424,h.yong,New Uwi,White Firebirds,27,1992,26.22,1.58,1.08,0.72,0.65,0.19,0.67,1.49,1,0.59,8.91,3.77,1,3.78,4.15,0.81,1.92,0.93,0.01,0.94,1.4,2.98,5.22,0.06,C,2021,1741255895
2173,l.sanz,Nganion,Hideous Spiders,32,1988,28.14,0.99,0.6,0.49,0.36,0.3,0.21,1.57,1,1.4,17.41,3.76,1,4.37,8.65,4.43,1.51,0.04,0.07,1.62,0.59,1.61,0.35,0,E,2021,1728087393
564,e.kunihira,Lenia Gerdanho,Mean Colts,29,1991,26.57,1.52,1.12,0.36,0.8,0.44,0.29,1.42,1,0.95,18.12,4.89,1,3.19,10.59,4.39,1.18,0.19,0.08,1.03,0.93,2.47,0.28,0.01,B,2021,1721927912
2274,i.murakami,Nganion,Orange Giants,21,1999,24.31,1.79,1.08,0.88,0.63,0.24,0.74,1.97,1,1.22,12.54,4.08,1,4.8,4.68,3.26,1.89,0.18,0.03,1.73,1.09,2.89,1.91,0.02,E,2021,1720476842
2513,b.kansiime,Nganion,Serious Magicians,25,1995,25.35,2.01,1.2,1.05,0.88,0.2,0.42,2.21,1,1.73,24.64,6.2,1,6.27,10.9,7.5,2.44,0.1,0.09,2.25,0.86,2.97,1.15,0,E,2021,1715302147
951,d.anyango,Redohrainbri,Wet Monarchs,25,1994,25.85,2.37,1.03,1.42,0.56,0.26,1.14,2.09,1,0.95,14.2,4.16,1,6.9,4.92,2.31,3.08,0.42,0.01,2.7,1.6,3.85,2.65,0.03,B,2021,1711446875
1407,z.mayr,Lefghau,Weak Chargers,21,1999,23.98,1.69,1.18,0.38,0.94,0.25,0.41,2.13,1,1.69,20.54,5.77,1,4.97,8.84,6.82,1.55,0.17,0,1.4,1.4,3.1,0.31,0.03,C,2021,1706682219
1477,k.yldz,Nkasland Cronestan,Coy Catamarans,25,1995,25.7,1.26,0.72,0.66,0.45,0.3,0.34,1.48,1,1.25,13.93,3.99,1,6.06,5.15,2.61,1.77,0.08,0,1.57,2.06,3.34,2.78,0.13,D,2021,1699839235
1683,y.nambi,Western Niasland,Marvelous Heels,29,1991,26.36,0.39,0.32,0.17,0.03,0,0.07,0.28,1,0.23,8.88,2.42,1,0.55,2.66,5.54,0.83,0.29,0,0.71,0.29,0.7,0.61,0.05,D,2021,1679789286
2553,o.farkas,Pierrema,Ultimate Penguins,28,1991,26.63,1.16,0.8,0.72,0.26,0,0.3,0.49,1,0.31,6.07,2.35,1,3.87,1.99,0.37,1.19,0.64,0.16,0.74,1.28,2.3,4.43,0,E,2021,1675484788
1023,z.davies,Manlisgamncent,Blue Jaguars,29,1991,26.36,0.36,0.26,0.21,0.14,0.15,0.24,0.35,1,0.29,7.28,2.66,1,0.91,2.67,3.72,0.7,0.09,0,0.54,0.5,0.72,0.28,0.05,C,2021,1656076943
1169,x.kawooya,Giumle Lizeibon,Punctual Archers,33,1987,28.67,2.03,1.17,1.44,0.56,0.2,0.8,1.68,1,0.93,11.58,3.71,1,5.79,4.43,1.48,1.66,0.39,0,1.36,2.07,4.02,3.16,0.08,C,2021,1651699593
882,k.weiss,Central Diasongo,Villainous Eagles,23,1996,24.8,2.32,1.4,1.33,0.77,0.2,0.61,1.51,1,0.77,10.76,3.45,1,4.67,4.16,2.01,1.88,0.28,0.07,1.62,1.69,3.89,2.42,0.08,B,2021,1649444056
2724,z.kakai,Rarita,Serious Buffaloes,26,1993,25.98,1.49,0.93,0.93,0.41,0.19,0.56,1.5,1,1.01,14.51,3.85,1,6.45,5.7,2.26,1.38,0.19,0,1.11,1.27,2.85,1.78,0.06,RFL,2021,1645099610
1804,g.kaweesa,Central Namemo Laand,Red Rangers,26,1994,25.5,1.97,1.51,1.1,0.98,0.12,0.56,1.35,1,0.82,17.48,5.49,1,5.1,9.04,3.23,1.95,0.26,0.02,1.57,1.4,3.35,2.23,0.11,D,2021,1639378066
693,h.naluyima,Lenia Gerdanho,Simple Privateers,25,1994,25.55,2.49,1.51,1.52,0.77,0.2,0.99,2.08,1,0.98,11.61,3.59,1,5.88,4.17,1.48,2.39,0.27,0,2.16,2.27,4.79,3.1,0,B,2021,1624249966
