,Player,Nation,Squad,Age,Born,X90s,Gls,Standard.Sh,Standard.SoT,Standard.SoT.,Standard.Sh.90,Standard.SoT.90,Standard.G.Sh,Standard.G.SoT,Standard.Dist,Standard.FK,Performance.PK,Performance.PKatt,Expected.xG,Expected.npxG,Expected.npxG.Sh,Expected.G.xG,Expected.np.G.xG,League,Year,mv
437,g.lombardo,Dosqaly,Glistening Paladins,22,1997,22.4,0.25,2.5,0.97,1,2.39,0.89,0.11,0.41,12.95,0.1,0.05,0,0.24,0.41,0.17,-0.1,0.03,B,2021,2215796350
2259,c.nangobi,Manlisgamncent,Mad Kingsmen,34,1985,30.32,0.06,1.56,0.5,1,1.58,0.57,0.15,0.3,21.26,0,0,0.09,0.02,0.1,0.07,0.11,-0.01,E,2021,2210724977
1826,z.delemovi,Sobianitedrucy,Remarkable Flames,25,1995,23.97,0.07,1.17,0.38,1,1.11,0.32,0,0.1,17.97,0,0,0,0.08,0.14,0.14,0.03,-0.15,D,2021,2210085876
2171,l.sanz,Nganion,Hideous Spiders,32,1988,28.1,0,1.01,0.38,1,0.95,0.4,0,0.09,19.7,0,0.07,0.03,0.08,0.13,0.16,0.07,0.04,E,2021,2192707850
530,c.nafuna,Dosqaly,Jumping Beans,23,1997,22.93,0.13,2.73,0.87,1,2.66,0.95,0.15,0.12,24.58,0.42,0.04,0.02,0.25,0.15,0,0.11,-0.03,B,2021,2165912594
793,m.okumu,Nganion,Supreme Janes,23,1997,25.32,0,0.26,0.07,1,0.39,0.1,0.08,0,20.55,0,0.1,0,0,0.03,0,-0.11,-0.07,B,2021,2163719494
2759,x.leroy,Rarita,Strong Oaks,26,1994,24.88,0.05,0.81,0.29,1,0.81,0.12,0,0,25.7,0.1,0.06,0.08,0.08,0,0.03,0.02,0.01,RFL,2021,2160023674
1122,g.wahab,Dosqaly,Marvelous Anchors,30,1990,26.7,0.12,0.92,0.31,1,0.79,0.24,0.05,0.14,21.21,0.29,0,0,0.11,0.08,0.1,-0.06,0.09,C,2021,2154143907
1412,l.mponda,Dosqaly,Weak Chargers,23,1997,23.29,0.04,1.29,0.23,1,1.37,0.25,0.09,0.14,20.07,0.05,0,0.09,0.07,0,0.04,0.01,-0.1,C,2021,2147328086
964,b.murray,Danan Seekeeling,Wet Monarchs,24,1996,24.83,0.02,0.35,0.22,1,0.38,0.2,0.04,0.24,23.41,0.06,0.06,0,0.12,0.1,0.04,0.11,0.09,B,2021,2136139072
2329,a.kamusiime,People's Land of Maneau,Polar Kangaroos,29,1990,27.56,0,0.11,0,1,0.05,0.07,0.06,0,19.06,0.07,0.06,0,0,0,0,0.08,0.09,E,2021,2129518050
2397,c.devries,Nganion,Rabid Greyhounds,30,1989,26.62,0.24,0.66,0.18,1,0.68,0.2,0.19,0.51,20.93,0.14,0.01,0.06,0.06,0,0.06,0.01,0.06,E,2021,2107551753
1067,k.nyakudya,Esia,Horrible Flames,24,1996,24.73,0,0.44,0.1,1,0.31,0.17,0.15,0.42,9.71,0,0,0,0.06,0.13,0.02,0.02,0.1,C,2021,2099197228
302,b.maturu,People's Land of Maneau,Somber Bombers,28,1992,23.18,0.51,1.94,0.76,1,1.92,0.6,0.15,0.53,13.02,0.09,0.18,0.2,0.49,0.32,0.24,-0.04,0.02,A,2021,2082776314
2299,u.ahebwa,Nganion,Plane Janes,24,1996,23.25,0.01,0.85,0.42,1,1.04,0.27,0,0.22,17.81,0.06,0,0.07,0,0.17,0.14,0.02,0.02,E,2021,2078248586
1672,n.alum,Imaar Vircoand,Marvelous Heels,30,1990,27.08,0.05,0.17,0.02,1,0.19,0.12,0.34,0.92,26.8,0,0.02,0,0,0.03,0.12,-0.03,-0.04,D,2021,2075892912
2195,d.mulumba,Nganion,Horrible Bison,23,1997,23.01,0.11,0.37,0.16,1,0.3,0,0.15,0.59,21.04,0,0.08,0.08,0,0,0.12,0.04,-0.03,E,2021,2071015552
375,h.makoni,Slandsganiamayotteque,Weak Tornadoes,22,1997,23.97,0.07,0.4,0.22,1,0.38,0.17,0,0,18.96,0,0,0,0,0.08,0.08,-0.08,0.04,A,2021,2058188446
2406,i.niemi,Imaar Vircoand,Running Bigfoots,28,1991,25.82,0.07,0.74,0.04,1,0.63,0.1,0.02,0.35,20.71,0.03,0.03,0.01,0.11,0.02,0,-0.02,0.06,E,2021,2043283337
2662,f.kazembe,Lefghau,Marvelous Coyotes,23,1997,22.92,0.35,2.32,0.66,1,2.42,0.71,0.25,0.65,12.89,0.07,0,0,0.3,0.34,0.08,-0.05,0.05,RFL,2021,2035520189
231,b.kor,Cuandbo,Punctual Rustlers,30,1989,25,0.33,1.86,0.58,1,1.8,0.5,0.12,0.16,21.2,0.22,0.14,0.23,0.19,0.15,0.15,0.02,0,A,2021,2025826934
2189,o.rodrigues,Nganion,Horrible Bison,28,1992,24.37,0.3,1.33,0.56,1,1.37,0.41,0.35,0.6,12.97,0,0.03,0.05,0.14,0.16,0.15,0.08,0.17,E,2021,2021206104
2233,o.seah,Dosqaly,Mad Kingsmen,25,1995,24.4,0.09,0.47,0.13,1,0.42,0.11,0.07,0.56,18.96,0,0,0,0.02,0,0,-0.06,-0.06,E,2021,2005928080
877,x.kamble,Dosqaly,Unethical Comets,28,1991,24.03,0.29,2.17,0.62,1,2.31,0.59,0.14,0.15,25.21,0.49,0.06,0.13,0.27,0.11,0.06,0.01,0.02,B,2021,2004369791
1860,i.mwase,Imaar Vircoand,Serious Ranchers,25,1994,21.49,0.44,2.46,1.08,1,2.58,1.03,0.06,0.36,13.48,0,0.06,0.11,0.41,0.27,0.17,0,-0.02,D,2021,1995776213
2042,b.mtonga,Nganion,Deferred Dolphins,28,1992,24.05,0.09,1.2,0.54,1,1.11,0.45,0.07,0.36,15.01,0.05,0.04,0.03,0.23,0.16,0.19,-0.12,-0.1,E,2021,1991465242
2272,i.murakami,Nganion,Orange Giants,21,1999,24.25,0.03,0.39,0.08,1,0.44,0.12,0.01,0.07,22.68,0,0.02,0,0,0,0,-0.11,-0.06,E,2021,1970930609
2409,c.navarro,Nganion,Running Bigfoots,34,1985,31.43,0,0.48,0.03,1,0.56,0.07,0.02,0.01,18.26,0.02,0.01,0.06,0.09,0.01,0,-0.08,-0.11,E,2021,1964178133
2484,s.wimmer,Nganion,Screaming Ramblers,26,1993,23.21,0.18,1.03,0.36,1,1.1,0.44,0.19,0.37,17.61,0.1,0.02,0,0.12,0.14,0.18,-0.03,0.11,E,2021,1962502294
845,z.ndawula,Eastern Covaki,Unaccountable Foxes,24,1996,22.33,0.36,2.6,1.08,1,2.61,1.05,0.15,0.45,12.06,0,0.07,0,0.52,0.55,0.23,0.02,0.01,B,2021,1953798024
1552,h.zare,Rarita,Fighting Clippers,29,1991,25.44,0,0.35,0.22,1,0.29,0.04,0.07,0,11.04,0.08,0.03,0,0.09,0.02,0.16,0.01,-0.02,D,2021,1947150253
267,r.navarro,Highhlaands,Solemn Cougars,32,1988,27.55,0.12,0.29,0.17,1,0.36,0.13,0.2,0.75,7.64,0,0.09,0.05,0.08,0.07,0.13,0,0.05,A,2021,1946853553
774,o.kuloba,Central Namemo Laand,Supreme Janes,25,1995,21.68,0.04,0.38,0.14,1,0.28,0.18,0.04,0.2,6.25,0,0,0,0,0,0.26,-0.08,0.02,B,2021,1945611285
334,g.magnusson,Dosqaly,Stacked Rocks,23,1996,23.26,0.19,0.74,0.29,1,0.7,0.34,0.1,0.5,17.16,0.01,0.02,0,0.09,0.04,0.02,0.07,0.09,A,2021,1940132208
1334,j.muianga,Biarizea,Supreme Jaguars,23,1997,23.38,0.11,1.03,0.23,1,1.04,0.25,0.1,0.41,20.25,0.09,0.01,0.02,0,0.03,0,-0.01,0.01,C,2021,1939867704
1825,y.vitali,Sobianitedrucy,Remarkable Flames,27,1993,23.68,0.03,0.84,0.3,1,1.02,0.28,0.13,0.27,17.47,0,0.03,0.03,0.17,0.02,0.14,0.02,0.01,D,2021,1936783618
2112,z.gholami,Nganion,Festive Governors,32,1988,27.95,0,0.19,0.07,1,0.03,0.09,0,0.06,16.99,0.07,0,0.07,0,0,0.13,0.09,-0.01,E,2021,1936272287
1198,z.tanaka,Xikong,Red Artichokes,26,1994,24.02,0.09,0.13,0.05,1,0.13,0.08,0,0.09,8.36,0,0,0,0,0.04,0.13,-0.1,-0.08,C,2021,1928748804
1479,c.musubika,Saintu,Coy Catamarans,29,1991,25.94,0.04,0.33,0.06,1,0.17,0,0.16,0.57,9.59,0.08,0.08,0.03,0,0.02,0.03,-0.03,0.11,D,2021,1927053057
1440,w.isah,Giumle Lizeibon,White Firebirds,26,1994,22.5,0.37,2.59,0.97,1,2.54,1.01,0.06,0.2,23.57,0.21,0.1,0.13,0.24,0.14,0.03,0.07,0.05,C,2021,1924065656
2521,e.balog,Nganion,Swift Bison,20,2000,22.05,0.13,0.35,0,1,0.27,0,0.06,0.93,10.59,0,0,0.06,0.07,0.09,0.12,0.07,0.05,E,2021,1922969765
804,o.bosnjak,Northern Namemo Laand,Swift Rustlers,26,1994,23.18,0.27,0.55,0.3,1,0.68,0.27,0.26,0.88,9.51,0.02,0,0.03,0.13,0.09,0.11,0.06,0.21,B,2021,1922774505
1270,m.dufour,Esia,Spicy Gophers,30,1990,25.16,0.07,0.42,0.04,1,0.45,0.02,0.12,0.57,7.08,0.09,0,0,0.01,0.09,0.22,-0.08,-0.07,C,2021,1905003658
2690,o.kraus,Nkasland Cronestan,Red Anchormen,30,1990,26.6,0.15,1.27,0.46,1,1.3,0.33,0.01,0.21,21.95,0.09,0.1,0.13,0.05,0.16,0.03,0.09,0.02,RFL,2021,1895960149
1472,j.gou,Southern Ristan,Wicked Gentlefolk,22,1998,23.46,0.11,1.09,0.38,1,1.04,0.34,0.05,0.06,20.77,0,0,0,0.15,0.06,0.03,-0.07,-0.06,C,2021,1892198964
1006,f.ashaba,Giumle Lizeibon,Blue Jaguars,23,1997,23.58,0,0.44,0.02,1,0.45,0.11,0,0.02,20.59,0.14,0,0.02,0,0,0.04,-0.09,0,C,2021,1890708163
2330,o.nalubega,Southern Ristan,Polar Kangaroos,26,1993,24.25,0.2,1.85,1.12,1,1.84,1.07,0.17,0.21,16.97,0,0,0,0.31,0.27,0.04,0.1,0.04,E,2021,1888607353
882,k.weiss,Central Diasongo,Villainous Eagles,23,1996,24.66,0,0.26,0.15,1,0.19,0.12,0.02,0.01,21.31,0,0.01,0,0.06,0.04,0,-0.09,-0.04,B,2021,1888329659
1365,o.kyomukama,Dosqaly,Ultimate Longhorns,20,1999,22.66,0.18,0.83,0.23,1,0.7,0.23,0.08,0.65,11.65,0.08,0,0.04,0.03,0.06,0,0.14,0.15,C,2021,1880705510
1503,b.teh,Sobianitedrucy,Coy Catamarans,28,1992,25.76,0.01,0.58,0.23,1,0.49,0.18,0,0.17,19.55,0.09,0,0,0.11,0.04,0,0,0.06,D,2021,1870899272
868,a.uy,People's Land of Maneau,Unethical Comets,22,1998,22.58,0.39,1.43,0.81,1,1.32,0.77,0.25,0.52,12.83,0.09,0,0.06,0.19,0.27,0.09,0.24,0.14,B,2021,1853447099
2517,c.najafi,Greri Landmoslands,Swift Bison,21,1999,23.63,0.11,0.33,0.14,1,0.34,0.09,0.06,0.41,17.09,0,0,0,0.03,0.11,0.04,-0.09,0.07,E,2021,1832254716
2686,v.sultan,Rarita,Red Anchormen,20,1999,23.09,0,0.52,0.21,1,0.66,0.18,0.03,0.2,9.05,0.08,0,0,0.06,0.17,0.1,0.03,-0.01,RFL,2021,1817410449
261,a.nyasulu,Rosvi,Silver Heels,29,1991,26.2,0,0.67,0.17,1,0.57,0.17,0.04,0.06,27.06,0.36,0.02,0.06,0.18,0.04,0.02,-0.07,0,A,2021,1814246786
802,m.kamya,Dosqaly,Swift Rustlers,22,1998,22.21,0.22,0.88,0.36,1,0.92,0.26,0.12,0.58,10.04,0.07,0.06,0,0.16,0.02,0.03,0.03,0.08,B,2021,1810097324
270,y.deng,People's Land of Maneau,Solemn Cougars,22,1998,23.1,0.1,0.46,0.14,1,0.47,0.04,0.25,0.69,14.85,0,0,0,0.15,0.1,0.1,-0.06,-0.06,A,2021,1808899806
1274,a.soltani,Southern Ristan,Spicy Gophers,21,1999,23.13,0.03,0.61,0.18,1,0.58,0.17,0.14,0.19,8.84,0,0,0,0.07,0.1,0.09,-0.07,-0.1,C,2021,1805341069
928,p.khoh,Mico,Weak Blimps,22,1997,21.41,0.22,1.58,0.79,1,1.72,0.84,0.09,0.25,12.89,0,0.09,0.1,0.35,0.31,0.21,-0.04,-0.04,B,2021,1801616755
2678,b.opoka,Ngoque Blicri,Red Anchormen,28,1991,24.34,0.11,0.61,0.35,1,0.62,0.4,0,0.18,8.78,0.08,0.04,0,0.03,0.03,0.07,0.07,0.02,RFL,2021,1800755473
1586,g.owusu,Nganion,Fighting Wave,27,1992,22.44,0.51,2.36,0.99,1,2.39,0.99,0.23,0.42,11.3,0,0.09,0,0.42,0.36,0.23,-0.08,0.07,D,2021,1790637890
263,a.bruno,People's Land of Maneau,Silver Heels,29,1991,25.01,0.07,1.46,0.42,1,1.37,0.4,0,0.08,21.83,0.22,0,0.04,0.12,0.02,0.02,-0.01,0,A,2021,1790294598
925,g.kasamba,Quewenia,Weak Blimps,21,1998,23.51,0.1,0.26,0.04,1,0.39,0.04,0.18,0.51,21.12,0.09,0.03,0.01,0.02,0.03,0.03,-0.01,0.01,B,2021,1789379381
851,i.oryema,Lefghau,Unaccountable Foxes,28,1992,24.87,0.06,0.94,0.36,1,0.96,0.24,0.05,0,21.16,0.03,0,0.05,0.02,0,0.06,-0.04,-0.11,B,2021,1789059128
938,n.maeda,Dosqaly,Weak Blimps,27,1993,22.94,0.09,1.92,0.59,1,1.9,0.5,0.01,0.28,20.01,0.06,0,0.13,0.28,0.24,0.15,0.01,-0.07,B,2021,1772733424
1126,p.ma,Esia,Marvelous Anchors,26,1994,23.22,0.18,1.67,0.59,1,1.68,0.49,0.17,0.31,12.38,0.01,0.08,0.06,0.4,0.33,0.19,-0.08,-0.14,C,2021,1767572331
1253,f.blanco,Manlisgamncent,Silver Frogs,22,1998,20.12,0.3,2.29,1.1,1,2.37,1.04,0.07,0.27,19.73,0.12,0,0,0.25,0.14,0.17,0.26,0.09,C,2021,1763577213
59,i.bintiomar,Djipines,Great Galactic Gorgons,19,2000,23.25,0.03,0.34,0.16,1,0.3,0.09,0.07,0,17.15,0,0,0.03,0.06,0.07,0.12,0.04,-0.08,A,2021,1754026728
2402,l.lubega,Nganion,Rabid Greyhounds,23,1996,22.36,0.04,0.88,0.07,1,0.77,0.15,0.18,0.69,16.09,0,0,0.02,0.09,0.17,0.15,-0.09,-0.03,E,2021,1748452246
2676,b.sugawara,Greri Landmoslands,Marvelous Coyotes,25,1994,22.85,0.17,1.26,0.6,1,1.18,0.66,0.11,0.1,14.7,0.1,0,0.09,0.14,0.15,0.09,-0.11,0,RFL,2021,1746510363
2246,m.knezevi,Lefghau,Mad Kingsmen,20,2000,21.84,0.06,1.89,0.69,1,1.98,0.54,0.15,0.25,13.86,0.06,0,0,0.34,0.26,0.18,-0.22,-0.23,E,2021,1746229388
2571,v.it,Mico,Black Coyotes,31,1989,26.6,0,0.53,0.16,1,0.64,0,0.03,0,11.25,0.02,0.06,0,0,0,0.12,-0.01,-0.04,RFL,2021,1741715331
666,j.schuster,Reugha,Simple Jayhawks,23,1997,21.71,0.06,0.64,0.09,1,0.47,0.2,0.05,0.22,8.62,0.03,0,0,0.01,0.03,0.15,0.02,0,B,2021,1722816458
505,o.soleimani,Dosqaly,Grotesque Rocks,22,1998,23.16,0.06,1.17,0.32,1,1.13,0.31,0.12,0.26,17.11,0,0,0.09,0.21,0.14,0.02,-0.02,-0.09,B,2021,1722791107
404,f.yunusa,Rarita,Flawless Cows,26,1994,23.68,0.16,0.71,0.26,1,0.63,0.25,0.25,0.47,8.29,0,0,0,0.05,0.13,0.1,0.02,0.06,B,2021,1720680054
599,v.thakor,Dosqaly,Overconfident Kangaroos,18,2001,21.71,0.09,1.07,0.1,1,1.06,0.22,0,0.35,20.17,0,0.02,0.09,0.09,0,0.1,0.05,-0.07,B,2021,1717854112
2627,l.chhang,People's Land of Maneau,Mad Wolverines,27,1993,24.79,0.07,0.52,0.26,1,0.5,0.24,0.06,0.03,17.64,0.01,0.05,0,0,0,0.03,0.03,-0.08,RFL,2021,1716438952
434,s.bukirwa,Dosqaly,Glistening Paladins,23,1997,22.45,0.11,0.31,0.06,1,0.34,0,0.19,1.01,12.76,0.06,0.06,0.05,0,0,0.02,0.03,0.03,B,2021,1713036993
1776,d.deli,Sobianitedrucy,Mighty Monkeys,33,1987,27.79,0.14,2.01,0.69,1,2.14,0.6,0.13,0.09,22.25,0.18,0.17,0.07,0.14,0.15,0.11,-0.05,-0.06,D,2021,1702255641
1457,d.ortiz,Lenia Gerdanho,Wicked Gentlefolk,21,1998,21.36,0.48,1.9,0.8,1,1.95,0.72,0.23,0.54,15.92,0,0.19,0.05,0.33,0.17,0.09,0.16,0.08,C,2021,1702174649
1559,f.akwero,Sobianitedrucy,Fighting Clippers,26,1993,21.27,0.46,2.91,0.87,1,2.99,0.95,0.11,0.37,18.71,0,0,0,0.17,0.16,0.09,0.24,0.23,D,2021,1695842640
2065,h.shuaibu,Nganion,Delta Colts,24,1996,23.08,0.13,0.45,0.15,1,0.43,0.22,0.12,0.32,7.63,0,0.06,0,0,0,0.03,0.03,-0.07,E,2021,1693733734
305,r.dewit,Lefghau,Somber Bombers,23,1996,21.99,0.12,2.06,0.86,1,2.05,0.85,0.02,0.14,14.31,0.03,0.09,0.05,0.35,0.3,0.12,-0.03,-0.2,A,2021,1691692919
1997,k.krisensen,Nganion,Big Foxes,30,1989,25.14,0.21,0.62,0.25,1,0.56,0.21,0.29,0.64,12.69,0.1,0,0,0.05,0.13,0.19,0.08,0.13,E,2021,1688731111
1450,l.mensah,Manlisgamncent,Wicked Gentlefolk,22,1998,22.61,0.01,0.6,0.11,1,0.53,0.08,0.04,0,21.79,0.07,0,0,0,0.01,0.11,0.04,-0.09,C,2021,1684563192
1225,z.braun,Esia,Serious Cyclones,26,1994,23.74,0.14,0.76,0.17,1,0.74,0.16,0.05,0.29,17.46,0.04,0.06,0.09,0.08,0.13,0.06,0,0.04,C,2021,1672574294
279,x.joly,People's Land of Maneau,Solemn Cougars,22,1997,21.63,0.49,2.55,1.24,1,2.51,1.11,0.25,0.45,16.81,0,0.04,0,0.23,0.3,0.08,0.05,0.08,A,2021,1664408026
104,a.haruna,Dosqaly,Horrible Grizzlies,25,1994,22.47,0.16,1.1,0.49,1,1.2,0.62,0.17,0.49,12.22,0,0,0.07,0.1,0.01,0,0.14,0.05,A,2021,1660282902
2516,h.jovanovi,Dosqaly,Swift Bison,23,1996,23.13,0.11,0.51,0.26,1,0.39,0.22,0.14,0.28,9.96,0.02,0,0,0.11,0,0.01,0.08,-0.1,E,2021,1659204272
2586,w.martinez,Rarita,Black Coyotes,21,1999,21.42,0.21,1.93,0.89,1,2.04,0.95,0.23,0.33,15.71,0.07,0,0.1,0.23,0.22,0.1,-0.07,-0.06,RFL,2021,1641206403
60,m.ludwig,Rarita,Great Galactic Gorgons,32,1988,28.56,0.01,0.36,0.06,1,0.43,0.11,0,0.01,13.1,0,0.05,0.1,0,0.07,0.01,-0.04,-0.11,A,2021,1623146608
1435,z.eshun,Dosqaly,White Firebirds,22,1997,20.95,0.2,2.59,1.27,1,2.69,1.27,0.16,0.24,17.27,0.21,0,0.02,0.4,0.28,0.12,-0.12,-0.16,C,2021,1620969293
528,r.rusere,Tercapetralgrorus,Jumping Beans,22,1998,22.62,0.03,0.44,0.17,1,0.57,0,0.02,0.4,26.7,0,0.03,0.08,0.04,0,0.02,0.01,0.1,B,2021,1615099108
1685,k.mayanja,Bernepamar,Marvelous Heels,27,1993,20.75,0.28,3.31,1.19,1,3.4,1.1,0.08,0.2,20.63,0.63,0.04,0,0.32,0.19,0.14,-0.03,-0.03,D,2021,1607068916
568,q.nakintu,Dosqaly,Mean Poets,30,1989,25.68,0,0.43,0.17,1,0.27,0.25,0.03,0,19.23,0,0,0,0,0,0.11,0.02,0.04,B,2021,1605156198
696,h.lefebvre,Reugha,Simple Privateers,25,1994,21.47,0.09,0.25,0.21,1,0.23,0.11,0.35,0.68,6.65,0.1,0.08,0.1,0.08,0.05,0.23,0.06,-0.03,B,2021,1605046174
730,p.chi,Rarita,Solemn Leopards,30,1990,26.6,0,0.14,0.04,1,0.04,0.01,0,0,8.89,0,0,0,0.08,0.01,0.02,0.02,0.02,B,2021,1590659316
1354,l.tu,Esia,Ultimate Dolphins,24,1996,20.1,0.3,2.92,1.01,1,2.85,1.15,0.04,0.37,18.69,0,0.04,0,0.28,0.22,0.14,0,0.01,C,2021,1581747782
2021,o.kueh,Nganion,Big Foxes,27,1992,21.65,0.14,0.32,0.02,1,0.31,0.08,0.28,0.95,18.85,0.01,0.19,0.07,0.16,0.05,0.3,0.04,-0.08,E,2021,1579648806
2573,c.tukamushaba,Rarita,Black Coyotes,25,1995,21.2,0.07,0.67,0.12,1,0.8,0.21,0.15,0.41,6.65,0.01,0.04,0,0.1,0.07,0.24,-0.01,-0.11,RFL,2021,1576340177
1190,m.kiiza,Mico,Punctual Archers,24,1996,21.81,0.18,1.69,0.67,1,1.63,0.68,0.1,0.21,18.26,0.19,0.09,0.09,0.21,0.19,0.08,-0.06,0.06,C,2021,1566591934
352,t.acom,People's Land of Maneau,Swift Musketeers,28,1992,24.1,0.56,2.35,0.97,1,2.26,0.94,0.25,0.36,14.97,0,0,0.07,0.32,0.36,0.06,0.23,0.15,A,2021,1561219530
215,i.namugosa,Western Niasland,Punctual Rustlers,25,1994,21.49,0.15,0.77,0.11,1,0.82,0.21,0.1,0.59,10.23,0,0.01,0.06,0.11,0.1,0.17,-0.05,-0.07,A,2021,1556501801
1060,m.nakaggwa,Byasier Pujan,Fiery Governors,26,1994,22.87,0.15,1.25,0.47,1,1.19,0.3,0.06,0.32,19.23,0.07,0,0.02,0.02,0.19,0.12,-0.07,0.04,C,2021,1555988034
2423,g.gentile,Lefghau,Running Bigfoots,33,1987,28.33,0.03,0.08,0.23,1,0.17,0.14,0.53,0.84,14.86,0,0,0.08,0.12,0.04,0.13,0,0.13,E,2021,1545369931
739,q.okiror,Dosqaly,Solemn Leopards,33,1987,26.96,0.28,1.58,0.73,1,1.62,0.61,0.25,0.38,21.5,0.31,0.06,0.08,0.1,0.24,0.2,0.14,0.15,B,2021,1544690498
759,m.nagudi,Pitpu Biaal,Somber Stallions,26,1994,24.23,0,0.08,0,0,0.11,0,0,0,22.9,0,0,0.08,0.05,0,0.02,-0.04,0.02,B,2021,1536778190
2217,j.taylor,Nganion,Mad Bees,33,1987,27.09,0.49,2.12,0.94,1,2.19,1,0.14,0.57,16.17,0.09,0.02,0.1,0.3,0.38,0.13,0.13,0.13,E,2021,1536312226
1901,x.kanyunyuzi,Manlisgamncent,Spicy Pointers,31,1989,26.79,0.02,0.65,0.17,1,0.59,0.23,0.16,0.29,23.63,0.03,0,0,0.06,0,0.04,0.08,0.08,D,2021,1529204970
156,s.chided,Lefghau,Mighty Jays,22,1997,22.16,0.15,0.62,0.25,1,0.75,0.13,0.14,0.42,11.28,0,0,0.08,0.03,0,0,-0.03,0.01,A,2021,1518112337
1232,q.sithole,Slandsganiamayotteque,Serious Cyclones,17,2002,21.97,0.21,1.72,0.51,1,1.82,0.64,0.13,0.38,15.83,0.09,0,0.08,0.24,0.27,0.12,0.06,-0.04,C,2021,1515163079
2631,o.demirovi,Southslands,Mad Wolverines,21,1999,23.3,0,0.25,0,0,0.2,0.1,0.08,0,11.01,0,0,0,0.04,0.05,0,-0.04,0.06,RFL,2021,1511307222
1838,k.ndiweni,Dosqaly,Remarkable Flames,27,1993,22.87,0.54,1.61,0.67,1,1.57,0.61,0.19,0.37,20.14,0.15,0.23,0.21,0.25,0.22,0.08,0.16,0.1,D,2021,1509356241
1547,b.namazzi,Ledian,Coy Sunbirds,33,1987,25.8,0.19,2.18,0.61,1,2.2,0.67,0,0.22,20.31,0.07,0.22,0.19,0.27,0.07,0.12,0.06,-0.1,D,2021,1506673162
124,m.matsumoto,Dosqaly,Horrible Grizzlies,29,1991,23.89,0.02,0.39,0.09,1,0.51,0.04,0.07,0.08,19.56,0,0.05,0.04,0.03,0,0.19,0.04,0.05,A,2021,1497756098
1556,h.kirabira,Newgan Ruland,Fighting Clippers,25,1995,21.88,0.41,2.67,1.29,1,2.61,1.3,0.23,0.46,15.17,0,0.1,0.01,0.44,0.44,0.12,0.24,0.07,D,2021,1494655799
1934,h.che,Sobianitedrucy,Strange Pioneers,30,1989,25.16,0.13,1.63,0.43,1,1.7,0.41,0.08,0.36,19.68,0.06,0,0,0.14,0.14,0.04,0.05,0.1,D,2021,1493659692
1626,o.night,Sobianitedrucy,Flying Bombadiers,23,1997,19.5,0.38,2.69,1.01,1,2.65,0.97,0.01,0.25,18.19,0.45,0.24,0.14,0.47,0.29,0.17,-0.04,-0.07,D,2021,1489090110
1548,x.boyko,Coastpa Barleslands,Fighting Clippers,29,1991,24.52,0,0.42,0,1,0.5,0,0,0,11.35,0,0,0,0.01,0,0.1,-0.07,0.03,D,2021,1484637831
394,j.wan,People's Land of Maneau,Weak Tornadoes,24,1996,21.18,0.13,1.77,0.35,1,1.79,0.38,0.02,0.18,15.16,0.01,0,0.07,0.19,0.17,0.14,-0.07,-0.17,A,2021,1471071491
2672,a.kuhn,Esia,Marvelous Coyotes,29,1990,22.57,0.52,2.24,1,1,2.26,0.84,0.22,0.66,16.46,0.16,0.07,0.13,0.38,0.39,0.22,0.23,0.16,RFL,2021,1469690149
2488,c.machingura,Nganion,Serious Magicians,28,1992,23.78,0.16,0.49,0.34,1,0.49,0.28,0.24,0.43,14.86,0,0.08,0.08,0.02,0.04,0.09,-0.03,0.09,E,2021,1469053350
27,i.ludwig,People's Land of Maneau,Fighting Cougars,28,1992,22.96,0,0.71,0.21,1,0.74,0.2,0.13,0.25,14.24,0.09,0,0,0,0.07,0.19,0,0.02,A,2021,1454608657
159,z.semakula,Nganion,Mighty Jays,25,1995,23.27,0.13,0.58,0.22,1,0.72,0.24,0.12,0.27,19.18,0,0.03,0,0,0.11,0.05,-0.06,0.07,A,2021,1449049468
2152,g.kalyango,Nganion,Hideous Spiders,23,1997,21.79,0.11,0.54,0.16,1,0.52,0.14,0.11,0.15,18.32,0.02,0,0.1,0,0.08,0.13,0.03,0.04,E,2021,1445026477
2461,b.binder,Nganion,Screaming Ramblers,30,1990,26.31,0,0.4,0.05,1,0.43,0.06,0.1,0.37,24.8,0.04,0.02,0,0.03,0.1,0.05,0.06,0.08,E,2021,1443538814
1240,a.yusuf,Esia,Serious Cyclones,31,1989,25.23,0.33,2.12,0.89,1,2.19,0.87,0.23,0.32,16.09,0.16,0.06,0.01,0.49,0.27,0.12,-0.05,0.1,C,2021,1442691193
91,z.nabaweesi,People's Land of Maneau,Green Fleet,18,2001,20.28,0.45,3.22,1.19,1,3.34,1.22,0.05,0.35,16.45,0,0.03,0.02,0.3,0.29,0.07,0.05,0.02,A,2021,1437641024
2177,g.leone,Nganion,Horrible Bison,23,1997,21.9,0.1,0.46,0.19,1,0.32,0.1,0.03,0.35,16.22,0,0,0.04,0,0.13,0.13,0.03,-0.04,E,2021,1425944487
1342,z.nassolo,Rarita,Ultimate Dolphins,31,1988,26.32,0.06,0.26,0.09,1,0.31,0.1,0.06,0.27,18.29,0,0,0.06,0,0,0.04,0.04,0.11,C,2021,1417268900
1749,s.ghaffari,Lefghau,Mean Wolves,25,1995,22.87,0,0.73,0.13,1,0.81,0.18,0.07,0,23.06,0.04,0.09,0,0.05,0.04,0.08,-0.13,-0.06,D,2021,1416062461
