"","Player","Nation","Squad","Age","Born","X90s","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","League","Year","mv"
"322","k.mpofu","Nganion","Stacked Rocks",23,1996,24.96,43.2,55.89,1,743.28,262.24,21.06,23.74,1,18.64,22.92,1,2.82,6.96,1,0.05,0.15,0.07,0.72,2.44,1.01,0.72,3.29,"A",2021,914857916.847653
"323","a.janssen","People's Land of Maneau","Stacked Rocks",21,1999,5.41,35.64,42.39,1,536.64,215.36,19.93,22.18,1,13.27,15.08,1,1.36,3.23,1,0.04,0,0.08,0.09,1.04,0.61,0.19,2.12,"A",2021,10921467.6743972
"324","d.nishimura","People's Land of Maneau","Stacked Rocks",26,1994,28.06,50.01,59.14,1,1129.67,381.72,14.03,15.5,1,25.43,27.37,1,10.39,15.4,1,0,0.06,0,0.06,2.66,0.08,0.03,2.28,"A",2021,1029047748.06266
"325","e.koc","Rarita","Stacked Rocks",28,1992,13.89,48.33,59.97,1,793.14,307.16,25.91,29.14,1,18.1,22.24,1,3.49,6.39,1,0.15,0.13,0.03,0.83,1.61,1.01,0.58,3.02,"A",2021,47778397.7944074
"326","w.karlsson","Southern Ristan","Stacked Rocks",31,1989,24.9,45.81,54.79,1,1089.37,302.71,10.66,11.52,1,23.38,25.13,1,11.41,17.27,1,0.02,0.03,0.04,0.31,2.99,0.15,0,2.12,"A",2021,303604786.130957
"327","c.bai","Western Niasland","Stacked Rocks",24,1996,16.58,51.48,59.2,1,1107.45,285.66,13.89,15.29,1,28.35,30.59,1,8.78,12.37,1,0,0,0,0,1.31,0.02,0,1.71,"A",2021,86447309.7174848
"328","q.ariko","Djipines","Stacked Rocks",31,1989,10.27,27.76,39.9,1,546.58,174.24,13.76,16.74,1,7.89,11.26,1,5.11,9.4,1,0.29,0.16,0,2.03,2.31,1.66,0.66,3.05,"A",2021,17853014.7663506
"329","c.kadosh","Landli Blicporlip","Stacked Rocks",28,1992,34.55,26.69,34.73,1,422.18,93.84,14.85,17.13,1,7.86,9.99,1,2.47,5.42,1,0.27,0.23,0.13,2.25,0.94,0.93,0.11,1.75,"A",2021,5054355147.65238
"330","p.musiime","Lefghau","Stacked Rocks",25,1995,3.49,7.39,12.97,1,101.28,16.71,2.57,5.56,1,2.25,3.81,1,0.51,1.52,1,0,0,0,0.62,0.54,0.31,0.04,0.79,"A",2021,4946959.59181033
"331","z.bintizakaria","People's Land of Maneau","Stacked Rocks",27,1993,34.16,19.22,27.43,1,366.05,112.09,8.75,11.24,1,6.85,9.2,1,2.93,4.97,1,0.37,0.21,0.25,1.45,2.88,1.2,0.18,3.67,"A",2021,5716256620.8853
"332","l.kyalisiima","Byasier Pujan","Stacked Rocks",22,1997,13.43,25.93,31.91,1,361.29,63.38,16.01,18.06,1,7.83,9.6,1,0.71,2.21,1,0.19,0.07,0.03,0.97,1.56,0.57,0,1.35,"A",2021,66745774.9632751
"333","d.namugerwa","Imaar Vircoand","Stacked Rocks",28,1992,7.92,36.15,45.99,1,611,127.88,18.92,22.06,1,12.26,14.64,1,4.31,6.65,1,0,0.16,0,0.98,2.73,1.27,0,3.67,"A",2021,14283714.5202189
"334","c.guerrero","Lefghau","Stacked Rocks",27,1992,15.65,28.58,38.12,1,435.7,108,16.19,19.65,1,10.09,12.32,1,1.53,3.59,1,0.31,0.07,0.08,1.03,2.01,0.8,0.28,3.08,"A",2021,74462754.8256733
"335","w.nasiru","Rarita","Stacked Rocks",33,1986,38.03,20.02,28.2,1,575.45,366.32,5.31,5.29,1,7.22,7.34,1,7.38,15.01,1,0.09,0.01,0,0,0.21,0.03,0.07,0,"A",2021,3902196335.8769
"336","g.magnusson","Dosqaly","Stacked Rocks",23,1996,23.27,42.74,50.3,1,685.5,176.1,22.69,25.2,1,14.83,17.32,1,3.44,4.83,1,0.17,0.05,0,0.75,3.91,0.88,0,4.38,"A",2021,610200068.354884
"337","h.cardoso","Dosqaly","Stacked Rocks",30,1989,17.61,37.85,45.03,1,672.26,146,16.82,19.34,1,16.2,18.02,1,4.08,6.05,1,0,0,0.03,0.26,2.9,0.35,0.16,2.09,"A",2021,75552935.1586568
"338","h.ruiz","Imaar Vircoand","Stacked Rocks",24,1996,10.48,44.37,56.19,1,796.65,210.03,21.18,23.91,1,16.18,19.67,1,5.93,9.61,1,0,0.03,0.02,1.41,4.27,1.14,0,5.55,"A",2021,32169179.5357987
"339","a.kiss","Mico","Stacked Rocks",24,1995,38.01,62.99,70.73,1,1191.15,321.7,25.32,27.61,1,28.69,31.38,1,8.17,10.59,1,0.07,0.07,0.08,0.4,6.14,0.44,0.11,5.11,"A",2021,14775929128.9884
"340","i.nayak","People's Land of Maneau","Stacked Rocks",24,1996,9.66,57.67,68.5,1,1091.02,307.41,24.04,26.27,1,25.34,28.05,1,7.55,11.42,1,0.02,0,0,0.49,7.59,0.63,0,5.56,"A",2021,27566707.2977375
"341","v.alvarez","Rarita","Stacked Rocks",24,1996,6.97,39.17,48.9,1,674.59,155.13,17.96,20.91,1,16.83,19.12,1,3.74,5.69,1,0.16,0.17,0.09,1.17,2.53,1.21,0.21,3.92,"A",2021,16615074.9523726
"342","j.tse","Dosqaly","Swift Musketeers",18,2001,0.08,0.09,19.92,0.08,0.04,0,0.05,10.1,0,0.06,0,0,0.06,0,0,0,0.09,0.07,0,0,0.05,0,0,"A",2021,4041575.53658887
"343","w.twinamatsiko","Mico","Swift Musketeers",27,1992,28.52,50.47,59.82,1,1045.62,379.43,17.66,19.08,1,25.62,28.74,1,7.12,11.22,1,0.08,0.05,0,0.17,3.41,0.36,0.05,2.52,"A",2021,1165833357.65345
"344","k.ferrari","Nancipenuaroe","Swift Musketeers",21,1999,9.5,32.95,39.97,1,545.56,196.73,16.31,17.9,1,13.46,15.77,1,2.46,4.29,1,0,0.07,0,0.02,1.76,0,0,1.92,"A",2021,27199474.7011539
"345","d.shahar","Nkasland Cronestan","Swift Musketeers",24,1996,34.33,49.38,58.22,1,944.11,314.26,18.26,19.6,1,25.55,27.84,1,5.25,9.69,1,0,0.01,0.02,0.1,2.33,0.11,0.1,2.23,"A",2021,4938336142.91217
"346","f.fujihara","People's Land of Maneau","Swift Musketeers",23,1997,29.43,44.1,54.99,1,734.39,243.58,22.32,24.33,1,17.16,21.18,1,3.81,6.65,1,0.09,0.06,0.04,0.62,1.98,0.59,0.02,3.2,"A",2021,2077005746.31698
"347","j.ssempijja","People's Land of Maneau","Swift Musketeers",26,1994,17.18,49.37,59.39,1,1007.05,366.77,16.4,18.53,1,25.79,28.79,1,6.91,10.87,1,0,0.07,0,0.5,3.92,0.59,0.07,3.52,"A",2021,111726609.102082
"348","p.byamukama","People's Land of Maneau","Swift Musketeers",30,1989,28.99,40.9,53.25,1,673.08,258.61,20.83,23.63,1,16.34,20.51,1,2.78,6.53,1,0,0,0,0.46,2.19,0.75,0.18,3.32,"A",2021,966095061.601218
"349","q.tiko","People's Land of Maneau","Swift Musketeers",20,2000,0.74,28.52,31.49,1,530.09,164.21,10.06,9.94,1,18.65,18.64,1,0.07,1.35,0.09,0,0.35,0,2.93,0.01,2.9,1.47,4.21,"A",2021,8108429.75289897
"350","w.alves","People's Land of Maneau","Swift Musketeers",19,2000,1.06,17.95,26,1,285.93,100.9,6.04,6.98,1,7.91,10.02,1,0.97,3.98,1,0.09,0,0.03,0.02,0,0,0.07,0,"A",2021,4117453.48901895
"351","e.kuhn","Dosqaly","Swift Musketeers",21,1999,1.03,48.21,58.15,1,802.75,244.45,22.61,24.44,1,23.58,25.48,1,1.8,5.41,1,0,0,0,0,0.01,1.89,0.87,1.76,"A",2021,4633928.41978043
"352","d.obeng","Ngoque Blicri","Swift Musketeers",24,1996,29.52,14.98,21.37,1,248.59,55.14,7.7,10.17,1,4.76,6.15,1,1.74,2.43,1,0.19,0.21,0,1.12,0.89,0.8,0.06,1.97,"A",2021,2348553034.2593
"353","c.joly","People's Land of Maneau","Swift Musketeers",21,1999,1.26,18.26,27.49,1,331.68,45.9,8.28,13.27,1,9.07,10.1,1,0.92,0.86,1,0,0,0,0.88,2.54,0.82,0,1.64,"A",2021,4939497.67646984
"354","t.acom","People's Land of Maneau","Swift Musketeers",28,1992,24.01,14.26,21.5,1,215.53,59.69,8.42,10.84,1,4.21,6.29,1,1.17,2.53,1,0.26,0.17,0,0.89,1.21,0.76,0.22,2.09,"A",2021,466360722.491085
"355","f.siddiqui","Southslands","Swift Musketeers",20,2000,0.65,18.67,21.45,1,254.32,41.49,11.39,12.86,1,4.24,5.68,1,1.35,1.51,1,0,0.06,0,1.49,1.42,0.04,0,1.5,"A",2021,4136543.00007387
"356","s.sarpong","Southslands","Swift Musketeers",33,1987,2.31,16.51,25.64,1,214.8,72.92,11.66,14.85,1,3.46,6.93,1,0.83,0.89,1,0.09,0,0,0,1.36,0,0.1,1.71,"A",2021,1708275.13274456
"357","d.tukamuhebwa","People's Land of Maneau","Swift Musketeers",21,1999,8.24,12.86,17.64,1,202.09,37.77,7.24,8.89,1,3.98,4.97,1,1.16,1.61,1,0.08,0.09,0.02,0.64,0.56,0.91,0.52,0.76,"A",2021,23410124.028501
"358","f.ribeiro","People's Land of Maneau","Swift Musketeers",30,1989,29.96,22.93,35.63,1,612.18,381.02,5.96,6.15,1,9.49,9.66,1,7.05,19.6,1,0.01,0.03,0,0,0.32,0.15,0.1,0.03,"A",2021,892049740.090836
"359","s.aslan","People's Land of Maneau","Swift Musketeers",32,1988,7.97,19.22,34.35,1,566.48,372.53,4.66,4.67,1,6.84,7.47,1,6.88,21.11,1,0.03,0,0.04,0,0.04,0,0.02,0,"A",2021,5006934.57672314
"360","f.kabanda","Dosqaly","Swift Musketeers",21,1999,11.27,44.15,51.83,1,774.85,174.4,19.4,21.83,1,20.36,21.98,1,3.68,6.77,1,0,0.09,0,0.73,3.28,0.52,0.13,2.95,"A",2021,46360041.7878515
"361","v.nakayima","Nganion","Swift Musketeers",28,1991,19.63,53.26,64.29,1,896.75,187.07,25.8,29.41,1,22.52,25.6,1,3.87,7.24,1,0.08,0.11,0.02,0.8,3.21,0.72,0,4.4,"A",2021,171255029.949761
"362","a.lombardi","Ngoque Blicri","Swift Musketeers",28,1992,30.62,32.68,41.09,1,541.2,153.51,16.89,19.63,1,12.51,14.55,1,2.84,4.12,1,0.21,0.09,0.16,1.12,2.95,1.3,0.07,3.84,"A",2021,2150045577.12142
"363","a.avako","People's Land of Maneau","Swift Musketeers",25,1994,37.95,55.71,68.99,1,998.77,264.83,24.62,27.39,1,24.07,26.64,1,5.91,13.19,1,0.21,0.15,0.04,1.44,4.01,0.67,0,4.13,"A",2021,13232356476.8516
"364","b.supriatna","Quewenia","Swift Musketeers",18,2001,0.07,2.08,2.94,1,30.95,24.95,0.99,0.93,1,0.97,1.1,1,0.08,0,0,0,0.05,0.06,0,0,1.06,0,0.99,"A",2021,4513712.70802898
"365","g.abbas","Reugha","Swift Musketeers",22,1998,13.71,21.33,29.06,1,331.23,91.46,11.61,13.86,1,8.04,10.1,1,1.27,2.43,1,0.06,0.01,0,0.43,1.25,0.84,0.24,1.78,"A",2021,68286340.6627148
"366","n.nyesiga","Southslands","Swift Musketeers",20,2000,1.97,33.63,41.07,1,585.77,127.91,14.74,16.33,1,16.33,17.85,1,2.07,5.75,1,0.05,0,0,0.08,2.18,0.6,0,2.7,"A",2021,5585017.95026008
"367","z.alupo","Central Republic of Boekrainego","Swift Musketeers",18,2002,0.45,20.1,32.49,1,402.58,102.44,10.01,17.53,1,7.57,12.5,1,2.41,2.51,1,0.02,0.05,0,0,0,2.6,2.57,0.05,"A",2021,6024987.60679462
"368","a.logose","Lylimi","Swift Musketeers",25,1995,7.99,23.46,32.41,1,362.87,67.41,12.52,15.89,1,8.7,11.06,1,1.36,3.39,1,0.05,0.04,0,0.72,1.38,0.62,0.02,2.12,"A",2021,14929518.9214458
"369","c.namutebi","People's Land of Maneau","Swift Musketeers",31,1989,18.03,17.03,23.58,1,243.7,51.41,10.22,12.32,1,5.2,7.4,1,0.68,2.04,1,0.1,0.03,0.02,0.87,1.09,0.84,0.13,1.41,"A",2021,79671478.4618213
"370","r.jacobs","People's Land of Maneau","Swift Musketeers",26,1994,19.33,29.3,38.43,1,483.12,120.57,14.54,17.46,1,11.16,14.4,1,2.61,3.96,1,0.21,0.09,0,1.58,1.78,1.52,0.18,3.93,"A",2021,206713582.316295
"371","c.danquah","Byasier Pujan","Weak Tornadoes",24,1995,16.59,38.88,52.22,1,714.11,289.85,17.01,20.4,1,16.15,20.58,1,4.74,7.77,1,0.07,0.09,0,1.01,2.03,1.49,1.1,3.22,"A",2021,128839579.973515
"372","j.tsan","Byasier Pujan","Weak Tornadoes",26,1994,1.09,36.92,38.93,1,723.1,293.06,12.04,13.07,1,22.01,23.02,1,2.95,2.98,1,0,0,0.08,1.05,2.98,0.92,1.09,2.93,"A",2021,3205459.71552844
"373","z.kituyi","Central Republic of Boekrainego","Weak Tornadoes",20,2000,0.12,69.94,75.02,1,1055.01,440.06,39.92,45.1,1,29.99,30.08,1,0.05,0,0,0.1,0.06,0,0,0.03,0.08,0,14.99,"A",2021,3505025.05630664
"374","d.mo","Dosqaly","Weak Tornadoes",30,1989,1.49,55.73,58.52,1,1315.05,458.7,12.91,12.94,1,30.71,32.07,1,11.42,12.99,1,0,0,0.04,0.05,2.13,0.69,0,4.29,"A",2021,1970234.51744096
"375","e.nakayiza","Mico","Weak Tornadoes",24,1996,30.33,50.42,60.46,1,1261.96,374.59,9.85,11.01,1,27.19,29.48,1,13.03,18.97,1,0.03,0.07,0.07,0.27,3.89,0.22,0.09,3.18,"A",2021,2123241824.96647
"376","s.wafula","People's Land of Maneau","Weak Tornadoes",22,1997,32.74,48.52,55.51,1,1138.29,363.63,9.28,10.45,1,28.58,29.95,1,10.43,14.33,1,0,0,0,0.17,2.15,0.13,0.01,2.19,"A",2021,3794065908.72502
"377","h.byamugisha","Republic of Denand Landsa","Weak Tornadoes",23,1996,29.66,44.98,57.74,1,862.9,348.66,17.86,19.7,1,20.77,24.16,1,5.78,12.05,1,0,0.13,0.05,0.52,3.3,0.56,0.3,3.37,"A",2021,2338689617.11362
"378","h.makoni","Slandsganiamayotteque","Weak Tornadoes",22,1997,24.06,40.88,56.31,1,762.84,294.67,17.06,20.05,1,18.46,23.5,1,5.08,10.36,1,0,0.01,0,1.14,1.65,1.73,1.03,3.65,"A",2021,721897792.599855
"379","t.teo","Slandsganiamayotteque","Weak Tornadoes",32,1987,6.99,56.51,61.95,1,1240.93,391.66,14.55,15.02,1,31.42,32.63,1,10.23,13.38,1,0.09,0,0.05,0,4.45,0,0.02,3.48,"A",2021,5408625.4658757
"380","g.cossa","Southern Ristan","Weak Tornadoes",32,1988,3.04,50.92,61.74,1,1054.99,345.27,17.93,20,1,23.98,27.25,1,8.37,12.03,1,0.07,0.06,0,0.34,3.65,0.61,0.31,3.24,"A",2021,2562193.26203713
"381","s.rahmani","Thaijagypt","Weak Tornadoes",28,1992,3,47.98,60.36,1,1201.74,452.72,7.33,8.68,1,26.84,28.52,1,13.44,22.17,1,0.09,0.03,0.09,0.35,3.4,0.34,0.01,3.88,"A",2021,3148756.79964677
"382","x.emmanuel","People's Land of Maneau","Weak Tornadoes",26,1993,7.31,39.93,56.83,1,707.51,298.98,19.91,23.23,1,15.01,19.27,1,4.15,11.1,1,0.01,0,0,0.78,3.18,0.69,0.26,3.69,"A",2021,11342770.0201662
"383","e.saka","Rosvi","Weak Tornadoes",25,1994,15.64,18.61,24.59,1,254.88,39.34,11.65,14.4,1,4.96,6.93,1,0.96,1.64,1,0.13,0.21,0.02,1.36,0.81,0.91,0.15,1.19,"A",2021,101006915.636054
"384","f.namajja","Central Badad","Weak Tornadoes",25,1995,3.54,26.37,36.58,1,429.74,116.96,13,16.39,1,10.07,11.7,1,2.09,5.97,1,0.07,0.19,0,1.75,1.21,1.13,0.33,3.09,"A",2021,6738954.88176353
"385","x.vtols","Greri Landmoslands","Weak Tornadoes",26,1993,27.46,21.8,30.26,1,364.44,88.33,11.18,13.6,1,7.65,9.63,1,2.27,4.77,1,0,0.13,0,1.68,0.73,1.17,0.31,1.91,"A",2021,1174768283.82118
"386","m.iqbal","Lenia Gerdanho","Weak Tornadoes",28,1992,1.39,25.44,32.22,1,314.59,76.17,19.2,19.18,1,4.67,8.55,1,0.68,2.39,1,0.01,0,0,0,0.71,0,0.04,1.53,"A",2021,2247709.38014759
"387","l.barman","People's Land of Maneau","Weak Tornadoes",22,1997,30.59,28.96,38.36,1,490.99,141.37,13.65,16.09,1,11.49,14.02,1,2.73,5.87,1,0.21,0.11,0,1.92,1.58,1.32,0.16,3.45,"A",2021,3374673753.75049
"388","u.atugonza","Republic of Denand Landsa","Weak Tornadoes",21,1998,8.98,17.4,19.89,1,278.98,22.1,9.37,10.22,1,5.96,6.26,1,1.5,1.72,1,0.04,0.18,0,0.86,0.43,0.48,0.03,0.69,"A",2021,28218709.8298216
"389","n.kyohirwe","Dosqaly","Weak Tornadoes",27,1993,35.99,20.58,27.82,1,560.19,334.3,6.18,6.13,1,6.91,7.15,1,6.83,14.02,1,0,0,0.01,0,0.19,0,0,0,"A",2021,4596848723.38846
"390","e.bintiismail","Ledian","Weak Tornadoes",23,1996,2.06,18.41,23.08,1,479.6,267.98,4.5,4.41,1,7.41,7.5,1,5.98,10.44,1,0,0.08,0,0.05,0.02,0,0,0.08,"A",2021,3884087.08789894
"391","g.namugere","Central Namemo Laand","Weak Tornadoes",24,1995,28.73,41.79,49.1,1,715.22,170.45,19.14,22.04,1,18.59,20.54,1,3.1,4.61,1,0.13,0.04,0,0.86,4.63,0.77,0.07,3.96,"A",2021,1910635348.1547
"392","m.amsalem","Czechnor","Weak Tornadoes",26,1993,18.83,38.85,45.58,1,797.89,196.31,12.96,14.78,1,18.83,21.19,1,6.16,8.68,1,0,0.02,0,0.6,3.18,0.85,0,2.93,"A",2021,157566211.195572
"393","a.karlsson","Ngoque Blicri","Weak Tornadoes",29,1991,8.47,65.68,73.81,1,1329.18,239.17,25.58,26.97,1,27.05,29.38,1,11.93,15.23,1,0.13,0.15,0,2.4,7.24,1.1,0.57,3.78,"A",2021,15795186.1247294
"394","l.kawuma","People's Land of Maneau","Weak Tornadoes",23,1997,4.2,35.41,39.46,1,572.44,112.31,17.67,19.82,1,13.71,14.37,1,2.84,4.03,1,0,0,0,0.41,2.85,0.61,0,3.91,"A",2021,7732575.35103287
"395","v.alharbi","People's Land of Maneau","Weak Tornadoes",25,1995,25.04,50.56,58.47,1,971.14,229.67,18.72,20.24,1,24.96,27.43,1,6.24,9.05,1,0.11,0,0.06,0.79,3.38,0.69,0.22,3.89,"A",2021,657349126.593348
"396","f.hughes","Thaijagypt","Weak Tornadoes",27,1993,26.44,23.26,31.37,1,386.37,110.62,11.77,13.6,1,8.72,11.21,1,1.98,4.6,1,0.14,0.14,0,0.65,1.41,1.03,0.3,2.18,"A",2021,874786896.295698
"397","j.wan","People's Land of Maneau","Weak Tornadoes",24,1996,21.21,28.01,33.87,1,455.29,103.08,13.84,16.11,1,11.5,13.03,1,1.92,2.7,1,0.07,0.07,0,0.71,2.86,0.56,0.17,3.34,"A",2021,338314726.538424
"398","u.alshehri","People's Land of Maneau","Weak Tornadoes",17,2002,2.9,23.96,30.75,1,310.34,34.95,16.72,19.52,1,5.32,6.52,1,1.05,1.73,1,0,0.05,0,0.72,1.05,0.65,0.06,1.8,"A",2021,8766898.0446318
"399","a.andama","Byasier Pujan","Flawless Cows",20,2000,18.74,63.47,71.32,1,931.36,268.19,39.58,41.6,1,20.66,23.36,1,2.44,4.51,1,0.2,0.13,0.01,0.77,3.83,1.23,0.61,3.41,"B",2021,318785832.249153
"400","y.nassuuna","Coastpa Barleslands","Flawless Cows",24,1996,16.58,66.7,71.69,1,1241.97,447.78,28.67,29.64,1,29.98,31.47,1,7.57,9.63,1,0.04,0,0.08,0.13,4.43,0.36,0.03,4.5,"B",2021,108523338.160859
"401","j.kyarisiima","Dosqaly","Flawless Cows",21,1998,15.09,55.79,62.52,1,812.54,214.56,32.94,35.5,1,19.72,21.61,1,1.88,3.24,1,0.21,0.04,0.07,0.81,2.56,0.87,0.17,2.66,"B",2021,109061677.266007
"402","o.takeda","Dosqaly","Flawless Cows",17,2002,4.24,54.3,60.29,1,849.81,209.84,28.75,31.44,1,21.34,22.35,1,3.16,4.41,1,0,0,0,0.48,2.98,0.64,0.22,2.01,"B",2021,11878103.5999738
"403","q.coppola","Dosqaly","Flawless Cows",24,1995,25.68,72.23,75.33,1,1346.32,424.26,29.66,30.23,1,34.29,35.14,1,7.52,8.55,1,0.01,0.04,0.09,0.19,4.61,0.09,0,3.37,"B",2021,837921333.069156
"404","v.mhlanga","Dosqaly","Flawless Cows",27,1992,14.27,59.75,68.35,1,923.07,299.99,32.53,34.69,1,22.11,25.35,1,3.61,6.28,1,0.11,0.08,0,0.81,2.62,1.2,0.34,3.77,"B",2021,58593521.1908542
"405","j.kawano","Esia","Flawless Cows",23,1996,18.06,64.7,69.38,1,1112.47,352.05,28.63,30.38,1,31.15,32.63,1,4.28,5.44,1,0,0.1,0,0.08,2.24,0.18,0.13,2.74,"B",2021,167289747.699481
"406","d.mabhena","Nganion","Flawless Cows",27,1993,2.18,53.17,58.57,1,763.62,237.62,34.59,35,1,16.82,19.02,1,1.83,2.69,1,0.03,0.13,0,1,1.88,2.19,0,3.63,"B",2021,4901120.00821344
"407","f.yunusa","Rarita","Flawless Cows",26,1994,23.67,68.28,73.36,1,1415.12,450.34,24.07,24.82,1,31.98,33.51,1,11.77,14.14,1,0.03,0,0.07,0.11,6.22,0.47,0,3.72,"B",2021,462831477.860997
"408","t.neves","Sobianitedrucy","Flawless Cows",29,1991,17.03,48.41,58.75,1,840.76,223.85,25.04,27.04,1,17.57,20.86,1,5.25,9.04,1,0.09,0.08,0,1.04,2.23,1.31,1.07,3.58,"B",2021,86207971.1715928
"409","h.robert","Dosqaly","Flawless Cows",21,1998,26.35,30.85,39.06,1,421.85,77.68,19.65,23.5,1,8.89,10.54,1,1.22,2.31,1,0.23,0.18,0.1,1.27,1.44,1.43,0.15,2.31,"B",2021,1602546581.07723
"410","z.basile","Dosqaly","Flawless Cows",18,2002,0.75,25.07,27.46,1,261.39,22.54,18.79,20.06,1,5.08,4.99,1,0.02,0,0,0,0.19,0,1.33,0.05,1.22,0,1.32,"B",2021,6229581.52743353
"411","b.zheng","Imaar Vircoand","Flawless Cows",27,1993,12.09,12.07,14.71,1,163.17,31.29,7.5,8.43,1,3.03,4.24,1,0.58,0.63,1,0.19,0.29,0.07,1.25,0.82,0.16,0,0.92,"B",2021,37761016.210326
"412","y.mutema","Nganion","Flawless Cows",27,1993,0.28,13.35,26.63,1,116.69,13.28,10.1,16.73,1,3.39,3.4,1,0,0.09,0,0,0,0.04,0,3.27,0,0,0,"B",2021,2221701.08741728
"413","j.lysenko","Sobianitedrucy","Flawless Cows",20,2000,18.84,13.34,16.7,1,182.41,25.36,8.32,9.81,1,2.91,3.92,1,0.79,0.92,1,0.05,0.12,0,0.4,0.25,0.43,0.06,0.96,"B",2021,252736363.367019
"414","y.manuel","Biarizea","Flawless Cows",17,2002,2.18,75.71,86.17,1,1082.44,249.08,47.59,52.39,1,19.01,22.45,1,4.78,6.24,1,0,0,0.03,0.04,6.14,1.35,0.06,6.73,"B",2021,9471646.06877244
"415","c.asiku","Dosqaly","Flawless Cows",19,2001,0.64,47.1,48.59,1,678.65,141.36,31.39,31.32,1,12.8,14.37,1,2.95,2.83,1,0,0,0.05,0.03,4.3,1.49,1.44,1.53,"B",2021,5788445.43486801
"416","b.obonyo","Imaar Vircoand","Flawless Cows",32,1988,20.57,43.15,59.11,1,796.87,269.21,20.73,23.77,1,15.01,20.19,1,6.54,12.01,1,0.42,0.42,0.01,3.22,4.33,3.58,0.59,6.38,"B",2021,292541082.714324
"417","r.ssembatya","Nganion","Flawless Cows",28,1992,14.69,33.44,43.58,1,540.34,170.09,19.3,22.36,1,10.34,13.29,1,2.95,5.29,1,0.36,0.31,0,1.75,2.36,2.04,0.67,4.13,"B",2021,83971880.2937677
"418","y.kyosiimire","Nganion","Flawless Cows",26,1993,9.08,21.71,24.06,1,475.06,280.29,6.16,6.23,1,11.88,11.82,1,3.67,5.84,1,0.08,0.1,0.06,0.06,0,0,0.08,0,"B",2021,15414894.7468896
"419","x.driscoll","Nkasland Cronestan","Flawless Cows",20,1999,0.95,24.94,30.01,1,532.04,329.1,3.95,3.94,1,18.03,19.04,1,3.07,6.99,1,0,0.04,0.07,0,0.08,0.04,0.07,0.05,"B",2021,3818716.6967191
"420","p.addae","South Sati Fatina","Flawless Cows",33,1986,28.08,23.14,26.5,1,606.27,348.05,4.44,4.63,1,11.68,11.63,1,6.86,10.26,1,0.01,0,0,0.13,0,0.07,0.02,0,"B",2021,445552319.454841
"421","d.muhammad","Coastpa Barleslands","Flawless Cows",30,1989,17.5,89.13,96.1,1,1478.48,383.1,43.48,45.53,1,37.51,39.81,1,6.23,7.83,1,0.05,0,0.05,0.75,9.6,0.78,0.15,6.9,"B",2021,105255877.852098
"422","i.ndoro","Dosqaly","Flawless Cows",17,2003,0.03,0,0,0,0.02,0.03,0,0.07,0,0.02,0,0,0,0.04,0,0,0.03,0,0.09,0.02,0,0.04,0.06,"B",2021,3961654.72036153
"423","e.sommer","Imaar Vircoand","Flawless Cows",26,1994,14.4,91.45,101.45,1,1772.99,522.3,36.39,38.59,1,42.52,45.94,1,11.41,14.83,1,0.1,0.1,0,0.8,11.29,0.83,0,9.09,"B",2021,86806921.3953763
"424","p.susanto","Lefghau","Flawless Cows",27,1993,15.04,69.45,77.41,1,1169.3,245.05,36.01,38.86,1,24.98,27.76,1,7.1,8.41,1,0.25,0.3,0.13,1.51,6.05,1.08,0.16,5.43,"B",2021,98254777.4693644
"425","o.musonza","Nganion","Flawless Cows",30,1989,20.69,77.1,85.03,1,1250.98,331.55,40.83,43.22,1,28.83,31.44,1,5.78,7.68,1,0.15,0.05,0.05,1.31,7.78,1.04,0.11,6.61,"B",2021,215293351.001321
"426","i.marie","Sobianitedrucy","Flawless Cows",27,1992,16.5,99.63,108.39,1,1591.31,456.98,54.05,56.37,1,35.22,37.88,1,7.77,10.62,1,0.18,0.15,0,1.53,10.12,2.09,0.27,8.19,"B",2021,159225948.908381
"427","z.musenero","Greri Landmoslands","Flawless Cows",28,1991,15.91,69.07,74.18,1,1285.24,337.41,27.44,28.42,1,32.4,34.26,1,7.92,9.54,1,0.01,0.11,0,0.15,5.25,0.14,0.16,3.75,"B",2021,73691182.209375
"428","k.opio","Esia","Flawless Cows",26,1993,11.78,46.46,53.67,1,789.57,166.64,23.46,26.02,1,17.82,20.2,1,4.24,5.83,1,0.24,0.31,0,2.39,2.96,1.79,0.26,4.59,"B",2021,52220320.284249
"429","z.ahmetovi","Lefghau","Flawless Cows",28,1992,15.65,49.41,63.63,1,834.02,289.38,26.35,30.36,1,16.51,20.79,1,5.58,9.81,1,0.29,0.52,0,3.54,6.26,3.75,0.25,8.39,"B",2021,189422526.166422
"430","o.naderi","Badad","Glistening Paladins",27,1992,15.34,51.27,57.14,1,1222.69,346.76,9.64,10.29,1,27.84,29.52,1,13.15,16.48,1,0,0.04,0,0.09,2.85,0.15,0.06,3.29,"B",2021,54886550.992707
