,Player,Nation,FW,MF,DF,GK,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,League,Year
510,s.namanya,Central Diasongo,0,0,1,0,Grotesque Rocks,30,1989,16.32,1.9,1.22,1.26,0.62,0.09,0.66,1.33,52.4,0.66,9.41,2.81,29.4,5.79,3.36,0.42,1.37,0.48,-0.08,0.81,1.13,3.18,3.34,0.15,B,2020
511,j.suissa,Coastpa Barleslands,0,0,1,0,Grotesque Rocks,25,1993,4.08,1.45,0.99,0.54,0.72,0.3,0.22,2.0,12.44,1.74,14.04,3.23,22.49,7.15,5.62,1.48,2.03,0.29,0.06,1.76,1.07,2.48,2.2,0.03,B,2020
512,e.fujii,Dosqaly,0,0,1,0,Grotesque Rocks,19,2000,16.69,3.57,1.66,2.1,1.18,0.14,1.12,2.19,52.76,0.98,16.8,5.67,33.14,9.48,6.28,1.29,1.79,0.27,0.05,1.44,1.45,4.98,3.37,0.03,B,2020
513,g.namanya,Dosqaly,0,0,1,0,Grotesque Rocks,28,1991,14.04,1.49,0.62,1.12,0.28,-0.02,0.79,1.32,52.55,0.66,9.91,2.76,28.51,5.24,3.24,1.41,1.18,0.07,0.02,1.0,0.95,2.43,2.37,0.1,B,2020
514,h.kaweesi,Dosqaly,0,0,1,0,Grotesque Rocks,27,1991,22.61,1.77,1.13,0.9,0.76,0.12,0.65,1.33,57.19,0.46,15.6,4.84,30.61,7.66,6.22,1.6,1.14,0.19,-0.06,0.96,0.74,2.6,2.65,0.09,B,2020
515,u.muller,Dosqaly,0,0,1,0,Grotesque Rocks,22,1997,7.69,4.38,3.0,2.68,1.54,0.05,1.73,3.06,56.54,1.38,18.26,7.19,39.66,10.45,6.56,1.25,3.49,0.72,0.12,2.79,1.85,6.36,2.71,0.22,B,2020
516,x.bintiawang,Rosvi,0,0,1,0,Grotesque Rocks,29,1990,22.8,0.95,0.69,0.61,0.23,-0.03,0.29,0.82,33.34,0.43,7.28,2.73,36.37,5.26,1.84,0.14,1.59,0.56,0.1,1.02,0.35,1.36,5.52,0.2,B,2020
517,o.tshuma,Rarita,0,1,1,0,Grotesque Rocks,24,1994,22.97,2.82,1.75,1.68,1.07,0.02,1.16,1.75,61.1,0.66,13.4,4.62,34.58,7.33,5.5,0.53,1.21,0.39,0.03,0.91,1.61,4.51,5.99,0.11,B,2020
518,a.jensen,Buhegeor,1,0,0,0,Grotesque Rocks,23,1996,11.67,0.31,0.11,0.16,0.01,0.19,0.09,0.34,-0.06,0.27,14.84,3.16,21.48,1.05,7.12,6.81,0.95,0.02,0.02,1.02,0.3,0.57,0.02,-0.05,B,2020
519,q.ssemwogerere,Dosqaly,1,0,0,0,Grotesque Rocks,32,1987,-0.03,0.0,-0.02,0.03,-0.03,-0.07,0.06,0.06,,0.07,0.95,1.04,99.91,0.95,-0.06,-0.1,-0.08,0.02,-0.03,-0.08,0.01,-0.07,-0.09,0.02,B,2020
520,c.kwakye,Nancipenuaroe,1,0,0,0,Grotesque Rocks,27,1991,4.12,2.24,1.45,0.93,0.69,0.47,1.05,1.99,49.93,1.06,12.0,4.41,36.66,3.45,4.91,3.69,0.73,0.05,-0.05,0.75,0.95,3.17,-0.1,0.02,B,2020
521,b.ghorbani,Ngogalar,1,0,0,0,Grotesque Rocks,25,1994,22.92,0.76,0.59,0.21,0.58,0.13,0.12,0.79,15.87,0.78,12.19,3.37,26.87,0.85,6.3,5.03,0.39,0.18,-0.03,0.36,0.13,0.85,0.97,-0.08,B,2020
522,h.bintiyusof,New Somoe,1,1,0,0,Grotesque Rocks,28,1991,5.93,1.95,0.93,0.42,1.11,0.41,0.59,1.72,30.04,1.23,22.05,5.33,23.9,1.61,9.94,10.52,2.02,0.25,-0.03,1.9,0.84,2.64,0.46,-0.02,B,2020
523,u.dewi,Reugha,1,1,0,0,Grotesque Rocks,22,1996,5.96,1.48,1.12,0.44,0.64,0.36,0.57,1.13,42.84,0.7,16.82,4.24,24.97,3.98,6.87,6.2,0.52,0.06,-0.08,0.49,0.2,1.67,0.8,0.06,B,2020
524,t.bukar,Southern Ristan,0,0,0,1,Grotesque Rocks,27,1992,27.07,0.08,-0.05,-0.08,-0.05,0.08,0.01,0.05,0.03,-0.02,0.0,-0.03,-0.03,0.04,0.04,-0.01,0.08,-0.05,-0.03,0.05,0.09,0.07,0.1,0.09,B,2020
525,b.nalwanga,Dosqaly,0,1,0,0,Grotesque Rocks,31,1988,16.52,2.63,1.61,0.9,1.32,0.2,1.48,3.08,45.93,1.73,19.52,5.75,29.7,6.63,10.58,2.4,1.67,0.18,0.03,1.47,1.21,3.91,1.36,0.01,B,2020
526,c.chiwaya,Dosqaly,0,1,0,0,Grotesque Rocks,32,1987,2.86,1.38,0.98,0.97,0.08,0.36,0.35,1.29,25.02,0.95,16.96,3.0,18.3,2.43,10.0,4.52,0.65,0.08,0.05,0.64,0.28,1.64,0.73,0.31,B,2020
527,f.perrin,Dosqaly,0,1,0,0,Grotesque Rocks,20,1999,11.2,2.02,1.18,0.95,0.71,0.36,0.7,2.66,23.28,2.01,20.98,6.87,33.29,5.99,11.86,3.18,1.38,0.02,0.06,1.42,1.01,3.04,1.37,-0.07,B,2020
528,k.kaudha,Dosqaly,0,1,0,0,Grotesque Rocks,21,1997,17.9,2.91,1.89,1.08,1.19,0.38,0.58,2.91,23.95,2.1,22.04,6.16,28.23,7.48,10.72,3.6,1.3,0.36,-0.02,0.96,1.33,4.22,2.04,0.04,B,2020
529,m.jha,Dosqaly,0,1,0,0,Grotesque Rocks,29,1990,2.73,2.98,2.69,1.49,1.19,0.39,0.39,1.87,20.09,1.49,18.88,5.89,31.49,7.08,10.68,1.08,1.03,0.05,0.03,1.16,0.43,3.3,1.13,-0.05,B,2020
530,o.soleimani,Dosqaly,0,1,0,0,Grotesque Rocks,21,1998,16.51,2.21,1.63,1.22,1.05,0.11,0.38,1.12,38.83,0.56,18.19,6.22,34.26,5.92,9.1,3.04,1.2,0.08,-0.08,1.07,1.25,3.45,1.11,0.05,B,2020
531,t.orishaba,Dosqaly,0,1,0,0,Grotesque Rocks,25,1993,23.01,1.51,1.05,0.3,0.62,0.51,0.66,2.37,26.79,1.85,27.78,7.52,27.03,4.11,13.58,10.05,1.06,-0.01,-0.02,1.06,0.31,1.67,0.28,-0.06,B,2020
532,n.ajidiru,Tabhu Striary,0,1,0,0,Grotesque Rocks,19,1999,0.35,0.05,-0.02,-0.09,0.08,0.07,0.07,-0.09,,-0.06,-0.07,-0.07,,-0.05,-0.05,-0.07,0.09,-0.08,0.07,-0.03,3.28,3.32,0.08,0.02,B,2020
533,c.sari,Dosqaly,1,1,0,0,Grotesque Rocks,20,1999,0.01,-0.04,0.02,0.04,0.07,-0.01,-0.05,9.92,0.06,10.07,79.99,20.07,25.04,20.08,9.96,50.08,10.1,0.0,-0.1,10.0,-0.03,0.07,-0.01,-0.04,B,2020
534,x.odongo,Unicorporated Tiagascar,1,1,0,0,Grotesque Rocks,25,1993,0.82,0.02,-0.06,-0.01,0.02,-0.05,0.07,2.15,-0.08,2.22,30.08,5.57,18.51,7.74,19.97,2.28,1.11,1.01,0.08,0.06,1.02,1.2,-0.01,0.04,B,2020
535,c.namagembe,Dosqaly,0,0,1,0,Hideous Pioneers,18,2001,3.45,2.04,1.1,1.52,0.6,-0.05,0.89,2.61,33.26,1.63,14.7,5.05,35.21,12.36,2.34,0.03,2.35,1.11,0.06,1.05,0.28,2.38,4.07,-0.09,B,2020
536,c.nassiri,Dosqaly,0,0,1,0,Hideous Pioneers,27,1991,13.97,1.6,1.09,1.1,0.47,0.04,0.61,1.04,57.1,0.49,9.88,3.8,38.39,6.55,3.03,0.23,2.16,1.01,0.06,1.06,1.09,2.71,7.86,0.07,B,2020
537,m.wojcik,Dosqaly,0,0,1,0,Hideous Pioneers,24,1995,0.13,0.03,-0.03,0.0,0.09,0.07,-0.05,0.1,,0.08,30.02,0.03,0.09,9.95,0.03,20.02,-0.07,0.01,-0.08,0.04,0.09,-0.06,10.06,0.07,B,2020
538,o.monday,Dosqaly,0,0,1,0,Hideous Pioneers,24,1994,15.36,2.72,1.71,1.61,0.94,0.25,1.37,1.92,73.25,0.56,16.31,4.57,28.24,7.67,6.09,2.42,1.79,0.31,0.02,1.37,0.77,3.56,2.66,-0.1,B,2020
539,t.mande,Dosqaly,0,0,1,0,Hideous Pioneers,18,2001,15.25,1.31,0.87,1.01,0.41,0.03,0.8,1.35,57.92,0.59,8.03,2.66,33.6,5.4,2.22,0.23,1.59,0.55,-0.02,1.0,0.94,2.4,5.05,0.19,B,2020
540,t.nansubuga,Dosqaly,0,0,1,0,Hideous Pioneers,18,2000,1.01,3.03,1.08,2.01,1.04,-0.04,0.94,1.06,99.98,0.08,15.04,3.97,26.76,9.05,5.94,-0.04,0.06,0.07,-0.01,0.03,2.91,5.93,3.96,0.09,B,2020
541,x.olah,Dosqaly,0,0,1,0,Hideous Pioneers,21,1998,18.12,1.48,0.92,1.13,0.23,0.04,0.56,1.25,39.14,0.85,12.09,2.89,23.47,7.1,3.16,1.87,1.42,0.54,-0.1,0.85,0.7,2.25,3.3,0.19,B,2020
542,h.parn,Iverde,0,0,1,0,Hideous Pioneers,25,1994,27.91,2.6,1.85,1.53,0.86,0.29,1.22,2.62,46.06,1.55,14.57,4.56,31.1,7.34,5.42,1.86,3.08,0.35,0.1,2.77,1.57,4.2,4.26,0.11,B,2020
543,b.demir,Janmico,0,0,1,0,Hideous Pioneers,21,1997,9.45,1.2,0.78,0.7,0.37,0.1,0.46,1.12,36.37,0.71,8.42,2.34,27.6,6.02,2.13,0.25,2.27,0.97,0.01,1.23,0.1,1.21,5.29,0.03,B,2020
544,e.bintiabdullah,Lylimi,0,0,1,0,Hideous Pioneers,26,1992,0.46,2.05,1.96,1.98,-0.04,0.03,2.09,2.06,100.05,0.09,2.05,2.1,99.94,1.96,-0.09,0.06,-0.09,0.01,0.07,-0.04,-0.02,1.99,3.98,-0.02,B,2020
545,a.zimmermann,Redohrainbri,0,0,1,0,Hideous Pioneers,27,1992,7.28,1.02,1.05,1.18,0.0,-0.09,0.12,0.52,24.97,0.42,5.15,2.13,39.48,3.28,1.58,0.31,0.89,0.56,0.09,0.41,0.73,1.77,7.49,0.02,B,2020
546,o.dumitru,Dosqaly,1,0,0,0,Hideous Pioneers,26,1993,10.07,0.56,0.22,0.06,0.28,0.22,0.11,0.58,39.92,0.23,20.75,5.55,26.79,0.37,10.0,10.12,0.88,0.47,-0.1,0.54,0.43,0.98,1.2,0.04,B,2020
547,r.nanono,Ingre,1,0,0,0,Hideous Pioneers,23,1996,17.04,0.54,0.34,0.26,0.17,0.03,0.27,0.96,20.05,0.73,12.82,2.9,21.8,1.35,6.73,4.74,0.85,0.29,0.03,0.63,0.21,0.89,0.55,0.04,B,2020
548,u.musekiwa,Southern Ristan,1,0,0,0,Hideous Pioneers,21,1997,8.59,0.48,0.58,0.06,0.38,0.32,0.25,0.45,66.67,0.18,15.92,3.31,20.49,1.16,8.43,6.25,0.63,0.2,0.03,0.67,0.24,0.74,0.81,-0.01,B,2020
549,g.razak,Dosqaly,0,0,0,1,Hideous Pioneers,28,1990,22.66,0.09,-0.05,-0.09,0.05,-0.08,-0.08,0.15,-0.05,0.14,0.17,0.1,20.07,0.24,0.01,-0.05,0.06,0.09,0.05,0.03,-0.06,0.0,0.0,0.03,B,2020
550,t.kibuuka,Janmico,0,0,0,1,Hideous Pioneers,31,1988,2.01,-0.04,-0.1,-0.04,-0.03,-0.08,-0.09,-0.04,,-0.01,0.0,0.04,,0.08,0.05,-0.04,0.04,0.01,-0.05,-0.07,0.09,-0.1,-0.05,1.06,B,2020
551,e.loh,Manlisgamncent,0,0,0,1,Hideous Pioneers,29,1990,3.48,-0.01,0.05,-0.06,0.09,0.1,0.04,0.21,-0.07,0.26,0.24,0.09,0.02,0.27,-0.08,0.04,0.07,0.07,-0.03,0.01,0.0,-0.01,-0.09,-0.07,B,2020
552,c.kimura,Central Diasongo,0,1,0,0,Hideous Pioneers,21,1997,24.22,3.5,2.85,1.65,1.7,0.09,1.17,3.03,37.95,1.79,23.34,7.5,32.51,9.61,11.29,2.49,1.93,0.53,-0.07,1.43,1.12,4.68,2.72,0.12,B,2020
553,f.deleon,Dosqaly,0,1,0,0,Hideous Pioneers,30,1988,19.1,3.35,2.26,1.77,1.47,0.18,1.03,2.99,32.13,2.06,20.03,5.45,27.44,7.39,10.87,1.63,1.48,0.33,-0.05,1.21,1.34,4.52,1.62,-0.07,B,2020
554,g.okeny,Dosqaly,0,1,0,0,Hideous Pioneers,17,2001,0.26,6.68,6.74,-0.1,6.64,-0.03,0.05,3.33,-0.04,3.34,33.35,13.21,40.05,-0.07,19.9,13.23,-0.02,0.04,-0.08,0.0,-0.07,6.73,0.0,0.0,B,2020
555,m.onyango,Dosqaly,0,1,0,0,Hideous Pioneers,16,2002,0.0,0.04,-0.07,0.0,0.05,0.07,0.08,10.01,0.06,9.96,10.0,0.03,-0.09,0.01,0.01,10.01,-0.09,0.01,-0.02,-0.05,10.03,9.9,0.07,-0.05,B,2020
556,n.makombe,Dosqaly,0,1,0,0,Hideous Pioneers,20,1999,1.08,2.91,2.0,-0.1,2.97,0.08,1.02,1.93,49.92,1.04,13.99,1.97,14.2,6.06,6.02,1.92,-0.01,-0.06,-0.07,-0.04,0.05,3.08,-0.1,0.07,B,2020
557,s.ssenyonga,Dosqaly,0,1,0,0,Hideous Pioneers,18,2001,9.79,3.33,2.67,1.48,1.55,0.5,1.29,3.69,36.03,2.36,30.76,9.2,29.85,10.04,18.01,2.73,1.94,0.11,0.0,1.9,2.05,5.43,1.4,-0.1,B,2020
558,c.ochen,Central Diasongo,1,1,0,0,Hideous Pioneers,31,1987,18.11,2.15,1.54,1.06,0.8,0.35,0.76,2.84,26.97,2.15,20.6,4.91,23.98,5.43,10.03,5.15,1.4,0.06,0.03,1.28,0.64,2.82,0.78,0.06,B,2020
559,m.chari,Dosqaly,1,1,0,0,Hideous Pioneers,19,2000,0.11,0.06,0.02,-0.05,0.05,-0.1,0.1,-0.05,,-0.04,30.03,9.94,33.26,10.02,0.1,20.05,0.04,0.09,0.09,0.09,0.03,-0.02,9.94,0.03,B,2020
560,n.obua,Dosqaly,1,1,0,0,Hideous Pioneers,19,2000,0.49,0.02,-0.01,-0.09,0.01,-0.04,0.06,5.91,-0.06,5.94,33.97,7.99,23.53,12.07,20.04,2.01,-0.07,-0.1,0.07,-0.04,2.04,1.97,-0.08,0.04,B,2020
561,o.tusabe,Dosqaly,1,1,0,0,Hideous Pioneers,24,1995,12.82,1.2,0.97,0.79,0.41,0.01,0.09,1.18,14.33,1.02,16.07,3.57,22.6,5.18,7.03,4.06,1.19,0.08,0.02,1.22,0.35,1.57,0.81,0.08,B,2020
562,x.chevalier,Dosqaly,1,1,0,0,Hideous Pioneers,22,1997,12.67,2.17,1.91,0.93,0.98,0.22,0.81,2.78,30.59,1.99,21.65,6.66,30.92,5.71,10.82,4.94,1.13,-0.06,0.05,1.15,1.21,3.34,0.59,0.06,B,2020
563,y.kabiru,Dosqaly,1,1,0,0,Hideous Pioneers,21,1998,11.04,1.52,0.82,0.41,0.86,0.12,0.17,1.2,21.47,1.0,19.28,5.66,29.34,5.82,9.45,3.91,0.86,0.03,0.07,0.77,0.28,1.79,0.6,0.04,B,2020
564,i.harawa,Southern Viout Aman,1,1,0,0,Hideous Pioneers,31,1988,19.41,1.8,1.13,0.57,1.01,0.34,0.66,1.78,36.35,1.11,16.6,3.99,23.89,4.42,7.35,4.83,1.61,0.06,-0.02,1.5,0.47,2.18,0.55,0.04,B,2020
565,o.barone,Biarizea,0,0,1,0,Jumping Beans,31,1987,27.92,2.25,1.35,1.53,0.5,0.08,0.48,0.96,50.09,0.51,10.79,3.87,37.2,6.72,3.41,0.49,1.62,0.67,0.1,0.93,0.92,3.03,5.87,0.03,B,2020
566,g.sande,Central Diasongo,0,0,1,0,Jumping Beans,23,1995,14.74,2.76,1.64,1.39,1.2,0.27,1.24,2.53,48.69,1.36,12.45,4.0,31.52,6.92,3.83,1.81,1.5,0.2,0.03,1.25,1.71,4.5,4.05,-0.06,B,2020
567,m.kamya,Dosqaly,0,0,1,0,Jumping Beans,21,1998,26.91,1.35,0.87,0.83,0.41,0.09,0.42,0.95,51.92,0.34,6.99,2.3,32.69,4.12,2.4,0.49,1.7,0.84,0.0,0.73,0.37,1.66,5.82,0.04,B,2020
568,o.kembabazi,Giumle Lizeibon,0,0,1,0,Jumping Beans,19,1999,0.92,0.07,0.04,0.05,0.01,-0.07,0.02,-0.01,,-0.02,2.09,1.07,50.02,1.08,0.98,-0.08,1.07,1.05,0.08,0.03,1.01,0.92,6.92,0.05,B,2020
569,l.wenene,Southern Ristan,0,0,1,0,Jumping Beans,24,1994,27.08,2.06,1.41,1.24,0.59,0.21,0.87,1.65,53.3,0.79,11.08,3.72,34.37,5.07,4.43,1.77,1.35,0.17,0.03,1.11,0.82,2.93,3.13,0.1,B,2020
570,n.nakacwa,Central Diasongo,1,0,1,0,Jumping Beans,24,1994,18.97,3.4,1.6,2.38,0.84,0.13,1.46,2.63,56.0,1.17,16.47,5.2,30.99,8.95,4.89,2.39,2.03,0.11,-0.01,1.92,1.59,4.99,3.37,-0.02,B,2020
571,q.mutabazi,Byasier Pujan,1,0,0,0,Jumping Beans,21,1998,0.1,0.0,0.04,0.0,-0.05,-0.05,0.04,-0.08,,-0.06,20.01,0.1,0.07,0.04,9.9,10.1,-0.04,-0.06,-0.04,0.07,0.03,0.01,-0.04,0.08,B,2020
572,o.ghanbari,Coastpa Barleslands,1,0,0,0,Jumping Beans,22,1996,20.15,1.14,0.64,0.56,0.22,0.29,0.14,0.81,12.5,0.61,15.99,4.54,28.85,2.11,7.16,6.49,0.83,0.18,0.0,0.61,0.53,1.44,0.94,-0.06,B,2020
573,q.nampijja,Reugha,1,0,0,0,Jumping Beans,17,2001,5.03,0.5,0.7,0.29,0.01,0.42,0.01,0.09,,0.08,15.96,4.59,28.77,1.39,7.11,7.46,1.69,-0.08,-0.03,1.52,-0.03,0.63,0.19,0.04,B,2020
574,c.nafuna,Dosqaly,1,1,0,0,Jumping Beans,22,1997,10.31,1.69,0.87,0.9,0.49,0.27,0.53,1.91,26.4,1.37,22.54,3.92,17.66,5.45,11.28,5.9,0.95,0.01,0.01,0.88,0.32,2.03,-0.1,0.05,B,2020
575,e.cortez,Dosqaly,1,1,0,0,Jumping Beans,22,1996,15.55,0.91,0.5,0.53,0.18,0.11,0.33,1.46,22.61,1.17,14.88,3.32,22.98,3.1,7.18,4.73,1.65,0.19,-0.08,1.61,0.93,1.83,1.28,0.02,B,2020
576,h.simanjuntak,Dosqaly,1,1,0,0,Jumping Beans,20,1999,0.37,-0.1,-0.01,0.09,0.08,-0.05,0.05,-0.03,,-0.06,30.03,7.49,25.09,17.4,9.91,2.52,-0.03,-0.02,-0.04,0.04,2.44,2.46,7.47,0.03,B,2020
577,t.peng,Dosqaly,1,1,0,0,Jumping Beans,20,1999,1.55,0.65,0.0,0.6,-0.07,-0.05,-0.08,0.07,,0.02,24.93,5.58,22.55,3.04,7.53,14.34,-0.08,0.09,-0.06,0.03,0.07,0.59,-0.06,0.05,B,2020
578,n.grgi,Ingre,1,1,0,0,Jumping Beans,22,1996,6.87,0.82,0.45,0.59,0.0,0.16,0.08,1.55,9.12,1.42,15.59,3.32,21.66,1.43,8.05,6.07,0.42,0.02,0.0,0.54,-0.07,0.83,0.54,-0.1,B,2020
579,n.lee,Landli Blicporlip,1,1,0,0,Jumping Beans,28,1991,2.86,1.31,1.4,0.43,0.78,0.37,0.42,0.67,49.91,0.34,16.21,7.27,44.77,2.06,5.46,8.56,1.35,0.35,-0.1,1.06,0.31,1.72,0.75,-0.04,B,2020
580,v.nabbosa,Quewenia,1,1,0,0,Jumping Beans,21,1997,5.93,1.3,1.29,0.29,0.43,0.48,0.16,1.47,11.02,1.41,14.13,5.77,40.42,3.24,6.7,4.48,1.71,-0.01,-0.02,1.65,0.02,1.28,0.24,0.09,B,2020
581,e.muwanguzi,Reugha,1,1,0,0,Jumping Beans,24,1994,19.14,1.19,0.75,0.3,0.51,0.22,0.37,1.37,30.76,0.92,14.52,3.61,24.98,2.48,8.4,3.66,0.98,0.14,0.02,0.89,1.05,2.09,0.53,-0.06,B,2020
582,j.matambo,Dosqaly,0,0,0,1,Jumping Beans,22,1997,0.91,-0.05,-0.02,0.08,0.04,0.07,-0.09,0.94,-0.06,0.91,0.04,0.01,,-0.06,-0.03,-0.1,-0.05,0.07,0.0,0.07,0.03,-0.07,-0.08,1.08,B,2020
583,k.adero,Rosvi,0,0,0,1,Jumping Beans,23,1995,26.96,0.1,0.0,0.03,-0.06,0.03,-0.02,-0.01,0.09,-0.06,0.1,0.08,99.99,0.09,0.01,-0.01,-0.07,0.09,0.03,0.03,0.09,0.09,-0.06,0.07,B,2020
584,t.makaza,Central Namemo Laand,0,1,0,0,Jumping Beans,28,1991,9.83,1.13,0.77,0.21,0.65,0.34,0.23,1.9,10.49,1.72,21.42,5.79,26.9,2.9,12.46,6.07,1.09,-0.02,-0.04,1.13,0.36,1.48,0.25,-0.05,B,2020
585,k.akullu,Dosqaly,0,1,0,0,Jumping Beans,28,1991,23.85,3.23,2.09,1.15,1.61,0.34,1.06,2.66,38.61,1.52,21.18,6.22,29.65,6.86,10.83,3.45,1.58,0.23,0.02,1.33,1.24,4.37,1.82,0.07,B,2020
586,h.rees,Eastern Covaki,0,1,0,0,Jumping Beans,23,1996,9.22,2.74,1.87,1.07,1.38,0.35,0.98,2.53,41.71,1.51,19.04,5.25,27.52,8.19,8.58,2.37,2.21,0.86,0.05,1.49,1.09,4.01,4.16,0.03,B,2020
587,e.ayerango,Loco Phirema,0,1,0,0,Jumping Beans,24,1995,0.17,-0.05,-0.08,0.06,0.08,0.0,0.0,0.05,,0.06,-0.06,0.01,,-0.05,0.01,0.05,-0.05,0.08,0.02,0.06,0.04,-0.07,-0.02,0.0,B,2020
588,q.pettersson,Southern Viout Aman,0,1,0,0,Jumping Beans,35,1984,19.76,2.94,1.83,1.38,1.49,0.07,1.05,3.29,31.3,2.37,18.86,6.31,33.33,7.0,10.1,1.94,1.14,0.3,0.01,0.92,0.9,3.8,2.96,0.05,B,2020
589,r.rusere,Tercapetralgrorus,0,1,0,0,Jumping Beans,21,1998,6.64,3.19,2.25,0.93,1.66,0.67,1.11,2.13,50.03,1.03,9.64,3.97,41.37,2.28,4.79,2.43,1.09,0.24,0.06,0.76,0.71,3.85,0.95,-0.01,B,2020
590,x.opira,Dosqaly,1,1,0,0,Jumping Beans,17,2002,4.46,1.3,0.93,0.18,0.81,0.27,0.05,0.7,-0.05,0.74,20.96,5.26,24.99,2.47,13.64,4.87,0.38,0.01,0.05,0.38,0.07,1.39,0.15,-0.02,B,2020
591,n.kayemba,Central Namemo Laand,0,0,1,0,Lady Ocelots,34,1985,21.85,1.53,1.17,1.05,0.59,-0.01,0.56,1.15,46.14,0.55,8.45,3.08,36.0,5.61,2.73,0.19,1.46,0.71,0.06,0.78,1.2,2.89,8.32,0.01,B,2020
592,j.arach,Dosqaly,0,0,1,0,Lady Ocelots,25,1993,2.96,0.68,0.7,0.39,0.25,0.05,0.09,-0.07,,0.07,8.41,2.99,35.94,4.43,3.93,-0.02,1.58,0.92,-0.05,0.65,1.29,2.01,4.91,-0.07,B,2020
593,q.basemera,Dosqaly,0,0,1,0,Lady Ocelots,35,1983,9.44,2.97,1.57,1.85,0.96,0.3,1.2,3.75,31.4,2.48,18.57,5.14,27.74,7.9,7.94,2.73,2.41,0.5,-0.02,1.9,1.45,4.31,3.62,-0.06,B,2020
594,t.gayakwad,Dosqaly,0,0,1,0,Lady Ocelots,25,1993,9.38,0.52,0.46,0.32,0.24,-0.02,0.26,0.83,42.89,0.44,6.96,2.22,30.71,4.4,2.54,-0.09,1.0,0.18,0.04,0.82,1.15,1.78,5.28,0.01,B,2020
595,k.nambi,Nancipenuaroe,0,0,1,0,Lady Ocelots,21,1997,6.92,1.22,0.44,0.94,0.28,-0.02,0.77,1.28,55.58,0.64,6.08,1.66,28.62,4.15,1.72,0.08,1.63,0.8,-0.03,0.77,0.71,1.81,6.6,0.02,B,2020
596,m.namale,Redohrainbri,0,0,1,0,Lady Ocelots,28,1991,21.36,2.01,1.4,1.11,0.76,0.18,0.95,2.41,40.02,1.35,17.52,4.9,28.05,7.93,7.46,2.14,2.58,0.55,-0.02,1.97,1.32,3.23,4.63,0.11,B,2020
597,b.kaweesa,Reugha,0,0,1,0,Lady Ocelots,29,1989,20.74,1.64,0.95,1.09,0.48,0.03,0.64,0.94,61.87,0.4,9.57,2.99,32.19,5.88,3.16,0.42,2.59,0.9,-0.07,1.7,1.67,3.22,4.76,-0.01,B,2020
598,r.arineitwe,Sobianitedrucy,0,0,1,0,Lady Ocelots,23,1996,20.99,2.73,2.07,1.55,1.07,0.2,1.68,4.32,37.44,2.79,15.03,5.4,36.06,7.04,5.76,2.27,2.33,0.5,-0.08,1.92,1.24,4.01,5.32,0.13,B,2020
599,d.ochan,Coastpa Barleslands,1,0,0,0,Lady Ocelots,26,1993,6.88,0.65,0.53,0.1,0.59,0.04,0.22,0.98,16.75,0.71,20.32,4.21,20.03,1.89,11.22,7.29,0.68,0.24,-0.02,0.36,0.05,0.73,0.25,-0.1,B,2020
600,f.chiumia,Dosqaly,1,0,0,0,Lady Ocelots,23,1996,21.3,0.26,0.14,0.04,0.14,0.07,0.02,0.23,20.01,0.18,13.11,3.22,24.06,0.51,5.95,6.71,0.69,0.41,0.03,0.25,0.15,0.58,1.0,0.04,B,2020
601,r.ibrahimovi,Dosqaly,1,0,0,0,Lady Ocelots,21,1997,0.2,0.01,0.04,-0.1,0.08,0.08,-0.01,14.99,-0.1,14.97,60.05,14.98,24.98,30.02,14.91,14.97,15.01,-0.07,0.06,15.01,0.07,0.01,4.95,0.0,B,2020
602,b.moss,Lonnia Haba,1,0,0,0,Lady Ocelots,25,1993,2.63,1.12,0.7,0.4,0.37,0.44,0.43,1.99,19.94,1.52,17.28,3.44,19.92,3.47,8.88,4.98,1.85,0.03,-0.06,2.0,0.85,1.83,1.45,0.07,B,2020
603,i.yoshida,Southern Ristan,1,0,0,0,Lady Ocelots,23,1996,0.81,1.05,1.03,-0.06,1.18,0.02,0.08,-0.09,,0.05,13.28,4.54,33.21,3.29,5.63,4.4,1.13,-0.03,0.04,1.03,-0.03,1.2,-0.09,0.09,B,2020
604,p.martin,Xikong,1,0,0,0,Lady Ocelots,17,2001,0.02,9.97,10.04,-0.02,-0.08,9.93,-0.1,-0.03,,-0.04,19.93,10.04,49.96,-0.05,-0.06,20.04,0.03,0.03,0.07,-0.1,0.08,9.96,0.09,-0.08,B,2020
605,a.maganda,Dosqaly,1,1,0,0,Lady Ocelots,25,1994,3.86,1.62,0.3,1.0,0.33,0.22,0.28,2.72,9.03,2.66,24.61,5.16,20.72,4.87,9.77,10.0,2.72,0.26,-0.06,2.52,2.3,3.78,0.78,0.06,B,2020
606,t.dehghan,Lenia Gerdanho,1,1,0,0,Lady Ocelots,24,1995,5.99,2.86,2.22,1.08,1.12,0.45,0.59,2.77,17.61,2.32,23.28,7.13,30.62,6.66,11.72,4.77,1.39,0.11,-0.04,1.23,0.86,3.66,0.64,-0.02,B,2020
