,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,League,Year
1186,I. Nakityo,Dosqaly,DF,Serious Cyclones,20,1999,10.87,0.18,0.45,0.2,75.09,0.39,0.31,0.25,0.32,20.85,-0.02,-0.08,0.03,-0.05,0.08,0.1,0.03,0.01,C,2020
1187,K. Shumba,Esia,DF,Serious Cyclones,30,1988,28.68,-0.04,0.74,0.19,17.47,0.77,0.09,0.11,0.27,9.02,0.01,0.03,0.01,0.1,0.0,0.05,-0.11,0.06,C,2020
1188,U. Selima,Esia,DF,Serious Cyclones,26,1993,6.52,0.06,0.83,0.17,16.8,0.9,0.17,0.11,1.08,16.18,0.08,-0.01,-0.05,0.04,0.08,0.02,0.1,0.05,C,2020
1189,R. Sanz,Greri Landmoslands,DF,Serious Cyclones,25,1993,25.98,0.39,1.52,0.6,37.49,1.49,0.58,0.13,0.46,19.65,0.25,0.0,0.07,0.2,0.09,0.05,0.1,0.12,C,2020
1190,D. Nabbosa,Nkasland Cronestan,DF,Serious Cyclones,34,1985,23.42,0.04,0.38,0.19,37.43,0.31,0.05,0.05,0.25,17.89,-0.02,-0.07,-0.07,0.0,0.11,0.04,-0.04,0.11,C,2020
1191,Q. Yadav,Quewenia,DF,Serious Cyclones,24,1995,25.65,-0.03,0.39,0.07,20.08,0.33,0.03,-0.03,-0.04,19.31,-0.04,-0.02,-0.05,0.06,-0.02,0.08,-0.09,-0.08,C,2020
1192,O. Mapfumo,Biarizea,DFFW,Serious Cyclones,20,1998,30.12,0.2,1.34,0.58,52.6,1.21,0.64,0.07,0.29,15.93,0.19,0.04,0.07,0.11,0.12,0.02,0.05,0.03,C,2020
1193,S. Kisakye,Esia,DFFW,Serious Cyclones,31,1988,0.78,1.45,2.9,1.46,49.95,2.66,1.32,0.51,1.02,9.5,0.08,0.01,0.0,0.95,0.95,0.35,0.48,0.65,C,2020
1194,X. Pavlovi?,Nganion,DFFW,Serious Cyclones,19,2000,2.23,0.06,0.94,0.45,49.96,0.83,0.37,0.1,0.09,19.54,0.04,-0.06,0.09,0.21,0.28,0.29,-0.31,-0.27,C,2020
1195,G. Jumbe,Imaar Vircoand,DFMF,Serious Cyclones,20,1999,1.44,0.08,0.02,0.02,,-0.06,-0.06,,,,-0.09,0.07,-0.1,0.1,-0.06,,0.01,-0.07,C,2020
1196,V. Kayira,Esia,FW,Serious Cyclones,27,1992,5.82,0.59,1.18,0.48,42.94,1.14,0.61,0.26,0.62,11.45,0.01,0.16,0.22,0.31,0.12,0.21,0.23,0.08,C,2020
1197,Q. Hämäläinen,Rarita,FW,Serious Cyclones,25,1993,5.96,0.94,2.57,1.14,46.69,2.49,1.27,0.25,0.64,12.13,-0.01,0.07,-0.03,0.67,0.73,0.31,0.19,0.22,C,2020
1198,F. Yan,Redohrainbri,FW,Serious Cyclones,19,2000,11.8,1.13,2.96,1.68,57.15,2.91,1.6,0.27,0.74,12.02,-0.01,-0.04,0.03,0.61,0.66,0.31,0.32,0.36,C,2020
1199,E. Bah,Mico,FWMF,Serious Cyclones,20,1998,0.9,-0.1,0.05,0.05,,0.04,0.03,,,,0.03,-0.09,0.09,-0.1,0.05,,-0.03,0.04,C,2020
1200,L. Malinga,People's Land of Maneau,FWMF,Serious Cyclones,19,2000,25.3,0.63,1.99,1.04,53.81,1.98,1.12,0.31,0.52,15.41,-0.04,0.1,-0.02,0.38,0.38,0.14,0.33,0.27,C,2020
1201,I. Permana,Southern Ristan,FWMF,Serious Cyclones,26,1993,26.48,0.25,1.89,0.8,42.1,1.99,0.69,0.18,0.33,18.1,0.02,-0.03,0.03,0.19,0.27,0.04,0.09,0.04,C,2020
1202,F. Nabunya,Quewenia,GK,Serious Cyclones,28,1990,30.87,-0.07,0.0,0.0,,-0.06,-0.04,,,,-0.09,0.07,0.0,0.05,-0.08,,-0.05,-0.08,C,2020
1203,M. Zhou,Quewenia,GK,Serious Cyclones,31,1987,3.28,0.02,0.02,0.02,,-0.03,0.08,,,,-0.01,0.06,0.0,-0.02,-0.02,,-0.04,-0.03,C,2020
1204,J. Nabadda,Esia,MF,Serious Cyclones,19,2000,0.25,0.05,-0.08,-0.04,,-0.03,-0.08,,,,-0.01,-0.05,0.1,0.08,0.09,,-0.01,0.07,C,2020
1205,L. Adri,Esia,MF,Serious Cyclones,23,1996,6.13,0.07,2.02,0.6,30.82,2.15,0.66,-0.01,-0.1,20.46,0.08,-0.06,-0.03,0.14,0.21,0.03,-0.18,-0.09,C,2020
1206,O. Lakot,Mico,MF,Serious Cyclones,27,1991,9.18,-0.08,0.23,-0.01,-0.05,0.3,0.08,0.07,,7.48,0.1,0.01,0.01,0.04,0.06,0.16,-0.01,-0.07,C,2020
1207,I. Reilly,Southern Ristan,MF,Serious Cyclones,30,1989,24.89,0.22,1.08,0.22,24.98,1.14,0.33,0.07,0.51,19.18,-0.06,-0.04,0.1,0.14,0.11,0.14,-0.01,0.02,C,2020
1208,R. Amadu,Esia,MFDF,Serious Cyclones,23,1995,11.28,0.0,0.85,0.23,33.2,0.72,0.22,0.21,0.26,22.93,0.01,-0.07,-0.05,0.03,-0.06,0.1,0.1,0.08,C,2020
1209,Z. Braun,Esia,MFDF,Serious Cyclones,25,1994,10.51,0.17,1.55,0.37,24.99,1.55,0.42,0.2,0.52,17.39,0.07,0.04,0.04,0.13,0.05,0.0,0.07,0.01,C,2020
1210,A. Yusuf,Esia,MFFW,Serious Cyclones,30,1989,16.53,0.61,2.69,1.42,48.93,2.77,1.4,0.27,0.48,15.32,0.2,0.13,0.0,0.65,0.6,0.2,0.06,0.01,C,2020
1211,B. Nakiyemba,Esia,MFFW,Serious Cyclones,23,1996,24.4,0.12,1.26,0.57,45.54,1.32,0.7,0.03,0.15,16.57,-0.04,-0.06,0.09,0.21,0.08,0.05,-0.07,-0.03,C,2020
1212,Q. Sithole,Slandsganiamayotteque,MFFW,Serious Cyclones,16,2002,3.99,-0.05,0.93,0.49,49.96,1.08,0.59,-0.03,0.04,18.08,-0.08,0.08,-0.09,0.08,0.01,0.05,-0.12,0.01,C,2020
1213,R. Sari,Byasier Pujan,DF,Silver Frogs,27,1991,9.07,0.0,1.02,0.31,22.24,0.93,0.27,0.0,-0.1,9.85,-0.05,-0.01,0.03,0.23,0.06,0.15,-0.14,-0.23,C,2020
1214,T. Dietrich,Dosqaly,DF,Silver Frogs,26,1993,26.39,-0.04,0.8,0.19,21.19,0.71,0.2,0.09,0.28,24.11,0.07,0.06,0.01,0.03,0.0,0.11,0.08,0.08,C,2020
1215,N. Nanziri,Esia,DF,Silver Frogs,27,1992,17.62,0.16,0.32,0.04,49.93,0.16,0.13,0.23,0.53,8.47,0.03,0.08,-0.02,0.06,0.05,0.18,0.1,-0.07,C,2020
1216,P. Be,Esia,DF,Silver Frogs,20,1998,0.08,0.01,0.06,0.09,,-0.08,-0.03,,,,0.06,0.04,0.04,0.01,0.03,,-0.05,-0.01,C,2020
1217,A. Nantege,Lefghau,DF,Silver Frogs,24,1995,15.18,0.07,1.07,0.3,35.23,1.15,0.39,0.09,0.07,19.01,0.07,0.0,-0.08,0.18,0.15,0.14,0.01,-0.12,C,2020
1218,N. Suryani,Lefghau,DF,Silver Frogs,24,1994,4.27,0.06,0.67,0.19,33.28,0.7,0.25,-0.04,-0.02,23.97,-0.07,-0.05,-0.09,-0.03,0.02,0.1,0.05,0.02,C,2020
1219,G. Gaby,Lenia Gerdanho,DF,Silver Frogs,26,1993,13.33,-0.01,0.59,0.17,25.09,0.69,0.19,0.15,0.58,10.79,0.01,-0.02,0.07,0.01,0.12,0.01,-0.01,-0.07,C,2020
1220,F. Mawa,Manlisgamncent,DF,Silver Frogs,21,1997,10.35,0.09,0.47,0.2,60.02,0.47,0.28,0.34,0.69,8.81,0.03,-0.04,0.04,0.06,0.01,0.18,0.15,0.13,C,2020
1221,W. Okeke,Quewenia,DF,Silver Frogs,24,1995,18.86,0.13,0.56,0.24,33.21,0.43,0.15,0.4,0.96,10.98,0.07,0.02,-0.06,0.11,0.02,0.09,0.11,0.18,C,2020
1222,M. Nakkazi,Slandsganiamayotteque,DF,Silver Frogs,26,1993,24.65,0.1,0.5,0.1,33.26,0.43,0.09,-0.05,0.07,9.08,-0.09,0.07,0.1,0.08,0.03,0.18,0.03,0.0,C,2020
1223,E. Lam,Byasier Pujan,FW,Silver Frogs,26,1992,30.38,0.53,2.8,1.12,42.71,2.78,1.17,0.22,0.28,12.19,0.04,0.16,0.11,0.55,0.3,0.15,0.05,-0.08,C,2020
1224,C. Wee,Esia,FW,Silver Frogs,28,1991,8.49,0.43,2.79,0.81,25.1,2.85,0.6,0.17,0.53,13.95,0.02,0.04,-0.1,0.35,0.43,0.23,-0.07,0.02,C,2020
1225,C. Chow,Esia,FWMF,Silver Frogs,20,1998,1.59,-0.01,1.91,-0.08,-0.02,2.11,-0.05,0.0,,17.06,0.08,-0.04,0.01,0.31,0.35,0.07,-0.26,-0.3,C,2020
1226,D. Wahyudi,Esia,FWMF,Silver Frogs,26,1992,7.4,0.07,2.5,0.82,31.6,2.51,0.78,0.09,0.02,17.87,0.02,0.01,-0.04,0.22,0.23,0.05,-0.16,-0.26,C,2020
1227,S. Achen,Giumle Lizeibon,GK,Silver Frogs,31,1987,7.93,-0.09,0.05,-0.09,,-0.03,0.0,,,,-0.08,0.02,-0.07,0.01,0.09,,0.01,0.05,C,2020
1228,L. Msowoya,Southern Ristan,GK,Silver Frogs,27,1992,25.93,0.05,-0.05,0.09,,-0.08,-0.02,,,,-0.07,0.06,-0.08,-0.04,-0.09,,-0.07,-0.07,C,2020
1229,I. Muchenje,Dosqaly,MF,Silver Frogs,20,1999,0.09,0.01,-0.02,0.04,,-0.08,0.02,,,,0.06,-0.03,0.09,0.05,-0.1,,0.07,-0.09,C,2020
1230,G. Foong,Esia,MF,Silver Frogs,25,1994,31.36,0.17,1.93,0.56,27.06,2.05,0.62,0.09,0.2,26.38,0.26,0.01,0.05,0.14,0.02,-0.03,0.07,0.02,C,2020
1231,I. Lew,Esia,MF,Silver Frogs,25,1994,9.25,0.18,1.16,0.42,36.43,1.28,0.43,0.27,0.4,16.48,0.08,-0.05,-0.02,0.15,0.29,0.11,0.09,0.05,C,2020
1232,K. Lawino,Giumle Lizeibon,MF,Silver Frogs,21,1997,19.03,-0.03,1.63,0.48,25.02,1.69,0.34,-0.07,0.21,22.15,0.03,-0.05,0.09,0.06,-0.01,-0.01,0.07,0.01,C,2020
1233,P. Takahashi,Dosqaly,MFDF,Silver Frogs,28,1990,22.85,-0.09,0.99,0.26,27.38,0.92,0.31,-0.03,-0.03,18.31,0.07,-0.01,0.07,0.12,0.07,-0.03,-0.13,-0.09,C,2020
1234,O. Lombardi,Frenchdo Stanser,MFFW,Silver Frogs,20,1999,0.86,-0.05,1.02,1.16,99.95,1.19,1.13,-0.08,-0.06,10.74,-0.08,-0.05,0.08,0.2,0.15,0.16,-0.15,-0.18,C,2020
1235,I. Kyakimwa,Lefghau,MFFW,Silver Frogs,25,1994,18.15,0.15,1.63,0.63,37.94,1.61,0.62,0.06,0.18,15.92,-0.03,-0.02,0.1,0.26,0.2,0.02,-0.08,-0.09,C,2020
1236,F. Blanco,Manlisgamncent,MFFW,Silver Frogs,21,1998,18.54,0.13,2.3,0.89,35.64,2.21,0.77,0.02,0.27,20.01,0.07,0.06,0.06,0.13,0.15,0.04,0.04,0.03,C,2020
1237,Q. Addo,Quewenia,MFFW,Silver Frogs,27,1991,17.64,0.4,1.63,0.49,34.48,1.6,0.52,0.29,0.6,16.32,-0.05,0.07,0.1,0.25,0.21,0.07,0.09,-0.01,C,2020
1238,Z. Uy,Quewenia,MFFW,Silver Frogs,28,1991,13.29,0.24,1.69,0.76,39.13,1.63,0.78,0.13,0.3,16.71,0.08,0.0,-0.05,0.07,0.19,0.0,0.08,-0.01,C,2020
1239,G. Onencan,Byasier Pujan,DF,Spicy Gophers,24,1995,25.98,-0.03,0.52,0.12,33.31,0.49,0.2,-0.01,0.28,21.0,0.08,0.09,-0.05,0.12,0.05,0.0,-0.04,-0.08,C,2020
1240,D. Steiner,Esia,DF,Spicy Gophers,24,1994,12.89,-0.04,0.13,0.01,-0.02,0.22,0.03,0.0,,24.06,-0.1,0.01,0.0,-0.05,0.01,0.06,-0.03,0.08,C,2020
1241,G. Golob,Esia,DF,Spicy Gophers,22,1997,0.19,0.09,-0.01,-0.05,,0.02,-0.08,,,,0.04,-0.02,0.09,-0.07,0.09,,-0.08,-0.08,C,2020
1242,M. Dufour,Esia,DF,Spicy Gophers,29,1990,24.42,-0.01,0.37,0.17,54.46,0.38,0.15,0.14,0.08,10.24,-0.07,0.02,-0.08,0.02,0.0,0.05,0.03,-0.08,C,2020
1243,N. Kiss,Esia,DF,Spicy Gophers,18,2001,14.53,0.05,0.26,0.17,66.64,0.15,0.24,0.03,-0.08,23.19,0.02,-0.04,0.06,-0.01,0.04,0.08,-0.03,0.05,C,2020
1244,U. Masarweh,Esia,DF,Spicy Gophers,28,1990,11.16,-0.07,0.15,-0.01,0.01,0.26,0.09,0.09,,9.62,0.07,-0.03,-0.02,0.03,0.0,0.09,0.03,-0.01,C,2020
1245,X. Asiku,Esia,DF,Spicy Gophers,28,1991,0.92,-0.09,0.1,-0.02,,0.1,-0.01,,,,-0.05,-0.03,0.04,0.03,0.05,,-0.06,-0.04,C,2020
1246,E. Byekwaso,Nganion,DF,Spicy Gophers,22,1997,6.89,0.17,0.49,0.11,33.29,0.35,0.07,0.41,0.94,17.17,-0.06,0.08,-0.09,0.18,0.12,0.2,-0.04,0.0,C,2020
1247,A. Soltani,Southern Ristan,DF,Spicy Gophers,20,1999,27.27,0.27,0.57,0.23,38.84,0.73,0.19,0.4,0.89,7.14,0.07,0.07,0.1,0.17,0.15,0.15,0.22,0.16,C,2020
1248,H. Jaber,Eastern Niasland,FW,Spicy Gophers,19,2000,0.21,0.03,-0.07,0.09,,-0.05,-0.03,,,,0.03,0.02,-0.08,-0.01,-0.02,,-0.02,-0.09,C,2020
1249,H. Nagy,Western Niasland,FW,Spicy Gophers,26,1993,22.19,0.53,2.83,1.12,40.69,2.8,1.18,0.2,0.55,13.65,0.06,0.06,0.0,0.46,0.36,0.11,0.2,0.07,C,2020
1250,A. Blanchard,Esia,FWDF,Spicy Gophers,19,1999,18.55,0.03,0.88,0.58,49.97,1.05,0.39,0.19,0.29,18.32,0.05,0.04,-0.05,0.19,0.05,0.12,-0.04,-0.06,C,2020
1251,U. Rees,Dosqaly,FWMF,Spicy Gophers,31,1988,12.51,0.35,2.73,0.7,29.32,2.72,0.7,0.16,0.42,13.64,0.1,-0.05,-0.09,0.22,0.27,0.16,0.02,0.06,C,2020
1252,C. Ntale,Esia,FWMF,Spicy Gophers,26,1993,9.37,0.1,1.45,0.26,21.36,1.45,0.36,-0.08,-0.03,19.06,-0.03,-0.06,0.1,0.03,0.11,0.08,-0.08,-0.07,C,2020
1253,I. Dehghani,Esia,FWMF,Spicy Gophers,31,1988,8.92,0.3,4.06,1.23,30.69,3.9,1.23,0.1,0.25,10.13,-0.07,-0.01,-0.02,0.65,0.75,0.28,-0.4,-0.34,C,2020
1254,M. Almalki,Esia,FWMF,Spicy Gophers,17,2002,0.11,-0.07,5.09,-0.02,-0.03,5.63,-0.02,-0.01,,11.04,0.03,-0.07,0.04,0.56,0.49,0.03,-0.56,-0.54,C,2020
1255,X. Lunyolo,Esia,FWMF,Spicy Gophers,17,2002,6.19,-0.04,1.24,0.37,25.04,1.23,0.36,0.08,0.1,21.9,0.0,-0.04,-0.02,0.0,0.12,0.13,-0.05,0.01,C,2020
1256,C. Mari?,Giumle Lizeibon,FWMF,Spicy Gophers,26,1992,17.35,0.37,2.3,0.83,37.56,2.34,0.92,0.1,0.26,21.61,0.44,0.15,0.0,0.26,0.12,-0.01,0.11,-0.01,C,2020
1257,I. Bitton,Esia,GK,Spicy Gophers,26,1993,34.02,0.0,-0.04,-0.04,,0.04,0.0,,,,0.07,-0.01,-0.1,-0.07,-0.02,,0.0,0.02,C,2020
1258,G. Moradi,Esia,MF,Spicy Gophers,21,1997,6.88,0.0,1.96,0.92,53.71,1.9,1.08,0.03,0.09,16.81,0.24,-0.05,-0.01,0.18,0.07,0.08,-0.19,-0.24,C,2020
1259,U. Tweheyo,Esia,MF,Spicy Gophers,29,1989,7.46,0.07,0.11,0.07,-0.1,0.16,-0.05,0.1,,12.3,-0.02,0.02,0.09,-0.08,0.02,0.12,0.05,-0.02,C,2020
1260,R. Kirya,Giumle Lizeibon,MF,Spicy Gophers,24,1994,6.95,0.19,1.33,0.66,55.51,1.27,0.65,0.09,0.16,16.79,0.06,0.04,-0.02,0.09,0.04,-0.02,0.05,0.04,C,2020
1261,V. Kiggundu,Southern Ristan,MF,Spicy Gophers,25,1994,7.49,-0.07,1.04,0.29,25.05,1.14,0.36,0.02,-0.04,23.98,0.53,0.02,-0.06,0.0,0.04,0.09,0.04,-0.07,C,2020
1262,F. Dutta,Tabhu Striary,MF,Spicy Gophers,24,1995,29.71,-0.03,0.79,0.1,19.91,0.75,0.22,0.02,0.22,18.2,-0.04,0.1,-0.02,-0.01,0.0,0.09,-0.12,-0.01,C,2020
1263,E. Nambafu,Esia,MFDF,Spicy Gophers,29,1990,27.07,0.2,1.13,0.36,31.09,0.99,0.33,0.23,0.42,17.4,0.17,0.0,-0.03,0.01,0.07,-0.01,0.03,0.13,C,2020
1264,C. Richard,Esia,MFFW,Spicy Gophers,27,1991,0.23,-0.08,0.01,0.01,,0.07,0.1,,,,0.04,0.06,-0.02,-0.02,0.01,,-0.07,-0.01,C,2020
1265,H. Musiime,Esia,MFFW,Spicy Gophers,29,1989,1.6,-0.05,0.72,0.08,0.04,0.61,0.1,0.05,,26.91,0.57,-0.07,0.0,0.1,0.1,-0.01,0.02,-0.08,C,2020
1266,M. Ebong,Esia,MFFW,Spicy Gophers,27,1991,12.82,0.38,3.24,1.13,36.52,3.19,1.07,0.15,0.35,18.47,0.41,0.14,0.3,0.56,0.31,0.11,-0.1,-0.01,C,2020
1267,V. Okongo,Esia,MFFW,Spicy Gophers,29,1990,17.53,0.19,1.08,0.4,39.99,1.22,0.54,0.08,0.3,17.93,-0.02,0.09,0.05,0.12,0.17,0.08,-0.02,0.04,C,2020
1268,I. Nakato,Coastpa Barleslands,DF,Supreme Jaguars,28,1990,12.47,0.07,0.75,0.17,33.38,0.67,0.17,0.3,0.7,12.3,0.07,0.08,0.09,0.15,0.09,0.1,0.18,0.03,C,2020
1269,M. Lunkuse,Dosqaly,DF,Supreme Jaguars,19,1999,4.05,0.02,0.77,0.19,33.22,0.77,0.23,0.05,-0.07,7.59,0.09,-0.06,0.05,0.03,0.13,0.14,-0.15,-0.14,C,2020
1270,X. Phiri,Dosqaly,DF,Supreme Jaguars,28,1990,9.08,-0.03,0.05,-0.07,,-0.04,0.06,,,,0.06,-0.05,-0.06,-0.04,0.06,,-0.04,0.07,C,2020
1271,S. Kyobutungi,Esia,DF,Supreme Jaguars,17,2001,0.74,0.06,1.17,1.2,100.05,1.11,1.09,0.01,-0.08,31.22,0.09,-0.03,0.03,0.07,-0.08,0.09,-0.09,-0.03,C,2020
1272,X. Kurnia,Esia,DF,Supreme Jaguars,30,1989,33.5,0.0,0.17,0.03,33.34,0.35,0.07,0.09,0.07,24.01,-0.01,0.01,0.05,-0.07,0.03,-0.01,0.01,0.08,C,2020
1273,S. Phillips,Nganion,DF,Supreme Jaguars,19,2000,8.7,0.04,0.6,0.1,20.0,0.64,0.19,0.03,-0.04,25.43,0.08,0.05,-0.01,0.02,0.11,0.03,-0.07,0.02,C,2020
1274,A. Berisha,People's Land of Maneau,DF,Supreme Jaguars,22,1997,30.2,0.14,0.39,0.15,45.5,0.4,0.17,0.28,0.45,20.23,0.02,-0.05,-0.03,0.0,-0.03,0.15,-0.04,-0.07,C,2020
1275,I. Öztürk,Rosvi,DF,Supreme Jaguars,26,1993,15.12,0.07,0.74,0.17,25.06,0.82,0.14,-0.01,-0.06,10.13,0.02,-0.01,0.09,0.14,0.09,0.17,0.01,-0.14,C,2020
1276,I. Ssentongo,Varijitri Isles,DF,Supreme Jaguars,19,2000,19.71,0.12,0.64,0.38,58.34,0.63,0.25,0.23,0.35,9.23,-0.01,0.01,-0.02,0.03,0.09,0.2,0.03,0.0,C,2020
1277,Y. Iwasaki,Esia,DFMF,Supreme Jaguars,22,1997,3.74,0.06,1.33,0.24,19.93,1.4,0.2,-0.1,-0.04,13.32,0.05,-0.05,-0.03,0.06,0.1,0.04,-0.04,-0.13,C,2020
1278,M. Piotrowski,Esia,FW,Supreme Jaguars,21,1997,1.09,-0.05,3.02,1.09,33.25,3.05,0.98,0.08,-0.04,25.17,-0.04,-0.04,-0.06,0.18,0.05,0.07,-0.11,-0.02,C,2020
1279,M. Ssemwanga,Giumle Lizeibon,FW,Supreme Jaguars,30,1989,13.72,-0.01,2.61,0.54,22.86,2.64,0.6,0.05,-0.05,13.87,-0.09,-0.06,0.07,0.41,0.41,0.06,-0.41,-0.38,C,2020
1280,Z. Matsui,Giumle Lizeibon,FW,Supreme Jaguars,25,1994,9.29,0.02,2.59,0.72,29.14,2.55,0.76,-0.04,0.16,12.68,0.14,-0.01,0.07,0.42,0.3,0.21,-0.28,-0.19,C,2020
1281,F. Quansah,Southern Ristan,FW,Supreme Jaguars,24,1994,17.76,0.25,1.83,0.99,48.46,1.83,0.89,0.06,0.34,16.32,-0.08,-0.03,0.04,0.26,0.22,0.11,-0.07,0.07,C,2020
1282,M. Colombo,Djipines,FWMF,Supreme Jaguars,18,2000,12.96,0.06,1.88,0.52,29.27,1.82,0.46,0.03,0.35,17.66,0.03,0.05,-0.02,0.09,0.11,0.06,-0.07,-0.08,C,2020
1283,M. Ebong,Esia,FWMF,Supreme Jaguars,27,1991,3.99,-0.02,2.12,0.83,37.41,2.11,0.7,-0.07,0.02,12.92,-0.02,0.06,-0.05,0.23,0.21,0.21,-0.23,-0.3,C,2020
1284,L. Jung,Rarita,FWMF,Supreme Jaguars,19,2000,7.53,0.41,1.94,0.66,33.25,1.98,0.62,0.28,0.59,17.7,0.02,0.05,0.05,0.2,0.12,0.16,0.21,0.24,C,2020
1285,S. Feldman,Esia,GK,Supreme Jaguars,22,1996,25.69,-0.04,0.07,-0.03,,-0.1,-0.08,,,,0.01,-0.1,0.09,0.1,-0.08,,0.03,0.07,C,2020
1286,W. Meiyr,Esia,GK,Supreme Jaguars,21,1998,8.27,-0.01,-0.07,0.06,,-0.07,0.06,,,,0.07,0.06,0.02,0.05,-0.05,,0.1,-0.06,C,2020
1287,E. Orishaba,Esia,MF,Supreme Jaguars,22,1997,0.03,0.05,-0.07,0.06,,0.03,-0.08,,,,-0.05,-0.07,0.08,0.03,0.06,,0.04,-0.1,C,2020
1288,G. Waswa,Esia,MF,Supreme Jaguars,22,1997,17.86,0.43,2.12,0.77,40.59,2.15,0.88,0.18,0.45,19.62,-0.1,0.0,-0.03,0.13,0.07,0.06,0.24,0.29,C,2020
1289,Q. Demir,Esia,MF,Supreme Jaguars,18,2001,2.59,0.01,1.55,0.75,50.05,1.52,0.86,-0.04,-0.08,28.0,0.08,-0.04,0.03,0.04,0.03,0.03,-0.09,0.0,C,2020
1290,X. Seidu,Giumle Lizeibon,MF,Supreme Jaguars,25,1994,15.87,0.03,0.86,0.12,21.34,0.82,0.15,0.0,0.1,18.21,-0.02,0.02,0.05,0.16,0.1,0.18,-0.05,-0.14,C,2020
1291,G. António,Nganion,MF,Supreme Jaguars,26,1993,22.45,0.09,0.34,0.05,20.06,0.49,0.12,-0.08,-0.01,23.12,0.07,-0.05,0.07,-0.06,0.01,0.08,0.07,0.02,C,2020
1292,K. Ntege,Slandsganiamayotteque,MFDF,Supreme Jaguars,20,1998,22.97,0.18,1.49,0.21,21.92,1.33,0.33,0.18,0.41,17.38,-0.08,0.0,-0.05,0.19,0.09,0.02,0.05,-0.01,C,2020
1293,J. Muianga,Biarizea,MFFW,Supreme Jaguars,22,1997,23.47,0.24,1.09,0.4,40.75,1.18,0.44,0.14,0.54,21.33,0.03,0.05,0.02,0.14,0.11,0.08,0.15,0.06,C,2020
1294,L. Kaur,Biarizea,MFFW,Supreme Jaguars,20,1999,4.64,0.0,1.26,0.1,-0.01,1.29,-0.07,-0.08,,15.23,-0.05,-0.06,0.01,0.18,0.14,-0.02,-0.14,-0.14,C,2020
1295,A. Guo,Esia,MFFW,Supreme Jaguars,18,2000,0.81,-0.09,1.33,-0.08,-0.01,1.36,0.05,0.04,,14.21,-0.02,-0.05,-0.06,-0.02,-0.1,0.12,0.0,0.06,C,2020
1296,M. Kakaire,Sobianitedrucy,MFFW,Supreme Jaguars,31,1988,25.43,0.16,1.7,0.34,25.55,1.71,0.39,0.06,0.13,21.56,0.25,0.01,0.02,0.14,0.18,0.03,-0.13,-0.08,C,2020
1297,U. Kyoshabire,Central Democracy of Boekrainego,DF,Ultimate Dolphins,18,2000,24.83,0.17,0.51,0.27,41.77,0.53,0.23,0.16,0.69,18.08,0.07,-0.1,0.01,0.03,0.14,0.24,0.1,0.02,C,2020
1298,B. Klemen?i?,Dosqaly,DF,Ultimate Dolphins,23,1996,31.1,0.13,0.65,0.31,33.3,0.62,0.16,0.28,0.66,15.99,-0.01,0.08,0.05,0.01,0.04,-0.01,0.01,0.03,C,2020
1299,B. Mangwiro,Dosqaly,DF,Ultimate Dolphins,23,1996,10.11,0.07,0.2,0.19,33.35,0.24,0.18,0.0,0.07,19.43,0.04,-0.06,0.06,0.11,0.14,0.14,-0.11,0.01,C,2020
1300,L. Mitchell,Esia,DF,Ultimate Dolphins,23,1995,7.06,0.06,0.83,0.23,16.68,0.93,0.2,-0.08,-0.06,15.38,0.08,0.08,-0.04,-0.01,-0.01,0.11,0.02,-0.05,C,2020
1301,V. Inoue,Giumle Lizeibon,DF,Ultimate Dolphins,27,1992,27.81,0.01,0.66,0.18,38.88,0.61,0.19,0.07,0.16,25.7,0.2,0.1,-0.01,0.11,0.02,0.01,-0.08,0.08,C,2020
1302,N. Quinn,Nganion,DF,Ultimate Dolphins,23,1995,1.63,-0.03,-0.04,0.02,,0.09,0.06,,,,-0.1,-0.01,-0.08,-0.03,0.08,,0.01,-0.05,C,2020
1303,Z. Nassolo,Rarita,DF,Ultimate Dolphins,30,1988,19.95,-0.02,0.21,0.02,33.39,0.2,0.02,0.09,0.06,24.56,0.06,0.05,-0.07,0.03,-0.07,0.05,-0.09,0.02,C,2020
1304,M. Schwartz,Slandsganiamayotteque,DF,Ultimate Dolphins,19,2000,0.04,0.03,-0.06,0.05,,-0.04,0.01,,,,0.02,-0.05,0.01,0.02,0.07,,0.06,0.04,C,2020
1305,K. Yousef,Esia,DFFW,Ultimate Dolphins,18,2001,0.03,-0.07,-0.01,-0.03,,-0.02,0.07,,,,-0.05,0.05,0.07,-0.02,0.09,,0.01,-0.07,C,2020
1306,D. Mirembe,Nganion,DFMF,Ultimate Dolphins,30,1988,7.57,-0.09,0.22,-0.05,-0.07,0.05,0.1,-0.04,,4.11,-0.01,0.05,-0.03,-0.02,0.12,0.24,-0.1,-0.04,C,2020
1307,J. De Smet,Esia,FW,Ultimate Dolphins,18,2001,0.12,-0.08,-0.07,-0.06,,0.08,-0.03,,,,0.09,-0.07,-0.08,0.07,0.07,,-0.06,0.09,C,2020
