,Player,Nation,Pos,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Performance PK,Performance PKatt,League,Year,Standard FK,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
574,H. Lehner,Isle of Jabber,FW,24,1997,0.4,-0.07,0.03,-0.06,,-0.02,-0.04,,,,-0.04,-0.06,Tournament,2020,,,,,,
575,I. Jain,Isle of Jabber,FW,25,1996,2.05,0.06,-0.02,-0.06,,-0.04,-0.1,,,,0.02,0.09,Tournament,2020,,,,,,
576,N. Chin,Isle of Jabber,FW,28,1993,0.28,-0.07,0.04,-0.03,,0.06,0.01,,,,-0.03,0.08,Tournament,2020,,,,,,
577,N. Lewandowski,Isle of Jabber,FW,26,1995,3.96,0.54,2.62,1.29,50.06,2.53,1.35,0.19,0.34,,0.08,0.03,Tournament,2020,,,,,,
578,Q. Chiang,Isle of Jabber,FWMF,23,1998,2.38,0.46,1.83,0.9,50.06,1.85,0.95,0.21,0.59,,0.06,0.0,Tournament,2020,,,,,,
579,Q. Agyemang,Isle of Jabber,GK,28,1992,6.05,-0.05,-0.09,-0.1,,0.02,-0.08,,,,0.07,-0.06,Tournament,2020,,,,,,
580,A. Rahman,Isle of Jabber,MF,32,1989,-0.07,0.04,0.04,-0.03,,-0.02,-0.02,,,,-0.07,-0.07,Tournament,2020,,,,,,
581,D. Luhanga,Isle of Jabber,MF,31,1990,3.58,-0.03,1.71,0.83,50.0,1.7,0.77,-0.04,-0.02,,-0.05,-0.03,Tournament,2020,,,,,,
582,E. Sumiati,Isle of Jabber,MF,25,1996,1.36,-0.01,0.84,-0.09,-0.1,0.82,-0.09,-0.05,,,0.06,0.0,Tournament,2020,,,,,,
583,P. Gumisiriza,Isle of Jabber,MF,28,1992,2.65,-0.06,1.19,0.3,33.3,1.06,0.48,0.03,-0.05,,-0.08,0.08,Tournament,2020,,,,,,
584,P. Yeo,Isle of Jabber,MF,25,1996,5.19,-0.02,1.3,0.15,14.26,1.3,0.25,-0.09,-0.01,,0.02,-0.08,Tournament,2020,,,,,,
585,U. Claes,Isle of Jabber,MF,28,1993,0.0,-0.02,0.0,-0.04,,0.09,0.04,,,,-0.07,-0.08,Tournament,2020,,,,,,
586,D. Mariani,Isle of Jabber,MFDF,32,1989,1.88,0.01,1.13,-0.09,-0.05,1.21,0.06,0.02,,,-0.02,0.07,Tournament,2020,,,,,,
587,D. McLaughlin,Isle of Jabber,MFFW,28,1993,1.62,0.07,0.04,0.08,,-0.01,0.07,,,,-0.07,-0.07,Tournament,2020,,,,,,
588,K. Chisale,Isle of Jabber,MFFW,25,1996,3.96,0.06,1.23,1.1,79.97,1.34,0.96,0.09,0.08,,0.05,0.03,Tournament,2020,,,,,,
589,R. Luo,Isle of Jabber,MFFW,31,1990,3.74,0.04,1.57,0.01,-0.07,1.52,-0.07,-0.06,,,-0.01,0.01,Tournament,2020,,,,,,
590,X. Kasujja,Isle of Jabber,MFFW,28,1993,3.03,0.74,0.39,0.38,99.99,0.31,0.34,1.96,1.96,,0.07,-0.07,Tournament,2020,,,,,,
591,D. Tuominen,Isle of Lababwe,DF,31,1990,3.91,0.34,0.43,0.26,50.02,0.48,0.34,0.42,0.94,,-0.04,-0.03,Tournament,2020,,,,,,
592,G. Lunga,Isle of Lababwe,DF,29,1992,5.05,0.02,0.65,0.24,33.27,0.64,0.13,0.08,-0.04,,0.06,0.08,Tournament,2020,,,,,,
593,I. Sen,Isle of Lababwe,DF,26,1995,1.46,-0.03,0.01,-0.06,,-0.05,0.02,,,,0.04,0.09,Tournament,2020,,,,,,
594,L. Giordano,Isle of Lababwe,DF,28,1993,3.22,0.03,-0.1,-0.04,,-0.07,0.03,,,,0.05,0.1,Tournament,2020,,,,,,
595,V. Agyeman,Isle of Lababwe,DF,32,1989,0.09,-0.07,-0.04,-0.06,,0.07,0.03,,,,-0.09,-0.01,Tournament,2020,,,,,,
596,V. Mo,Isle of Lababwe,DF,28,1993,2.54,0.02,0.45,0.0,-0.02,0.41,0.07,0.04,,,-0.07,-0.08,Tournament,2020,,,,,,
597,W. Ouma,Isle of Lababwe,DF,31,1990,4.6,-0.06,-0.02,-0.02,,0.03,-0.07,,,,0.04,-0.04,Tournament,2020,,,,,,
598,P. Brun,Isle of Lababwe,DFMF,29,1992,3.84,0.24,0.55,0.52,99.99,0.55,0.48,0.41,0.57,,0.0,0.05,Tournament,2020,,,,,,
599,G. Tushemerirwe,Isle of Lababwe,FW,29,1992,0.9,0.07,0.92,0.08,0.08,0.96,-0.07,-0.02,,,0.08,0.0,Tournament,2020,,,,,,
600,O. Kateregga,Isle of Lababwe,FW,33,1987,4.87,0.21,1.93,1.05,55.6,1.82,1.05,0.2,0.29,,0.07,0.01,Tournament,2020,,,,,,
601,U. Ohana,Isle of Lababwe,FW,22,1999,1.14,0.1,5.39,0.94,16.73,5.6,1.03,0.02,-0.03,,0.05,0.07,Tournament,2020,,,,,,
602,Y. Marlina,Isle of Lababwe,FW,28,1993,0.99,1.09,0.97,1.03,99.99,1.04,0.93,0.97,1.01,,0.0,0.02,Tournament,2020,,,,,,
603,K. Nyo,Isle of Lababwe,FWMF,25,1996,0.25,0.08,4.9,-0.05,-0.04,5.95,-0.07,0.08,,,-0.03,0.07,Tournament,2020,,,,,,
604,F. Kasibante,Isle of Lababwe,GK,35,1986,5.95,-0.04,-0.05,-0.06,,-0.09,-0.07,,,,0.01,-0.05,Tournament,2020,,,,,,
605,B. Asiedu,Isle of Lababwe,MF,32,1989,2.03,0.49,0.97,0.49,49.99,1.09,0.41,0.03,-0.07,,0.5,0.53,Tournament,2020,,,,,,
606,D. Barbier,Isle of Lababwe,MF,33,1988,1.23,0.77,2.52,0.89,33.35,2.36,0.78,0.39,0.94,,-0.06,-0.04,Tournament,2020,,,,,,
607,F. Donkor,Isle of Lababwe,MF,26,1995,2.66,-0.04,1.24,0.06,0.08,1.15,0.01,-0.1,,,-0.03,-0.08,Tournament,2020,,,,,,
608,F. Mhone,Isle of Lababwe,MF,26,1995,1.48,0.01,2.78,0.7,25.06,2.79,0.74,-0.02,-0.07,,-0.09,0.03,Tournament,2020,,,,,,
609,G. Akumu,Isle of Lababwe,MF,26,1995,1.97,-0.04,-0.01,0.09,,0.06,-0.05,,,,-0.06,-0.09,Tournament,2020,,,,,,
610,I. Lange,Isle of Lababwe,MF,27,1994,0.35,-0.01,0.07,0.06,,0.06,-0.01,,,,0.06,0.07,Tournament,2020,,,,,,
611,M. Nakayenga,Isle of Lababwe,MF,24,1997,0.83,0.09,-0.05,0.0,,-0.1,-0.06,,,,-0.09,0.04,Tournament,2020,,,,,,
612,P. Jacobsen,Isle of Lababwe,MF,29,1992,0.34,-0.09,0.06,0.02,,-0.07,-0.08,,,,-0.03,0.02,Tournament,2020,,,,,,
613,Q. Twijukye,Isle of Lababwe,MF,29,1992,1.64,0.66,1.69,0.67,33.33,1.72,0.51,0.25,0.96,,0.04,-0.06,Tournament,2020,,,,,,
614,T. Hossein,Isle of Lababwe,MF,29,1992,4.16,0.27,-0.1,-0.05,,-0.01,0.08,,,,0.07,0.06,Tournament,2020,,,,,,
615,W. Yani,Isle of Lababwe,MF,34,1987,5.58,0.01,0.64,0.05,0.08,0.48,0.07,-0.09,,,0.04,-0.09,Tournament,2020,,,,,,
616,R. Wilson,Isle of Lababwe,MFFW,28,1993,5.36,0.18,4.05,1.67,40.81,4.01,1.74,-0.08,0.01,,0.24,0.26,Tournament,2020,,,,,,
617,B. Kazlo?ski,Iyan,DF,30,1990,4.05,-0.01,0.82,-0.05,0.03,0.8,0.09,-0.06,,,-0.04,0.09,Tournament,2020,,,,,,
618,H. Katushabe,Iyan,DF,28,1993,0.96,-0.05,-0.05,0.01,,-0.05,0.05,,,,0.03,-0.08,Tournament,2020,,,,,,
619,J. Dhliwayo,Iyan,DF,25,1996,3.9,0.32,0.17,0.31,99.96,0.33,0.24,1.06,1.03,,0.09,-0.08,Tournament,2020,,,,,,
620,L. Amolo,Iyan,DF,30,1991,1.98,0.02,2.04,0.97,50.04,1.98,0.95,-0.04,-0.05,,0.0,-0.06,Tournament,2020,,,,,,
621,O. Marchenko,Iyan,DF,33,1988,1.03,0.01,-0.09,0.09,,0.05,0.04,,,,-0.09,0.01,Tournament,2020,,,,,,
622,O. Rasmussen,Iyan,DF,28,1993,5.64,-0.03,0.47,0.3,66.77,0.51,0.43,-0.03,-0.09,,-0.08,0.07,Tournament,2020,,,,,,
623,O. Vu,Iyan,DF,24,1996,4.98,0.06,0.61,0.17,33.26,0.7,0.26,0.1,0.08,,-0.07,-0.07,Tournament,2020,,,,,,
624,G. Monti,Iyan,FW,26,1995,3.34,0.36,3.27,0.92,27.32,3.34,0.93,0.03,-0.08,,0.26,0.31,Tournament,2020,,,,,,
625,H. Jansons,Iyan,FW,20,2001,1.06,0.99,-0.01,-0.08,,-0.04,0.02,,,,1.02,1.05,Tournament,2020,,,,,,
626,W. Khatoon,Iyan,FW,23,1998,1.71,-0.07,2.36,1.72,74.96,2.43,1.74,-0.04,-0.05,,0.04,-0.1,Tournament,2020,,,,,,
627,L. De Jong,Iyan,GK,36,1985,4.09,-0.03,0.02,-0.07,,-0.03,0.01,,,,-0.01,0.02,Tournament,2020,,,,,,
628,S. Jung,Iyan,GK,26,1995,2.04,0.04,0.0,-0.02,,0.07,0.0,,,,-0.07,0.03,Tournament,2020,,,,,,
629,A. Koroveshi,Iyan,MF,25,1996,2.43,-0.06,0.03,-0.04,,0.0,-0.04,,,,-0.08,0.02,Tournament,2020,,,,,,
630,B. Kabasinguzi,Iyan,MF,25,1996,2.77,-0.04,0.81,0.39,50.05,0.82,0.42,0.01,-0.03,,0.08,0.1,Tournament,2020,,,,,,
631,B. Koller,Iyan,MF,24,1997,1.19,0.08,1.9,0.89,50.03,1.84,0.99,-0.05,0.09,,-0.01,0.09,Tournament,2020,,,,,,
632,E. Hui,Iyan,MF,25,1996,0.58,-0.1,1.91,-0.03,0.0,1.91,-0.04,-0.01,,,-0.08,-0.07,Tournament,2020,,,,,,
633,H. Otim,Iyan,MF,24,1997,5.56,0.02,1.46,0.22,12.48,1.53,0.16,-0.08,-0.09,,-0.04,-0.09,Tournament,2020,,,,,,
634,J. Naiga,Iyan,MF,20,2000,1.47,-0.01,1.39,0.02,0.01,1.44,0.0,0.04,,,0.02,0.03,Tournament,2020,,,,,,
635,J. Robin,Iyan,MF,22,1999,1.81,-0.08,0.54,0.08,-0.08,0.49,-0.02,0.01,,,0.06,0.03,Tournament,2020,,,,,,
636,J. Wamala,Iyan,MF,30,1991,3.98,0.0,1.22,0.3,20.08,1.31,0.23,-0.03,0.04,,0.0,-0.07,Tournament,2020,,,,,,
637,M. Chou,Iyan,MF,22,1999,0.6,-0.03,1.45,0.01,-0.09,1.26,-0.06,-0.01,,,0.05,0.01,Tournament,2020,,,,,,
638,W. Namusisi,Iyan,MF,33,1988,1.53,0.62,1.94,1.36,66.7,1.95,1.4,0.43,0.41,,-0.05,0.02,Tournament,2020,,,,,,
639,Z. Lucas,Iyan,MF,21,2000,0.51,-0.09,-0.03,0.09,,0.03,0.0,,,,-0.04,0.06,Tournament,2020,,,,,,
640,Z. Schuster,Iyan,MF,27,1994,1.19,0.07,4.53,0.04,0.03,4.36,-0.08,-0.05,,,-0.09,0.03,Tournament,2020,,,,,,
641,M. Nicolas,Iyan,MFDF,32,1989,1.86,0.09,1.58,0.02,-0.04,1.59,-0.01,0.0,,,-0.02,0.01,Tournament,2020,,,,,,
642,R. Phang,Iyan,MFFW,26,1995,5.79,0.45,2.38,0.83,35.68,2.39,0.8,0.13,0.66,,0.03,0.19,Tournament,2020,,,,,,
643,A. Price,Kani,DF,25,1996,0.45,0.05,-0.08,0.06,,0.06,-0.06,,,,-0.01,-0.04,Tournament,2020,,,,,,
644,A. Tumuheirwe,Kani,DF,31,1990,1.99,-0.09,0.96,-0.08,-0.04,0.9,0.03,0.01,,,-0.1,-0.06,Tournament,2020,,,,,,
645,E. Messina,Kani,DF,35,1986,1.7,-0.09,0.67,0.04,-0.06,0.54,0.09,0.06,,,-0.05,0.05,Tournament,2020,,,,,,
646,F. Richter,Kani,DF,34,1987,5.92,0.07,0.52,0.08,-0.06,0.51,0.1,0.06,,,0.09,0.09,Tournament,2020,,,,,,
647,G. Ting,Kani,DF,23,1998,0.41,0.08,0.01,-0.05,,0.03,0.0,,,,0.08,0.02,Tournament,2020,,,,,,
648,J. Nyamaizi,Kani,DF,31,1990,0.93,0.09,1.02,0.94,100.03,1.1,0.9,-0.08,0.1,,0.03,-0.09,Tournament,2020,,,,,,
649,L. Kasumba,Kani,DF,31,1990,3.54,-0.07,0.36,0.25,99.92,0.3,0.26,0.0,-0.07,,-0.09,0.0,Tournament,2020,,,,,,
650,R. Muyama,Kani,DF,23,1998,0.27,-0.02,4.96,0.01,0.06,4.49,-0.07,0.0,,,0.08,-0.01,Tournament,2020,,,,,,
651,X. Mohammed,Kani,DF,34,1987,1.16,0.0,0.05,0.07,,-0.04,0.08,,,,-0.05,0.03,Tournament,2020,,,,,,
652,Y. Loo,Kani,DF,27,1994,3.42,0.0,0.02,-0.01,,0.07,-0.03,,,,0.1,-0.08,Tournament,2020,,,,,,
653,M. Kivumbi,Kani,DFMF,30,1991,4.09,0.09,0.2,0.16,99.9,0.28,0.26,-0.06,-0.08,,-0.02,-0.09,Tournament,2020,,,,,,
654,G. Pagano,Kani,FW,29,1992,1.05,-0.1,0.89,0.83,99.92,0.91,1.02,-0.01,0.02,,-0.07,-0.1,Tournament,2020,,,,,,
655,K. Nabukeera,Kani,FW,24,1997,0.12,0.0,0.06,-0.05,,0.0,0.01,,,,0.06,-0.07,Tournament,2020,,,,,,
656,M. Pettersen,Kani,FW,23,1998,3.6,0.22,1.07,0.67,50.0,1.17,0.66,0.25,0.41,,0.09,0.08,Tournament,2020,,,,,,
657,Y. Kwame,Kani,FW,22,1999,1.45,0.01,0.69,0.04,0.0,0.62,0.03,-0.09,,,0.09,0.05,Tournament,2020,,,,,,
658,E. Török,Kani,FWMF,34,1987,0.12,-0.06,0.07,0.03,,0.04,0.0,,,,-0.01,0.09,Tournament,2020,,,,,,
659,J. Mwesigye,Kani,FWMF,23,1998,2.94,0.02,0.73,0.09,0.07,0.62,0.06,0.06,,,-0.03,0.03,Tournament,2020,,,,,,
660,P. Wamala,Kani,GK,34,1986,3.95,0.03,-0.02,-0.06,,0.0,-0.02,,,,0.03,-0.02,Tournament,2020,,,,,,
661,S. Szyma?ski,Kani,GK,27,1993,1.96,-0.03,0.05,0.07,,-0.07,0.02,,,,0.01,0.03,Tournament,2020,,,,,,
662,E. Khumalo,Kani,MF,28,1993,2.27,-0.05,0.9,0.41,50.07,0.83,0.51,0.03,-0.02,,-0.02,-0.02,Tournament,2020,,,,,,
663,E. Namuddu,Kani,MF,37,1984,1.41,0.02,0.62,-0.07,-0.05,0.67,0.06,0.06,,,0.08,-0.08,Tournament,2020,,,,,,
664,F. Baey,Kani,MF,28,1993,2.8,-0.05,0.35,0.28,100.0,0.28,0.27,-0.01,0.01,,0.03,0.02,Tournament,2020,,,,,,
665,I. Meyer,Kani,MF,27,1994,0.16,0.03,5.0,0.06,0.09,5.24,-0.03,0.07,,,-0.08,0.07,Tournament,2020,,,,,,
666,M. Hamad,Kani,MF,27,1994,2.12,0.08,0.88,0.0,0.06,0.98,0.0,0.1,,,-0.02,-0.02,Tournament,2020,,,,,,
667,O. Koh,Kani,MF,23,1998,0.13,-0.06,9.97,0.0,0.04,14.91,-0.01,-0.03,,,-0.07,0.06,Tournament,2020,,,,,,
668,R. Byansi,Kani,MF,23,1998,1.31,0.06,1.46,0.06,-0.09,1.57,0.07,0.06,,,-0.07,0.05,Tournament,2020,,,,,,
669,R. Moser,Kani,MFDF,23,1998,5.92,-0.08,0.41,0.27,49.92,0.27,0.17,0.02,0.0,,0.02,0.01,Tournament,2020,,,,,,
670,I. Twijukye,Kani,MFFW,28,1993,4.68,0.1,0.31,-0.08,0.01,0.14,0.0,-0.08,,,0.05,-0.01,Tournament,2020,,,,,,
671,V. Persson,Kani,MFFW,31,1990,5.21,-0.01,0.18,-0.02,0.01,0.26,0.01,-0.07,,,-0.06,-0.07,Tournament,2020,,,,,,
672,A. Palumbo,Kesternsri,DF,28,1993,4.0,0.06,0.51,-0.02,0.06,0.53,0.04,-0.09,,,0.08,0.01,Tournament,2020,,,,,,
673,D. Ogwal,Kesternsri,DF,28,1993,3.02,-0.06,0.28,-0.01,0.05,0.37,0.05,-0.06,,,0.03,0.09,Tournament,2020,,,,,,
674,V. Moulin,Kesternsri,DF,24,1997,0.69,-0.07,1.4,-0.03,0.0,1.52,-0.05,0.06,,,0.07,0.06,Tournament,2020,,,,,,
675,V. Namukisa,Kesternsri,DF,33,1988,4.38,0.09,0.05,-0.05,,0.0,0.05,,,,-0.08,-0.07,Tournament,2020,,,,,,
676,V. Vogel,Kesternsri,DF,25,1996,3.1,0.02,0.01,-0.04,,-0.03,-0.06,,,,-0.01,0.05,Tournament,2020,,,,,,
677,Z. Lewis,Kesternsri,DF,33,1988,0.39,0.08,0.0,-0.1,,-0.07,-0.07,,,,0.06,0.04,Tournament,2020,,,,,,
678,Z. Olobo,Kesternsri,DF,22,1998,1.74,-0.04,0.69,-0.01,0.1,0.57,0.04,0.1,,,0.01,0.07,Tournament,2020,,,,,,
679,Z. Reid,Kesternsri,DF,29,1992,3.04,0.07,0.96,0.38,33.36,1.03,0.24,0.04,0.05,,-0.04,-0.03,Tournament,2020,,,,,,
680,N. Sserunjogi,Kesternsri,DFMF,29,1992,2.93,0.1,0.41,0.27,99.98,0.3,0.33,-0.04,-0.05,,0.02,0.05,Tournament,2020,,,,,,
681,D. Nuhu,Kesternsri,FW,21,2000,0.49,-0.06,-0.09,0.01,,0.06,0.08,,,,0.1,0.04,Tournament,2020,,,,,,
682,I. Maleki,Kesternsri,FW,30,1990,0.96,0.05,2.25,-0.06,-0.01,2.25,0.03,0.01,,,-0.07,-0.06,Tournament,2020,,,,,,
683,K. Adongo,Kesternsri,FW,25,1996,4.01,0.93,2.42,1.32,50.0,2.44,1.17,0.47,0.89,,-0.08,0.01,Tournament,2020,,,,,,
684,S. Beinomugisha,Kesternsri,FW,22,1999,0.37,-0.07,0.04,0.02,,-0.09,-0.05,,,,0.01,-0.02,Tournament,2020,,,,,,
685,Y. Hamid,Kesternsri,GK,19,2002,5.92,-0.09,0.09,-0.06,,-0.02,0.09,,,,-0.01,-0.03,Tournament,2020,,,,,,
686,B. Cherop,Kesternsri,MF,24,1997,0.26,0.07,-0.09,0.02,,0.04,0.04,,,,0.08,-0.08,Tournament,2020,,,,,,
687,B. Chong,Kesternsri,MF,24,1997,1.07,-0.02,0.95,-0.08,-0.02,1.09,0.05,0.1,,,-0.06,0.04,Tournament,2020,,,,,,
688,E. Odoi,Kesternsri,MF,30,1991,0.96,-0.06,0.07,0.09,,-0.08,-0.07,,,,-0.05,0.09,Tournament,2020,,,,,,
689,H. Astuti,Kesternsri,MF,28,1992,0.66,0.1,-0.09,0.0,,-0.03,0.02,,,,-0.08,-0.03,Tournament,2020,,,,,,
690,I. Edwards,Kesternsri,MF,21,2000,0.83,-0.09,-0.09,-0.01,,-0.04,0.02,,,,-0.06,0.08,Tournament,2020,,,,,,
691,Q. bin Yusof,Kesternsri,MF,26,1995,1.11,-0.07,0.0,-0.04,,0.0,0.01,,,,-0.09,-0.02,Tournament,2020,,,,,,
692,T. binti Ali,Kesternsri,MF,32,1989,0.46,-0.08,0.1,-0.02,,-0.05,-0.09,,,,-0.05,0.09,Tournament,2020,,,,,,
693,W. Beck,Kesternsri,MF,25,1996,1.93,-0.09,0.46,0.01,0.02,0.53,-0.09,-0.03,,,-0.01,0.07,Tournament,2020,,,,,,
694,Y. Moreno,Kesternsri,MF,25,1996,1.87,0.61,1.19,1.07,100.04,1.14,1.13,0.05,-0.03,,0.51,0.6,Tournament,2020,,,,,,
695,Q. Naik,Kesternsri,MFDF,22,1999,4.91,-0.03,0.35,0.2,49.99,0.47,0.16,0.05,0.07,,-0.02,0.04,Tournament,2020,,,,,,
696,R. Muñoz,Kesternsri,MFDF,23,1998,3.88,0.08,1.34,0.26,20.09,1.32,0.27,0.04,0.08,,0.05,0.09,Tournament,2020,,,,,,
697,B. Lao,Kesternsri,MFFW,20,2001,1.85,0.02,1.65,1.15,66.71,1.74,1.15,0.05,0.08,,-0.06,-0.05,Tournament,2020,,,,,,
698,J. Omony,Kesternsri,MFFW,24,1996,4.4,0.0,0.7,0.1,-0.03,0.62,0.09,0.04,,,0.09,0.06,Tournament,2020,,,,,,
699,N. Keller,Kesternsri,MFFW,37,1984,4.43,0.04,1.08,-0.04,0.0,1.12,0.06,0.09,,,-0.07,0.04,Tournament,2020,,,,,,
700,R. Syu,Kesternsri,MFFW,32,1989,2.22,-0.09,0.36,0.02,0.02,0.51,-0.08,-0.04,,,0.03,0.02,Tournament,2020,,,,,,
701,C. Hudák,Klausterton,DF,24,1997,2.09,-0.03,0.05,0.03,,0.06,-0.08,,,,0.09,0.01,Tournament,2020,,,,,,
702,C. Wouters,Klausterton,DF,32,1989,5.91,0.03,0.15,-0.02,0.07,0.22,-0.05,0.05,,,0.02,0.03,Tournament,2020,,,,,,
703,E. Abdo,Klausterton,DF,27,1994,2.09,-0.1,1.0,0.05,0.01,1.11,-0.04,0.01,,,0.06,-0.04,Tournament,2020,,,,,,
704,E. Nyanzi,Klausterton,DF,22,1999,2.0,-0.02,1.07,-0.09,0.07,0.99,-0.07,0.09,,,0.08,-0.02,Tournament,2020,,,,,,
705,F. Abonyo,Klausterton,DF,28,1993,5.05,-0.04,-0.04,-0.04,,0.06,0.04,,,,-0.02,-0.02,Tournament,2020,,,,,,
706,M. Chuma,Klausterton,DF,22,1999,1.01,-0.02,0.02,-0.06,,-0.05,0.09,,,,0.03,0.01,Tournament,2020,,,,,,
707,Q. Kyomuhendo,Klausterton,DF,34,1987,1.96,0.01,0.04,-0.01,,-0.06,-0.01,,,,0.01,-0.03,Tournament,2020,,,,,,
708,W. Petek,Klausterton,DF,31,1990,0.3,-0.06,0.03,-0.05,,-0.04,-0.02,,,,-0.05,0.01,Tournament,2020,,,,,,
709,I. Chirambo,Klausterton,DFFW,33,1988,0.19,-0.09,0.02,-0.01,,-0.09,-0.08,,,,-0.01,0.03,Tournament,2020,,,,,,
710,M. Savage,Klausterton,DFMF,23,1998,4.02,-0.08,0.95,0.16,24.95,1.09,0.15,-0.03,-0.06,,-0.05,0.06,Tournament,2020,,,,,,
711,E. Naggayi,Klausterton,FW,22,1999,3.28,-0.09,0.72,0.38,50.02,0.54,0.24,-0.05,-0.09,,-0.06,0.07,Tournament,2020,,,,,,
712,K. Komuhangi,Klausterton,FW,29,1992,0.39,0.1,-0.02,0.01,,-0.07,0.04,,,,-0.01,0.06,Tournament,2020,,,,,,
713,M. Awori,Klausterton,FW,34,1987,0.43,-0.09,0.0,0.09,,-0.03,0.03,,,,0.0,-0.07,Tournament,2020,,,,,,
714,M. Kong,Klausterton,FW,25,1996,1.71,-0.09,0.62,0.07,-0.01,0.62,0.04,-0.08,,,-0.02,-0.05,Tournament,2020,,,,,,
715,D. Kumakech,Klausterton,FWMF,33,1987,0.07,0.05,-0.02,0.06,,-0.01,0.09,,,,-0.09,0.0,Tournament,2020,,,,,,
716,V. Nambozo,Klausterton,FWMF,23,1998,3.49,-0.05,0.23,0.36,100.04,0.25,0.31,0.04,0.08,,-0.09,0.08,Tournament,2020,,,,,,
717,P. Morita,Klausterton,GK,35,1985,5.99,0.02,0.09,-0.09,,0.0,0.01,,,,-0.08,-0.03,Tournament,2020,,,,,,
718,C. Nakibuuka,Klausterton,MF,27,1994,4.64,0.12,1.06,0.35,40.07,1.15,0.4,0.1,0.43,,-0.08,-0.06,Tournament,2020,,,,,,
719,P. Nkrumah,Klausterton,MF,35,1986,0.49,0.05,4.97,-0.05,-0.09,4.8,-0.04,0.02,,,0.06,0.0,Tournament,2020,,,,,,
720,S. Böhm,Klausterton,MF,39,1982,4.82,0.01,0.88,0.01,-0.01,0.78,0.05,-0.06,,,-0.03,0.08,Tournament,2020,,,,,,
721,Y. Sseguya,Klausterton,MF,23,1998,4.47,0.0,1.18,0.27,20.07,1.1,0.13,0.03,0.09,,0.03,0.04,Tournament,2020,,,,,,
722,H. Fredrick,Klausterton,MFFW,32,1989,4.84,0.09,0.98,0.06,-0.1,1.07,0.03,-0.01,,,-0.06,0.09,Tournament,2020,,,,,,
723,Y. Irumba,Klausterton,MFFW,37,1984,5.28,-0.06,0.49,0.3,66.65,0.66,0.35,0.09,-0.06,,0.0,-0.09,Tournament,2020,,,,,,
724,A. Al-Ghamdi,Ledian,DF,35,1986,3.97,-0.07,0.42,0.59,100.04,0.48,0.41,-0.05,-0.03,,0.06,0.02,Tournament,2020,,,,,,
725,A. Ndawula,Ledian,DF,25,1995,3.65,0.09,0.28,0.05,-0.07,0.28,-0.07,0.01,,,-0.1,-0.01,Tournament,2020,,,,,,
726,B. Taremwa,Ledian,DF,26,1995,1.97,0.07,0.08,0.09,,-0.03,0.01,,,,-0.04,-0.05,Tournament,2020,,,,,,
727,D. Goodarzi,Ledian,DF,27,1994,1.0,0.07,-0.09,0.05,,0.04,-0.04,,,,0.07,-0.07,Tournament,2020,,,,,,
728,H. Mvula,Ledian,DF,36,1985,1.08,-0.05,0.99,-0.04,0.04,0.91,-0.09,-0.1,,,0.04,0.01,Tournament,2020,,,,,,
729,H. Namala,Ledian,DF,27,1994,1.93,0.09,0.55,0.03,0.02,0.56,-0.06,-0.06,,,-0.01,-0.1,Tournament,2020,,,,,,
730,I. Tsua,Ledian,DF,30,1991,0.91,-0.09,-0.08,-0.07,,0.07,-0.07,,,,0.01,-0.04,Tournament,2020,,,,,,
731,L. Huda,Ledian,DF,30,1991,0.37,-0.06,0.04,0.1,,0.0,0.01,,,,0.08,0.01,Tournament,2020,,,,,,
732,L. Sayed,Ledian,DF,25,1996,1.05,0.02,1.09,0.08,0.05,1.04,-0.1,-0.05,,,0.04,-0.07,Tournament,2020,,,,,,
733,V. Turyahikayo,Ledian,DF,29,1992,3.1,0.07,-0.02,-0.06,,0.05,0.07,,,,0.06,0.01,Tournament,2020,,,,,,
734,W. Hagen,Ledian,DF,25,1995,1.04,-0.08,-0.1,0.07,,0.01,0.03,,,,-0.06,0.02,Tournament,2020,,,,,,
735,Z. Wu,Ledian,DF,26,1995,4.03,-0.09,0.22,0.09,-0.09,0.34,0.06,-0.1,,,-0.03,-0.07,Tournament,2020,,,,,,
736,A. bin Othman,Ledian,FW,21,1999,2.53,-0.06,1.68,0.88,49.97,1.52,0.84,-0.01,0.1,,-0.03,-0.03,Tournament,2020,,,,,,
737,I. Kr?mi?š,Ledian,FW,26,1994,0.69,-0.02,4.2,1.53,33.22,4.14,1.42,0.05,0.05,,0.07,-0.07,Tournament,2020,,,,,,
738,I. Mehmedovi?,Ledian,FW,27,1994,1.06,0.02,0.09,-0.09,,0.02,0.04,,,,-0.09,-0.09,Tournament,2020,,,,,,
739,P. Baláž,Ledian,FW,28,1993,1.33,0.77,1.64,0.73,49.99,1.45,0.65,0.6,1.07,,0.09,0.07,Tournament,2020,,,,,,
740,H. Bengtsson,Ledian,FWMF,27,1994,0.78,-0.08,-0.08,0.07,,0.05,0.05,,,,-0.08,0.05,Tournament,2020,,,,,,
741,Z. Apili,Ledian,FWMF,33,1988,2.63,0.32,1.49,1.18,75.0,1.53,1.17,0.33,0.4,,-0.04,0.06,Tournament,2020,,,,,,
