,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,League,Year
1432,Y. Apolot,Janmico,MF,Coy Sunbirds,26,1992,16.17,3.25,2.13,1.72,1.16,0.33,0.67,2.25,32.42,1.55,22.36,6.37,28.09,10.32,9.46,2.51,2.22,0.72,-0.07,1.4,1.25,4.41,1.56,0.15,D,2020
1433,M. Graham,Lefghau,MF,Coy Sunbirds,25,1994,26.95,2.87,1.83,1.54,1.02,0.26,0.77,4.15,16.7,3.51,29.63,7.09,23.78,10.9,15.65,2.96,3.05,0.32,-0.04,2.62,1.04,3.82,2.04,-0.02,D,2020
1434,I. Teoh,Sobianitedrucy,MF,Coy Sunbirds,31,1988,18.85,2.6,1.83,1.04,0.99,0.37,0.72,2.54,28.27,1.8,24.11,5.7,23.55,11.4,9.61,3.24,2.21,0.22,0.02,1.88,0.44,3.04,1.93,-0.03,D,2020
1435,K. bin Abu Bakar,Sobianitedrucy,MF,Coy Sunbirds,24,1995,7.07,1.46,1.0,0.81,0.61,0.02,0.49,1.55,36.34,1.04,15.49,4.9,32.19,5.4,6.82,3.08,2.18,0.55,0.0,1.75,2.24,3.67,1.36,-0.04,D,2020
1436,S. Moradi,Sobianitedrucy,MF,Coy Sunbirds,31,1988,10.29,2.06,1.4,1.02,0.84,0.21,0.93,2.76,34.44,1.92,16.82,3.76,22.85,8.21,7.24,1.45,2.72,1.2,0.08,1.44,1.72,3.83,3.25,-0.04,D,2020
1437,B. Namazzi,Ledian,MFFW,Coy Sunbirds,32,1987,21.44,2.44,1.57,1.13,0.83,0.2,0.88,3.32,25.33,2.4,20.72,5.31,26.14,6.23,10.71,3.86,1.73,0.37,0.03,1.39,0.78,3.08,1.96,0.0,D,2020
1438,Z. Buyinza,Saintu,MFFW,Coy Sunbirds,30,1989,18.44,2.07,1.07,1.34,0.66,0.14,0.9,2.57,34.0,1.59,18.01,4.33,24.3,6.61,8.09,3.25,1.55,0.37,0.1,1.39,0.44,2.5,1.59,-0.02,D,2020
1439,F. Masango,Cabral Retrea,DF,Deranged Defenders,27,1992,1.04,1.87,1.87,0.84,0.9,-0.04,1.77,2.82,66.71,0.91,9.16,1.78,19.91,5.51,3.6,0.06,0.99,-0.05,-0.01,1.0,0.0,1.82,4.5,-0.01,D,2020
1440,G. Ribeiro,Imaar Vircoand,DF,Deranged Defenders,26,1993,9.49,1.05,0.53,0.87,0.14,-0.09,0.39,1.06,30.05,0.69,10.86,3.4,31.5,6.37,4.23,0.48,2.08,0.81,0.03,1.4,0.5,1.53,6.33,-0.09,D,2020
1441,L. Zuki?,Naguayli,DF,Deranged Defenders,21,1998,-0.03,-0.02,0.02,-0.06,0.03,-0.03,0.09,-0.03,,-0.04,0.91,-0.07,0.01,0.02,-0.04,0.92,0.06,0.07,-0.09,0.04,0.06,0.09,-0.07,-0.07,D,2020
1442,A. Mitrovi?,Sobianitedrucy,DF,Deranged Defenders,17,2001,-0.09,-0.03,-0.03,0.04,0.06,-0.07,-0.03,-0.09,,0.07,0.09,0.0,,-0.07,-0.05,0.07,-0.06,-0.03,0.0,0.06,-0.07,0.01,-0.07,0.01,D,2020
1443,A. Ninsiima,Sobianitedrucy,DF,Deranged Defenders,34,1985,25.16,0.92,0.56,0.63,0.23,-0.04,0.32,1.1,33.27,0.9,7.12,2.2,30.61,5.33,1.54,0.29,1.87,0.92,0.02,1.18,0.64,1.61,6.7,0.09,D,2020
1444,E. Nilsson,Sobianitedrucy,DF,Deranged Defenders,23,1996,0.25,0.08,-0.03,0.06,0.02,0.07,-0.07,14.94,0.05,14.94,9.93,-0.02,-0.03,4.95,4.94,0.06,0.05,0.08,0.05,0.05,-0.06,0.1,5.04,0.01,D,2020
1445,E. Ow,Sobianitedrucy,DF,Deranged Defenders,25,1994,11.14,2.62,1.5,2.12,0.36,0.23,0.88,1.51,58.85,0.65,10.48,3.29,31.46,5.56,3.12,1.67,1.75,0.63,0.1,1.27,1.08,3.56,3.21,0.02,D,2020
1446,F. Rodriguês,Sobianitedrucy,DF,Deranged Defenders,28,1991,8.42,2.74,1.84,1.77,0.86,0.09,1.27,4.14,28.54,2.84,13.12,4.72,35.61,8.07,4.43,0.65,2.31,0.42,-0.06,1.75,1.18,3.86,3.15,0.06,D,2020
1447,H. Arab,Sobianitedrucy,DF,Deranged Defenders,30,1988,21.27,1.37,0.96,0.59,0.65,0.17,0.87,1.92,45.04,1.08,9.39,2.38,24.85,4.66,3.67,1.1,2.8,0.43,-0.06,2.33,0.77,2.26,3.2,0.06,D,2020
1448,I. Nuwamanya,Sobianitedrucy,DF,Deranged Defenders,31,1987,34.74,1.13,0.77,0.83,0.27,0.03,0.22,0.84,31.39,0.59,7.36,2.5,32.88,5.05,2.07,0.25,1.89,1.16,0.04,0.85,0.85,1.96,5.6,0.02,D,2020
1449,R. Amule,Sobianitedrucy,DF,Deranged Defenders,30,1989,22.88,1.92,1.34,1.3,0.73,0.09,0.99,2.04,47.74,0.99,15.1,3.76,25.1,7.55,5.67,1.76,2.59,0.49,-0.05,2.16,1.2,3.27,2.19,0.0,D,2020
1450,T. Levy,Sobianitedrucy,DF,Deranged Defenders,29,1990,19.59,1.66,1.33,1.02,0.41,0.28,0.61,1.76,31.37,1.19,9.3,2.87,31.23,4.84,2.99,1.46,1.75,0.67,0.04,1.21,0.83,2.5,2.03,0.05,D,2020
1451,R. Paris,Western Niasland,DFMF,Deranged Defenders,20,1999,1.66,3.43,2.42,1.79,1.18,0.61,1.68,2.44,74.99,0.57,34.06,7.74,22.35,17.1,9.95,6.96,2.44,0.02,-0.08,2.26,0.02,3.49,2.43,0.0,D,2020
1452,T. Nasirumbi,Coastpa Barleslands,FW,Deranged Defenders,26,1993,15.89,1.0,0.53,0.15,0.43,0.59,0.16,1.01,13.35,0.83,18.34,3.03,16.28,2.2,9.06,7.06,1.25,0.41,-0.02,0.76,0.15,1.21,1.87,-0.08,D,2020
1453,I. Shoshan,Former Maneau,FW,Deranged Defenders,29,1990,19.86,1.06,0.74,0.31,0.42,0.1,0.23,0.71,30.8,0.54,16.51,3.28,19.67,2.09,7.37,6.81,0.19,0.1,-0.07,-0.03,-0.02,1.11,0.57,-0.06,D,2020
1454,A. Makore,Sobianitedrucy,FW,Deranged Defenders,28,1991,6.09,0.13,0.07,0.04,0.25,0.02,0.08,0.53,0.05,0.57,12.17,2.12,17.54,1.0,6.04,5.15,0.84,0.06,-0.04,0.86,0.51,0.62,1.94,-0.07,D,2020
1455,A. Kyarikunda,Lefghau,FWMF,Deranged Defenders,29,1990,9.14,1.0,0.53,0.36,0.51,0.09,0.62,2.19,23.86,1.66,19.89,2.94,14.83,6.91,9.54,3.4,0.98,0.1,0.0,1.03,0.75,1.81,0.44,0.03,D,2020
1456,M. Mangena,Sobianitedrucy,FWMF,Deranged Defenders,27,1992,22.38,0.84,0.59,0.17,0.36,0.33,0.24,0.73,25.07,0.57,10.54,2.49,23.82,2.39,5.25,2.89,0.58,-0.04,0.02,0.61,0.2,1.01,0.06,0.07,D,2020
1457,J. Ashknaziy,Lefghau,GK,Deranged Defenders,26,1992,33.37,-0.05,0.05,-0.04,-0.02,-0.06,-0.07,-0.02,-0.02,0.05,0.15,0.03,16.77,0.15,-0.06,-0.06,-0.09,0.01,0.06,0.05,0.03,-0.04,0.12,0.14,D,2020
1458,G. Nakandi,Sobianitedrucy,GK,Deranged Defenders,29,1990,4.79,0.07,-0.07,0.08,-0.04,0.09,0.07,0.07,,-0.07,0.44,0.02,-0.07,0.43,-0.04,-0.09,0.04,0.0,-0.03,0.08,0.06,0.05,-0.03,0.08,D,2020
1459,U. Nambuya,Galamily,MF,Deranged Defenders,24,1994,15.18,1.61,1.25,0.95,0.68,0.07,0.64,1.83,40.77,1.0,20.02,5.33,26.87,7.65,8.84,3.6,2.04,0.09,0.0,2.03,0.29,1.74,0.97,0.04,D,2020
1460,L. Morin,Ingre,MF,Deranged Defenders,28,1991,22.33,2.78,2.0,1.48,0.81,0.36,1.39,3.26,40.8,1.93,19.5,5.74,29.15,8.7,8.88,2.12,1.77,0.62,-0.03,1.26,1.16,3.8,1.93,0.08,D,2020
1461,L. Nakuya,Lenia Gerdanho,MF,Deranged Defenders,26,1992,1.45,0.78,0.05,0.65,0.09,-0.05,0.08,0.81,-0.02,0.78,10.71,0.05,-0.04,3.55,5.78,1.36,1.33,0.66,-0.07,0.71,2.2,2.88,0.81,-0.02,D,2020
1462,O. Fekete,Saintu,MF,Deranged Defenders,27,1992,18.58,1.78,1.12,0.89,0.69,0.22,0.49,3.05,18.2,2.46,21.98,5.06,22.92,9.48,9.54,2.85,2.3,0.52,0.05,1.79,0.99,2.8,1.36,0.13,D,2020
1463,H. Kisembo,Sobianitedrucy,MF,Deranged Defenders,24,1995,23.87,1.65,1.07,0.96,0.54,-0.02,0.43,2.79,18.24,2.33,15.22,4.04,26.14,6.7,6.47,2.12,1.66,0.19,0.17,1.45,0.85,2.36,1.11,0.11,D,2020
1464,H. Valentini,Sobianitedrucy,MF,Deranged Defenders,23,1995,8.04,2.43,1.45,1.0,1.41,-0.07,1.24,2.72,47.61,1.36,18.97,5.7,29.55,7.71,8.57,2.61,1.93,0.44,0.06,1.44,0.8,3.22,2.34,-0.07,D,2020
1465,R. Kwakye,Sobianitedrucy,MF,Deranged Defenders,29,1990,10.79,1.63,1.06,0.65,0.67,0.23,0.74,2.79,26.67,1.99,19.23,4.43,22.7,8.74,6.95,3.72,1.8,0.45,-0.07,1.49,0.94,2.64,1.64,0.19,D,2020
1466,T. Nasution,Bernepamar,MFFW,Deranged Defenders,28,1990,12.15,2.75,1.81,1.37,0.99,0.45,0.56,1.9,30.5,1.37,23.65,5.99,25.25,6.43,11.4,5.72,1.22,0.21,0.01,0.98,0.9,3.76,0.98,0.07,D,2020
1467,B. Nakandi,Sobianitedrucy,MFFW,Deranged Defenders,27,1991,10.59,1.0,0.75,0.25,0.69,0.16,0.43,1.34,30.78,0.83,10.88,2.33,21.26,2.91,4.78,2.94,0.54,0.01,-0.04,0.57,0.25,1.22,0.16,0.1,D,2020
1468,K. Driciru,Sobianitedrucy,MFFW,Deranged Defenders,30,1988,27.15,0.93,0.57,0.36,0.48,0.23,0.18,1.81,11.84,1.64,15.27,3.48,23.02,4.36,7.01,3.93,1.12,0.39,0.0,0.72,0.57,1.56,0.77,0.04,D,2020
1469,E. Poto?nik,Biarizea,DF,Fighting Clippers,28,1991,2.76,2.84,1.78,1.11,1.49,0.37,1.84,2.12,83.24,0.29,10.64,2.18,20.01,4.64,4.37,1.72,2.84,0.37,-0.08,2.45,1.15,3.9,0.32,-0.03,D,2020
1470,X. Boyko,Coastpa Barleslands,DF,Fighting Clippers,28,1991,23.36,2.69,1.75,1.33,1.01,0.16,0.86,1.36,66.63,0.46,10.62,3.78,35.92,5.87,4.14,0.38,1.66,0.82,0.03,0.95,0.81,3.31,3.85,0.09,D,2020
1471,Z. Chavula,Greri Landmoslands,DF,Fighting Clippers,28,1991,21.86,1.68,1.07,0.79,0.59,0.34,0.46,1.34,44.48,0.63,10.49,3.63,35.43,4.22,3.94,2.53,2.06,0.33,0.06,1.75,0.63,2.35,2.16,0.05,D,2020
1472,X. Williams,Moaithe,DF,Fighting Clippers,25,1994,16.56,1.42,0.96,0.76,0.52,0.0,0.52,1.33,39.05,0.94,10.0,3.22,31.67,4.03,4.13,1.91,2.01,0.22,0.07,1.61,0.53,1.98,2.0,-0.04,D,2020
1473,L. Schubert,Pierrema,DF,Fighting Clippers,28,1991,4.24,1.95,0.64,0.53,1.11,0.26,0.48,0.87,50.03,0.49,10.03,2.35,23.87,2.11,5.95,1.96,2.09,0.4,-0.09,1.72,1.04,2.78,1.53,0.09,D,2020
1474,H. Zare,Rarita,DF,Fighting Clippers,28,1991,24.14,1.36,0.76,0.84,0.45,0.03,0.67,1.18,53.62,0.52,6.49,2.18,33.5,3.66,2.86,0.08,1.48,0.69,-0.03,0.8,0.68,1.94,4.23,0.14,D,2020
1475,I. Gashi,Rosvi,DF,Fighting Clippers,27,1991,19.97,1.78,1.07,1.22,0.68,0.06,0.88,1.34,59.39,0.46,8.76,2.15,23.82,4.44,3.68,0.59,1.61,0.75,0.05,0.89,0.93,2.73,3.33,0.08,D,2020
1476,M. Ayebazibwe,Sobianitedrucy,DF,Fighting Clippers,25,1993,33.02,1.88,1.25,1.05,0.56,0.32,0.92,2.08,45.75,1.21,12.06,3.76,31.31,5.39,4.61,2.02,1.46,0.34,-0.06,1.15,0.39,2.28,2.13,0.04,D,2020
1477,S. Ningsih,Sobianitedrucy,DF,Fighting Clippers,22,1996,5.95,2.07,1.34,1.43,0.58,0.08,0.34,0.95,33.4,0.63,8.82,2.75,30.87,4.22,4.0,0.6,1.75,0.49,-0.04,1.27,0.26,2.33,3.5,0.02,D,2020
1478,J. Saidu,Nganion,FW,Fighting Clippers,34,1985,5.68,0.22,0.25,-0.05,0.27,-0.07,0.16,0.42,50.02,0.08,19.35,4.98,25.84,0.29,7.43,11.39,1.05,0.09,-0.04,0.96,0.12,0.3,0.62,-0.05,D,2020
1479,F. Nyakaisiki,Nkasland Cronestan,FW,Fighting Clippers,25,1994,19.46,0.88,0.52,0.06,0.22,0.45,0.2,0.48,39.91,0.27,14.79,3.78,25.44,0.99,4.45,9.32,0.71,0.07,0.04,0.54,0.13,0.95,0.64,0.07,D,2020
1480,F. Akwero,Sobianitedrucy,FW,Fighting Clippers,25,1993,8.35,1.45,0.96,0.98,0.13,0.32,0.31,1.55,25.0,1.15,12.21,2.95,24.58,3.94,3.46,5.01,1.13,-0.03,-0.02,1.28,0.38,1.73,0.21,-0.09,D,2020
1481,K. Clark,Southern Ristan,FW,Fighting Clippers,32,1987,18.81,1.17,0.99,0.2,0.58,0.56,0.25,1.56,12.92,1.41,26.67,7.8,29.18,2.13,10.91,13.49,0.97,0.25,0.02,0.8,0.09,1.4,0.08,-0.02,D,2020
1482,C. Mugabirwe,Esia,FWMF,Fighting Clippers,25,1993,1.96,1.96,1.58,0.48,0.94,0.45,0.51,0.98,50.09,0.49,19.91,6.52,32.56,3.03,12.43,4.42,1.09,-0.09,0.01,1.03,0.01,1.98,0.57,0.08,D,2020
1483,H. Kirabira,Newgan Ruland,FWMF,Fighting Clippers,24,1995,11.42,0.86,0.53,0.18,0.52,0.35,0.22,0.97,16.71,0.83,24.76,4.34,17.73,3.19,10.0,11.77,1.32,0.07,0.0,1.43,0.26,1.15,0.23,-0.07,D,2020
1484,R. Namande,Nganion,FWMF,Fighting Clippers,32,1987,24.11,0.58,0.28,0.23,0.31,0.14,0.34,0.83,30.02,0.55,13.63,3.15,23.02,2.69,6.52,4.69,1.33,0.21,0.07,1.08,0.1,0.87,0.6,-0.02,D,2020
1485,R. Nkosi,Sobianitedrucy,FWMF,Fighting Clippers,28,1991,31.17,1.05,0.79,0.23,0.43,0.17,0.44,1.58,24.05,1.19,13.54,3.97,28.83,2.72,5.84,5.05,0.86,0.08,0.05,0.86,0.83,1.72,0.19,0.06,D,2020
1486,N. Busingye,Sobianitedrucy,GK,Fighting Clippers,22,1997,21.76,-0.07,-0.05,0.09,-0.03,0.09,-0.09,0.01,0.01,0.15,0.22,0.0,0.09,0.12,0.05,0.04,0.03,-0.08,-0.09,0.12,0.01,0.02,0.1,0.01,D,2020
1487,R. Owere,Western Niasland,GK,Fighting Clippers,30,1988,16.25,-0.04,-0.04,-0.04,0.06,-0.05,-0.02,0.04,,0.02,0.28,-0.1,0.09,0.19,-0.1,-0.07,0.03,-0.08,0.1,0.06,0.08,0.05,0.08,0.07,D,2020
1488,Z. Banda,Eastern Niasland,MF,Fighting Clippers,19,1999,12.67,1.28,0.81,0.31,0.43,0.4,0.53,1.8,24.92,1.51,19.79,5.4,27.59,5.33,9.04,5.39,1.32,0.01,0.09,1.34,0.56,1.74,0.57,0.09,D,2020
1489,A. Mucunguzi,Esia,MF,Fighting Clippers,27,1991,10.01,2.15,1.37,1.52,0.36,0.23,0.99,2.85,32.08,2.0,20.07,5.79,28.32,7.93,9.25,2.85,0.74,0.07,-0.05,0.7,0.42,2.58,1.14,0.06,D,2020
1490,M. Delgado,Ledian,MF,Fighting Clippers,24,1994,8.42,1.73,1.28,0.63,0.91,0.23,0.44,1.57,30.76,1.03,14.34,4.74,33.25,3.5,8.99,1.73,0.73,0.2,-0.09,0.77,0.75,2.32,0.39,0.07,D,2020
1491,R. Gentile,Lefghau,MF,Fighting Clippers,28,1991,14.22,3.93,2.61,1.45,1.68,0.64,1.2,3.53,33.96,2.27,28.87,7.33,25.55,8.44,15.33,5.02,1.82,0.26,-0.04,1.64,0.32,4.27,1.17,0.06,D,2020
1492,C. Muhammadu,Nganion,MF,Fighting Clippers,23,1996,29.8,1.68,1.05,0.68,0.57,0.23,0.77,2.35,29.9,1.63,18.4,5.55,30.13,5.43,8.32,4.72,1.49,0.03,-0.03,1.35,0.66,2.22,0.67,-0.06,D,2020
1493,Q. Liang,Nkasland Cronestan,MF,Fighting Clippers,25,1994,32.49,0.92,0.58,0.39,0.3,0.08,0.24,1.4,22.14,1.09,14.36,3.98,27.63,3.26,6.93,4.14,1.56,0.2,-0.02,1.44,0.72,1.46,0.71,0.01,D,2020
1494,W. Joao,Byasier Pujan,DF,Fighting Wave,19,1999,27.19,1.41,1.07,0.91,0.54,-0.01,0.5,0.99,48.38,0.52,7.98,2.57,33.57,4.45,3.24,0.26,1.8,0.93,0.03,0.85,0.54,2.03,5.27,0.21,D,2020
1495,L. Achen,Lefghau,DF,Fighting Wave,28,1991,26.48,1.56,0.94,0.9,0.55,0.28,0.55,1.27,35.23,0.92,11.22,3.25,28.29,4.52,4.5,2.2,1.8,0.17,0.04,1.7,1.33,2.89,2.09,0.14,D,2020
1496,Z. Krajnc,Lefghau,DF,Fighting Wave,28,1991,16.05,2.14,1.04,1.34,0.42,0.39,0.9,1.53,56.04,0.63,9.6,3.14,32.29,3.98,4.09,1.7,1.46,0.35,0.04,1.14,0.9,3.06,2.83,0.02,D,2020
1497,H. Kabugho,Sobianitedrucy,DF,Fighting Wave,25,1994,7.77,1.02,0.84,0.66,0.36,0.1,0.59,0.62,79.92,0.03,6.71,1.85,26.9,2.64,4.05,-0.06,1.54,0.79,-0.07,0.72,0.52,1.53,5.61,0.05,D,2020
1498,L. Yulianti,Sobianitedrucy,DF,Fighting Wave,32,1987,34.12,0.96,0.42,0.51,0.2,0.0,0.27,0.69,57.11,0.29,5.46,1.9,34.75,2.67,2.48,0.24,1.71,1.09,0.05,0.77,0.46,1.48,4.02,0.11,D,2020
1499,O. Gamal,Sobianitedrucy,DF,Fighting Wave,20,1999,1.07,2.03,0.94,-0.08,1.01,1.04,1.92,4.02,49.9,2.09,16.97,5.9,35.33,4.97,6.98,4.93,3.91,0.07,-0.04,4.08,0.98,2.95,-0.05,0.07,D,2020
1500,R. Bogere,Sobianitedrucy,DF,Fighting Wave,34,1984,2.26,1.27,0.96,1.43,-0.02,-0.09,0.47,0.45,99.9,0.07,8.23,5.07,61.16,4.52,3.63,-0.07,2.22,1.34,0.07,0.84,0.36,1.74,4.57,0.04,D,2020
1501,S. Nayiga,Sobianitedrucy,DF,Fighting Wave,26,1992,5.12,2.07,1.06,1.26,0.86,-0.04,1.17,2.21,50.0,1.1,9.31,3.03,33.32,4.49,3.86,0.99,2.38,0.19,-0.08,2.05,1.43,3.5,2.91,-0.04,D,2020
1502,A. Ansah,Varijitri Isles,DF,Fighting Wave,21,1998,4.64,2.29,1.45,1.81,0.59,0.03,0.73,1.04,60.07,0.48,7.45,2.21,29.42,4.72,1.89,0.58,1.58,1.13,0.16,0.4,0.31,2.53,6.21,-0.04,D,2020
1503,V. Rocha,Western Niasland,DF,Fighting Wave,31,1988,29.42,2.45,1.32,1.25,0.97,0.14,1.03,2.19,48.46,1.22,11.8,3.44,29.96,5.2,4.86,1.86,1.67,0.37,0.02,1.52,0.77,3.27,1.8,0.02,D,2020
1504,L. De Wit,Greri Landmoslands,FW,Fighting Wave,34,1985,32.48,0.55,0.37,0.21,0.21,0.28,0.08,0.7,19.95,0.47,7.73,1.68,22.29,0.58,2.75,4.15,0.49,0.14,0.02,0.31,0.25,0.65,0.73,-0.01,D,2020
1505,B. Esposito,Imaar Vircoand,FW,Fighting Wave,31,1987,20.78,0.43,0.47,0.06,0.18,0.29,0.11,1.46,9.46,1.45,14.49,3.43,23.96,0.78,5.41,8.21,0.99,0.15,0.08,0.74,0.06,0.68,0.75,0.07,D,2020
1506,F. O'Reilly,Moaithe,FW,Fighting Wave,20,1998,0.11,0.02,0.02,0.09,-0.01,0.08,-0.09,-0.08,,-0.04,49.96,0.09,-0.03,-0.02,29.97,19.99,0.08,0.01,0.0,-0.07,-0.04,-0.07,-0.08,0.03,D,2020
1507,I. Kafeero,Sobianitedrucy,FW,Fighting Wave,20,1999,0.25,3.35,0.01,3.41,0.05,-0.06,3.26,6.69,50.05,3.37,43.28,6.72,15.47,3.26,19.9,20.07,0.04,0.08,0.06,-0.06,-0.1,3.4,0.02,0.01,D,2020
1508,V. Ngwira,Sobianitedrucy,FW,Fighting Wave,21,1998,1.31,3.83,0.67,1.58,0.71,1.5,0.78,2.39,33.34,1.53,8.55,2.41,27.36,0.87,2.38,5.29,0.78,0.05,-0.03,0.74,0.72,4.61,-0.09,-0.06,D,2020
1509,G. González,Imaar Vircoand,FWMF,Fighting Wave,25,1993,23.85,1.06,0.74,0.38,0.53,0.16,0.37,1.31,24.91,1.02,16.87,4.73,27.74,1.43,6.52,8.69,1.16,0.02,-0.03,1.14,0.49,1.56,0.04,-0.02,D,2020
1510,H. Kelmendi,Lefghau,FWMF,Fighting Wave,28,1990,8.85,0.5,0.64,0.42,0.14,-0.03,0.08,1.13,10.09,0.97,12.73,2.85,21.9,2.51,5.88,4.56,1.06,-0.04,0.08,1.05,0.67,1.17,0.38,0.1,D,2020
1511,J. Vásquez,Nkasland Cronestan,GK,Fighting Wave,29,1990,28.85,-0.08,0.07,0.04,0.03,-0.03,-0.07,0.07,,-0.04,0.0,-0.01,0.07,0.03,0.02,0.01,-0.02,-0.03,0.03,0.01,-0.02,0.09,0.01,0.09,D,2020
1512,A. Amongin,Sobianitedrucy,GK,Fighting Wave,29,1990,0.21,0.06,0.03,0.04,0.0,-0.03,0.09,-0.04,,-0.09,-0.06,0.07,,0.1,0.02,0.08,-0.08,-0.09,0.0,-0.05,0.08,0.01,-0.08,0.08,D,2020
1513,N. Tkachuk,Sobianitedrucy,GK,Fighting Wave,41,1978,8.97,0.02,0.1,-0.05,0.1,0.01,0.05,0.08,,0.06,0.15,-0.06,0.0,0.18,-0.01,-0.08,0.05,-0.07,0.04,-0.07,-0.09,0.06,-0.01,-0.06,D,2020
1514,K. Mohammadzadeh,Djipines,MF,Fighting Wave,28,1990,11.76,2.41,1.59,0.59,1.13,0.53,0.54,2.18,27.99,1.53,19.56,5.6,28.4,3.46,8.62,7.61,1.87,0.2,-0.05,1.49,0.71,3.07,0.64,-0.03,D,2020
1515,O. Maulana,Dosqaly,MF,Fighting Wave,24,1995,21.21,2.63,1.79,0.74,1.11,0.63,0.93,2.1,44.15,1.21,23.32,7.0,30.1,5.86,11.63,5.93,2.14,0.44,0.02,1.72,1.16,3.84,0.82,-0.01,D,2020
1516,T. Yakovenko,Dosqaly,MF,Fighting Wave,32,1987,24.83,2.2,1.37,0.65,0.92,0.58,0.41,1.96,19.03,1.62,20.33,5.82,29.14,5.13,9.81,5.37,2.02,0.27,-0.04,1.85,0.75,2.89,0.66,-0.04,D,2020
1517,V. Owusu,Esia,MF,Fighting Wave,32,1987,7.61,2.16,1.62,0.31,1.1,0.83,0.3,2.37,16.71,2.03,17.13,5.71,33.52,3.32,9.77,4.08,2.63,0.36,0.07,2.3,0.56,2.74,1.4,0.09,D,2020
1518,Z. Braun,Esia,MF,Fighting Wave,25,1994,3.2,3.22,1.3,1.55,0.67,0.91,1.15,3.44,36.39,2.17,27.2,7.53,27.5,6.53,14.32,6.32,2.91,0.39,0.04,2.54,1.03,4.06,0.72,-0.08,D,2020
1519,A. Kalule,Janmico,MF,Fighting Wave,22,1997,24.36,3.12,2.09,1.31,1.13,0.69,1.15,2.62,42.47,1.59,23.54,6.55,27.84,6.35,12.01,5.31,2.33,0.2,-0.05,2.12,1.05,4.19,1.36,-0.04,D,2020
1520,Z. Dhlamini,Sobianitedrucy,MF,Fighting Wave,21,1998,1.79,1.73,0.49,0.5,-0.09,1.13,0.54,2.73,20.08,2.13,19.39,5.01,25.74,5.06,7.81,6.71,1.17,0.51,0.08,0.61,1.58,3.28,1.08,0.0,D,2020
1521,U. Makoni,Southern Ristan,MF,Fighting Wave,20,1999,0.26,0.06,0.01,-0.05,0.05,0.03,0.07,4.93,0.09,4.97,10.08,4.95,50.07,0.05,9.91,0.1,-0.05,-0.04,-0.04,-0.08,-0.05,0.1,0.08,-0.09,D,2020
1522,O. Mészáros,Unicorporated Tiagascar,MF,Fighting Wave,29,1990,25.35,1.88,1.08,0.64,1.0,0.26,0.63,2.19,26.74,1.61,15.15,4.37,28.45,4.89,7.64,2.66,1.52,0.48,0.04,1.02,1.1,2.92,1.23,0.07,D,2020
1523,Y. Smit,Sobianitedrucy,MFFW,Fighting Wave,25,1994,17.47,0.86,0.33,0.27,0.15,0.41,0.14,1.42,16.62,1.12,17.8,4.21,23.38,2.84,7.56,7.59,1.31,0.11,0.08,1.13,0.37,1.17,0.77,-0.02,D,2020
1524,E. Mugoya,Byasier Pujan,DF,Flying Bombadiers,26,1993,24.89,2.04,1.44,1.38,0.77,0.13,1.23,1.86,62.45,0.63,11.26,3.13,28.42,5.63,4.26,1.23,2.06,0.49,0.07,1.7,0.88,2.95,4.43,0.08,D,2020
1525,H. Bhebhe,Byasier Pujan,DF,Flying Bombadiers,26,1993,11.19,1.5,0.88,0.7,0.49,0.13,0.78,1.02,66.7,0.35,10.12,3.32,33.68,4.46,4.3,1.29,1.98,0.12,0.03,1.78,0.42,1.97,2.43,0.06,D,2020
1526,W. Namukose,Coastpa Barleslands,DF,Flying Bombadiers,24,1994,16.63,1.11,0.63,0.75,0.39,0.04,0.45,1.35,36.48,0.91,12.73,3.41,26.78,5.14,5.51,2.13,2.66,0.79,-0.03,1.86,0.18,1.33,3.37,0.16,D,2020
1527,I. Fernandes,Galamily,DF,Flying Bombadiers,27,1992,11.69,1.52,0.83,0.52,0.97,0.04,0.62,1.88,38.16,1.15,15.96,3.94,24.75,6.72,7.03,2.26,1.98,0.43,0.12,1.66,0.85,2.47,1.93,-0.01,D,2020
1528,G. Ribeiro,Imaar Vircoand,DF,Flying Bombadiers,26,1993,1.2,0.72,0.85,0.04,0.74,0.0,0.05,1.55,0.02,1.59,19.26,6.18,32.04,9.16,9.31,0.81,4.7,2.27,-0.03,2.38,3.12,3.91,6.83,-0.07,D,2020
1529,N. Mushabe,Lefghau,DF,Flying Bombadiers,35,1984,29.21,1.65,0.63,0.92,0.61,0.08,0.57,1.28,42.81,0.63,11.89,3.38,29.14,7.74,4.07,0.11,2.79,1.51,0.11,1.32,0.47,2.05,6.13,0.08,D,2020
1530,B. Angella,Lylimi,DF,Flying Bombadiers,20,1998,28.09,1.71,0.97,1.04,0.42,0.26,0.84,1.58,52.17,0.83,14.87,4.53,30.42,7.07,5.36,2.46,2.34,0.3,0.01,1.94,1.14,3.02,3.78,0.16,D,2020
