,Player,Nation,FW,MF,DF,GK,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,League,Year
753,p.nahabwe,Greri Landmoslands,0,0,1,0,Somber Stallions,19,2000,7.27,52.13,59.2,87.96,1136.29,321.49,14.09,15.3,92.1,27.6,29.28,94.45,9.7,13.25,73.25,-0.08,-0.09,-0.04,-0.05,2.06,0.31,0.0,2.07,B,2020
754,s.chided,Lefghau,0,0,1,0,Somber Stallions,21,1997,23.15,52.93,62.81,84.39,1160.65,386.62,13.74,14.86,93.38,29.62,32.42,91.51,9.09,14.88,61.88,0.04,0.06,-0.06,0.21,4.77,0.03,0.06,4.07,B,2020
755,s.lamptey,Manlisgamncent,0,0,1,0,Somber Stallions,19,1999,15.84,39.6,52.5,75.5,709.12,241.27,18.24,20.41,89.8,16.11,20.05,80.47,4.67,10.25,45.42,0.04,0.09,-0.05,1.22,2.35,1.21,0.75,3.2,B,2020
756,m.nagudi,Pitpu Biaal,0,0,1,0,Somber Stallions,25,1994,12.25,42.56,53.37,79.61,715.02,229.38,20.32,22.59,90.33,17.98,21.98,82.13,2.9,5.83,50.77,-0.01,0.1,-0.07,0.24,2.84,0.49,0.22,2.93,B,2020
757,l.james,Varijitri Isles,0,0,1,0,Somber Stallions,22,1997,22.92,47.69,59.33,80.14,857.1,329.77,21.68,24.71,88.14,19.19,22.3,85.68,5.73,9.7,58.8,0.05,0.14,0.01,0.8,3.8,1.14,0.41,5.18,B,2020
758,s.zupan,Dosqaly,1,0,0,0,Somber Stallions,32,1987,10.77,16.43,20.79,80.05,271.99,48.45,9.09,10.77,84.48,5.54,6.42,86.78,1.6,2.41,68.08,-0.07,0.02,-0.14,0.73,1.58,0.51,0.02,1.3,B,2020
759,k.sekh,Republic of Denand Landsa,1,0,0,0,Somber Stallions,20,1998,25.4,9.15,14.43,62.92,127.54,25.37,5.99,8.68,69.57,2.19,3.63,61.31,0.56,0.97,47.9,0.11,0.16,0.02,0.72,0.47,0.27,0.13,0.42,B,2020
760,e.tumukunde,Dosqaly,1,1,0,0,Somber Stallions,23,1996,21.43,31.15,38.71,80.47,516.28,147.35,17.2,19.35,89.34,9.83,11.67,84.05,3.1,5.46,56.44,0.23,0.02,0.12,1.55,2.87,0.98,0.05,3.57,B,2020
761,l.aguilar,Lefghau,1,1,0,0,Somber Stallions,23,1996,9.15,24.11,33.55,72.22,406.28,91.14,11.11,13.84,80.49,9.03,12.62,71.65,2.81,4.15,65.74,0.09,0.22,-0.11,1.22,1.43,1.57,0.4,2.97,B,2020
762,i.kumari,Dosqaly,0,0,0,1,Somber Stallions,24,1995,28.0,17.53,27.2,64.45,602.18,436.11,2.87,2.89,98.9,6.48,6.59,100.05,8.08,17.61,45.73,-0.08,0.03,0.04,-0.06,0.54,-0.05,0.0,0.06,B,2020
763,k.wee,Central Namemo Laand,0,1,0,0,Somber Stallions,19,2000,0.94,45.58,52.3,87.18,922.14,251.09,18.99,18.83,100.08,20.04,22.18,90.06,6.61,9.93,66.77,-0.04,0.05,-0.1,1.05,3.35,1.07,0.04,8.89,B,2020
764,g.kyamanywa,Coastpa Barleslands,0,1,0,0,Somber Stallions,19,2000,0.15,45.08,45.0,99.93,975.01,185.0,5.03,4.97,99.9,34.92,35.07,99.96,4.93,5.02,100.01,-0.07,-0.01,0.07,-0.04,0.05,-0.05,-0.04,0.05,B,2020
765,e.longwe,Dosqaly,0,1,0,0,Somber Stallions,20,1999,13.43,49.85,55.2,90.26,979.92,221.3,19.64,21.6,91.43,21.32,22.76,93.88,7.93,9.38,82.88,0.01,-0.03,-0.06,0.77,6.82,0.31,0.07,4.68,B,2020
766,g.jesus,Dosqaly,0,1,0,0,Somber Stallions,28,1990,22.77,43.06,54.25,79.13,758.61,183.2,20.24,23.46,86.43,16.57,20.47,81.62,4.99,7.51,64.75,-0.04,0.01,-0.09,0.48,4.39,0.31,0.13,3.53,B,2020
767,k.gao,Greri Landmoslands,0,1,0,0,Somber Stallions,24,1994,7.98,48.95,56.7,86.1,930.04,218.41,20.53,22.85,89.57,20.37,22.71,88.97,6.75,8.44,79.12,-0.09,0.23,-0.12,0.97,6.46,0.22,0.09,4.66,B,2020
768,b.lu,Lefghau,0,1,0,0,Somber Stallions,22,1997,0.56,61.93,78.03,79.47,1011.9,228.02,33.99,37.96,89.47,21.96,24.1,91.6,4.0,14.06,28.55,-0.08,0.21,-0.25,2.0,7.99,1.9,-0.03,7.94,B,2020
769,q.nikoli,Saintswacroa,0,1,0,0,Somber Stallions,19,1999,0.02,20.05,30.03,66.65,219.96,0.06,20.06,29.95,66.65,-0.05,0.03,,-0.08,0.0,,0.0,0.07,-0.02,0.02,-0.03,0.04,0.06,-0.07,B,2020
770,e.teixeira,Slandsganiamayotteque,0,1,0,0,Somber Stallions,19,2000,0.82,23.23,34.39,67.66,339.96,37.81,11.02,13.38,83.36,7.88,12.19,63.53,2.31,2.2,99.9,-0.05,0.48,-0.39,1.03,1.19,1.16,-0.02,1.15,B,2020
771,k.guillaume,Dosqaly,1,1,0,0,Somber Stallions,21,1998,22.9,23.7,30.89,77.04,396.04,88.97,11.89,14.77,80.58,8.96,10.65,85.13,2.27,3.46,64.12,0.31,0.22,0.07,1.58,1.72,1.61,0.09,3.1,B,2020
772,x.durand,Greri Landmoslands,1,1,0,0,Somber Stallions,21,1997,16.45,49.52,60.99,80.96,918.38,256.57,22.87,25.89,88.04,18.78,21.71,86.69,7.01,10.95,62.52,0.03,0.21,-0.11,2.08,5.26,1.2,0.22,5.72,B,2020
773,z.perrin,Imaar Vircoand,1,1,0,0,Somber Stallions,31,1988,0.69,28.34,46.67,60.76,510.02,73.36,15.04,21.77,69.14,8.24,10.0,83.29,5.02,11.64,42.92,0.01,-0.03,-0.01,1.6,1.71,0.03,0.0,0.1,B,2020
774,k.koppel,Varijitri Isles,1,1,0,0,Somber Stallions,22,1997,9.48,33.48,47.96,69.69,604.51,189.15,15.7,18.24,86.04,11.9,15.64,76.39,4.66,11.39,41.07,0.45,0.2,0.19,2.73,2.74,1.05,0.04,3.42,B,2020
775,g.asiedu,Dosqaly,0,0,1,0,Supreme Janes,31,1987,21.02,42.07,48.77,86.06,945.77,289.5,11.01,11.83,92.45,22.11,24.22,91.31,8.44,11.98,70.13,0.09,-0.05,0.04,0.11,2.32,0.12,-0.03,2.74,B,2020
776,l.hasegawa,Dosqaly,0,0,1,0,Supreme Janes,27,1992,17.83,41.79,54.15,77.23,660.53,308.43,22.83,26.05,87.37,16.34,19.75,82.85,2.22,6.19,35.85,0.01,0.03,-0.06,0.49,2.44,0.14,0.13,3.41,B,2020
777,n.agyapong,Dosqaly,0,0,1,0,Supreme Janes,21,1997,0.58,33.95,48.01,70.83,567.93,319.98,18.04,23.92,75.02,11.96,14.02,85.72,4.05,8.05,50.07,0.09,-0.07,-0.05,-0.06,4.03,-0.06,-0.07,1.92,B,2020
778,r.horvat,Dosqaly,0,0,1,0,Supreme Janes,20,1999,0.5,39.91,54.02,74.15,637.96,371.94,21.94,28.0,78.52,11.98,11.95,99.97,6.01,13.99,42.93,0.09,0.0,0.03,0.02,1.92,-0.07,-0.07,-0.06,B,2020
779,s.binosman,Dosqaly,0,0,1,0,Supreme Janes,20,1999,4.56,45.11,54.03,83.54,888.28,306.69,16.62,19.05,87.4,22.55,25.33,88.99,5.84,9.11,64.26,0.02,-0.05,-0.02,0.26,2.48,0.26,0.27,1.68,B,2020
780,k.nakku,Former Maneau,0,0,1,0,Supreme Janes,23,1996,2.13,40.03,50.45,79.3,684.74,385.2,18.13,18.92,95.03,16.67,19.95,83.25,3.84,8.19,47.06,-0.07,0.03,0.03,0.58,1.88,-0.05,-0.03,2.28,B,2020
781,g.suad,Lefghau,0,0,1,0,Supreme Janes,27,1992,24.18,42.23,48.73,86.89,869.77,299.73,12.49,13.88,90.43,23.27,25.21,92.37,5.93,8.71,68.96,-0.03,0.01,-0.06,0.17,1.87,0.18,0.14,2.29,B,2020
782,i.nantale,Lefghau,0,0,1,0,Supreme Janes,29,1990,9.28,45.59,55.92,81.36,742.7,341.52,22.91,25.31,90.62,18.07,22.52,80.38,3.24,5.24,61.15,0.0,0.08,-0.02,0.65,3.09,0.79,0.31,3.94,B,2020
783,e.nelima,Reugha,0,0,1,0,Supreme Janes,28,1991,7.5,34.0,40.07,85.22,704.97,188.81,9.54,11.06,85.67,19.37,21.31,90.27,4.56,6.73,68.51,-0.07,0.06,-0.06,0.11,0.82,0.21,0.05,1.24,B,2020
784,j.ferri,Reugha,0,0,1,0,Supreme Janes,27,1992,19.27,41.62,55.85,74.5,755.28,335.13,17.96,20.47,87.39,19.3,25.08,76.57,4.1,8.86,47.89,0.0,-0.04,0.06,0.44,3.99,0.63,0.09,4.04,B,2020
785,k.balogun,Lenia Gerdanho,1,0,1,0,Supreme Janes,22,1996,5.82,44.78,54.7,81.81,739.42,254.04,25.5,28.82,88.53,14.43,17.15,84.03,4.38,6.76,66.6,-0.08,0.18,-0.09,1.05,3.53,0.37,0.04,4.58,B,2020
786,y.dbrowski,Rarita,0,1,1,0,Supreme Janes,29,1990,3.61,38.16,43.3,87.77,764.33,161.95,13.23,14.38,92.34,18.3,21.05,86.84,6.33,7.44,85.25,0.08,0.01,0.07,-0.03,0.27,0.06,-0.05,1.02,B,2020
787,k.macuacua,Dosqaly,1,0,0,0,Supreme Janes,23,1996,0.11,14.95,14.9,99.93,135.09,34.94,14.92,14.92,100.07,0.06,0.08,,-0.02,-0.09,,0.02,-0.02,-0.02,-0.07,-0.1,-0.06,0.0,-0.02,B,2020
788,h.sentongo,Reugha,1,0,0,0,Supreme Janes,27,1991,17.91,11.16,18.69,59.28,149.42,28.85,6.92,10.48,65.37,3.0,5.56,53.09,0.7,1.2,52.21,0.04,0.04,-0.08,0.68,0.84,0.37,0.21,0.99,B,2020
789,o.cheah,Lefghau,1,0,1,0,Supreme Janes,27,1991,2.96,40.2,59.93,67.24,761.3,285.62,18.3,20.94,87.22,16.3,21.75,75.36,5.3,14.78,36.32,0.0,0.02,0.0,1.64,4.01,1.34,0.58,4.58,B,2020
790,b.roche,Dosqaly,1,1,0,0,Supreme Janes,25,1994,16.31,34.91,44.3,79.24,537.47,168.03,19.72,22.32,88.53,11.92,14.58,82.74,2.28,4.95,47.44,0.19,0.29,-0.05,2.31,2.0,1.42,0.27,4.01,B,2020
791,f.kyoshabire,Dosqaly,1,1,0,0,Supreme Janes,20,1999,1.75,22.13,28.95,76.87,291.69,47.81,14.48,17.23,83.83,6.21,8.91,68.83,0.52,0.49,100.01,-0.01,0.03,-0.01,0.49,0.63,1.07,0.61,1.08,B,2020
792,h.pang,Dosqaly,1,1,0,0,Supreme Janes,21,1997,20.44,26.37,33.1,79.86,488.52,115.97,12.4,14.33,85.84,9.99,11.81,84.3,3.55,5.02,69.45,0.13,0.09,-0.04,1.09,2.45,0.99,0.17,3.22,B,2020
793,e.lund,Republic of Denand Landsa,1,1,0,0,Supreme Janes,24,1995,24.27,20.13,27.31,73.87,287.35,89.33,12.73,14.41,87.67,6.16,8.51,73.2,0.84,1.95,40.47,0.26,0.25,0.13,1.42,1.01,1.08,0.43,2.18,B,2020
794,o.tio,Southern Ristan,1,1,0,0,Supreme Janes,25,1994,1.65,21.15,31.16,67.87,310.01,87.0,12.96,15.83,81.53,5.37,7.7,69.28,2.34,5.2,44.42,0.07,0.08,-0.03,1.09,0.58,0.03,-0.02,1.24,B,2020
795,r.mkandla,Southern Ristan,1,1,0,0,Supreme Janes,27,1991,3.18,16.7,24.35,67.92,280.54,58.03,9.69,12.2,79.55,4.7,7.21,65.25,1.92,2.87,66.71,-0.06,-0.01,0.01,0.65,1.33,0.03,-0.09,0.85,B,2020
796,o.burgos,Dosqaly,0,0,0,1,Supreme Janes,20,1999,26.94,20.48,32.66,62.22,666.3,466.49,3.35,3.33,99.92,8.81,8.96,98.88,8.25,20.34,40.4,-0.09,-0.03,0.05,0.09,0.5,-0.01,-0.03,0.1,B,2020
797,e.liepis,Rosvi,0,0,0,1,Supreme Janes,31,1988,0.97,8.08,20.05,40.04,295.0,139.02,-0.02,0.09,,3.92,4.96,79.99,3.91,14.91,26.79,-0.02,-0.02,-0.05,-0.01,0.05,-0.03,0.05,0.08,B,2020
798,g.albrecht,Dosqaly,0,1,0,0,Supreme Janes,22,1996,0.15,110.07,119.99,91.69,1999.95,619.93,60.05,60.09,99.91,39.97,50.1,79.91,10.07,10.03,100.04,0.0,0.96,-0.95,20.09,9.93,0.03,-0.03,0.0,B,2020
799,p.lo,Dosqaly,0,1,0,0,Supreme Janes,25,1994,24.8,45.99,54.28,84.71,856.89,169.76,19.04,21.84,87.07,19.97,22.83,87.63,5.89,7.73,77.72,0.03,-0.05,-0.11,0.65,4.76,0.29,0.01,3.92,B,2020
800,q.ruzvidzo,Dosqaly,0,1,0,0,Supreme Janes,24,1994,2.99,51.37,59.68,86.03,942.74,223.3,23.78,25.31,93.37,19.31,22.92,84.17,7.23,10.01,73.25,0.25,0.13,0.12,2.95,5.67,0.94,0.36,5.0,B,2020
801,b.apio,Pierrema,0,1,0,0,Supreme Janes,26,1992,20.27,39.75,47.45,83.75,724.71,190.56,18.1,19.58,92.31,16.78,18.38,91.24,4.55,8.59,54.18,0.16,0.14,-0.04,1.34,4.21,0.36,0.11,2.86,B,2020
802,l.mirzaei,Biarizea,1,1,0,0,Supreme Janes,20,1999,22.25,40.47,51.89,77.99,722.51,172.5,19.75,22.48,87.9,14.21,16.9,83.72,5.33,10.38,51.05,0.12,0.21,-0.13,1.47,3.84,0.7,0.13,4.0,B,2020
803,e.fujiwara,Former Maneau,1,1,0,0,Supreme Janes,25,1994,3.87,31.77,40.06,79.44,502.62,97.38,16.66,18.67,88.91,12.02,15.4,78.36,2.54,4.55,55.56,0.16,0.06,0.09,1.78,3.34,0.16,0.29,3.24,B,2020
804,h.romero,Coastpa Barleslands,0,0,1,0,Swift Rustlers,22,1997,18.73,36.69,46.07,79.75,638.81,215.62,18.6,20.7,90.35,13.12,15.89,82.72,4.04,7.29,55.88,0.07,0.05,-0.13,0.78,2.49,0.75,0.41,3.24,B,2020
805,a.schmidt,Dosqaly,0,0,1,0,Swift Rustlers,26,1993,11.88,56.01,66.53,84.21,925.46,343.71,29.93,31.86,94.28,20.45,23.92,85.97,4.5,8.42,53.95,0.22,0.22,0.12,1.14,3.36,2.07,1.17,4.3,B,2020
806,d.tweheyo,Dosqaly,0,0,1,0,Swift Rustlers,18,2001,15.66,51.32,59.05,87.04,1097.84,367.02,15.63,17.14,91.47,26.35,28.76,92.01,9.16,12.36,74.58,0.08,-0.03,0.06,0.28,3.94,0.14,0.05,4.16,B,2020
807,y.meyer,Nkasland Cronestan,0,0,1,0,Swift Rustlers,31,1988,22.99,42.0,46.94,89.54,969.26,235.8,8.29,8.84,93.66,25.65,26.79,95.73,8.02,11.05,72.83,-0.05,0.0,-0.01,-0.06,0.88,-0.03,0.09,1.36,B,2020
808,o.bosnjak,Northern Namemo Laand,0,0,1,0,Swift Rustlers,25,1994,19.44,48.04,53.98,88.98,1124.25,339.22,11.3,12.48,89.23,24.87,26.69,93.62,11.65,14.37,81.06,0.04,0.0,0.08,-0.03,3.31,0.12,0.05,3.76,B,2020
809,n.gumbo,People's Land of Maneau,0,0,1,0,Swift Rustlers,18,2000,1.16,49.2,57.51,85.41,1076.66,291.68,12.52,13.27,93.8,27.4,29.2,94.24,8.23,14.19,58.85,-0.08,-0.05,-0.1,0.05,2.41,0.03,0.04,5.89,B,2020
810,o.ninsiima,Greri Landmoslands,1,0,1,0,Swift Rustlers,24,1995,18.5,33.54,42.14,79.67,501.78,146.09,19.86,22.32,88.94,11.41,14.09,81.46,1.48,3.17,48.32,0.01,0.21,-0.18,1.59,1.53,1.13,0.37,2.73,B,2020
811,s.jalali,Esia,0,1,1,0,Swift Rustlers,22,1997,9.89,42.98,53.26,80.54,806.17,282.11,16.18,19.13,84.68,20.8,24.01,86.63,5.06,8.4,61.44,-0.04,-0.01,-0.15,0.55,3.12,0.81,0.14,4.24,B,2020
812,l.fung,Greri Landmoslands,0,1,1,0,Swift Rustlers,22,1996,11.66,44.17,54.61,80.82,737.25,275.39,20.89,23.69,88.03,18.92,22.84,82.72,3.24,5.88,55.9,0.05,0.23,-0.09,1.02,3.2,1.68,0.26,6.08,B,2020
813,l.chifamba,Lefghau,0,1,1,0,Swift Rustlers,26,1992,11.79,46.67,54.48,85.79,843.87,321.46,18.54,19.95,92.71,23.84,26.61,89.42,3.86,6.59,57.2,0.09,-0.05,-0.06,0.25,3.61,0.12,0.16,3.67,B,2020
814,q.mukasa,Buhegeor,1,0,0,0,Swift Rustlers,18,2000,0.73,15.71,20.0,78.54,201.47,18.64,10.05,12.81,77.89,5.71,7.21,80.02,0.04,0.01,,-0.05,-0.05,-0.05,-0.09,0.02,0.02,0.01,0.09,B,2020
815,e.nankunda,Dosqaly,1,0,0,0,Swift Rustlers,22,1997,3.03,11.0,13.27,82.54,163.3,15.61,6.76,8.35,80.04,3.64,4.04,91.77,0.29,0.34,99.98,0.02,0.07,-0.04,0.01,0.71,0.09,-0.08,0.28,B,2020
816,f.mapfumo,Dosqaly,1,0,0,0,Swift Rustlers,19,1999,0.11,19.97,20.06,99.92,190.03,-0.09,19.96,19.95,99.98,-0.09,0.02,,0.06,-0.09,,0.03,-0.06,-0.01,0.08,0.07,0.06,0.04,-0.01,B,2020
817,l.castro,Dosqaly,1,0,0,0,Swift Rustlers,28,1990,23.96,25.57,33.87,75.56,374.76,107.28,15.54,18.24,84.88,7.56,10.01,75.17,1.57,2.93,52.85,0.16,0.32,-0.06,1.87,2.16,1.47,0.24,3.47,B,2020
818,m.mubangizi,Greri Landmoslands,1,0,0,0,Swift Rustlers,23,1995,1.0,26.7,28.82,92.2,334.33,51.06,17.89,17.77,100.05,7.75,10.05,77.75,1.16,1.04,100.02,-0.07,-0.04,-0.04,0.06,3.42,-0.08,0.05,0.1,B,2020
819,h.mubaiwa,Rarita,1,0,0,0,Swift Rustlers,31,1988,14.32,26.85,37.97,70.97,436.59,131.9,15.51,19.4,79.8,8.36,11.51,73.24,2.44,4.81,51.41,0.59,0.2,0.27,2.09,3.05,1.73,0.46,4.68,B,2020
820,v.smits,Coastpa Barleslands,1,1,0,0,Swift Rustlers,24,1995,9.4,21.81,31.15,70.24,318.21,80.75,12.89,15.24,84.75,6.9,10.25,67.0,1.33,3.17,38.63,0.09,0.15,-0.06,0.4,1.19,0.61,0.04,2.62,B,2020
821,f.monday,Pahon,1,1,0,0,Swift Rustlers,29,1989,5.31,26.07,39.35,66.1,440.11,134.63,13.83,17.87,76.79,8.26,12.22,67.6,2.92,6.69,42.95,0.04,0.1,-0.19,1.0,2.51,1.16,0.17,4.19,B,2020
822,z.pinto,Republic of Denand Landsa,1,1,0,0,Swift Rustlers,22,1997,1.81,19.48,26.07,74.53,321.66,55.63,11.16,14.47,76.94,5.59,7.3,76.99,2.21,3.25,66.77,0.5,0.04,0.38,0.49,1.08,0.59,-0.07,1.02,B,2020
823,q.permana,Dosqaly,0,0,0,1,Swift Rustlers,28,1991,28.09,22.38,30.31,73.91,707.0,473.7,3.02,3.29,94.6,9.6,9.66,99.36,9.71,17.11,55.96,0.07,-0.07,0.0,-0.03,0.13,0.01,-0.01,0.09,B,2020
824,c.langa,Dosqaly,0,1,0,0,Swift Rustlers,19,2000,0.79,30.0,34.28,87.57,478.57,118.57,12.96,17.17,75.01,12.95,12.91,99.95,2.92,2.81,100.06,-0.02,0.0,0.05,1.36,-0.1,-0.01,0.08,1.42,B,2020
825,f.perrin,Dosqaly,0,1,0,0,Swift Rustlers,20,1999,6.83,45.04,52.49,85.79,896.52,221.73,16.87,19.07,88.53,19.69,20.63,95.07,8.01,10.67,76.46,0.3,0.09,0.26,0.69,4.45,0.75,0.06,4.72,B,2020
826,i.brown,Dosqaly,0,1,0,0,Swift Rustlers,24,1994,19.16,43.53,50.38,86.49,774.74,201.71,20.44,22.66,90.24,17.59,19.49,89.59,4.96,6.66,73.87,0.12,0.08,0.08,0.33,3.86,0.7,-0.06,4.23,B,2020
827,l.prasad,Eastern Sleboube,0,1,0,0,Swift Rustlers,23,1996,22.87,38.05,49.74,76.69,704.29,206.61,18.55,21.07,88.07,12.79,15.41,82.2,5.88,10.73,55.06,0.26,0.16,-0.07,1.88,4.12,1.2,0.04,4.66,B,2020
828,d.kemigisa,Greri Landmoslands,0,1,0,0,Swift Rustlers,30,1989,13.68,52.87,61.31,86.15,988.83,285.84,22.89,25.65,88.88,22.01,24.25,90.85,6.93,9.93,70.94,0.22,0.06,0.12,1.01,4.99,0.5,-0.1,4.76,B,2020
829,y.molnar,Nganion,0,1,0,0,Swift Rustlers,32,1987,10.39,60.53,73.97,81.92,1147.04,408.89,25.06,28.16,88.65,25.93,29.73,87.52,8.15,13.41,60.42,0.21,0.18,0.14,2.31,7.65,2.18,0.24,10.29,B,2020
830,v.nakibuule,Reugha,0,1,0,0,Swift Rustlers,24,1995,0.31,33.31,39.97,83.24,676.74,70.1,9.95,9.99,100.07,19.99,23.21,85.79,3.27,6.76,49.91,-0.09,0.02,0.08,0.05,-0.08,-0.05,0.0,0.08,B,2020
831,s.antwi,Lefghau,1,1,0,0,Swift Rustlers,23,1996,1.37,42.03,56.38,74.74,636.32,182.9,27.96,31.45,88.7,10.0,14.28,70.05,3.57,8.49,41.69,-0.06,0.0,-0.02,0.09,3.65,1.38,-0.07,4.92,B,2020
832,c.danquah,Byasier Pujan,0,0,1,0,Unaccountable Foxes,23,1995,11.81,57.44,70.77,81.17,1021.74,378.77,28.13,30.81,91.53,22.45,26.97,83.47,6.36,9.83,64.09,0.07,0.09,0.05,0.99,3.93,1.2,0.56,5.49,B,2020
833,b.nandudu,Dosqaly,0,0,1,0,Unaccountable Foxes,18,2000,0.41,80.06,94.03,85.04,1278.07,316.06,41.95,44.02,95.55,33.91,37.98,89.51,4.06,5.98,66.66,-0.1,0.17,-0.11,3.94,1.91,0.04,-0.01,1.91,B,2020
834,h.chandiru,Dosqaly,0,0,1,0,Unaccountable Foxes,19,2000,0.01,39.91,49.94,79.9,1060.05,340.0,-0.04,0.09,,19.97,20.0,100.01,20.03,30.08,66.66,0.1,-0.08,-0.02,-0.01,0.02,0.02,0.09,0.05,B,2020
835,j.delemovi,Dosqaly,0,0,1,0,Unaccountable Foxes,24,1994,15.04,51.54,64.38,79.81,965.23,371.18,21.63,24.59,88.08,22.89,27.49,83.36,6.36,10.57,60.15,0.01,0.04,-0.19,1.02,3.13,0.84,0.39,4.84,B,2020
836,b.chided,Lefghau,0,0,1,0,Unaccountable Foxes,29,1990,7.77,45.72,55.88,81.83,692.11,297.07,26.41,28.29,93.2,16.39,19.89,81.86,2.25,5.28,42.92,0.0,0.14,0.01,0.41,3.14,0.17,0.07,3.91,B,2020
837,d.byogero,Lefghau,0,0,1,0,Unaccountable Foxes,32,1987,16.61,59.09,67.83,87.07,1377.31,393.19,13.17,14.24,92.4,31.68,33.56,94.34,13.84,19.22,72.26,-0.01,0.06,-0.01,-0.02,4.35,0.04,-0.03,4.35,B,2020
838,u.arthur,Lefghau,0,0,1,0,Unaccountable Foxes,30,1989,9.15,67.45,81.78,82.48,1270.16,431.71,28.75,31.51,90.65,28.82,33.98,85.24,8.9,13.74,64.58,0.12,0.16,-0.09,1.28,6.0,1.37,0.69,5.8,B,2020
839,e.nakayiza,Mico,0,0,1,0,Unaccountable Foxes,23,1996,17.01,70.11,76.84,91.09,1644.66,418.59,13.44,14.14,93.75,41.33,43.57,94.74,15.19,18.48,81.6,-0.06,-0.07,-0.09,0.28,3.33,0.08,-0.02,3.9,B,2020
840,q.vuji,Reugha,0,0,1,0,Unaccountable Foxes,24,1995,9.06,61.56,71.22,86.62,1162.12,367.42,23.78,25.76,92.75,30.33,33.17,91.68,7.12,11.31,63.04,-0.07,0.05,-0.02,1.1,2.93,0.6,0.29,5.41,B,2020
841,h.nyombi,Southern Ristan,0,0,1,0,Unaccountable Foxes,24,1995,23.62,62.97,66.22,95.26,1405.84,392.24,14.66,15.14,96.08,36.18,36.89,98.37,11.78,13.63,86.42,-0.02,-0.02,-0.06,0.23,2.54,-0.04,0.03,2.59,B,2020
842,f.got,Central Namemo Laand,1,0,0,0,Unaccountable Foxes,26,1992,6.08,24.68,31.46,78.34,397.96,82.28,12.78,14.2,89.48,7.91,10.55,76.13,2.4,4.02,62.42,0.25,0.17,0.03,1.43,0.84,1.31,0.28,1.8,B,2020
843,k.bintiali,Dosqaly,1,0,0,0,Unaccountable Foxes,19,2000,-0.03,-0.08,-0.04,,0.1,0.06,0.09,-0.07,,0.06,-0.07,,0.1,-0.1,,-0.1,-0.09,0.03,0.07,0.01,-0.02,0.1,0.06,B,2020
844,u.iskandar,Dosqaly,1,0,0,0,Unaccountable Foxes,23,1996,24.37,14.21,19.32,74.01,202.42,30.12,9.02,11.24,80.43,3.82,5.22,74.68,0.84,1.42,60.52,0.16,0.09,0.09,0.99,0.71,0.61,0.09,1.03,B,2020
845,j.rinaldi,Central Diasongo,1,0,1,0,Unaccountable Foxes,22,1996,14.81,33.71,46.52,72.36,555.54,192.85,18.19,21.57,83.81,12.06,15.87,76.58,2.55,6.17,40.71,0.24,0.1,0.09,1.6,1.53,1.45,0.88,3.35,B,2020
846,y.manjate,Byasier Pujan,1,1,0,0,Unaccountable Foxes,25,1994,11.36,32.52,42.99,75.92,545.23,148.49,18.39,21.7,84.95,9.72,12.59,77.42,3.7,7.0,53.22,0.14,0.34,-0.08,1.94,2.58,1.5,0.02,3.89,B,2020
847,e.desantis,Dosqaly,1,1,0,0,Unaccountable Foxes,22,1997,13.22,25.94,33.12,78.24,415.76,116.65,14.81,16.79,89.26,7.98,10.16,77.13,2.33,4.51,50.82,0.22,0.02,0.1,1.01,1.81,0.4,-0.06,3.32,B,2020
848,k.aliyu,Saintswacroa,1,1,0,0,Unaccountable Foxes,23,1995,13.81,31.28,41.7,74.67,577.33,195.12,14.8,17.07,86.86,11.13,14.84,75.11,4.53,8.57,54.17,0.28,0.21,0.01,1.92,1.74,1.66,0.62,3.78,B,2020
849,o.noor,Cabral Retrea,0,0,0,1,Unaccountable Foxes,33,1986,2.09,26.96,29.45,91.48,794.46,565.46,4.99,5.0,100.07,12.47,12.54,99.92,9.42,12.04,79.22,0.05,0.07,-0.01,-0.03,0.03,0.02,-0.1,-0.03,B,2020
850,f.carbone,Greri Landmoslands,0,0,0,1,Unaccountable Foxes,28,1990,26.07,25.98,31.54,82.6,721.94,413.96,4.45,4.42,99.96,12.7,12.87,99.76,8.74,14.09,61.54,0.06,0.07,-0.04,0.09,0.2,0.09,0.0,0.1,B,2020
851,l.mponda,Dosqaly,0,1,0,0,Unaccountable Foxes,22,1997,19.63,40.87,48.35,84.87,820.78,154.65,14.03,16.27,86.52,19.62,21.61,90.34,6.26,8.21,75.73,0.09,0.06,0.0,0.6,3.36,0.27,0.27,3.16,B,2020
852,m.mugeni,Dosqaly,0,1,0,0,Unaccountable Foxes,19,2000,6.35,53.67,61.82,86.68,965.68,282.49,24.93,27.12,91.75,21.64,24.66,87.71,6.4,7.86,80.1,0.06,0.1,-0.12,0.7,4.66,1.32,-0.07,7.3,B,2020
853,b.akullu,Lefghau,0,1,0,0,Unaccountable Foxes,21,1998,2.19,58.18,66.86,87.12,966.71,170.81,26.43,28.7,92.08,24.9,27.36,91.67,4.99,7.74,64.72,-0.07,0.1,-0.26,0.86,2.2,-0.09,0.0,1.3,B,2020
