,Player,Nation,FW,MF,DF,GK,Squad,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,League,Year
1590,o.andoh,Esia,0,0,1,0,Marvelous Heels,20,1999,0.25,-0.09,0.04,0.04,,-0.01,0.06,,,,-0.06,0.03,-0.09,-0.01,0.08,,0.04,0.03,D,2020
1591,n.alum,Imaar Vircoand,0,0,1,0,Marvelous Heels,29,1990,27.5,0.09,0.62,0.16,20.02,0.53,0.12,0.14,0.59,10.74,-0.05,-0.05,0.02,0.07,0.11,0.13,0.08,0.09,D,2020
1592,f.he,Lefghau,0,0,1,0,Marvelous Heels,22,1997,0.82,0.0,1.13,0.1,-0.02,1.15,0.01,0.07,,15.89,0.05,-0.08,0.09,0.01,0.06,0.02,-0.03,-0.05,D,2020
1593,a.cheang,Manlisgamncent,0,0,1,0,Marvelous Heels,19,2000,3.1,0.03,0.33,0.08,-0.04,0.41,0.04,-0.03,,5.76,0.07,0.07,-0.08,0.02,0.07,0.04,0.04,0.01,D,2020
1594,v.it,Mico,0,0,1,0,Marvelous Heels,30,1989,3.22,-0.07,0.39,0.38,99.97,0.27,0.28,-0.01,-0.08,7.04,-0.06,0.02,-0.04,0.05,0.05,0.1,0.01,0.02,D,2020
1595,j.atala,Moaithe,0,0,1,0,Marvelous Heels,26,1993,30.9,0.0,0.63,0.1,13.58,0.74,0.15,0.18,0.77,9.26,0.09,-0.04,-0.03,0.1,0.01,0.09,0.07,-0.05,D,2020
1596,c.manjhi,Sobianitedrucy,0,0,1,0,Marvelous Heels,25,1994,10.75,-0.09,0.35,-0.09,-0.09,0.39,0.0,-0.02,,9.03,-0.02,-0.02,-0.05,0.08,-0.08,0.09,-0.06,-0.06,D,2020
1597,f.ahebwa,Sobianitedrucy,0,0,1,0,Marvelous Heels,19,2000,0.28,0.07,10.04,0.09,0.02,10.08,-0.06,0.09,,18.45,-0.06,0.01,0.05,0.49,0.49,-0.02,-0.41,-0.41,D,2020
1598,m.namiiro,Sobianitedrucy,0,0,1,0,Marvelous Heels,33,1986,5.93,-0.07,0.05,-0.01,,0.08,-0.07,,,,0.05,-0.09,-0.03,-0.05,0.04,,-0.06,0.05,D,2020
1599,y.opio,Sobianitedrucy,0,0,1,0,Marvelous Heels,28,1990,29.0,0.15,0.94,0.33,40.79,0.89,0.42,0.02,0.15,13.84,0.05,0.03,-0.05,0.02,0.08,0.04,0.04,-0.09,D,2020
1600,a.acheng,Southern Ristan,0,0,1,0,Marvelous Heels,23,1995,19.7,0.03,0.82,0.19,23.44,0.96,0.28,0.11,0.33,13.49,0.07,-0.02,0.01,0.17,0.0,0.07,0.06,-0.05,D,2020
1601,c.gheorghe,Central Diasongo,1,0,0,0,Marvelous Heels,17,2002,0.33,3.24,3.42,3.28,99.99,3.43,3.3,0.93,1.1,20.23,-0.1,-0.08,-0.02,0.31,0.36,0.13,3.02,2.91,D,2020
1602,m.dbrowski,Northslands,1,0,0,0,Marvelous Heels,19,2000,0.82,-0.01,5.52,2.28,40.03,5.42,2.3,-0.08,0.04,17.94,-0.02,0.0,0.03,0.44,0.52,0.14,-0.36,-0.48,D,2020
1603,z.ngambi,Saintu,1,0,0,0,Marvelous Heels,31,1988,18.46,0.81,4.39,2.04,44.43,4.33,1.98,0.26,0.5,17.99,0.36,0.08,-0.05,0.51,0.43,0.15,0.34,0.27,D,2020
1604,n.yamashita,Sobianitedrucy,1,0,0,0,Marvelous Heels,18,2001,0.1,0.09,5.04,-0.01,0.07,5.33,0.06,-0.03,,11.09,-0.09,0.02,-0.09,2.03,1.97,0.29,-2.04,-2.07,D,2020
1605,z.osei,Sobianitedrucy,1,0,0,0,Marvelous Heels,18,2000,-0.05,0.03,0.0,-0.02,,-0.01,0.09,,,,-0.06,0.07,-0.08,0.09,0.08,,-0.03,0.03,D,2020
1606,c.abramov,Western Niasland,1,0,0,0,Marvelous Heels,28,1991,13.98,1.34,5.14,2.37,47.2,5.2,2.39,0.17,0.38,18.84,0.73,0.35,0.45,1.03,0.59,0.16,0.22,0.3,D,2020
1607,y.nambi,Western Niasland,1,0,0,0,Marvelous Heels,28,1991,22.53,0.84,3.81,1.59,40.28,3.91,1.5,0.16,0.58,12.28,-0.04,0.08,0.04,0.68,0.51,0.12,0.19,0.1,D,2020
1608,k.amoding,Northslands,1,1,0,0,Marvelous Heels,20,1998,2.06,0.0,4.79,1.88,39.99,4.65,1.91,0.07,0.08,15.32,-0.01,0.1,0.47,0.94,0.41,0.04,-0.77,-0.58,D,2020
1609,a.kovaevi,Sobianitedrucy,0,0,0,1,Marvelous Heels,27,1992,5.85,-0.03,0.09,0.08,,0.09,-0.02,,,,-0.04,-0.08,0.03,-0.01,0.01,,-0.08,0.03,D,2020
1610,h.okafor,Sobianitedrucy,0,0,0,1,Marvelous Heels,24,1995,32.04,0.02,-0.07,0.08,,0.1,-0.09,,,,-0.01,0.02,0.08,0.04,0.0,,-0.01,-0.05,D,2020
1611,p.kachingwe,Sobianitedrucy,0,0,0,1,Marvelous Heels,28,1991,0.06,-0.08,-0.09,-0.07,,-0.03,-0.06,,,,-0.04,-0.1,0.06,0.02,0.04,,0.06,0.08,D,2020
1612,w.nabuuma,Byasier Pujan,0,1,0,0,Marvelous Heels,28,1991,30.26,0.14,0.94,0.26,19.37,0.95,0.26,-0.02,0.33,22.49,0.05,-0.07,0.05,-0.02,-0.03,-0.01,0.01,-0.03,D,2020
1613,g.kaweesa,Central Namemo Laand,0,1,0,0,Marvelous Heels,25,1994,2.29,-0.02,0.02,-0.09,,0.04,-0.04,,,,-0.05,0.02,0.02,0.09,0.02,,-0.06,0.01,D,2020
1614,h.adjei,Quewenia,0,1,0,0,Marvelous Heels,27,1992,26.0,-0.02,0.8,0.26,36.83,0.73,0.35,0.12,0.23,16.82,-0.09,0.1,0.09,0.1,0.14,0.12,-0.06,0.08,D,2020
1615,k.mayanja,Bernepamar,1,1,0,0,Marvelous Heels,26,1993,17.12,0.45,4.53,1.58,34.69,4.59,1.61,0.0,0.26,23.76,0.68,0.03,0.08,0.2,0.31,0.13,0.13,0.3,D,2020
1616,d.pfeiffer,Imaar Vircoand,1,1,0,0,Marvelous Heels,31,1988,31.6,0.26,3.01,1.21,42.71,3.11,1.26,0.06,0.26,18.93,0.14,-0.09,-0.04,0.25,0.36,0.08,-0.02,-0.12,D,2020
1617,j.jorgensen,Manlisgamncent,1,1,0,0,Marvelous Heels,24,1995,26.85,0.37,2.19,0.68,28.76,2.1,0.58,0.16,0.44,11.9,-0.06,-0.01,-0.06,0.47,0.36,0.15,-0.07,-0.11,D,2020
1618,j.laurent,Cabral Retrea,0,0,1,0,Marvelous Patriots,29,1989,7.86,0.0,0.32,-0.03,0.0,0.31,-0.09,0.04,,7.15,0.01,0.09,0.03,0.09,-0.04,0.08,0.06,-0.04,D,2020
1619,f.farkas,Esia,0,0,1,0,Marvelous Patriots,24,1994,24.28,0.02,0.25,0.0,25.08,0.4,0.15,0.08,0.52,19.01,-0.02,0.0,-0.03,0.02,-0.05,0.1,0.02,-0.08,D,2020
1620,d.muwonge,Ingre,0,0,1,0,Marvelous Patriots,23,1996,18.38,0.1,1.16,0.41,39.9,1.1,0.49,-0.07,-0.06,24.09,0.12,0.0,-0.04,-0.04,0.06,-0.04,-0.04,-0.08,D,2020
1621,x.denis,Lefghau,0,0,1,0,Marvelous Patriots,21,1998,11.23,-0.01,0.97,0.29,36.31,1.04,0.3,0.13,0.21,20.95,0.15,-0.09,-0.02,0.12,0.01,0.14,-0.01,0.09,D,2020
1622,z.longole,Lefghau,0,0,1,0,Marvelous Patriots,23,1995,20.13,0.05,0.24,0.14,19.92,0.26,-0.02,-0.06,-0.06,13.24,0.04,0.09,0.07,0.03,-0.03,0.16,0.01,-0.13,D,2020
1623,b.matei,Sobianitedrucy,0,0,1,0,Marvelous Patriots,22,1997,16.36,0.09,0.08,0.06,49.99,0.06,0.09,-0.03,-0.03,10.05,-0.02,-0.08,-0.01,-0.02,0.03,0.02,0.07,-0.04,D,2020
1624,c.obi,Sobianitedrucy,0,0,1,0,Marvelous Patriots,27,1992,21.14,-0.09,0.53,0.0,18.28,0.46,0.05,-0.02,-0.04,7.31,-0.09,-0.08,0.1,-0.02,0.04,0.17,-0.17,0.0,D,2020
1625,d.saleh,Sobianitedrucy,0,0,1,0,Marvelous Patriots,23,1995,1.57,0.63,1.25,1.23,100.0,1.21,1.27,0.55,0.46,4.01,0.08,0.09,0.06,0.66,0.57,0.51,-0.02,0.07,D,2020
1626,l.vandijkvandyk,Sobianitedrucy,0,0,1,0,Marvelous Patriots,16,2002,0.1,0.0,-0.02,0.05,,-0.06,-0.04,,,,0.02,0.04,-0.07,0.01,0.05,,-0.08,0.0,D,2020
1627,p.natukunda,Sobianitedrucy,0,0,1,0,Marvelous Patriots,35,1984,16.78,-0.01,0.4,0.07,-0.01,0.5,-0.02,-0.1,,8.15,-0.04,0.08,0.05,0.03,-0.01,0.12,-0.07,-0.11,D,2020
1628,t.moretti,Sobianitedrucy,0,0,1,0,Marvelous Patriots,20,1999,1.44,-0.03,0.01,-0.08,,0.03,-0.07,,,,-0.07,0.07,-0.09,0.06,-0.04,,-0.05,0.05,D,2020
1629,c.malkah,Varijitri Isles,0,0,1,0,Marvelous Patriots,20,1999,14.06,0.1,0.87,0.42,53.86,0.98,0.56,0.24,0.37,18.4,-0.01,0.08,-0.07,0.05,-0.01,0.03,0.16,0.13,D,2020
1630,s.obonyo,Central Diasongo,1,0,0,0,Marvelous Patriots,22,1997,27.95,0.29,1.97,0.74,35.16,2.01,0.71,0.26,0.49,16.73,-0.04,0.08,-0.07,0.09,0.26,0.01,0.23,0.25,D,2020
1631,p.mukalazi,Ledian,1,0,0,0,Marvelous Patriots,23,1996,4.33,0.28,2.57,0.44,18.17,2.52,0.51,0.18,0.59,18.53,-0.08,-0.06,0.07,0.23,0.21,0.03,-0.05,0.07,D,2020
1632,v.golob,Sobianitedrucy,1,0,0,0,Marvelous Patriots,24,1994,27.79,0.44,4.13,1.5,38.23,4.2,1.51,0.14,0.31,22.99,0.62,-0.02,0.14,0.39,0.23,0.09,0.17,0.23,D,2020
1633,v.tugume,Sobianitedrucy,1,0,0,0,Marvelous Patriots,31,1987,32.54,0.59,2.24,1.03,45.78,2.25,1.05,0.29,0.63,12.9,-0.01,-0.03,0.08,0.52,0.4,0.25,0.25,0.23,D,2020
1634,l.jean,Badad,1,1,0,0,Marvelous Patriots,28,1991,10.83,0.19,1.75,0.77,39.97,1.94,0.65,0.06,0.26,18.27,0.08,0.18,0.04,0.32,0.15,0.19,-0.11,-0.12,D,2020
1635,l.baidoo,Sobianitedrucy,1,1,0,0,Marvelous Patriots,18,2000,0.18,-0.09,0.01,-0.07,,-0.03,-0.03,,,,-0.04,0.0,-0.01,0.08,-0.03,,-0.02,-0.07,D,2020
1636,y.acola,Rarita,0,0,0,1,Marvelous Patriots,32,1987,31.04,-0.1,-0.08,0.07,,-0.1,0.04,,,,-0.08,-0.01,0.03,-0.1,-0.04,,-0.06,-0.01,D,2020
1637,g.hasan,Sobianitedrucy,0,0,0,1,Marvelous Patriots,17,2001,2.04,0.03,-0.06,0.06,,0.04,0.0,,,,0.03,-0.05,0.06,-0.06,-0.06,,0.07,0.06,D,2020
1638,k.huang,Sobianitedrucy,0,0,0,1,Marvelous Patriots,38,1981,5.01,-0.03,-0.06,-0.04,,0.03,0.03,,,,-0.03,-0.04,-0.01,0.09,-0.02,,-0.01,0.05,D,2020
1639,j.leroux,Biarizea,0,1,0,0,Marvelous Patriots,27,1991,10.35,0.2,0.88,0.45,49.97,0.94,0.52,0.01,0.12,31.53,0.1,-0.03,0.03,0.0,0.05,0.03,0.13,0.05,D,2020
1640,a.dekker,Nancipenuaroe,0,1,0,0,Marvelous Patriots,26,1993,9.37,0.09,1.59,0.23,20.0,1.55,0.37,0.15,0.33,22.87,0.0,0.09,-0.09,0.24,0.11,0.17,0.01,-0.09,D,2020
1641,f.lee,Sobianitedrucy,0,1,0,0,Marvelous Patriots,21,1998,28.67,-0.02,1.11,0.22,18.11,1.15,0.28,0.04,0.09,24.15,0.04,0.08,-0.06,0.11,0.04,-0.02,-0.15,-0.01,D,2020
1642,m.chirambo,Sobianitedrucy,0,1,0,0,Marvelous Patriots,34,1984,15.56,-0.03,0.53,0.04,0.06,0.56,0.08,0.06,,25.69,0.06,0.05,0.04,0.03,-0.06,0.04,0.06,-0.01,D,2020
1643,u.david,Sobianitedrucy,0,1,0,0,Marvelous Patriots,23,1995,0.15,0.01,-0.01,0.09,,-0.03,0.01,,,,0.02,-0.01,-0.05,-0.09,0.04,,-0.06,-0.06,D,2020
1644,w.tushabomwe,Zacia Lygia,0,1,0,0,Marvelous Patriots,27,1992,18.57,0.05,1.12,0.34,31.81,1.23,0.35,0.14,0.13,21.1,0.07,-0.04,-0.09,0.1,0.13,-0.02,-0.11,-0.04,D,2020
1645,n.colon,Central Diasongo,1,1,0,0,Marvelous Patriots,19,2000,17.32,0.14,2.5,1.28,51.07,2.66,1.32,0.18,0.19,19.06,0.19,-0.07,-0.07,0.23,0.29,0.17,0.04,-0.05,D,2020
1646,c.alum,Rosvi,1,1,0,0,Marvelous Patriots,27,1992,18.05,0.25,2.24,0.58,21.93,2.34,0.43,0.2,0.48,19.57,0.18,0.09,-0.09,0.17,0.18,0.05,0.03,0.13,D,2020
1647,g.chimwaza,Sobianitedrucy,1,1,0,0,Marvelous Patriots,19,2000,2.89,0.69,3.87,1.69,45.57,3.84,1.75,0.09,0.39,13.28,-0.09,0.06,0.06,0.6,0.65,0.15,0.05,0.13,D,2020
1648,y.brown,Sobianitedrucy,1,1,0,0,Marvelous Patriots,19,2000,0.44,-0.08,2.04,0.09,0.01,1.92,0.04,0.02,,18.08,-0.04,0.06,-0.06,0.21,0.23,0.13,-0.25,-0.21,D,2020
1649,c.adong,Byasier Pujan,0,0,1,0,Mean Wolves,28,1990,6.64,0.09,0.05,-0.06,,-0.09,-0.08,,,,0.04,-0.04,-0.06,-0.1,0.02,,0.04,0.05,D,2020
1650,c.moser,Byasier Pujan,0,0,1,0,Mean Wolves,29,1990,24.61,0.1,0.28,0.06,0.06,0.31,0.03,-0.1,,10.5,0.05,0.0,-0.09,0.07,-0.05,0.08,-0.04,0.0,D,2020
1651,d.henriksen,Byasier Pujan,0,0,1,0,Mean Wolves,22,1997,7.6,0.03,0.25,0.17,50.05,0.31,0.2,0.05,0.04,15.58,0.07,0.02,0.01,-0.06,0.13,0.14,-0.08,-0.06,D,2020
1652,u.krause,Dosqaly,0,0,1,0,Mean Wolves,32,1987,16.72,0.01,0.62,0.09,33.34,0.5,0.23,0.09,0.0,12.73,0.01,0.05,0.0,0.0,0.07,0.05,-0.11,-0.01,D,2020
1653,d.biribawa,Lefghau,0,0,1,0,Mean Wolves,23,1996,24.61,0.0,0.28,0.06,24.97,0.4,-0.01,0.2,0.5,12.65,-0.06,-0.09,-0.01,-0.05,-0.03,0.09,0.0,0.07,D,2020
1654,o.nanyanzi,Lefghau,0,0,1,0,Mean Wolves,24,1994,17.21,0.13,0.21,0.19,60.01,0.21,0.19,0.3,0.3,10.67,0.01,0.03,-0.08,-0.04,0.01,0.18,-0.05,-0.08,D,2020
1655,y.gashi,Mico,0,0,1,0,Mean Wolves,28,1991,31.06,-0.07,0.3,0.12,25.06,0.35,0.11,0.17,0.28,15.13,-0.08,0.04,-0.07,-0.05,0.15,0.08,-0.1,-0.02,D,2020
1656,k.nambi,Nancipenuaroe,0,0,1,0,Mean Wolves,21,1997,5.28,-0.06,0.76,0.28,24.96,0.69,0.29,0.06,0.01,20.67,-0.05,-0.05,0.1,0.01,-0.05,0.1,-0.01,-0.02,D,2020
1657,t.schulz,Republic of Denand Landsa,0,0,1,0,Mean Wolves,25,1993,28.64,-0.1,0.23,0.07,-0.02,0.21,-0.02,0.05,,14.71,-0.06,-0.08,0.02,0.06,0.11,0.04,-0.11,-0.08,D,2020
1658,j.otoo,Sobianitedrucy,0,0,1,0,Mean Wolves,21,1997,0.92,0.08,-0.01,0.03,,0.0,-0.02,,,,-0.08,-0.02,-0.01,0.04,-0.01,,0.08,-0.05,D,2020
1659,u.quansah,Xikong,0,1,1,0,Mean Wolves,25,1993,27.32,0.14,0.61,0.23,24.95,0.58,0.16,0.09,0.6,20.44,0.1,-0.05,0.02,-0.02,0.09,0.11,0.03,0.1,D,2020
1660,k.philippe,Eastern Niasland,1,0,0,0,Mean Wolves,29,1990,13.94,0.19,2.53,0.66,28.62,2.42,0.7,0.03,0.34,13.47,0.0,-0.09,-0.04,0.19,0.38,0.16,-0.11,-0.12,D,2020
1661,g.mwima,Sobianitedrucy,1,0,0,0,Mean Wolves,29,1989,26.78,0.29,2.27,0.52,23.72,2.26,0.51,0.12,0.65,12.54,-0.08,-0.03,0.03,0.35,0.2,0.05,0.05,-0.01,D,2020
1662,o.roth,Sobianitedrucy,1,0,0,0,Mean Wolves,26,1992,28.49,0.45,2.84,1.1,41.02,2.86,1.25,0.03,0.36,14.69,0.04,0.09,-0.06,0.32,0.39,0.17,-0.07,0.03,D,2020
1663,v.morel,Imaar Vircoand,1,0,1,0,Mean Wolves,23,1995,3.78,0.16,2.55,1.07,39.96,2.68,1.07,0.16,0.26,16.81,0.03,0.06,0.05,0.25,0.12,0.11,0.03,0.14,D,2020
1664,l.mumbere,Nkasland Cronestan,1,0,1,0,Mean Wolves,28,1991,2.6,0.05,1.7,0.8,49.96,1.63,0.77,0.0,0.05,14.1,0.02,-0.04,0.04,0.17,0.21,0.03,-0.18,-0.08,D,2020
1665,y.larsen,Imaar Vircoand,0,0,0,1,Mean Wolves,25,1994,38.01,0.08,0.06,-0.09,,0.04,-0.03,,,,0.0,0.07,-0.08,0.01,0.0,,0.09,0.03,D,2020
1666,h.dehghan,Central Diasongo,0,1,0,0,Mean Wolves,24,1995,24.98,0.09,1.88,0.53,28.39,1.77,0.58,0.14,0.2,21.7,0.09,0.08,-0.08,0.11,0.18,0.0,0.09,-0.06,D,2020
1667,u.nambuya,Galamily,0,1,0,0,Mean Wolves,24,1994,2.24,0.01,1.78,0.95,49.91,1.95,0.95,0.0,0.04,23.9,-0.07,0.02,-0.02,0.13,-0.04,0.01,0.0,-0.09,D,2020
1668,k.chisi,Imaar Vircoand,0,1,0,0,Mean Wolves,25,1994,31.45,0.29,2.77,0.87,35.0,2.75,0.89,0.05,0.25,21.19,0.14,-0.02,0.0,0.23,0.23,0.13,0.01,-0.04,D,2020
1669,s.ghaffari,Lefghau,0,1,0,0,Mean Wolves,24,1995,12.73,0.03,0.7,0.34,29.95,0.83,0.24,0.09,-0.09,20.31,-0.05,0.03,0.03,0.01,0.14,0.15,-0.14,-0.02,D,2020
1670,x.makina,Redohrainbri,0,1,0,0,Mean Wolves,17,2002,0.02,0.04,-0.01,-0.04,,0.02,0.08,,,,0.06,0.0,0.06,0.01,-0.01,,0.01,0.0,D,2020
1671,l.sigauke,Sobianitedrucy,0,1,0,0,Mean Wolves,22,1997,22.72,-0.09,2.37,0.32,12.67,2.49,0.34,0.01,0.07,20.36,0.23,0.06,0.1,0.22,0.22,0.02,-0.23,-0.09,D,2020
1672,t.musisi,Sobianitedrucy,0,1,0,0,Mean Wolves,18,2001,-0.06,0.02,-0.03,0.06,,0.0,0.07,,,,-0.09,-0.03,0.01,-0.07,-0.02,,-0.04,0.09,D,2020
1673,b.alhassan,Unicorporated Tiagascar,0,1,0,0,Mean Wolves,31,1988,18.32,0.03,0.91,0.37,41.27,0.89,0.35,0.04,0.04,27.21,0.01,0.01,0.02,-0.08,0.03,0.0,-0.11,0.05,D,2020
1674,n.terzi,Esia,0,0,1,0,Mighty Monkeys,21,1998,6.34,0.24,0.11,0.22,99.91,0.11,0.15,0.95,1.02,6.97,0.07,-0.07,-0.01,-0.02,-0.03,0.02,0.23,0.04,D,2020
1675,l.chiu,Lylimi,0,0,1,0,Mighty Monkeys,30,1988,13.11,-0.01,0.47,0.16,20.04,0.36,0.09,-0.06,0.02,14.88,-0.03,0.08,-0.07,0.03,0.05,0.06,0.03,0.04,D,2020
1676,d.shuaibu,Nkasland Cronestan,0,0,1,0,Mighty Monkeys,27,1992,26.75,0.0,0.68,0.06,5.97,0.6,-0.06,0.07,0.09,27.49,0.02,-0.08,-0.05,-0.06,-0.04,-0.05,0.05,0.09,D,2020
1677,w.ly,Northslands,0,0,1,0,Mighty Monkeys,26,1992,30.73,0.02,0.71,0.16,21.63,0.78,0.06,-0.08,-0.07,9.92,0.09,0.09,0.09,0.16,0.14,0.19,-0.14,-0.06,D,2020
1678,e.deluca,Sobianitedrucy,0,0,1,0,Mighty Monkeys,25,1994,11.12,0.01,0.35,0.13,25.0,0.35,0.14,0.06,0.0,11.9,0.06,-0.05,-0.08,0.02,-0.05,0.02,-0.08,0.04,D,2020
1679,j.neo,Sobianitedrucy,0,0,1,0,Mighty Monkeys,24,1994,12.67,-0.1,-0.09,0.01,,0.06,-0.02,,,,0.01,0.0,-0.04,-0.08,0.04,,0.0,0.05,D,2020
1680,l.schmid,Sobianitedrucy,0,0,1,0,Mighty Monkeys,24,1994,25.01,-0.02,0.34,-0.02,11.11,0.3,0.02,0.03,-0.01,20.63,0.05,-0.01,0.0,0.03,0.0,0.03,-0.11,0.02,D,2020
1681,m.angom,Sobianitedrucy,0,0,1,0,Mighty Monkeys,28,1990,1.92,0.09,-0.04,0.05,,-0.03,0.02,,,,0.07,-0.08,0.08,0.1,-0.07,,-0.06,0.07,D,2020
1682,q.atiku,Sobianitedrucy,0,0,1,0,Mighty Monkeys,29,1990,7.85,-0.08,0.68,0.06,16.72,0.84,0.11,-0.07,0.0,19.42,0.08,0.04,0.05,0.01,0.01,0.0,-0.13,-0.06,D,2020
1683,e.kalungi,Western Niasland,0,0,1,0,Mighty Monkeys,27,1992,7.41,0.02,0.22,0.1,0.08,0.3,-0.04,0.07,,19.33,0.0,0.01,0.09,0.04,0.0,0.01,0.04,-0.05,D,2020
1684,a.caron,Sobianitedrucy,1,0,0,0,Mighty Monkeys,23,1996,2.11,0.0,1.94,0.91,50.09,1.85,0.9,-0.03,-0.09,15.03,0.0,-0.05,0.02,0.12,0.04,0.16,-0.13,-0.18,D,2020
1685,j.nath,Sobianitedrucy,1,0,0,0,Mighty Monkeys,27,1991,22.7,0.52,3.9,1.53,40.2,3.75,1.55,0.07,0.25,20.5,0.49,0.07,0.12,0.27,0.41,-0.02,0.18,0.13,D,2020
1686,v.heikkinen,Sobianitedrucy,1,0,0,0,Mighty Monkeys,36,1983,25.25,0.41,3.75,1.16,30.19,3.79,1.17,0.05,0.17,16.39,-0.05,0.12,0.32,0.61,0.28,0.14,-0.14,-0.05,D,2020
1687,f.mugabe,Sobianitedrucy,1,1,0,0,Mighty Monkeys,22,1997,8.37,0.7,4.96,1.9,38.1,5.08,1.89,0.12,0.47,16.87,0.02,0.02,0.0,0.4,0.43,0.03,0.25,0.15,D,2020
1688,p.rabiu,Sobianitedrucy,1,1,0,0,Mighty Monkeys,26,1993,7.35,0.47,3.15,1.06,33.38,3.21,1.12,0.07,0.33,18.87,0.5,-0.06,0.09,0.33,0.21,0.11,0.06,0.12,D,2020
1689,c.hamed,Sobianitedrucy,0,0,0,1,Mighty Monkeys,22,1997,36.05,-0.04,-0.05,-0.05,,0.05,-0.09,,,,0.02,0.09,0.08,-0.03,-0.09,,-0.03,0.0,D,2020
1690,s.namuwonge,Sobianitedrucy,0,0,0,1,Mighty Monkeys,24,1995,2.0,0.04,0.01,-0.08,,0.06,-0.02,,,,0.07,0.07,0.01,-0.02,-0.08,,0.06,-0.07,D,2020
1691,c.ozolis,Danan Seekeeling,0,1,0,0,Mighty Monkeys,35,1984,1.0,0.03,1.09,0.98,100.1,1.0,0.91,-0.03,-0.08,18.61,-0.04,0.05,0.01,0.01,-0.09,-0.07,-0.04,0.02,D,2020
1692,y.atoo,Galamily,0,1,0,0,Mighty Monkeys,23,1996,23.35,0.03,1.85,0.42,21.95,1.72,0.49,0.13,0.32,18.72,-0.01,0.07,0.05,0.16,0.05,0.03,-0.06,0.07,D,2020
1693,r.nahwera,Imaar Vircoand,0,1,0,0,Mighty Monkeys,20,1999,2.09,0.06,2.0,0.45,25.04,2.08,0.47,-0.03,0.03,25.91,0.56,0.1,0.42,0.45,0.13,0.18,-0.5,-0.21,D,2020
1694,y.almutairi,Nkasland Cronestan,0,1,0,0,Mighty Monkeys,24,1995,22.46,0.2,1.46,0.38,29.08,1.35,0.42,0.12,0.35,20.22,0.08,0.02,0.02,0.15,0.05,-0.03,0.05,0.16,D,2020
1695,e.fiore,Redohrainbri,0,1,0,0,Mighty Monkeys,18,2001,0.71,1.25,1.2,1.16,99.99,1.19,1.27,0.93,1.03,27.0,-0.07,0.09,0.09,-0.02,0.01,-0.01,1.29,1.26,D,2020
1696,a.saeedi,Sobianitedrucy,0,1,0,0,Mighty Monkeys,28,1991,5.83,0.05,0.77,0.34,49.98,0.62,0.39,0.05,-0.08,24.48,-0.09,0.06,0.0,-0.06,0.06,0.09,-0.08,-0.09,D,2020
1697,y.shevchuk,Sobianitedrucy,0,1,0,0,Mighty Monkeys,18,2000,0.04,0.09,0.97,-0.01,0.03,30.08,-0.04,0.06,,20.87,0.05,0.06,0.03,0.01,-0.04,-0.05,0.04,0.0,D,2020
1698,t.ferrari,Tercapetralgrorus,0,1,0,0,Mighty Monkeys,21,1998,20.22,0.01,1.53,0.23,19.93,1.42,0.24,-0.01,0.01,21.72,0.02,-0.02,-0.01,0.03,0.13,0.11,-0.12,-0.15,D,2020
1699,o.avako,Xikong,0,1,0,0,Mighty Monkeys,30,1989,26.44,0.02,0.7,0.05,11.73,0.71,0.04,0.03,-0.05,18.27,-0.05,-0.02,-0.08,0.15,-0.02,0.11,-0.16,-0.14,D,2020
1700,i.kolar,Redohrainbri,0,1,1,0,Mighty Monkeys,23,1996,20.64,0.02,0.8,0.17,25.08,0.74,0.13,0.03,0.32,11.96,0.05,0.01,0.03,-0.03,0.12,0.08,-0.03,0.0,D,2020
1701,k.mwanje,Sobianitedrucy,0,1,1,0,Mighty Monkeys,22,1997,20.51,0.05,1.43,0.1,14.24,1.39,0.28,0.07,0.01,20.05,0.01,0.08,-0.01,0.14,0.1,0.04,-0.02,-0.04,D,2020
1702,s.lutaaya,Dosqaly,1,1,0,0,Mighty Monkeys,21,1998,5.62,0.1,2.16,0.5,25.09,2.09,0.47,0.16,0.31,20.72,0.23,-0.05,-0.08,0.07,0.19,0.02,0.04,-0.01,D,2020
1703,g.fauzi,Imaar Vircoand,1,1,0,0,Mighty Monkeys,26,1993,4.73,0.06,1.49,0.51,28.51,1.4,0.33,0.03,0.0,18.22,0.29,0.04,-0.04,0.21,0.24,0.07,-0.15,-0.34,D,2020
1704,x.kazibwe,Janmico,1,1,0,0,Mighty Monkeys,28,1990,15.45,0.46,2.29,1.04,43.3,2.4,0.99,0.15,0.29,19.11,0.24,0.17,0.19,0.33,0.17,0.2,0.14,-0.03,D,2020
1705,v.kwiatkowski,Lefghau,0,0,1,0,Punctual Fire,35,1984,11.18,-0.01,0.5,0.24,33.29,0.64,0.23,-0.09,-0.04,10.51,0.04,-0.02,-0.08,-0.05,0.12,0.08,-0.02,-0.15,D,2020
1706,z.kiirya,Lefghau,0,0,1,0,Punctual Fire,21,1998,14.85,0.06,0.2,-0.02,25.04,0.21,-0.03,0.09,-0.09,25.64,0.03,0.03,-0.09,-0.07,0.03,-0.06,-0.02,-0.02,D,2020
