,Player,Age,FW,MF,DF,GK
753,p.nahabwe,19,0,0,1,0
754,s.chided,21,0,0,1,0
755,s.lamptey,19,0,0,1,0
756,m.nagudi,25,0,0,1,0
757,l.james,22,0,0,1,0
758,s.zupan,32,1,0,0,0
759,k.sekh,20,1,0,0,0
760,e.tumukunde,23,1,1,0,0
761,l.aguilar,23,1,1,0,0
762,i.kumari,24,0,0,0,1
763,k.wee,19,0,1,0,0
764,g.kyamanywa,19,0,1,0,0
765,e.longwe,20,0,1,0,0
766,g.jesus,28,0,1,0,0
767,k.gao,24,0,1,0,0
768,b.lu,22,0,1,0,0
769,q.nikoli,19,0,1,0,0
770,e.teixeira,19,0,1,0,0
771,k.guillaume,21,1,1,0,0
772,x.durand,21,1,1,0,0
773,z.perrin,31,1,1,0,0
774,k.koppel,22,1,1,0,0
775,g.asiedu,31,0,0,1,0
776,l.hasegawa,27,0,0,1,0
777,n.agyapong,21,0,0,1,0
778,r.horvat,20,0,0,1,0
779,s.binosman,20,0,0,1,0
780,k.nakku,23,0,0,1,0
781,g.suad,27,0,0,1,0
782,i.nantale,29,0,0,1,0
783,e.nelima,28,0,0,1,0
784,j.ferri,27,0,0,1,0
785,k.balogun,22,1,0,1,0
786,y.dbrowski,29,0,1,1,0
787,k.macuacua,23,1,0,0,0
788,h.sentongo,27,1,0,0,0
789,o.cheah,27,1,0,1,0
790,b.roche,25,1,1,0,0
791,f.kyoshabire,20,1,1,0,0
792,h.pang,21,1,1,0,0
793,e.lund,24,1,1,0,0
794,o.tio,25,1,1,0,0
795,r.mkandla,27,1,1,0,0
796,o.burgos,20,0,0,0,1
797,e.liepis,31,0,0,0,1
798,g.albrecht,22,0,1,0,0
799,p.lo,25,0,1,0,0
800,q.ruzvidzo,24,0,1,0,0
801,b.apio,26,0,1,0,0
802,l.mirzaei,20,1,1,0,0
803,e.fujiwara,25,1,1,0,0
804,h.romero,22,0,0,1,0
805,a.schmidt,26,0,0,1,0
806,d.tweheyo,18,0,0,1,0
807,y.meyer,31,0,0,1,0
808,o.bosnjak,25,0,0,1,0
809,n.gumbo,18,0,0,1,0
810,o.ninsiima,24,1,0,1,0
811,s.jalali,22,0,1,1,0
812,l.fung,22,0,1,1,0
813,l.chifamba,26,0,1,1,0
814,q.mukasa,18,1,0,0,0
815,e.nankunda,22,1,0,0,0
816,f.mapfumo,19,1,0,0,0
817,l.castro,28,1,0,0,0
818,m.mubangizi,23,1,0,0,0
819,h.mubaiwa,31,1,0,0,0
820,v.smits,24,1,1,0,0
821,f.monday,29,1,1,0,0
822,z.pinto,22,1,1,0,0
823,q.permana,28,0,0,0,1
824,c.langa,19,0,1,0,0
825,f.perrin,20,0,1,0,0
826,i.brown,24,0,1,0,0
827,l.prasad,23,0,1,0,0
828,d.kemigisa,30,0,1,0,0
829,y.molnar,32,0,1,0,0
830,v.nakibuule,24,0,1,0,0
831,s.antwi,23,1,1,0,0
832,c.danquah,23,0,0,1,0
833,b.nandudu,18,0,0,1,0
834,h.chandiru,19,0,0,1,0
835,j.delemovi,24,0,0,1,0
836,b.chided,29,0,0,1,0
837,d.byogero,32,0,0,1,0
838,u.arthur,30,0,0,1,0
839,e.nakayiza,23,0,0,1,0
840,q.vuji,24,0,0,1,0
841,h.nyombi,24,0,0,1,0
842,f.got,26,1,0,0,0
843,k.bintiali,19,1,0,0,0
844,u.iskandar,23,1,0,0,0
845,j.rinaldi,22,1,0,1,0
846,y.manjate,25,1,1,0,0
847,e.desantis,22,1,1,0,0
848,k.aliyu,23,1,1,0,0
849,o.noor,33,0,0,0,1
850,f.carbone,28,0,0,0,1
851,l.mponda,22,0,1,0,0
852,m.mugeni,19,0,1,0,0
853,b.akullu,21,0,1,0,0
854,i.oryema,27,0,1,0,0
855,x.mendez,21,0,1,0,0
856,e.konig,15,1,1,0,0
857,m.azulay,21,1,1,0,0
858,t.kuok,21,1,1,0,0
859,y.peter,28,0,0,1,0
860,b.nassozi,34,0,0,1,0
861,b.pandit,19,0,0,1,0
862,k.cohen,27,0,0,1,0
863,r.dube,20,0,0,1,0
864,d.nangiro,28,0,0,1,0
865,l.popa,23,0,0,1,0
866,l.kalnis,41,0,0,1,0
867,h.afriyie,22,0,1,1,0
868,z.ebner,19,0,1,1,0
869,m.mizrahi,23,0,1,1,0
870,d.masuku,25,1,0,0,0
871,f.nyandoro,19,1,0,0,0
872,c.abaho,27,1,0,0,0
873,g.parisi,29,1,0,0,0
874,a.alotaibi,36,1,1,0,0
875,l.dahl,21,0,0,0,1
876,a.wati,20,0,0,0,1
877,f.krklis,27,0,0,0,1
878,g.ampofo,26,0,1,0,0
879,g.heydari,27,0,1,0,0
880,i.namutosi,17,0,1,0,0
881,j.opolot,27,0,1,0,0
882,j.papp,20,0,1,0,0
883,x.kamble,27,0,1,0,0
884,j.mutyaba,29,0,1,1,0
885,e.rashidi,27,1,1,0,0
886,h.isa,32,0,0,1,0
887,k.weiss,22,0,0,1,0
888,y.bano,29,0,0,1,0
889,t.maganga,23,0,0,1,0
890,m.lehmann,25,0,0,1,0
891,m.okori,18,0,0,1,0
892,s.parisi,31,0,0,1,0
893,u.heilig,30,0,0,1,0
894,u.binsalleh,29,0,0,1,0
895,e.kinoshita,27,1,0,0,0
896,e.ajwang,27,1,0,0,0
897,j.natukunda,21,1,0,0,0
898,a.munda,36,0,0,0,1
899,m.mertens,26,0,0,0,1
900,j.nakamya,23,0,1,0,0
901,m.ojo,24,0,1,0,0
902,n.kigongo,22,0,1,0,0
903,p.nieminen,32,0,1,0,0
904,p.oravec,28,0,1,0,0
905,t.kuok,21,0,1,0,0
906,t.parn,19,0,1,0,0
907,d.businge,22,0,1,0,0
908,y.kat,32,0,1,1,0
909,z.ogawa,24,1,1,0,0
910,q.yamazaki,22,1,1,0,0
911,o.musiimenta,26,1,1,0,0
912,b.waon,23,0,0,1,0
913,o.naderi,26,0,0,1,0
914,e.odeke,20,0,0,1,0
915,q.binabdrahman,19,0,0,1,0
916,u.shahar,20,0,0,1,0
917,z.akoth,20,0,0,1,0
918,z.nakiganda,24,0,0,1,0
919,p.tumwine,35,0,0,1,0
920,e.kovai,25,0,0,1,0
921,l.das,20,1,0,1,0
922,v.koller,23,1,0,1,0
923,b.kayondo,23,0,1,1,0
924,t.chua,29,1,0,0,0
925,p.khoh,21,1,0,0,0
926,b.nyamadzawo,22,1,0,1,0
927,f.fournier,23,1,0,1,0
928,x.lim,22,1,0,1,0
929,y.binabubakar,20,1,1,0,0
930,j.nakayama,20,1,1,0,0
931,i.korugyendo,22,0,0,0,1
932,c.vtols,26,0,0,0,1
933,g.kaweesa,25,0,1,0,0
934,b.mohamed,24,0,1,0,0
935,b.nalugwa,18,0,1,0,0
936,i.irumba,19,0,1,0,0
937,n.maeda,26,0,1,0,0
938,q.loeng,24,0,1,0,0
939,j.khosravi,22,1,1,0,0
940,p.li,21,1,1,0,0
941,g.mar,22,1,1,0,0
942,o.ssenabulya,19,1,1,0,0
943,f.aminu,30,0,0,1,0
944,j.wojciechowski,21,0,0,1,0
945,l.akech,22,0,0,1,0
946,l.binosman,27,0,0,1,0
947,q.becker,24,0,0,1,0
948,x.kyei,25,0,0,1,0
949,i.matsinhe,20,1,0,1,0
950,p.tse,21,1,0,0,0
951,l.lukwago,22,1,0,0,0
952,l.chandia,31,1,0,0,0
953,y.seidel,20,1,0,0,0
954,a.mwesige,22,1,0,0,0
955,y.jokinen,26,1,0,1,0
956,m.maimon,31,1,1,0,0
957,z.wati,21,1,1,0,0
958,a.serrano,26,1,1,0,0
959,c.dominguez,18,1,1,0,0
960,w.okumu,25,1,1,0,0
961,j.mercier,22,0,0,0,1
962,l.ssenyonjo,20,0,0,0,1
963,y.yanti,23,0,1,0,0
964,c.rathod,21,0,1,0,0
965,j.nakamya,23,0,1,0,0
966,l.kova,23,0,1,0,0
967,v.krisensen,30,0,1,0,0
968,x.mhango,31,0,1,0,0
969,x.tu,19,0,1,0,0
970,b.ndlovu,20,1,1,0,0
971,m.iwasaki,31,0,0,1,0
972,s.busch,32,0,0,1,0
973,p.konadu,21,0,0,1,0
974,d.okech,33,0,0,1,0
975,p.muianga,28,0,0,1,0
976,s.chemutai,23,0,0,1,0
977,q.busobozi,30,0,0,1,0
978,x.ahmad,25,0,0,1,0
979,p.ssempijja,30,0,1,1,0
980,s.magezi,27,0,1,1,0
981,b.hadzi,24,1,0,0,0
982,f.zziwa,19,1,0,0,0
983,o.pellegrini,26,1,0,0,0
984,g.chakanyuka,23,1,0,0,0
985,r.mbeiza,19,1,0,0,0
986,b.ionescu,17,1,1,0,0
987,f.kigongo,20,1,1,0,0
988,k.ozols,25,1,1,0,0
989,x.han,32,1,1,0,0
990,c.niwagaba,40,1,1,0,0
991,h.manyika,29,1,1,0,0
992,g.prasetyo,27,0,0,0,1
993,l.bbosa,25,0,0,0,1
994,a.ashaba,26,0,1,0,0
995,h.gimbo,30,0,1,0,0
996,z.sng,26,0,1,0,0
997,l.han,30,0,1,0,0
998,e.gupta,22,0,1,1,0
999,d.isabirye,21,1,1,0,0
1000,r.nimusiima,32,1,1,0,0
1001,r.dahl,17,0,0,1,0
1002,s.magezi,27,0,0,1,0
1003,w.bintiishak,30,0,0,1,0
1004,f.ashaba,22,0,0,1,0
1005,m.birabwa,25,0,0,1,0
1006,j.anguko,27,0,0,1,0
1007,q.ogwang,29,0,0,1,0
1008,s.oduro,24,0,0,1,0
1009,a.grgi,29,0,0,1,0
1010,s.armah,23,1,0,1,0
1011,z.mugeni,27,0,1,1,0
1012,h.engel,25,1,0,0,0
1013,n.khalil,27,1,0,0,0
1014,k.ozols,25,1,0,0,0
1015,f.ankrah,16,1,1,0,0
1016,y.marlina,26,1,1,0,0
1017,z.davies,28,1,1,0,0
1018,e.bah,20,1,1,0,0
1019,i.tukundane,27,1,1,0,0
1020,v.ikeda,25,1,1,0,0
1021,a.mor,34,0,0,0,1
1022,h.nakimera,29,0,0,0,1
1023,a.mugwagwa,19,0,1,0,0
1024,z.kasibante,21,0,1,0,0
1025,f.nalule,20,0,1,0,0
1026,x.aminah,23,0,1,0,0
1027,d.mortenson,26,0,1,0,0
1028,d.hsu,29,0,1,1,0
1029,q.roche,23,0,1,1,0
1030,o.kantono,28,1,1,0,0
1031,m.omony,19,1,1,0,0
1032,i.nalubwama,22,0,0,1,0
1033,r.sari,27,0,0,1,0
1034,b.polak,21,0,0,1,0
1035,m.watson,23,0,0,1,0
1036,l.khachatryan,31,0,0,1,0
1037,z.frank,25,0,0,1,0
1038,x.mulder,25,0,0,1,0
1039,l.arai,22,0,0,1,0
1040,i.khalili,21,0,1,1,0
1041,d.morales,22,1,0,0,0
1042,q.tshia,19,1,0,0,0
1043,i.peeters,27,1,0,0,0
1044,f.lemaire,28,1,0,0,0
1045,x.hofer,31,1,0,0,0
1046,s.nakabugo,21,1,0,0,0
1047,a.ngabirano,25,1,1,0,0
1048,e.kyomukama,21,0,0,0,1
1049,l.nalukenge,24,0,0,0,1
1050,m.nakaggwa,25,0,1,0,0
1051,b.atiku,29,0,1,0,0
1052,j.andersen,24,0,1,0,0
1053,a.omara,29,0,1,0,0
1054,k.sah,19,0,1,0,0
1055,v.athieno,23,0,1,1,0
1056,y.jain,23,1,1,0,0
1057,l.kovalenko,24,0,0,1,0
1058,f.mugide,25,0,0,1,0
1059,k.nyakudya,23,0,0,1,0
1060,k.ohayon,30,0,0,1,0
1061,y.takeuchi,28,0,0,1,0
1062,z.donkor,20,0,0,1,0
1063,e.pour,26,0,0,1,0
1064,p.ategeka,20,0,0,1,0
1065,c.rodriguez,30,0,1,1,0
1066,u.musa,27,1,0,0,0
1067,i.nagadya,26,1,0,0,0
1068,j.adam,29,1,0,1,0
1069,a.namubiru,20,1,1,0,0
1070,l.ndoro,16,1,1,0,0
1071,w.ainomugisha,21,1,1,0,0
1072,m.krlievi,29,0,0,0,1
1073,k.ntale,26,0,1,0,0
1074,l.abbasi,31,0,1,0,0
1075,o.ortega,20,0,1,0,0
1076,e.mtetwa,24,0,1,0,0
1077,y.thin,30,0,1,0,0
1078,d.safitri,22,0,1,1,0
1079,h.alobo,20,1,1,0,0
1080,m.nyirongo,19,1,1,0,0
1081,a.dickson,25,0,0,1,0
1082,c.denis,29,0,0,1,0
1083,h.morgan,19,0,0,1,0
1084,e.nabaasa,26,0,0,1,0
1085,c.msukwa,24,0,0,1,0
1086,h.arthur,22,0,0,1,0
1087,p.naiga,33,0,0,1,0
1088,k.eyotaru,21,1,0,0,0
1089,u.nhantumbo,26,1,0,0,0
1090,u.ojiambo,20,1,0,0,0
1091,m.li,31,1,0,0,0
1092,e.tumuhimbise,28,1,1,0,0
1093,m.mathieu,22,1,1,0,0
1094,r.yiga,30,0,0,0,1
1095,p.kondowe,21,0,1,0,0
1096,a.mumpande,28,0,1,0,0
1097,m.chan,22,0,1,0,0
1098,m.yanti,21,0,1,0,0
1099,n.sason,34,0,1,0,0
1100,a.afful,20,0,1,0,0
1101,a.malkah,29,0,1,1,0
1102,o.obeng,22,0,1,1,0
1103,z.nyiramahoro,31,0,1,1,0
1104,c.khalil,27,1,1,0,0
1105,n.nalule,30,1,1,0,0
1106,g.wahab,29,0,0,1,0
1107,e.maluwa,26,0,0,1,0
1108,j.nakyanzi,25,0,0,1,0
1109,n.ofosu,26,0,0,1,0
1110,x.mkandawire,19,0,0,1,0
1111,z.binzakaria,28,0,0,1,0
1112,n.barukh,23,0,0,1,0
1113,k.okoro,20,0,1,1,0
1114,z.quekkwik,23,0,1,1,0
1115,f.kanyago,23,1,1,0,0
1116,n.nwachukwu,30,1,1,0,0
1117,p.ma,25,1,1,0,0
1118,l.namuyanja,26,0,0,0,1
1119,c.opira,20,0,0,0,1
1120,e.kaddu,27,0,0,0,1
1121,e.oh,20,0,1,0,0
1122,g.moulin,19,0,1,0,0
1123,n.tugumisirize,29,0,1,0,0
1124,x.guerrero,31,0,1,0,0
1125,g.poulsen,29,0,1,0,0
1126,k.opiyo,32,0,1,1,0
1127,j.schmitz,24,1,1,0,0
1128,q.alhassan,25,1,1,0,0
1129,l.wasswa,25,1,1,0,0
1130,g.acheampong,22,1,1,0,0
1131,d.mortenson,26,1,1,0,0
1132,q.tushabe,28,0,0,1,0
1133,d.domingos,23,0,0,1,0
1134,k.takada,25,0,0,1,0
1135,q.fathi,21,0,0,1,0
1136,c.ndiweni,31,0,0,1,0
1137,g.nansamba,23,0,0,1,0
1138,i.sinani,22,0,0,1,0
1139,a.fujihara,35,0,0,1,0
1140,k.yap,28,0,1,1,0
1141,p.acan,22,0,1,1,0
1142,n.nowak,30,1,0,0,0
1143,r.acheampong,30,1,0,0,0
1144,h.nuraeni,22,1,0,0,0
1145,b.alali,28,1,1,0,0
1146,j.wibowo,28,1,1,0,0
1147,a.lekuru,21,1,1,0,0
1148,g.odoch,20,1,1,0,0
1149,a.ortega,21,1,1,0,0
1150,b.fernandez,32,0,0,0,1
1151,n.namirembe,26,0,0,0,1
1152,b.onzima,35,0,1,0,0
1153,q.maphosa,25,0,1,0,0
1154,u.he,29,0,1,0,0
1155,b.zee,24,0,1,0,0
1156,q.okurut,20,0,1,0,0
1157,u.colin,22,1,1,0,0
1158,v.supriadi,21,1,1,0,0
1159,z.matsui,25,1,1,0,0
1160,k.molina,24,0,0,1,0
1161,m.odong,22,0,0,1,0
1162,q.zimba,28,0,0,1,0
1163,w.montanari,23,0,0,1,0
1164,x.kavis,33,0,0,1,0
1165,x.kawooya,32,0,0,1,0
1166,k.kafuko,32,0,0,1,0
1167,t.namara,30,0,0,1,0
1168,c.vandenberg,21,1,0,1,0
1169,a.montanari,28,1,0,0,0
1170,g.bey,28,1,0,0,0
1171,e.samson,28,1,1,0,0
1172,n.aber,22,1,1,0,0
1173,j.munduru,27,1,1,0,0
1174,h.dayan,21,0,0,0,1
1175,e.mapuranga,31,0,0,0,1
1176,a.popovi,24,0,1,0,0
1177,t.byakatonda,30,0,1,0,0
1178,v.cherop,33,0,1,0,0
1179,x.wasswa,24,0,1,0,0
1180,z.sow,28,0,1,0,0
1181,k.ssenyondo,27,1,1,0,0
1182,p.anderson,23,1,1,0,0
1183,q.patil,26,1,1,0,0
1184,m.kiiza,23,1,1,0,0
1185,f.sun,24,1,1,0,0
1186,i.nakityo,20,0,0,1,0
1187,k.shumba,30,0,0,1,0
1188,u.selima,26,0,0,1,0
1189,r.sanz,25,0,0,1,0
1190,d.nabbosa,34,0,0,1,0
1191,q.yadav,24,0,0,1,0
1192,o.mapfumo,20,1,0,1,0
1193,s.kisakye,31,1,0,1,0
1194,x.pavlovi,19,1,0,1,0
1195,g.jumbe,20,0,1,1,0
1196,v.kayira,27,1,0,0,0
1197,q.hamalainen,25,1,0,0,0
1198,f.yan,19,1,0,0,0
1199,e.bah,20,1,1,0,0
1200,l.malinga,19,1,1,0,0
1201,i.permana,26,1,1,0,0
1202,f.nabunya,28,0,0,0,1
1203,m.zhou,31,0,0,0,1
1204,j.nabadda,19,0,1,0,0
1205,l.adri,23,0,1,0,0
1206,o.lakot,27,0,1,0,0
1207,i.reilly,30,0,1,0,0
1208,r.amadu,23,0,1,1,0
1209,z.braun,25,0,1,1,0
1210,a.yusuf,30,1,1,0,0
1211,b.nakiyemba,23,1,1,0,0
1212,q.sithole,16,1,1,0,0
1213,r.sari,27,0,0,1,0
1214,t.dietrich,26,0,0,1,0
1215,n.nanziri,27,0,0,1,0
1216,p.be,20,0,0,1,0
1217,a.nantege,24,0,0,1,0
1218,n.suryani,24,0,0,1,0
1219,g.gaby,26,0,0,1,0
1220,f.mawa,21,0,0,1,0
1221,w.okeke,24,0,0,1,0
1222,m.nakkazi,26,0,0,1,0
1223,e.lam,26,1,0,0,0
1224,c.wee,28,1,0,0,0
1225,c.chow,20,1,1,0,0
1226,d.wahyudi,26,1,1,0,0
1227,s.achen,31,0,0,0,1
1228,l.msowoya,27,0,0,0,1
1229,i.muchenje,20,0,1,0,0
1230,g.foong,25,0,1,0,0
1231,i.lew,25,0,1,0,0
1232,k.lawino,21,0,1,0,0
1233,p.takahashi,28,0,1,1,0
1234,o.lombardi,20,1,1,0,0
1235,i.kyakimwa,25,1,1,0,0
1236,f.blanco,21,1,1,0,0
1237,q.addo,27,1,1,0,0
1238,z.uy,28,1,1,0,0
1239,g.onencan,24,0,0,1,0
1240,d.steiner,24,0,0,1,0
1241,g.golob,22,0,0,1,0
1242,m.dufour,29,0,0,1,0
1243,n.kiss,18,0,0,1,0
1244,u.masarweh,28,0,0,1,0
1245,x.asiku,28,0,0,1,0
1246,e.byekwaso,22,0,0,1,0
1247,a.soltani,20,0,0,1,0
1248,h.jaber,19,1,0,0,0
1249,h.nagy,26,1,0,0,0
1250,a.blanchard,19,1,0,1,0
1251,u.rees,31,1,1,0,0
1252,c.ntale,26,1,1,0,0
1253,i.dehghani,31,1,1,0,0
1254,m.almalki,17,1,1,0,0
1255,x.lunyolo,17,1,1,0,0
1256,c.mari,26,1,1,0,0
1257,i.bitton,26,0,0,0,1
1258,g.moradi,21,0,1,0,0
1259,u.tweheyo,29,0,1,0,0
1260,r.kirya,24,0,1,0,0
1261,v.kiggundu,25,0,1,0,0
1262,f.dutta,24,0,1,0,0
1263,e.nambafu,29,0,1,1,0
1264,c.richard,27,1,1,0,0
1265,h.musiime,29,1,1,0,0
1266,m.ebong,27,1,1,0,0
1267,v.okongo,29,1,1,0,0
1268,i.nakato,28,0,0,1,0
1269,m.lunkuse,19,0,0,1,0
1270,x.phiri,28,0,0,1,0
1271,s.kyobutungi,17,0,0,1,0
1272,x.kurnia,30,0,0,1,0
1273,s.phillips,19,0,0,1,0
1274,a.berisha,22,0,0,1,0
1275,i.ozturk,26,0,0,1,0
1276,i.ssentongo,19,0,0,1,0
1277,y.iwasaki,22,0,1,1,0
1278,m.piotrowski,21,1,0,0,0
1279,m.ssemwanga,30,1,0,0,0
1280,z.matsui,25,1,0,0,0
1281,f.quansah,24,1,0,0,0
1282,m.colombo,18,1,1,0,0
1283,m.ebong,27,1,1,0,0
1284,l.jung,19,1,1,0,0
1285,s.feldman,22,0,0,0,1
1286,w.meiyr,21,0,0,0,1
1287,e.orishaba,22,0,1,0,0
1288,g.waswa,22,0,1,0,0
1289,q.demir,18,0,1,0,0
1290,x.seidu,25,0,1,0,0
1291,g.antonio,26,0,1,0,0
1292,k.ntege,20,0,1,1,0
1293,j.muianga,22,1,1,0,0
1294,l.kaur,20,1,1,0,0
1295,a.guo,18,1,1,0,0
1296,m.kakaire,31,1,1,0,0
1297,u.kyoshabire,18,0,0,1,0
1298,b.klemeni,23,0,0,1,0
1299,b.mangwiro,23,0,0,1,0
1300,l.mitchell,23,0,0,1,0
1301,v.inoue,27,0,0,1,0
1302,n.quinn,23,0,0,1,0
1303,z.nassolo,30,0,0,1,0
1304,m.schwartz,19,0,0,1,0
1305,k.yousef,18,1,0,1,0
1306,d.mirembe,30,0,1,1,0
1307,j.desmet,18,1,0,0,0
1308,i.vandijkvandyk,25,1,0,0,0
1309,s.ylmaz,30,1,0,0,0
1310,b.mpofu,18,1,1,0,0
1311,m.sakai,23,1,1,0,0
1312,i.low,20,1,1,0,0
1313,y.nartey,24,1,1,0,0
1314,r.kato,30,1,1,0,0
1315,a.lucas,30,0,0,0,1
1316,b.harahap,33,0,0,0,1
1317,u.oola,24,0,1,0,0
1318,j.halvorsen,16,0,1,0,0
1319,t.astuti,24,0,1,0,0
1320,x.durand,21,0,1,0,0
1321,i.aidoo,28,0,1,0,0
1322,g.nisha,24,0,1,1,0
1323,w.damico,19,1,1,0,0
1324,o.nairuba,29,1,1,0,0
1325,g.ochwo,27,1,1,0,0
1326,o.kyomukama,19,0,0,1,0
1327,f.mutandwa,27,0,0,1,0
1328,w.longwe,26,0,0,1,0
1329,k.marufu,33,0,0,1,0
1330,s.nadunga,27,0,0,1,0
1331,f.asare,23,0,0,1,0
1332,r.magaya,26,0,1,1,0
1333,h.marroquin,30,0,1,1,0
1334,d.amongi,35,0,1,1,0
1335,j.namale,26,0,1,1,0
1336,y.romano,29,0,1,1,0
1337,u.duval,30,1,0,0,0
1338,k.nasution,23,1,0,0,0
1339,u.den,24,1,0,0,0
1340,g.muleya,25,1,0,0,0
1341,j.matsui,19,1,0,0,0
1342,t.obong,29,0,0,0,1
1343,y.hahn,29,0,0,0,1
1344,u.ndagire,26,0,0,0,1
1345,f.nakimuli,25,0,1,0,0
1346,i.kyalisiima,28,0,1,0,0
1347,f.schmitt,32,0,1,0,0
1348,q.ow,22,0,1,0,0
1349,c.taban,31,1,1,0,0
1350,c.asadi,22,1,1,0,0
1351,m.muhindo,25,1,1,0,0
1352,b.jalali,24,1,1,0,0
1353,y.turyahabwe,24,0,0,1,0
1354,a.aceng,23,0,0,1,0
1355,c.namugga,21,0,0,1,0
1356,h.weber,27,0,0,1,0
1357,o.sanchez,24,0,0,1,0
1358,a.alghamdi,32,0,0,1,0
1359,l.oroma,28,0,0,1,0
1360,z.moller,28,1,0,1,0
1361,j.okullo,22,1,0,1,0
1362,p.nyondo,18,1,0,0,0
1363,b.acio,23,1,0,0,0
1364,b.hadzi,24,1,0,0,0
1365,t.sarkar,34,1,0,0,0
1366,f.kinnunen,33,1,1,0,0
1367,a.mwesigwa,24,1,1,0,0
1368,b.razaee,29,1,1,0,0
1369,i.ly,19,1,1,0,0
1370,z.mayr,20,1,1,0,0
1371,q.virtanen,24,1,1,0,0
1372,h.driscoll,21,1,1,0,0
1373,b.shimada,31,0,0,0,1
1374,c.nakajima,20,0,0,0,1
1375,p.wan,34,0,0,0,1
1376,g.kaya,20,0,1,0,0
1377,u.colin,22,0,1,0,0
1378,l.rahimi,28,0,1,0,0
1379,g.obrien,22,0,1,0,0
1380,c.nambooze,32,0,1,0,0
1381,b.muhanguzi,23,0,1,0,0
1382,u.tkachenko,21,1,1,0,0
1383,x.namuyanja,17,1,1,0,0
1384,v.namayanja,24,1,1,0,0
1385,i.bintiomar,18,0,0,1,0
1386,a.chelimo,20,0,0,1,0
1387,w.aubert,20,0,0,1,0
1388,t.hermawan,23,0,0,1,0
1389,u.adjei,27,0,0,1,0
1390,h.marroquin,30,0,0,1,0
1391,s.onencan,21,0,0,1,0
1392,h.yong,26,0,0,1,0
1393,e.hor,22,0,0,1,0
1394,y.thungu,21,0,0,1,0
1395,q.gunther,23,1,0,0,0
1396,x.natamba,17,1,0,0,0
1397,k.jakobsson,23,1,0,0,0
1398,x.james,25,1,0,0,0
1399,m.bonnet,20,1,1,0,0
1400,z.mayr,20,1,1,0,0
1401,e.tushemereirwe,29,0,0,0,1
1402,a.bagonza,25,0,0,0,1
1403,a.mucunguzi,27,0,1,0,0
1404,i.thungu,18,0,1,0,0
1405,r.zamani,22,0,1,0,0
1406,i.diallo,21,0,1,0,0
1407,c.fuentes,28,0,1,0,0
1408,w.zarei,20,0,1,1,0
1409,z.eshun,21,1,1,0,0
1410,w.isah,25,1,1,0,0
1411,j.pedro,21,1,1,0,0
1412,l.barman,21,1,1,0,0
1413,p.uddin,27,1,1,0,0
1414,x.tambala,30,0,0,1,0
1415,f.racz,37,0,0,1,0
1416,e.manhica,27,0,0,1,0
1417,i.janssens,32,0,0,1,0
1418,j.otoo,21,0,0,1,0
1419,m.angom,28,0,0,1,0
1420,w.ongom,29,0,0,1,0
1421,s.owor,29,0,0,1,0
1422,u.molla,32,1,0,0,0
1423,n.katusabe,26,1,0,0,0
1424,n.magombo,26,1,0,0,0
1425,n.twesigye,27,1,0,0,0
1426,g.lubis,21,1,1,0,0
1427,c.go,31,1,1,0,0
1428,p.rabiu,26,1,1,0,0
1429,u.taaka,19,1,1,0,0
1430,l.foo,28,0,0,0,1
1431,x.dahan,28,0,0,0,1
1432,y.apolot,26,0,1,0,0
1433,m.graham,25,0,1,0,0
1434,i.teoh,31,0,1,0,0
1435,k.binabubakar,24,0,1,0,0
1436,s.moradi,31,0,1,0,0
1437,b.namazzi,32,1,1,0,0
1438,z.buyinza,30,1,1,0,0
1439,f.masango,27,0,0,1,0
1440,g.ribeiro,26,0,0,1,0
1441,l.zuki,21,0,0,1,0
1442,a.mitrovi,17,0,0,1,0
1443,a.ninsiima,34,0,0,1,0
1444,e.nilsson,23,0,0,1,0
1445,e.ow,25,0,0,1,0
1446,f.rodrigues,28,0,0,1,0
1447,h.arab,30,0,0,1,0
1448,i.nuwamanya,31,0,0,1,0
1449,r.amule,30,0,0,1,0
1450,t.levy,29,0,0,1,0
1451,r.paris,20,0,1,1,0
1452,t.nasirumbi,26,1,0,0,0
1453,i.shoshan,29,1,0,0,0
1454,a.makore,28,1,0,0,0
1455,a.kyarikunda,29,1,1,0,0
1456,m.mangena,27,1,1,0,0
1457,j.ashknaziy,26,0,0,0,1
1458,g.nakandi,29,0,0,0,1
1459,u.nambuya,24,0,1,0,0
1460,l.morin,28,0,1,0,0
1461,l.nakuya,26,0,1,0,0
1462,o.fekete,27,0,1,0,0
1463,h.kisembo,24,0,1,0,0
1464,h.valentini,23,0,1,0,0
1465,r.kwakye,29,0,1,0,0
1466,t.nasution,28,1,1,0,0
1467,b.nakandi,27,1,1,0,0
1468,k.driciru,30,1,1,0,0
1469,e.potonik,28,0,0,1,0
1470,x.boyko,28,0,0,1,0
1471,z.chavula,28,0,0,1,0
1472,x.williams,25,0,0,1,0
1473,l.schubert,28,0,0,1,0
1474,h.zare,28,0,0,1,0
1475,i.gashi,27,0,0,1,0
1476,m.ayebazibwe,25,0,0,1,0
1477,s.ningsih,22,0,0,1,0
1478,j.saidu,34,1,0,0,0
1479,f.nyakaisiki,25,1,0,0,0
1480,f.akwero,25,1,0,0,0
1481,k.clark,32,1,0,0,0
1482,c.mugabirwe,25,1,1,0,0
1483,h.kirabira,24,1,1,0,0
1484,r.namande,32,1,1,0,0
