,Player,Nation,FW,MF,DF,GK,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Performance PK,Performance PKatt,League,Year,Standard FK,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
458,r.tembo,Highhlaands,0,0,1,0,29,1992,2.02,0.05,0.57,0.51,99.94,0.59,0.43,0.01,0.0,,0.07,-0.03,Tournament,2020,,,,,,
459,s.nassali,Highhlaands,0,1,1,0,30,1991,2.46,-0.02,0.08,-0.06,,-0.03,0.02,,,,0.02,0.09,Tournament,2020,,,,,,
460,b.kintu,Highhlaands,1,0,0,0,30,1991,2.07,0.54,2.99,0.51,16.71,3.07,0.49,0.17,0.92,,-0.08,-0.06,Tournament,2020,,,,,,
461,m.komugisha,Highhlaands,1,0,0,0,34,1987,0.74,0.07,-0.05,-0.02,,0.07,-0.09,,,,0.04,-0.06,Tournament,2020,,,,,,
462,m.salisu,Highhlaands,1,0,0,0,22,1998,0.22,0.05,-0.1,0.04,,0.01,-0.05,,,,-0.08,0.02,Tournament,2020,,,,,,
463,w.schulze,Highhlaands,1,0,0,0,29,1992,3.7,-0.04,0.6,0.51,100.0,0.46,0.6,-0.02,-0.09,,0.05,0.08,Tournament,2020,,,,,,
464,q.bintiismail,Highhlaands,1,1,0,0,31,1990,2.63,0.42,2.22,1.54,66.6,2.22,1.52,0.14,0.34,,0.05,0.06,Tournament,2020,,,,,,
465,d.adokorach,Highhlaands,0,0,0,1,33,1988,0.97,-0.09,-0.05,0.03,,0.02,0.07,,,,-0.08,0.07,Tournament,2020,,,,,,
466,w.akena,Highhlaands,0,0,0,1,37,1984,2.0,0.06,-0.08,0.08,,-0.1,-0.04,,,,-0.02,0.03,Tournament,2020,,,,,,
467,y.tsua,Highhlaands,0,0,0,1,25,1996,3.07,-0.08,0.08,-0.05,,0.01,0.06,,,,0.09,0.04,Tournament,2020,,,,,,
468,a.aber,Highhlaands,0,1,0,0,27,1994,0.69,-0.01,-0.07,0.06,,-0.02,0.0,,,,0.03,0.07,Tournament,2020,,,,,,
469,c.vang,Highhlaands,0,1,0,0,25,1996,1.8,0.54,0.58,0.59,99.99,0.64,0.51,1.04,1.07,,-0.03,-0.09,Tournament,2020,,,,,,
470,k.nguyen,Highhlaands,0,1,0,0,28,1993,2.47,-0.06,0.39,0.02,0.02,0.32,0.09,-0.07,,,-0.02,0.06,Tournament,2020,,,,,,
471,l.arnaud,Highhlaands,0,1,0,0,36,1985,2.96,-0.02,0.68,0.08,-0.04,0.77,-0.03,0.09,,,-0.01,0.06,Tournament,2020,,,,,,
472,o.yamaguchi,Highhlaands,0,1,0,0,31,1990,2.28,0.05,0.9,-0.02,-0.09,0.87,0.07,0.09,,,-0.04,0.03,Tournament,2020,,,,,,
473,o.yeung,Highhlaands,0,1,0,0,27,1994,0.94,-0.02,0.02,0.06,,-0.05,-0.08,,,,-0.08,-0.06,Tournament,2020,,,,,,
474,r.nassaka,Highhlaands,0,1,0,0,24,1997,2.09,0.09,0.86,0.43,49.97,0.88,0.51,0.03,-0.05,,-0.02,0.06,Tournament,2020,,,,,,
475,s.tino,Highhlaands,0,1,0,0,20,2001,0.13,-0.1,-0.09,0.04,,-0.08,0.09,,,,0.02,-0.06,Tournament,2020,,,,,,
476,z.atala,Highhlaands,0,1,0,0,21,1999,1.82,0.1,0.45,0.05,-0.07,0.56,-0.01,-0.05,,,0.03,0.03,Tournament,2020,,,,,,
477,b.marino,Highhlaands,0,1,1,0,33,1988,3.47,-0.02,-0.09,-0.07,,0.06,0.08,,,,-0.03,0.07,Tournament,2020,,,,,,
478,g.olanya,Highhlaands,0,1,1,0,30,1991,2.61,-0.1,0.68,0.0,-0.06,0.72,-0.02,-0.04,,,-0.1,-0.08,Tournament,2020,,,,,,
479,l.kidega,Highhlaands,0,1,1,0,30,1991,5.12,-0.05,0.4,0.25,49.98,0.48,0.18,0.08,0.04,,-0.09,-0.04,Tournament,2020,,,,,,
480,p.ferri,Highhlaands,0,1,1,0,23,1998,2.8,-0.06,-0.03,-0.05,,0.01,0.03,,,,0.04,-0.06,Tournament,2020,,,,,,
481,a.matama,Highhlaands,1,1,0,0,26,1995,5.39,0.22,0.57,0.15,33.29,0.53,0.19,0.23,1.04,,0.03,0.09,Tournament,2020,,,,,,
482,a.lewandowski,Humberstonia,0,0,1,0,35,1986,4.09,0.25,0.56,0.28,50.02,0.44,0.17,0.47,1.1,,0.06,-0.02,Tournament,2020,,,,,,
483,b.chakanyuka,Humberstonia,0,0,1,0,34,1987,3.0,-0.03,-0.07,0.01,,0.02,-0.06,,,,-0.05,-0.01,Tournament,2020,,,,,,
484,c.oryem,Humberstonia,0,0,1,0,30,1991,2.96,0.02,-0.06,0.0,,0.02,-0.06,,,,-0.07,-0.05,Tournament,2020,,,,,,
485,h.kayaga,Humberstonia,0,0,1,0,31,1989,3.09,0.02,0.71,0.06,0.04,0.68,-0.08,0.09,,,0.06,-0.02,Tournament,2020,,,,,,
486,h.nabaasa,Humberstonia,0,0,1,0,24,1997,2.26,0.01,0.53,0.1,-0.07,0.41,0.01,0.03,,,-0.07,-0.05,Tournament,2020,,,,,,
487,i.nsubuga,Humberstonia,0,0,1,0,26,1994,3.11,-0.06,0.61,0.6,99.94,0.62,0.6,0.06,0.04,,0.01,-0.02,Tournament,2020,,,,,,
488,s.kaya,Humberstonia,0,0,1,0,35,1986,3.52,0.3,0.93,0.52,66.79,0.83,0.5,0.34,0.52,,0.08,-0.07,Tournament,2020,,,,,,
489,k.carvalho,Humberstonia,0,1,1,0,34,1987,1.29,-0.05,0.83,0.9,100.06,0.75,0.78,0.02,0.08,,0.05,-0.07,Tournament,2020,,,,,,
490,b.makela,Humberstonia,1,0,0,0,33,1988,1.97,-0.09,1.52,0.55,33.31,1.57,0.52,-0.03,-0.07,,0.01,-0.06,Tournament,2020,,,,,,
491,l.lor,Humberstonia,1,0,0,0,25,1996,0.43,0.01,0.06,0.04,,0.09,-0.06,,,,-0.03,-0.1,Tournament,2020,,,,,,
492,m.garnier,Humberstonia,1,0,0,0,30,1991,0.52,-0.01,1.96,-0.01,0.0,1.78,0.03,-0.03,,,-0.04,0.08,Tournament,2020,,,,,,
493,m.kralj,Humberstonia,1,0,0,0,31,1989,4.2,0.3,2.11,0.66,33.36,2.02,0.77,0.09,0.31,,-0.02,-0.07,Tournament,2020,,,,,,
494,n.kwikiriza,Humberstonia,1,0,0,0,24,1997,0.28,-0.08,-0.05,-0.03,,-0.06,0.09,,,,-0.01,0.02,Tournament,2020,,,,,,
495,o.anwar,Humberstonia,1,0,0,0,24,1997,0.58,-0.03,1.74,-0.09,-0.02,1.6,0.02,0.08,,,-0.02,-0.02,Tournament,2020,,,,,,
496,u.muhammad,Humberstonia,1,0,0,0,23,1998,0.41,0.04,-0.03,-0.03,,0.01,0.09,,,,-0.05,0.1,Tournament,2020,,,,,,
497,x.brzis,Humberstonia,1,0,0,0,23,1998,4.12,0.53,2.35,1.02,40.06,2.48,1.05,0.11,0.22,,0.21,0.19,Tournament,2020,,,,,,
498,g.kavalio,Humberstonia,0,0,0,1,33,1988,3.09,0.02,-0.05,0.1,,0.0,-0.07,,,,-0.02,0.03,Tournament,2020,,,,,,
499,n.golubovi,Humberstonia,0,0,0,1,32,1989,3.01,-0.05,-0.02,0.07,,-0.06,0.01,,,,0.04,0.09,Tournament,2020,,,,,,
500,b.hosseini,Humberstonia,0,1,0,0,22,1999,3.82,0.47,0.97,0.72,74.96,0.97,0.84,0.57,0.76,,0.0,-0.05,Tournament,2020,,,,,,
501,c.mpirirwe,Humberstonia,0,1,0,0,23,1998,0.67,0.08,2.85,-0.03,0.02,3.03,0.09,-0.07,,,-0.09,-0.04,Tournament,2020,,,,,,
502,e.yakovenko,Humberstonia,0,1,0,0,33,1988,1.89,0.07,0.45,-0.08,-0.05,0.59,0.1,0.01,,,-0.04,0.01,Tournament,2020,,,,,,
503,g.tenywa,Humberstonia,0,1,0,0,33,1988,2.72,0.05,0.67,0.41,50.06,0.81,0.41,0.04,-0.05,,0.07,-0.09,Tournament,2020,,,,,,
504,h.ssemakula,Humberstonia,0,1,0,0,36,1985,5.57,0.05,0.41,0.05,-0.07,0.29,0.09,-0.03,,,-0.03,-0.09,Tournament,2020,,,,,,
505,k.nandudu,Humberstonia,0,1,0,0,26,1995,4.59,0.52,1.92,0.84,44.38,1.88,0.9,0.21,0.44,,-0.08,-0.08,Tournament,2020,,,,,,
506,s.mhamid,Humberstonia,0,1,0,0,31,1990,0.96,-0.02,1.13,-0.06,0.06,1.06,-0.03,-0.08,,,0.02,0.1,Tournament,2020,,,,,,
507,x.garba,Humberstonia,0,1,0,0,29,1992,0.45,-0.04,0.08,-0.04,,-0.08,0.07,,,,0.1,-0.06,Tournament,2020,,,,,,
508,h.desantis,Humberstonia,0,1,1,0,24,1997,3.84,0.18,0.46,0.25,50.06,0.56,0.24,0.59,1.07,,-0.03,0.01,Tournament,2020,,,,,,
509,a.idris,Ili Siaco,0,0,1,0,30,1991,1.92,-0.04,0.04,0.0,,-0.04,-0.09,,,,0.05,-0.01,Tournament,2020,,,,,,
510,b.it,Ili Siaco,0,0,1,0,24,1997,0.08,-0.04,-0.09,0.05,,-0.08,-0.07,,,,0.08,-0.04,Tournament,2020,,,,,,
511,f.silva,Ili Siaco,0,0,1,0,32,1989,4.08,0.24,0.46,0.45,100.06,0.53,0.45,0.43,0.47,,0.09,0.07,Tournament,2020,,,,,,
512,k.kakooza,Ili Siaco,0,0,1,0,27,1994,4.95,-0.03,0.59,0.22,33.36,0.68,0.15,0.04,-0.03,,-0.1,-0.08,Tournament,2020,,,,,,
513,m.grigoryan,Ili Siaco,0,0,1,0,24,1997,2.81,-0.02,0.39,0.09,0.08,0.3,-0.1,-0.06,,,-0.09,-0.04,Tournament,2020,,,,,,
514,m.santos,Ili Siaco,0,0,1,0,29,1992,3.2,-0.04,0.09,-0.03,,0.02,0.09,,,,0.02,-0.05,Tournament,2020,,,,,,
515,n.zaris,Ili Siaco,0,0,1,0,27,1994,0.54,1.6,3.3,1.76,49.97,3.39,1.66,0.5,1.0,,0.07,0.06,Tournament,2020,,,,,,
516,p.dubois,Ili Siaco,0,0,1,0,30,1991,6.08,0.06,0.1,-0.07,0.07,0.13,-0.03,-0.09,,,0.04,-0.06,Tournament,2020,,,,,,
517,x.katsande,Ili Siaco,0,0,1,0,24,1997,0.16,0.07,-0.05,0.03,,-0.01,0.07,,,,-0.05,0.09,Tournament,2020,,,,,,
518,l.natuhwera,Ili Siaco,1,0,0,0,34,1987,1.54,0.76,1.41,0.57,50.09,1.22,0.62,0.43,1.04,,-0.01,0.09,Tournament,2020,,,,,,
519,n.pedro,Ili Siaco,1,0,0,0,28,1993,0.01,0.07,0.01,0.02,,-0.09,-0.01,,,,-0.03,0.01,Tournament,2020,,,,,,
520,u.nakitende,Ili Siaco,1,0,0,0,31,1990,5.6,0.69,1.92,1.41,72.68,1.92,1.43,0.32,0.59,,0.08,-0.07,Tournament,2020,,,,,,
521,x.koranteng,Ili Siaco,1,0,0,0,26,1995,0.82,-0.09,2.29,1.1,50.03,2.31,1.07,-0.04,0.09,,0.01,-0.04,Tournament,2020,,,,,,
522,r.lestari,Ili Siaco,1,1,0,0,24,1997,3.39,0.03,1.67,0.65,33.39,1.85,0.5,0.09,-0.04,,-0.09,-0.03,Tournament,2020,,,,,,
523,u.katushabe,Ili Siaco,1,1,0,0,30,1991,0.71,0.0,2.91,1.43,49.97,2.98,1.54,0.02,-0.05,,0.09,-0.06,Tournament,2020,,,,,,
524,f.musiimenta,Ili Siaco,0,0,0,1,35,1986,1.09,0.04,0.09,-0.08,,0.04,0.08,,,,-0.06,-0.04,Tournament,2020,,,,,,
525,h.odyek,Ili Siaco,0,0,0,1,29,1992,4.93,-0.04,0.1,-0.04,,-0.04,0.05,,,,-0.07,-0.07,Tournament,2020,,,,,,
526,f.oluka,Ili Siaco,0,1,0,0,35,1986,5.6,-0.07,0.82,0.08,0.09,0.7,0.08,-0.08,,,-0.04,0.08,Tournament,2020,,,,,,
527,k.luka,Ili Siaco,0,1,0,0,25,1995,4.03,0.32,2.28,1.13,55.69,2.12,1.15,0.14,0.18,,0.05,-0.07,Tournament,2020,,,,,,
528,o.nassanga,Ili Siaco,0,1,0,0,29,1992,4.91,-0.07,0.95,0.58,59.98,1.11,0.66,-0.08,0.1,,0.01,0.15,Tournament,2020,,,,,,
529,r.kond,Ili Siaco,0,1,0,0,25,1996,0.3,0.08,3.3,3.32,100.05,3.53,3.5,-0.07,-0.03,,-0.03,-0.03,Tournament,2020,,,,,,
530,s.mugumya,Ili Siaco,0,1,0,0,23,1998,0.02,-0.04,-0.04,-0.05,,-0.06,0.03,,,,0.04,0.08,Tournament,2020,,,,,,
531,t.ishida,Ili Siaco,0,1,0,0,31,1989,1.04,-0.01,0.95,-0.02,0.07,1.02,0.04,-0.01,,,0.09,-0.09,Tournament,2020,,,,,,
532,r.tsuka,Ili Siaco,0,1,1,0,26,1995,2.88,0.37,0.98,0.43,33.33,1.12,0.32,0.36,1.09,,0.1,0.0,Tournament,2020,,,,,,
533,y.pavi,Ili Siaco,1,1,0,0,25,1996,5.22,0.06,2.42,0.84,30.78,2.44,0.7,-0.04,0.1,,-0.07,-0.04,Tournament,2020,,,,,,
534,a.namagembe,Ingre,0,0,1,0,24,1997,3.63,0.0,0.27,0.08,-0.01,0.29,0.02,0.02,,,-0.01,-0.03,Tournament,2020,,,,,,
535,c.savi,Ingre,0,0,1,0,33,1987,3.82,-0.08,0.23,0.09,0.1,0.31,0.07,0.0,,,0.04,0.05,Tournament,2020,,,,,,
536,d.bonsu,Ingre,0,0,1,0,26,1995,4.03,-0.03,0.84,-0.02,0.07,0.82,0.04,-0.04,,,0.04,-0.08,Tournament,2020,,,,,,
537,d.muwonge,Ingre,0,0,1,0,25,1996,0.35,0.02,0.04,0.0,,-0.07,0.04,,,,-0.03,0.06,Tournament,2020,,,,,,
538,e.khatoon,Ingre,0,0,1,0,30,1991,1.95,-0.06,0.05,-0.02,,-0.01,0.08,,,,-0.08,0.0,Tournament,2020,,,,,,
539,f.tugumisirize,Ingre,0,0,1,0,27,1994,1.93,-0.06,-0.03,-0.08,,-0.03,-0.05,,,,-0.07,0.05,Tournament,2020,,,,,,
540,g.kiggundu,Ingre,0,0,1,0,33,1988,1.6,0.72,3.13,1.16,40.05,3.18,1.25,0.26,0.52,,0.07,-0.03,Tournament,2020,,,,,,
541,k.marques,Ingre,0,0,1,0,31,1990,0.12,0.05,0.1,0.08,,-0.03,-0.09,,,,-0.09,-0.01,Tournament,2020,,,,,,
542,m.birabwa,Ingre,0,0,1,0,27,1993,0.42,-0.08,0.06,-0.1,,-0.05,0.07,,,,0.09,0.03,Tournament,2020,,,,,,
543,n.okiria,Ingre,0,0,1,0,24,1997,0.11,-0.09,0.08,0.06,,-0.08,-0.03,,,,0.05,-0.02,Tournament,2020,,,,,,
544,v.pawar,Ingre,0,0,1,0,23,1997,4.07,-0.02,0.15,0.21,100.1,0.31,0.32,0.02,-0.05,,0.02,-0.02,Tournament,2020,,,,,,
545,x.nazari,Ingre,0,0,1,0,25,1996,1.8,-0.06,0.68,0.59,99.96,0.57,0.52,-0.02,0.05,,-0.05,0.02,Tournament,2020,,,,,,
546,m.yoshida,Ingre,1,0,0,0,22,1998,4.04,-0.04,2.74,1.39,54.51,2.7,1.47,-0.04,-0.05,,0.01,-0.05,Tournament,2020,,,,,,
547,r.nanono,Ingre,1,0,0,0,25,1996,0.88,-0.09,3.4,-0.08,-0.09,3.24,0.01,-0.01,,,0.06,-0.03,Tournament,2020,,,,,,
548,w.winter,Ingre,1,0,0,0,26,1994,0.65,-0.01,3.34,1.58,49.99,3.12,1.5,0.06,0.0,,-0.07,0.01,Tournament,2020,,,,,,
549,f.nekesa,Ingre,1,1,0,0,26,1995,0.59,-0.1,3.43,1.59,49.92,3.39,1.74,0.04,-0.06,,0.02,0.1,Tournament,2020,,,,,,
550,j.konadu,Ingre,1,1,0,0,24,1997,0.1,-0.1,-0.03,0.03,,0.03,-0.05,,,,-0.05,-0.01,Tournament,2020,,,,,,
551,l.nachum,Ingre,1,1,0,0,19,2002,0.64,-0.06,0.06,0.01,,0.03,-0.1,,,,0.04,0.05,Tournament,2020,,,,,,
552,q.waiswa,Ingre,1,1,0,0,27,1994,0.51,-0.09,1.97,-0.04,0.04,1.81,-0.06,0.02,,,0.01,-0.04,Tournament,2020,,,,,,
553,n.perkovi,Ingre,0,0,0,1,27,1994,3.95,0.06,0.02,0.07,,-0.05,0.02,,,,-0.04,0.1,Tournament,2020,,,,,,
554,u.lieu,Ingre,0,0,0,1,27,1994,2.09,0.07,0.07,0.08,,-0.05,-0.08,,,,-0.08,0.09,Tournament,2020,,,,,,
555,e.simanjuntak,Ingre,0,1,0,0,33,1988,5.42,0.07,0.65,0.19,33.33,0.49,0.15,0.04,-0.01,,0.04,0.04,Tournament,2020,,,,,,
556,k.ayoo,Ingre,0,1,0,0,28,1993,5.78,0.42,3.1,1.8,55.52,3.19,1.65,0.04,0.06,,0.07,0.43,Tournament,2020,,,,,,
557,k.mansoor,Ingre,0,1,0,0,29,1992,2.82,0.42,4.03,1.81,45.59,3.84,1.68,0.07,0.28,,0.08,-0.1,Tournament,2020,,,,,,
558,l.ferretti,Ingre,0,1,0,0,28,1993,4.91,0.05,0.67,0.0,0.07,0.61,0.08,-0.05,,,0.09,0.02,Tournament,2020,,,,,,
559,t.othman,Ingre,0,1,0,0,28,1993,0.5,-0.06,2.4,-0.09,-0.07,2.75,0.0,0.06,,,0.02,0.1,Tournament,2020,,,,,,
560,u.aw,Ingre,0,1,0,0,28,1993,1.5,0.0,2.09,0.1,-0.04,2.21,-0.08,0.04,,,0.03,-0.03,Tournament,2020,,,,,,
561,k.hee,Ingre,1,1,0,0,30,1991,2.53,0.3,2.43,0.47,16.66,2.37,0.39,0.18,1.0,,0.01,-0.07,Tournament,2020,,,,,,
562,x.devries,Ingre,1,1,0,0,23,1998,5.55,0.26,2.13,1.01,50.08,2.22,1.12,0.0,0.24,,0.08,0.05,Tournament,2020,,,,,,
563,e.chai,Isle of Jabber,0,0,1,0,21,1999,4.07,-0.08,0.17,0.06,0.06,0.22,0.02,-0.01,,,-0.1,-0.02,Tournament,2020,,,,,,
564,l.nalweyiso,Isle of Jabber,0,0,1,0,31,1990,4.6,-0.09,0.15,0.04,0.01,0.31,-0.09,-0.04,,,-0.09,0.08,Tournament,2020,,,,,,
565,m.agaba,Isle of Jabber,0,0,1,0,32,1989,2.41,0.02,-0.05,0.02,,0.01,-0.05,,,,0.0,-0.01,Tournament,2020,,,,,,
566,m.walter,Isle of Jabber,0,0,1,0,33,1988,1.07,-0.07,0.0,0.05,,0.08,0.04,,,,0.02,0.03,Tournament,2020,,,,,,
567,r.nyoni,Isle of Jabber,0,0,1,0,31,1990,2.99,-0.01,0.41,0.38,100.1,0.28,0.24,0.06,0.03,,-0.1,0.0,Tournament,2020,,,,,,
568,r.tso,Isle of Jabber,0,0,1,0,28,1993,1.91,-0.02,1.55,-0.09,0.07,1.57,0.04,0.09,,,0.01,-0.05,Tournament,2020,,,,,,
569,a.vieira,Isle of Jabber,0,1,1,0,29,1992,3.07,-0.01,0.3,0.06,-0.02,0.39,0.09,0.04,,,-0.06,-0.06,Tournament,2020,,,,,,
570,s.shabani,Isle of Jabber,0,1,1,0,29,1992,0.11,-0.02,4.95,-0.08,0.05,4.0,-0.03,-0.1,,,0.01,0.08,Tournament,2020,,,,,,
571,d.alonso,Isle of Jabber,1,0,0,0,24,1997,0.92,0.09,-0.05,-0.04,,0.09,-0.01,,,,0.06,0.05,Tournament,2020,,,,,,
572,g.anyait,Isle of Jabber,1,0,0,0,30,1991,1.92,0.01,2.02,0.6,24.95,1.94,0.55,0.06,0.08,,0.02,-0.05,Tournament,2020,,,,,,
573,g.ndou,Isle of Jabber,1,0,0,0,30,1991,0.42,0.06,0.06,-0.01,,-0.04,0.06,,,,-0.02,0.09,Tournament,2020,,,,,,
574,h.lehner,Isle of Jabber,1,0,0,0,24,1997,0.4,-0.07,0.03,-0.06,,-0.02,-0.04,,,,-0.04,-0.06,Tournament,2020,,,,,,
575,i.jain,Isle of Jabber,1,0,0,0,25,1996,2.05,0.06,-0.02,-0.06,,-0.04,-0.1,,,,0.02,0.09,Tournament,2020,,,,,,
576,n.chin,Isle of Jabber,1,0,0,0,28,1993,0.28,-0.07,0.04,-0.03,,0.06,0.01,,,,-0.03,0.08,Tournament,2020,,,,,,
577,n.lewandowski,Isle of Jabber,1,0,0,0,26,1995,3.96,0.54,2.62,1.29,50.06,2.53,1.35,0.19,0.34,,0.08,0.03,Tournament,2020,,,,,,
578,q.chiang,Isle of Jabber,1,1,0,0,23,1998,2.38,0.46,1.83,0.9,50.06,1.85,0.95,0.21,0.59,,0.06,0.0,Tournament,2020,,,,,,
579,q.agyemang,Isle of Jabber,0,0,0,1,28,1992,6.05,-0.05,-0.09,-0.1,,0.02,-0.08,,,,0.07,-0.06,Tournament,2020,,,,,,
580,a.rahman,Isle of Jabber,0,1,0,0,32,1989,-0.07,0.04,0.04,-0.03,,-0.02,-0.02,,,,-0.07,-0.07,Tournament,2020,,,,,,
581,d.luhanga,Isle of Jabber,0,1,0,0,31,1990,3.58,-0.03,1.71,0.83,50.0,1.7,0.77,-0.04,-0.02,,-0.05,-0.03,Tournament,2020,,,,,,
582,e.sumiati,Isle of Jabber,0,1,0,0,25,1996,1.36,-0.01,0.84,-0.09,-0.1,0.82,-0.09,-0.05,,,0.06,0.0,Tournament,2020,,,,,,
583,p.gumisiriza,Isle of Jabber,0,1,0,0,28,1992,2.65,-0.06,1.19,0.3,33.3,1.06,0.48,0.03,-0.05,,-0.08,0.08,Tournament,2020,,,,,,
584,p.yeo,Isle of Jabber,0,1,0,0,25,1996,5.19,-0.02,1.3,0.15,14.26,1.3,0.25,-0.09,-0.01,,0.02,-0.08,Tournament,2020,,,,,,
585,u.claes,Isle of Jabber,0,1,0,0,28,1993,0.0,-0.02,0.0,-0.04,,0.09,0.04,,,,-0.07,-0.08,Tournament,2020,,,,,,
586,d.mariani,Isle of Jabber,0,1,1,0,32,1989,1.88,0.01,1.13,-0.09,-0.05,1.21,0.06,0.02,,,-0.02,0.07,Tournament,2020,,,,,,
587,d.mclaughlin,Isle of Jabber,1,1,0,0,28,1993,1.62,0.07,0.04,0.08,,-0.01,0.07,,,,-0.07,-0.07,Tournament,2020,,,,,,
588,k.chisale,Isle of Jabber,1,1,0,0,25,1996,3.96,0.06,1.23,1.1,79.97,1.34,0.96,0.09,0.08,,0.05,0.03,Tournament,2020,,,,,,
589,r.luo,Isle of Jabber,1,1,0,0,31,1990,3.74,0.04,1.57,0.01,-0.07,1.52,-0.07,-0.06,,,-0.01,0.01,Tournament,2020,,,,,,
590,x.kasujja,Isle of Jabber,1,1,0,0,28,1993,3.03,0.74,0.39,0.38,99.99,0.31,0.34,1.96,1.96,,0.07,-0.07,Tournament,2020,,,,,,
591,d.tuominen,Isle of Lababwe,0,0,1,0,31,1990,3.91,0.34,0.43,0.26,50.02,0.48,0.34,0.42,0.94,,-0.04,-0.03,Tournament,2020,,,,,,
592,g.lunga,Isle of Lababwe,0,0,1,0,29,1992,5.05,0.02,0.65,0.24,33.27,0.64,0.13,0.08,-0.04,,0.06,0.08,Tournament,2020,,,,,,
593,i.sen,Isle of Lababwe,0,0,1,0,26,1995,1.46,-0.03,0.01,-0.06,,-0.05,0.02,,,,0.04,0.09,Tournament,2020,,,,,,
594,l.giordano,Isle of Lababwe,0,0,1,0,28,1993,3.22,0.03,-0.1,-0.04,,-0.07,0.03,,,,0.05,0.1,Tournament,2020,,,,,,
595,v.agyeman,Isle of Lababwe,0,0,1,0,32,1989,0.09,-0.07,-0.04,-0.06,,0.07,0.03,,,,-0.09,-0.01,Tournament,2020,,,,,,
596,v.mo,Isle of Lababwe,0,0,1,0,28,1993,2.54,0.02,0.45,0.0,-0.02,0.41,0.07,0.04,,,-0.07,-0.08,Tournament,2020,,,,,,
597,w.ouma,Isle of Lababwe,0,0,1,0,31,1990,4.6,-0.06,-0.02,-0.02,,0.03,-0.07,,,,0.04,-0.04,Tournament,2020,,,,,,
598,p.brun,Isle of Lababwe,0,1,1,0,29,1992,3.84,0.24,0.55,0.52,99.99,0.55,0.48,0.41,0.57,,0.0,0.05,Tournament,2020,,,,,,
599,g.tushemerirwe,Isle of Lababwe,1,0,0,0,29,1992,0.9,0.07,0.92,0.08,0.08,0.96,-0.07,-0.02,,,0.08,0.0,Tournament,2020,,,,,,
600,o.kateregga,Isle of Lababwe,1,0,0,0,33,1987,4.87,0.21,1.93,1.05,55.6,1.82,1.05,0.2,0.29,,0.07,0.01,Tournament,2020,,,,,,
601,u.ohana,Isle of Lababwe,1,0,0,0,22,1999,1.14,0.1,5.39,0.94,16.73,5.6,1.03,0.02,-0.03,,0.05,0.07,Tournament,2020,,,,,,
602,y.marlina,Isle of Lababwe,1,0,0,0,28,1993,0.99,1.09,0.97,1.03,99.99,1.04,0.93,0.97,1.01,,0.0,0.02,Tournament,2020,,,,,,
603,k.nyo,Isle of Lababwe,1,1,0,0,25,1996,0.25,0.08,4.9,-0.05,-0.04,5.95,-0.07,0.08,,,-0.03,0.07,Tournament,2020,,,,,,
604,f.kasibante,Isle of Lababwe,0,0,0,1,35,1986,5.95,-0.04,-0.05,-0.06,,-0.09,-0.07,,,,0.01,-0.05,Tournament,2020,,,,,,
605,b.asiedu,Isle of Lababwe,0,1,0,0,32,1989,2.03,0.49,0.97,0.49,49.99,1.09,0.41,0.03,-0.07,,0.5,0.53,Tournament,2020,,,,,,
606,d.barbier,Isle of Lababwe,0,1,0,0,33,1988,1.23,0.77,2.52,0.89,33.35,2.36,0.78,0.39,0.94,,-0.06,-0.04,Tournament,2020,,,,,,
607,f.donkor,Isle of Lababwe,0,1,0,0,26,1995,2.66,-0.04,1.24,0.06,0.08,1.15,0.01,-0.1,,,-0.03,-0.08,Tournament,2020,,,,,,
608,f.mhone,Isle of Lababwe,0,1,0,0,26,1995,1.48,0.01,2.78,0.7,25.06,2.79,0.74,-0.02,-0.07,,-0.09,0.03,Tournament,2020,,,,,,
609,g.akumu,Isle of Lababwe,0,1,0,0,26,1995,1.97,-0.04,-0.01,0.09,,0.06,-0.05,,,,-0.06,-0.09,Tournament,2020,,,,,,
610,i.lange,Isle of Lababwe,0,1,0,0,27,1994,0.35,-0.01,0.07,0.06,,0.06,-0.01,,,,0.06,0.07,Tournament,2020,,,,,,
611,m.nakayenga,Isle of Lababwe,0,1,0,0,24,1997,0.83,0.09,-0.05,0.0,,-0.1,-0.06,,,,-0.09,0.04,Tournament,2020,,,,,,
612,p.jacobsen,Isle of Lababwe,0,1,0,0,29,1992,0.34,-0.09,0.06,0.02,,-0.07,-0.08,,,,-0.03,0.02,Tournament,2020,,,,,,
613,q.twijukye,Isle of Lababwe,0,1,0,0,29,1992,1.64,0.66,1.69,0.67,33.33,1.72,0.51,0.25,0.96,,0.04,-0.06,Tournament,2020,,,,,,
614,t.hossein,Isle of Lababwe,0,1,0,0,29,1992,4.16,0.27,-0.1,-0.05,,-0.01,0.08,,,,0.07,0.06,Tournament,2020,,,,,,
615,w.yani,Isle of Lababwe,0,1,0,0,34,1987,5.58,0.01,0.64,0.05,0.08,0.48,0.07,-0.09,,,0.04,-0.09,Tournament,2020,,,,,,
616,r.wilson,Isle of Lababwe,1,1,0,0,28,1993,5.36,0.18,4.05,1.67,40.81,4.01,1.74,-0.08,0.01,,0.24,0.26,Tournament,2020,,,,,,
