,Player,Nation,Age,FW,MF,DF,GK,Raritan,player_id
339,d.anyango,Redohrainbri,25,0,0,1,0,0,d.anyango-Redohrainbri
340,d.arinaitwe,Sobianitedrucy,17,0,1,0,0,0,d.arinaitwe-Sobianitedrucy
341,d.asaba,Greri Landmoslands,28,0,0,1,0,0,d.asaba-Greri Landmoslands
342,d.athieno,People's Land of Maneau,31,1,0,0,0,0,d.athieno-People's Land of Maneau
343,d.atyang,Dosqaly,20,1,0,0,0,0,d.atyang-Dosqaly
344,d.ayesiga,Nganion,29,1,0,0,0,0,d.ayesiga-Nganion
345,d.baah,Rarita,24,0,1,0,0,1,d.baah-Rarita
346,d.bergmann,People's Land of Maneau,27,0,0,1,0,0,d.bergmann-People's Land of Maneau
347,d.biribawa,Lefghau,24,0,0,1,0,0,d.biribawa-Lefghau
348,d.brunner,Greri Landmoslands,22,0,0,1,0,0,d.brunner-Greri Landmoslands
349,d.businge,Greri Landmoslands,23,1,0,0,0,0,d.businge-Greri Landmoslands
350,d.byogero,Lefghau,33,0,0,1,0,0,d.byogero-Lefghau
351,d.caruso,Varijitri Isles,23,0,0,1,0,0,d.caruso-Varijitri Isles
352,d.cauhan,Dosqaly,17,0,1,0,0,0,d.cauhan-Dosqaly
353,d.chen,Lefghau,27,0,0,1,0,0,d.chen-Lefghau
354,d.chiba,Sobianitedrucy,20,0,0,0,1,0,d.chiba-Sobianitedrucy
355,d.daniel,People's Land of Maneau,27,0,0,1,0,0,d.daniel-People's Land of Maneau
356,d.dejong,Nganion,20,0,1,0,0,0,d.dejong-Nganion
357,d.deli,Sobianitedrucy,33,0,1,0,0,0,d.deli-Sobianitedrucy
358,d.domingos,Esia,24,0,0,1,0,0,d.domingos-Esia
359,d.dumitru,Czechnor,25,1,0,0,0,0,d.dumitru-Czechnor
360,d.ebrahimi,Nganion,20,1,0,0,0,0,d.ebrahimi-Nganion
361,d.egger,Janmico,32,0,0,1,0,0,d.egger-Janmico
362,d.fischer,Nganion,35,1,0,0,0,0,d.fischer-Nganion
363,d.ghasemi,Nganion,26,1,0,0,0,0,d.ghasemi-Nganion
364,d.gunther,Puway,29,0,0,1,0,0,d.gunther-Puway
365,d.hara,Nganion,26,0,0,1,0,0,d.hara-Nganion
366,d.henriksen,Byasier Pujan,23,0,0,1,0,0,d.henriksen-Byasier Pujan
367,d.hi,Dosqaly,17,0,0,1,0,0,d.hi-Dosqaly
368,d.horn,Dosqaly,29,0,0,1,0,0,d.horn-Dosqaly
369,d.hsu,Esia,30,0,1,0,0,0,d.hsu-Esia
370,d.huda,Nganion,30,0,0,1,0,0,d.huda-Nganion
371,d.ikeda,People's Land of Maneau,28,0,0,1,0,0,d.ikeda-People's Land of Maneau
372,d.isabirye,Esia,22,1,0,0,0,0,d.isabirye-Esia
373,d.jafari,Imaar Vircoand,23,1,0,0,0,0,d.jafari-Imaar Vircoand
374,d.jansson,Biarizea,22,1,0,0,0,0,d.jansson-Biarizea
375,d.jena,Nganion,27,0,0,1,0,0,d.jena-Nganion
376,d.john,Pierrema,24,0,1,0,0,0,d.john-Pierrema
377,d.kakande,Dosqaly,27,1,0,0,0,0,d.kakande-Dosqaly
378,d.kalnis,Nganion,31,0,0,1,0,0,d.kalnis-Nganion
379,d.kateregga,Manlisgamncent,20,0,0,0,1,0,d.kateregga-Manlisgamncent
380,d.kau,Southslands,16,0,0,1,0,0,d.kau-Southslands
381,d.kayira,Slandsganiamayotteque,21,0,1,0,0,0,d.kayira-Slandsganiamayotteque
382,d.kemigisa,Greri Landmoslands,31,0,1,0,0,0,d.kemigisa-Greri Landmoslands
383,d.kimuli,Rarita,28,0,1,0,0,1,d.kimuli-Rarita
384,d.kojima,Highhlaands,29,0,1,0,0,0,d.kojima-Highhlaands
385,d.kos,Nkasland Cronestan,20,0,0,1,0,0,d.kos-Nkasland Cronestan
386,d.kugonza,Dosqaly,23,0,0,1,0,0,d.kugonza-Dosqaly
387,d.kyambadde,Iverde,18,0,0,1,0,0,d.kyambadde-Iverde
388,d.law,Nganion,29,1,0,0,0,0,d.law-Nganion
389,d.lehner,Rarita,32,0,1,0,0,1,d.lehner-Rarita
390,d.lian,Nganion,20,0,0,1,0,0,d.lian-Nganion
391,d.mabhena,Nganion,27,0,0,1,0,0,d.mabhena-Nganion
392,d.magala,Republic of Denand Landsa,27,0,0,1,0,0,d.magala-Republic of Denand Landsa
393,d.makumbi,Rarita,18,1,0,0,0,1,d.makumbi-Rarita
394,d.martini,Nganion,29,0,0,1,0,0,d.martini-Nganion
395,d.masuku,Dosqaly,26,1,0,0,0,0,d.masuku-Dosqaly
396,d.mattila,Dosqaly,26,0,1,0,0,0,d.mattila-Dosqaly
397,d.mattila,Rarita,26,0,1,0,0,1,d.mattila-Rarita
398,d.meszaros,Esia,20,0,0,1,0,0,d.meszaros-Esia
399,d.mirembe,Nganion,31,0,0,1,0,0,d.mirembe-Nganion
400,d.mo,Dosqaly,30,0,0,1,0,0,d.mo-Dosqaly
401,d.morales,Dosqaly,23,1,0,0,0,0,d.morales-Dosqaly
402,d.mortenson,Sobianitedrucy,27,1,0,0,0,0,d.mortenson-Sobianitedrucy
403,d.mugisa,Xikong,28,1,0,0,0,0,d.mugisa-Xikong
404,d.muhammad,Coastpa Barleslands,30,0,1,0,0,0,d.muhammad-Coastpa Barleslands
405,d.mulumba,Nganion,23,0,1,0,0,0,d.mulumba-Nganion
406,d.musimenta,Esia,23,0,0,1,0,0,d.musimenta-Esia
407,d.muwonge,Ingre,24,0,0,1,0,0,d.muwonge-Ingre
408,d.mwebesa,Nganion,30,0,0,1,0,0,d.mwebesa-Nganion
409,d.nabbosa,Nkasland Cronestan,35,0,0,1,0,0,d.nabbosa-Nkasland Cronestan
410,d.nabutono,Esia,17,0,0,1,0,0,d.nabutono-Esia
411,d.naluyima,Imaar Vircoand,30,0,1,0,0,0,d.naluyima-Imaar Vircoand
412,d.namayanja,Lefghau,23,0,0,1,0,0,d.namayanja-Lefghau
413,d.namugerwa,Imaar Vircoand,28,1,0,0,0,0,d.namugerwa-Imaar Vircoand
414,d.nangiro,Greri Landmoslands,29,0,0,1,0,0,d.nangiro-Greri Landmoslands
415,d.naula,Rarita,24,0,0,1,0,1,d.naula-Rarita
416,d.ngo,Nganion,31,0,0,1,0,0,d.ngo-Nganion
417,d.nishimura,People's Land of Maneau,26,0,0,1,0,0,d.nishimura-People's Land of Maneau
418,d.ochan,Coastpa Barleslands,27,1,0,0,0,0,d.ochan-Coastpa Barleslands
419,d.ocokoru,Nganion,28,0,1,0,0,0,d.ocokoru-Nganion
420,d.okech,Leoneku Guidisia,34,0,0,1,0,0,d.okech-Leoneku Guidisia
421,d.onzia,Desaintko,29,0,0,1,0,0,d.onzia-Desaintko
422,d.oren,Central Diasongo,26,1,0,0,0,0,d.oren-Central Diasongo
423,d.ortiz,Lenia Gerdanho,21,1,0,0,0,0,d.ortiz-Lenia Gerdanho
424,d.pal,Nganion,29,0,0,1,0,0,d.pal-Nganion
425,d.pellegrino,People's Land of Maneau,30,0,0,1,0,0,d.pellegrino-People's Land of Maneau
426,d.pfeiffer,Imaar Vircoand,32,1,0,0,0,0,d.pfeiffer-Imaar Vircoand
427,d.purwanto,Lefghau,23,1,0,0,0,0,d.purwanto-Lefghau
428,d.roussel,Rosvi,23,0,1,0,0,0,d.roussel-Rosvi
429,d.safitri,Esia,23,0,1,0,0,0,d.safitri-Esia
430,d.sahu,Nganion,29,0,1,0,0,0,d.sahu-Nganion
431,d.saleh,Sobianitedrucy,24,0,0,1,0,0,d.saleh-Sobianitedrucy
432,d.schmid,Nganion,22,0,1,0,0,0,d.schmid-Nganion
433,d.siregar,Nganion,24,0,0,1,0,0,d.siregar-Nganion
434,d.soliman,Sobianitedrucy,17,0,0,1,0,0,d.soliman-Sobianitedrucy
435,d.sorrentino,Sobianitedrucy,30,0,0,0,1,0,d.sorrentino-Sobianitedrucy
436,d.steiner,Esia,25,0,0,1,0,0,d.steiner-Esia
437,d.taaka,Esia,20,0,1,0,0,0,d.taaka-Esia
438,d.taniguchi,Central Diasongo,29,0,1,0,0,0,d.taniguchi-Central Diasongo
439,d.tawiah,Thaijagypt,36,0,0,1,0,0,d.tawiah-Thaijagypt
440,d.tshuma,Coastpa Barleslands,25,1,0,0,0,0,d.tshuma-Coastpa Barleslands
441,d.tukamuhebwa,People's Land of Maneau,21,1,0,0,0,0,d.tukamuhebwa-People's Land of Maneau
442,d.tweheyo,Dosqaly,19,0,0,1,0,0,d.tweheyo-Dosqaly
443,d.vanags,Ingre,17,1,0,0,0,0,d.vanags-Ingre
444,d.vuji,Pierrema,30,0,0,1,0,0,d.vuji-Pierrema
445,d.wahyudi,Esia,27,0,0,1,0,0,d.wahyudi-Esia
446,d.yusof,Nkasland Cronestan,22,0,0,1,0,0,d.yusof-Nkasland Cronestan
447,e.achan,Nganion,30,0,1,0,0,0,e.achan-Nganion
448,e.afolabi,Rarita,21,1,0,0,0,1,e.afolabi-Rarita
449,e.ajwang,Central Namemo Laand,28,1,0,0,0,0,e.ajwang-Central Namemo Laand
450,e.akwii,Dosqaly,18,1,0,0,0,0,e.akwii-Dosqaly
451,e.amanya,Dosqaly,37,1,0,0,0,0,e.amanya-Dosqaly
452,e.amponsah,Nganion,29,0,1,0,0,0,e.amponsah-Nganion
453,e.andoh,Central Diasongo,27,0,1,0,0,0,e.andoh-Central Diasongo
454,e.apiyo,Pierrema,21,1,0,0,0,0,e.apiyo-Pierrema
455,e.ashknaziy,Central Diasongo,22,0,1,0,0,0,e.ashknaziy-Central Diasongo
456,e.atim,Sobianitedrucy,26,0,0,1,0,0,e.atim-Sobianitedrucy
457,e.ayerango,Loco Phirema,25,1,0,0,0,0,e.ayerango-Loco Phirema
458,e.bah,Mico,21,1,0,0,0,0,e.bah-Mico
459,e.bahrami,Rarita,22,0,0,1,0,1,e.bahrami-Rarita
460,e.balog,Nganion,20,0,0,1,0,0,e.balog-Nganion
461,e.becker,Central Namemo Laand,18,0,1,0,0,0,e.becker-Central Namemo Laand
462,e.binmohamed,Cabral Retrea,23,0,0,0,1,0,e.binmohamed-Cabral Retrea
463,e.bintiismail,Ledian,23,0,0,0,1,0,e.bintiismail-Ledian
464,e.blazevi,Imaar Vircoand,24,1,0,0,0,0,e.blazevi-Imaar Vircoand
465,e.bosnjak,Northslands,18,0,0,1,0,0,e.bosnjak-Northslands
466,e.bukar,Lefghau,29,0,0,1,0,0,e.bukar-Lefghau
467,e.byekwaso,Nganion,23,0,0,1,0,0,e.byekwaso-Nganion
468,e.chebet,Imaar Vircoand,26,1,0,0,0,0,e.chebet-Imaar Vircoand
469,e.cortez,Dosqaly,23,0,1,0,0,0,e.cortez-Dosqaly
470,e.deluca,Sobianitedrucy,26,0,0,1,0,0,e.deluca-Sobianitedrucy
471,e.desantis,Dosqaly,23,0,1,0,0,0,e.desantis-Dosqaly
472,e.doyle,Esia,25,0,1,0,0,0,e.doyle-Esia
473,e.eliyahu,Dosqaly,20,1,0,0,0,0,e.eliyahu-Dosqaly
474,e.estrada,Frenchdo Stanser,25,1,0,0,0,0,e.estrada-Frenchdo Stanser
475,e.fernando,Dosqaly,28,0,0,1,0,0,e.fernando-Dosqaly
476,e.fiore,Redohrainbri,19,0,1,0,0,0,e.fiore-Redohrainbri
477,e.fujii,Dosqaly,20,0,0,1,0,0,e.fujii-Dosqaly
478,e.gamal,Dosqaly,27,0,0,1,0,0,e.gamal-Dosqaly
479,e.gayakwad,Imaar Vircoand,22,1,0,0,0,0,e.gayakwad-Imaar Vircoand
480,e.ghosh,Sobianitedrucy,30,0,0,1,0,0,e.ghosh-Sobianitedrucy
481,e.gou,Saintu,26,0,1,0,0,0,e.gou-Saintu
482,e.gupta,Esia,23,0,1,0,0,0,e.gupta-Esia
483,e.hasahya,Sobianitedrucy,26,0,1,0,0,0,e.hasahya-Sobianitedrucy
484,e.hayati,Nganion,26,1,0,0,0,0,e.hayati-Nganion
485,e.hor,Nganion,23,1,0,0,0,0,e.hor-Nganion
486,e.ilukol,Dosqaly,24,0,0,1,0,0,e.ilukol-Dosqaly
487,e.kaddu,Esia,28,0,0,0,1,0,e.kaddu-Esia
488,e.kalungi,Western Niasland,28,0,0,1,0,0,e.kalungi-Western Niasland
489,e.kantono,Nganion,18,0,0,0,1,0,e.kantono-Nganion
490,e.kaweesi,Giumle Lizeibon,23,1,0,0,0,0,e.kaweesi-Giumle Lizeibon
491,e.kinoshita,Biarizea,28,1,0,0,0,0,e.kinoshita-Biarizea
492,e.kiyingi,Sobianitedrucy,20,1,0,0,0,0,e.kiyingi-Sobianitedrucy
493,e.koc,Rarita,28,0,0,1,0,1,e.koc-Rarita
494,e.konig,Dosqaly,16,0,1,0,0,0,e.konig-Dosqaly
495,e.kovacs,Nganion,26,0,0,1,0,0,e.kovacs-Nganion
496,e.kuhn,Dosqaly,21,0,0,1,0,0,e.kuhn-Dosqaly
497,e.kunihira,Lenia Gerdanho,29,1,0,0,0,0,e.kunihira-Lenia Gerdanho
498,e.kutosi,Lefghau,25,0,1,0,0,0,e.kutosi-Lefghau
499,e.kyomukama,Esia,22,0,0,0,1,0,e.kyomukama-Esia
500,e.longwe,Dosqaly,21,0,1,0,0,0,e.longwe-Dosqaly
501,e.lund,Republic of Denand Landsa,25,0,1,0,0,0,e.lund-Republic of Denand Landsa
502,e.lungu,Nganion,23,0,0,0,1,0,e.lungu-Nganion
503,e.maluwa,Esia,27,0,0,1,0,0,e.maluwa-Esia
504,e.manhica,Moaithe,28,0,0,1,0,0,e.manhica-Moaithe
505,e.mapuranga,Nkasland Cronestan,32,0,0,0,1,0,e.mapuranga-Nkasland Cronestan
506,e.maulana,Dosqaly,22,0,1,0,0,0,e.maulana-Dosqaly
507,e.meiyr,Rarita,26,0,0,1,0,1,e.meiyr-Rarita
508,e.miyamoto,Nganion,22,0,0,1,0,0,e.miyamoto-Nganion
509,e.mudzingwa,Rarita,26,1,0,0,0,1,e.mudzingwa-Rarita
510,e.mugoya,Byasier Pujan,27,0,0,1,0,0,e.mugoya-Byasier Pujan
511,e.muhereza,Esia,29,0,1,0,0,0,e.muhereza-Esia
512,e.munetsi,Imaar Vircoand,38,1,0,0,0,0,e.munetsi-Imaar Vircoand
513,e.musisi,Esia,25,0,0,1,0,0,e.musisi-Esia
514,e.mutebi,Nancipenuaroe,27,0,1,0,0,0,e.mutebi-Nancipenuaroe
515,e.muwanguzi,Reugha,25,0,1,0,0,0,e.muwanguzi-Reugha
516,e.mwesigye,Nganion,19,0,1,0,0,0,e.mwesigye-Nganion
517,e.nabwami,Tucamna,19,1,0,0,0,0,e.nabwami-Tucamna
518,e.nakanjako,Rarita,20,0,1,0,0,1,e.nakanjako-Rarita
519,e.namakoye,Esia,32,0,0,0,1,0,e.namakoye-Esia
520,e.nambafu,Esia,30,0,1,0,0,0,e.nambafu-Esia
521,e.nankunda,Dosqaly,23,1,0,0,0,0,e.nankunda-Dosqaly
522,e.nasirumbi,Nganion,29,0,1,0,0,0,e.nasirumbi-Nganion
523,e.nemeth,Sobianitedrucy,34,0,0,1,0,0,e.nemeth-Sobianitedrucy
524,e.obbo,Landli Blicporlip,19,0,1,0,0,0,e.obbo-Landli Blicporlip
525,e.oh,Esia,21,0,1,0,0,0,e.oh-Esia
526,e.okello,Nganion,21,1,0,0,0,0,e.okello-Nganion
527,e.okonkwo,Coastpa Barleslands,20,1,0,0,0,0,e.okonkwo-Coastpa Barleslands
528,e.okurut,Lefghau,28,0,1,0,0,0,e.okurut-Lefghau
529,e.ooi,Reugha,22,0,0,1,0,0,e.ooi-Reugha
530,e.ow,Rarita,26,0,0,1,0,1,e.ow-Rarita
531,e.pang,Dosqaly,18,0,1,0,0,0,e.pang-Dosqaly
532,e.patra,People's Land of Maneau,20,0,0,1,0,0,e.patra-People's Land of Maneau
533,e.potonik,Biarizea,29,0,1,0,0,0,e.potonik-Biarizea
534,e.pour,Lefghau,27,0,0,1,0,0,e.pour-Lefghau
535,e.rahayu,Rarita,26,1,0,0,0,1,e.rahayu-Rarita
536,e.ramezani,People's Land of Maneau,24,0,0,1,0,0,e.ramezani-People's Land of Maneau
537,e.rashidi,Landli Blicporlip,28,1,0,0,0,0,e.rashidi-Landli Blicporlip
538,e.ruzvidzo,People's Land of Maneau,19,0,0,1,0,0,e.ruzvidzo-People's Land of Maneau
539,e.saka,Rosvi,25,1,0,0,0,0,e.saka-Rosvi
540,e.salem,Nganion,19,1,0,0,0,0,e.salem-Nganion
541,e.schmitz,Dosqaly,21,0,0,1,0,0,e.schmitz-Dosqaly
542,e.sommer,Imaar Vircoand,26,0,1,0,0,0,e.sommer-Imaar Vircoand
543,e.ta,Nganion,26,0,0,1,0,0,e.ta-Nganion
544,e.tahirovi,Dosqaly,23,1,0,0,0,0,e.tahirovi-Dosqaly
545,e.taylor,People's Land of Maneau,27,1,0,0,0,0,e.taylor-People's Land of Maneau
546,e.teixeira,Slandsganiamayotteque,20,1,0,0,0,0,e.teixeira-Slandsganiamayotteque
547,e.thembo,Nganion,31,1,0,0,0,0,e.thembo-Nganion
548,e.tumuhimbise,Esia,29,1,0,0,0,0,e.tumuhimbise-Esia
549,e.tumukunde,Dosqaly,24,0,1,0,0,0,e.tumukunde-Dosqaly
550,e.vasav,Moaithe,23,0,0,1,0,0,e.vasav-Moaithe
551,e.wabwire,Southern Ristan,20,0,0,1,0,0,e.wabwire-Southern Ristan
552,e.wang,Nganion,20,0,0,1,0,0,e.wang-Nganion
553,e.wibowo,Coastpa Barleslands,28,0,0,0,1,0,e.wibowo-Coastpa Barleslands
554,e.zen,Nganion,25,0,1,0,0,0,e.zen-Nganion
555,e.zoabi,Nganion,34,0,1,0,0,0,e.zoabi-Nganion
556,f.acayo,Rarita,24,0,0,1,0,1,f.acayo-Rarita
557,f.adiru,Dosqaly,16,0,1,0,0,0,f.adiru-Dosqaly
558,f.ainembabazi,Nganion,23,0,1,0,0,0,f.ainembabazi-Nganion
559,f.ajio,Rarita,29,1,0,0,0,1,f.ajio-Rarita
560,f.akumu,Rarita,20,0,0,0,1,1,f.akumu-Rarita
561,f.akwero,Sobianitedrucy,26,1,0,0,0,0,f.akwero-Sobianitedrucy
562,f.aminu,Dosqaly,31,0,0,1,0,0,f.aminu-Dosqaly
563,f.among,Biarizea,24,0,1,0,0,0,f.among-Biarizea
564,f.andreassen,Rarita,28,0,1,0,0,1,f.andreassen-Rarita
565,f.ankrah,Esia,17,0,0,1,0,0,f.ankrah-Esia
566,f.apili,Nancipenuaroe,21,0,0,1,0,0,f.apili-Nancipenuaroe
567,f.asare,Reugha,24,0,0,1,0,0,f.asare-Reugha
568,f.ashaba,Giumle Lizeibon,23,0,0,1,0,0,f.ashaba-Giumle Lizeibon
569,f.baguma,Coastpa Barleslands,28,0,0,1,0,0,f.baguma-Coastpa Barleslands
570,f.bello,Dosqaly,26,1,0,0,0,0,f.bello-Dosqaly
571,f.binishak,Dosqaly,32,0,0,1,0,0,f.binishak-Dosqaly
572,f.binzakaria,Nganion,26,0,1,0,0,0,f.binzakaria-Nganion
573,f.bizjak,Dosqaly,19,1,0,0,0,0,f.bizjak-Dosqaly
574,f.buyinza,Nganion,30,0,1,0,0,0,f.buyinza-Nganion
575,f.carbone,Greri Landmoslands,29,0,0,0,1,0,f.carbone-Greri Landmoslands
576,f.chin,Rarita,22,0,1,0,0,1,f.chin-Rarita
577,f.chiumia,Dosqaly,24,1,0,0,0,0,f.chiumia-Dosqaly
578,f.claes,Rosvi,22,1,0,0,0,0,f.claes-Rosvi
579,f.dauda,Nganion,34,0,0,0,1,0,f.dauda-Nganion
580,f.degroot,Nganion,22,0,0,0,1,0,f.degroot-Nganion
581,f.dutta,Tabhu Striary,25,0,1,0,0,0,f.dutta-Tabhu Striary
582,f.eid,Manlisgamncent,20,0,1,0,0,0,f.eid-Manlisgamncent
583,f.evans,Central Diasongo,23,0,1,0,0,0,f.evans-Central Diasongo
584,f.farkas,Esia,25,0,0,1,0,0,f.farkas-Esia
585,f.fournier,Pierrema,24,0,1,0,0,0,f.fournier-Pierrema
586,f.fujihara,People's Land of Maneau,23,0,0,1,0,0,f.fujihara-People's Land of Maneau
587,f.gan,Rarita,20,0,1,0,0,1,f.gan-Rarita
588,f.got,Central Namemo Laand,27,1,0,0,0,0,f.got-Central Namemo Laand
589,f.hang,Rarita,25,0,0,1,0,1,f.hang-Rarita
590,f.heng,Dosqaly,29,1,0,0,0,0,f.heng-Dosqaly
591,f.hove,Coastpa Barleslands,30,0,0,1,0,0,f.hove-Coastpa Barleslands
592,f.hubert,Dosqaly,26,0,0,1,0,0,f.hubert-Dosqaly
593,f.hughes,Thaijagypt,27,0,1,0,0,0,f.hughes-Thaijagypt
594,f.ithungu,Rarita,28,0,0,0,1,1,f.ithungu-Rarita
595,f.jansen,Sobianitedrucy,28,0,0,0,1,0,f.jansen-Sobianitedrucy
596,f.jee,Nganion,30,1,0,0,0,0,f.jee-Nganion
597,f.kabanda,Dosqaly,21,0,1,0,0,0,f.kabanda-Dosqaly
598,f.kalule,People's Land of Maneau,23,0,0,1,0,0,f.kalule-People's Land of Maneau
599,f.kavalio,Central Diasongo,19,0,0,1,0,0,f.kavalio-Central Diasongo
600,f.kazembe,Lefghau,23,1,0,0,0,0,f.kazembe-Lefghau
601,f.kembabazi,People's Land of Maneau,23,0,0,1,0,0,f.kembabazi-People's Land of Maneau
602,f.kimera,Dosqaly,23,0,0,0,1,0,f.kimera-Dosqaly
603,f.kizito,People's Land of Maneau,20,0,0,1,0,0,f.kizito-People's Land of Maneau
604,f.kobugabe,Dosqaly,20,0,1,0,0,0,f.kobugabe-Dosqaly
605,f.kollar,Southslands,30,0,0,1,0,0,f.kollar-Southslands
606,f.krklis,Imaar Vircoand,28,0,0,0,1,0,f.krklis-Imaar Vircoand
607,f.lemaire,Landli Blicporlip,29,0,0,1,0,0,f.lemaire-Landli Blicporlip
608,f.lieu,People's Land of Maneau,18,0,0,1,0,0,f.lieu-People's Land of Maneau
609,f.lukyamuzi,Nganion,32,0,0,1,0,0,f.lukyamuzi-Nganion
610,f.mahachi,Rarita,21,0,0,1,0,1,f.mahachi-Rarita
611,f.mawa,Manlisgamncent,22,0,0,1,0,0,f.mawa-Manlisgamncent
612,f.mbale,Nganion,32,0,1,0,0,0,f.mbale-Nganion
613,f.meier,Sobianitedrucy,18,0,1,0,0,0,f.meier-Sobianitedrucy
614,f.monday,Pahon,30,1,0,0,0,0,f.monday-Pahon
615,f.msiska,Nkasland Cronestan,18,0,1,0,0,0,f.msiska-Nkasland Cronestan
616,f.mtambo,Nganion,27,1,0,0,0,0,f.mtambo-Nganion
617,f.mugabe,Sobianitedrucy,23,1,0,0,0,0,f.mugabe-Sobianitedrucy
618,f.mugide,Esia,26,0,0,1,0,0,f.mugide-Esia
619,f.muhangi,Rarita,30,0,1,0,0,1,f.muhangi-Rarita
620,f.mutandwa,Esia,28,0,0,1,0,0,f.mutandwa-Esia
621,f.nabunya,Quewenia,29,0,0,0,1,0,f.nabunya-Quewenia
622,f.nakacwa,Nganion,21,0,1,0,0,0,f.nakacwa-Nganion
623,f.nakalema,Nganion,23,1,0,0,0,0,f.nakalema-Nganion
624,f.nakazibwe,People's Land of Maneau,25,0,1,0,0,0,f.nakazibwe-People's Land of Maneau
625,f.nakimuli,Esia,26,1,0,0,0,0,f.nakimuli-Esia
626,f.namajja,Central Badad,25,1,0,0,0,0,f.namajja-Central Badad
627,f.namukasa,Nancipenuaroe,25,0,0,1,0,0,f.namukasa-Nancipenuaroe
628,f.nanfuka,Lefghau,23,0,0,1,0,0,f.nanfuka-Lefghau
629,f.ndou,Zamlie Niabangthe,32,0,1,0,0,0,f.ndou-Zamlie Niabangthe
630,f.ngulube,Nganion,25,0,1,0,0,0,f.ngulube-Nganion
631,f.njoku,Lefghau,28,1,0,0,0,0,f.njoku-Lefghau
632,f.nyakaisiki,Nkasland Cronestan,26,1,0,0,0,0,f.nyakaisiki-Nkasland Cronestan
633,f.odaga,Sobianitedrucy,21,0,1,0,0,0,f.odaga-Sobianitedrucy
634,f.ohana,Nganion,26,0,1,0,0,0,f.ohana-Nganion
635,f.okon,Imaar Vircoand,33,0,0,1,0,0,f.okon-Imaar Vircoand
636,f.olinga,Dosqaly,28,0,0,1,0,0,f.olinga-Dosqaly
637,f.omara,People's Land of Maneau,19,0,0,1,0,0,f.omara-People's Land of Maneau
638,f.oreilly,Moaithe,21,0,1,0,0,0,f.oreilly-Moaithe
639,f.oyama,Northern Namemo Laand,31,1,0,0,0,0,f.oyama-Northern Namemo Laand
640,f.pagano,Rarita,21,0,0,1,0,1,f.pagano-Rarita
641,f.pellegrini,Nganion,33,0,1,0,0,0,f.pellegrini-Nganion
642,f.perrin,Dosqaly,21,0,1,0,0,0,f.perrin-Dosqaly
643,f.quansah,Southern Ristan,25,1,0,0,0,0,f.quansah-Southern Ristan
644,f.racz,Greri Landmoslands,38,0,0,1,0,0,f.racz-Greri Landmoslands
645,f.ribeiro,People's Land of Maneau,30,0,0,0,1,0,f.ribeiro-People's Land of Maneau
646,f.rozman,Imaar Vircoand,26,1,0,0,0,0,f.rozman-Imaar Vircoand
647,f.salifu,Nganion,34,0,1,0,0,0,f.salifu-Nganion
648,f.salonen,Republic of Denand Landsa,22,1,0,0,0,0,f.salonen-Republic of Denand Landsa
649,f.santana,Dosqaly,20,0,0,1,0,0,f.santana-Dosqaly
650,f.schafer,Rosvi,24,1,0,0,0,0,f.schafer-Rosvi
651,f.sepp,Dosqaly,22,0,0,1,0,0,f.sepp-Dosqaly
652,f.shaikh,Dosqaly,20,1,0,0,0,0,f.shaikh-Dosqaly
653,f.shkreli,Dosqaly,25,0,0,1,0,0,f.shkreli-Dosqaly
654,f.siddiqui,Southslands,20,1,0,0,0,0,f.siddiqui-Southslands
655,f.sow,Nganion,27,0,1,0,0,0,f.sow-Nganion
656,f.sun,Riazbe Ryma,25,1,0,0,0,0,f.sun-Riazbe Ryma
657,f.taha,Central Namemo Laand,18,0,0,1,0,0,f.taha-Central Namemo Laand
658,f.tamura,Nganion,20,0,0,1,0,0,f.tamura-Nganion
659,f.taruvinga,Greri Landmoslands,28,0,0,1,0,0,f.taruvinga-Greri Landmoslands
660,f.vanleeuwen,Western Niasland,27,0,0,1,0,0,f.vanleeuwen-Western Niasland
661,f.walker,Nganion,33,0,0,0,1,0,f.walker-Nganion
662,f.yaakv,Quewenia,22,0,0,0,1,0,f.yaakv-Quewenia
663,f.yan,Redohrainbri,20,1,0,0,0,0,f.yan-Redohrainbri
664,f.yunusa,Rarita,26,0,0,1,0,1,f.yunusa-Rarita
665,f.yusuf,Sobianitedrucy,26,0,0,1,0,0,f.yusuf-Sobianitedrucy
666,f.zeng,Nganion,26,1,0,0,0,0,f.zeng-Nganion
667,g.abbas,Reugha,22,0,1,0,0,0,g.abbas-Reugha
668,g.abdi,Danan Seekeeling,29,1,0,0,0,0,g.abdi-Danan Seekeeling
669,g.agustina,Imaar Vircoand,31,1,0,0,0,0,g.agustina-Imaar Vircoand
670,g.ahin,Nkasland Cronestan,20,0,0,0,1,0,g.ahin-Nkasland Cronestan
671,g.akoli,Nganion,25,0,1,0,0,0,g.akoli-Nganion
672,g.alali,Nganion,27,0,0,0,1,0,g.alali-Nganion
673,g.albrecht,Dosqaly,23,1,0,0,0,0,g.albrecht-Dosqaly
674,g.aloyo,Nganion,22,0,0,0,1,0,g.aloyo-Nganion
675,g.ampofo,Buhegeor,27,0,1,0,0,0,g.ampofo-Buhegeor
676,g.antonio,Nganion,27,0,1,0,0,0,g.antonio-Nganion
677,g.asiedu,Dosqaly,32,0,0,1,0,0,g.asiedu-Dosqaly
678,g.avraham,Dosqaly,22,0,1,0,0,0,g.avraham-Dosqaly
